,title,summary,stance,comment,parent_id,comment_id
3457,Ban the niqab and other face coverings in schools (Junior),The veil is a symbol of oppression on women,support,"Face coverings in particular divide men and women. Face veil is seen by some as a symbol of the oppression of women, because in some countries it is mandatory, as was the case in Afghanistan under the Taliban.When worn in Europe, with equality and democracy, it can be seen as a rejection of such oppression – this is why Belgium banned it[1]. Islamic dress rules are often stricter for women than men.[1] BBC News, ‘Belgian ban on full veils comes into force’, 23 July 2011, http://www.bbc.co.uk/news/world-europe-14261921",t506,p3457
3458,Ban the niqab and other face coverings in schools (Junior),It causes problems in schools,support,"Like in society as a whole, religious symbols are divisive. It marks some out as different from the others, which could cause bullying. They may also be impractical for PE, technology or science lessons where they get in the way.Face veils also mean that people’s lips cannot be seen when they are speaking, which can cause problems with communication (especially with any D/deaf people who lip read). For this reason, a UK court considered it reasonable for a school to not permit a teacher to teach while wearing a face veil[1].[1] BBC News, ‘School sacks woman after veil row’, 24 November 2006, http://news.bbc.co.uk/1/hi/england/bradford/6179842.stm. See court case listed higher up for full legal decision (resource for teachers).",t506,p3458
3459,Ban the niqab and other face coverings in schools (Junior),It causes division within society,support,"Religious symbols, such as the veil divide society. When some Muslim women wear the veil, it creates pressure on others to do so as well. Pressure comes from wanting to fit in, and pressure from other people in the community seeing those who don’t wear the veil as being somehow less religious.Allowing it in schools makes it more visible to non-Muslims, making them more likely to perceive it as a core part of the faith. It then gives the impression to outsiders that Islam is more extreme than it really is.  ",t506,p3459
3460,Ban the niqab and other face coverings in schools (Junior),A ban would be easy to enforce,support,"As a face covering is very obvious, it would be a school to check to see if someone is wearing one. France[1] and Turkey[2] already have attempted such bans on headscarves, which do not cover the face.This could be enforced by teachers, not police.[1] BBC News, ‘French scarf ban comes into force’, 2 September 2004, http://news.bbc.co.uk/1/hi/3619988.stm[2] Rainsford, Sarah, ‘Turkey divided over headscarf ban’, BBC News, 11 February 2008, http://news.bbc.co.uk/2/hi/europe/7239330.stm",t506,p3460
3461,Ban the niqab and other face coverings in schools (Junior),A ban on the veil is just a way of targeting Muslims,attack,"This measure would just be seen as a way of targeting Muslims. Religious symbols would be used as a way of singling out Muslims as a cause of division when any such problem is bigger than any one community. Muslims would be right to ask why the veil is banned while the Kirpan, a small ceremonial knife carried by Sikhs so potentially dangerous, is allowed. ",t506,p3461
3462,Ban the niqab and other face coverings in schools (Junior),It’s a personal matter – it doesn’t concern others,attack,"Wearing religious and cultural symbols are a matter of personal choice. Getting the government involved in such a personal matter is a breach of privacy. The Belgian ban has been unpopular amongst some people because those who want to wear it are being limited to staying within their homes. In France a ban on the burqa has led to increasing abuse of those who do wear it; 94% of victims of anti-Muslim physical and verbal abuse are women.[1][1] Irving, Helene, ‘France’s “Burqa Ban” Enforcing Not Solving Inequality’, Open Society Foundations, 13 April 2012, http://www.opensocietyfoundations.org/voices/france-s-burqa-ban-enforcing-not-solving-inequality",t506,p3462
3463,Ban the niqab and other face coverings in schools (Junior),"If you ban it, you have to ban everything else",attack,"If one form of religious symbolism is banned, it would be difficult to justify not banning others. If the government considers face coverings which would be seen as an attack on Muslims (while only a small minority of Muslim women wear them, they are not popular in other faiths apart from for specific uses). If the motive for such a ban is integration and uniformity, items such as the Sikh turban and potentially the Christian cross should be banned as well.",t506,p3463
3464,Ban the niqab and other face coverings in schools (Junior),It’s their culture and religion,attack,"Religion is intimately linked to culture and people’s identity. To many people who believe that religion, it is very important to them.  In a society with respect for human rights, people are able to not just have their religious beliefs, but put them in to practice. ",t506,p3464
3457,Ban the niqab and other face coverings in schools (Junior),no summary,attack,It’s not seen as oppressive by those who wear it – instead they see at as a way of preserving their modesty and privacy. Everyone has their own tolerance as to how much clothing makes them comfortable. It’s a personal decision that should be left to the individual. ,p3457,c3457
3458,Ban the niqab and other face coverings in schools (Junior),no summary,attack,"Intolerant schools are a problem because they don’t allow freedom of religious expression. In a free society, pupils should appreciate the different faiths of their fellow pupils and respect them. Without that respect, they may just end up going to separate schools which is even more divisive[1].As for safety, it also prevents some potential hazards such as hair getting caught in machines or flames, which when hidden won’t be a problem.[1] The Economist, ‘Faiths and schools Religious rights and wrongs, 4 September 2008, http://www.economist.com/node/12070447",p3458,c3458
3459,Ban the niqab and other face coverings in schools (Junior),no summary,attack,"No-one is in a vacuum – everyone has social pressures affecting what they wear.Banning veils itself is divisive and will create strong reactions in highly religious communities[1]. Framing laws that only ban the veil could be seen as an attack on Islam, and lead Muslim communities to think they are being unfairly targeted. The result will be that they won’t co-operate with people of other faiths. This would be bad for society and make extremists more influential.[1] Huffington Post, ‘France Bans Burqas: A Look At Islamic Veil Laws in Europe’, 4 November 2011, http://www.huffingtonpost.com/2011/04/11/burqa-policies-europe_n_847575.html#s263174&title=France_",p3459,c3459
3460,Ban the niqab and other face coverings in schools (Junior),no summary,attack,Deciding what people can and can’t wear should not be the responsibility of schools. Enforcement may be potentially simple but only at the cost of creating a conflict between schools and their Muslim pupils and staff.,p3460,c3460
3461,Ban the niqab and other face coverings in schools (Junior),no summary,attack,"A ban on face coverings wouldn’t be a target to a particular faith as it would also ban veils that might be desired by people of other faiths as well. Moreover only a small minority of Muslim women in Europe wear the veil; in France with 5million Muslims it is thought that only 350 wear the face veil.[1][1] O’Neill, Brendan, ‘There’s nothing enlightened about burka-bashing’, Spiked, 19 September 2013, http://www.spiked-online.com/newsite/article/14046#.UoNqHuImZI0",p3461,c3461
