,title,summary,stance,comment,parent_id,comment_id
898,Obama vs. Romney: Should the United States increase the foreign aid budget?,The aid budget has to increase to meet rising commitments,support,"Despite a large national deficit, the Obama administration has stated over[1] and over[2] again that they have no plans to cut Official Development Assistance (ODA), and the 2011 budget reflects that by putting the United States on a path to double foreign assistance by 2015.[3] The Obama administration has requested $56 billion for international affairs in Fiscal Year 2013 that would go towards USAID funding and programs.[4] This would go a considerable way towards the target, first pledged in 1970, of rich countries committing 0.7% of GNP to Official Development Assistance.[5]This increase is necessary because Obama has increasing commitments to meet. The administration wants to embrace the United Nations Millennium Development Goals[6] to cut global poverty by 2015 in hopes that foreign assistance can help countries build “healthy and educated communities, reduce poverty, develop markets, and generate wealth”.[7] The Obama administration wants to increase foreign assistance to make investments to combat terrorism, corruption and transnational crime, improve global education and health, reduce poverty, build global food security, expand the Peace Corps, address climate change, stabilize post-conflict states, and reinforce conflict prevention.In a speech promoting good governance in Ghana, President Obama stated, “the true sign of success is not whether we are a source of aid that helps people scrape by—it is whether we are partners in building the capacity for transformational change.”[8] The goal remains to expand diplomatic and development capacity while renewing the United States as a global leader.[1] LaFranchi, Howard, ‘Obama at UN summit: foreign aid is ‘core pillar of American power’, The Christian Science Monitor, 22 September 2010.[2] Zeleny, Jeff, ‘Obama Outlines His Foreign Policy Views’, The New York Times, 24 April 2007.[3] ‘U.S. Department of State and Other International Programs’, Office of Management and Budget.[4] Troilo, Pete, ‘Ryan VP pick could yield clues on Romney’s foreign aid plans’, devex, 13 August 2012.[5] ‘The 0.7% target: An in depth-look’, Millennium Project, 2006.[6] We Can End Poverty 2015, UN.org.[7] ‘The Obama-Biden Plan’, Change.gov, 2008.[8] Wallis, William, ‘Obama calls for good governance in Africa’, Financial Times, 11 July 2009. ",t407,p898
899,Obama vs. Romney: Should the United States increase the foreign aid budget?,Foreign aid benefits the United States,support,"While foreign aid is obviously for the benefit of the recipient country that country is not the only one that benefits; U.S. business is often a major beneficiary. It does this in two ways: First they benefit directly through carrying out the contracts for supplying aid, for example Cargill was paid $96million for supplying food aid in 2010-11.[1] Secondly there are also indirect benefits. Through the work of the United States Agency for International Development (USAID), the Obama administration hopes to “develop partnerships with countries committed to enabling the private sector investment that is the basis of sustained economic growth to open new markets for American goods, promote trade overseas, and create jobs here at home”.[2] Essentially, through foreign aid, both the economies of the developing world and the United States come out ahead. Even Microsoft founder and philanthropist Bill Gates has been quoted as saying that the 1 percent the United States spends on foreign aid “not only saves millions of lives, it has an enormous impact on developing countries – which means it has an impact on our economy”.[3][1] Provost, Claire, and Lawrence, Felicity, ‘US food aid programme criticised as ‘corporate welfare’ for grain giants’, guardian.co.uk, 18 July 2012.[2] ‘What we do’, USAID, 12 September 2012.[3] Worthington, Samuel, ‘US foreign aid benefits recipients – and the donor’, guardian.co.uk, 14 February 2011.",t407,p899
900,Obama vs. Romney: Should the United States increase the foreign aid budget?,The foreign aid budget can be made more effective and transparent,support,"While a second Obama administration is not going to cut back on foreign aid the Obama campaign however, does argue for pragmatic budgetary approaches to foreign aid,[1] creating transparency measures[2] to ensure that “assistance [is] more transparent, accountable and effective”.[3] The Obama administration has signed the Busan Partnership for Effective Development Co-operation[4] which makes transparency a key pillar of overseas development[5] and has succeeded in significantly increasing transparency; in 2010 the U.S. was ranked 24th[6] in Quality of Official Development Assistance rankings on transparency, by 2012 it had moved up to 9th.[7] It is also clear how beneficial transparency is for the recipients of aid; Uganda implemented Public Expenditure Tracking Surveys in 1996. Surveys had shown that only 13% of funds for schools was actually getting to the schools but the introduction of PETS increased this to between 80-90% simply because it was public that the school should have received money.[8][1] ‘U.S. Foreign Aid By Country’, Huffington Post, 30 August 2012.[2] Foreignassistance.gov.[3] Shah, Rajiv, ‘Improving the Quality and Effectiveness of International Development Aid’, The White House Blog, 1 December 2011.[4] ‘Busan Partnership for Effective Development Co-operation’, busanhlf4.org, 29 November – 1 December 2011.[5] Atwood, Brian, ‘The Benefits of Transparency in Development’, OECD Insights, 3 April 2012.[6] Baker, Gavin, ‘U.S. Scores Poorly on Transparency of Foreign Aid Spending’, OMB Watch, 7 October 2010.[7] ‘Transparency and Learning’, Global Economy and Development at Brookings, 2012.[8] ‘Empowerment Case Studies: Public Expenditure Tracking Surveys – Application in Uganda, Tanzania, Ghana and Honduras’, World Bank.",t407,p900
901,Obama vs. Romney: Should the United States increase the foreign aid budget?,Aid benefits National Security,support,"In Obama’s 2012 campaign, promoting good governance through foreign aid makes sense for a range of foreign policy and development objectives. Through contributions in healthcare, education, poverty alleviation and infrastructure, investing in foreign aid and increasing the foreign aid budget will help create a more peaceful and safe global environment. Robert Gates, former US Secretary of Defense, has stated that “cutting aid jeopardizes US national security. It also creates a greater vacuum in so-called fragile states, which can easily be filled by those who do not have US interests at heart. There is no doubt that foreign assistance helps ward off future military conflicts.”[1] In much the same way as encouraging people to eat healthily will likely reduce expenditures on healthcare in the future so some spending on aid with resulting development and better perceptions of the United States can reduce conflicts in the future so saving money in the long run by preventing the need for expensive armed interventions.[1] Worthington, Samuel, ‘US foreign aid benefits recipients – and the donor’, guardian.co.uk, 14 February 2011.",t407,p901
902,Obama vs. Romney: Should the United States increase the foreign aid budget?,We should not be borrowing to fund foreign aid ,attack,"As a fiscal conservative, Governor Mitt Romney believes that Americans and the United States economy will be better off cutting foreign aid expenses. In an October 2011 Republican primary debate, Romney passionately defended the GOP stance of questioning humanitarian assistance and foreign aid. He said, “I happen to think it doesn’t make a lot of sense for us to borrow money from the Chinese to go give to another country for humanitarian aid . . . . We ought to get the Chinese to take care of the people that are taking that borrowed money.”[1] This was a reference to the size of the deficit; currently Obama’s projected deficit for 2012 is $1.33 trillion[2] and much of that is borrowed from other countries and China has most holding $1.164 trillion as of June.[3] Romney’s campaign often compares President Barack Obama’s policies to those of Europe. He criticizes the Obama administration’s foreign assistance efforts as largely squandered by a fragmented Washington bureaucracy.[1] ‘Full Transcript CNN Western Republican Presidential Debate’, CNN, 18 October 2011.[2] ‘Budget Overview’, Office of Management and Budget, 2012.[3] Capaccio, Tony, and Kruger, Daniel, ‘China’s U.S. Debt Holdings Aren’t Threat, Pentagon Says’, Bloomberg, 11 September 2012.",t407,p902
903,Obama vs. Romney: Should the United States increase the foreign aid budget?,The focus should be on trade not on aid,attack,"Governor Romney does not prioritize encouraging good governance and stability abroad through foreign aid, and there have been no mentions of any plans to reduce global poverty, improve healthcare and engage in sustainable development. While foreign aid is not specifically mentioned in any campaign materials, “Mitt’s Plan” regarding Africa, for instance, declares, “a Romney administration will encourage and assist African nations to adopt policies that create business-friendly environments and combat governmental corruption.” Despite wanting to cut economic aid and contributions to the United Nations, World Bank and IMF, his campaign further argues, “greater market access across the continent for U.S. businesses will bolster job creation in Africa as well as in the United States.”[1] It is notable that the countries that have been most successful in reducing poverty have been those that have focused on trade to create economic growth rather than relying on aid; China has succeeded in bring its poverty down from 84% thirty years ago to 16% today through economic growth.[2] In spite of Romney’s calls for cutting foreign aid spending, his foreign policy is going to focus on international trade and job creation both domestically and abroad, which will benefit both the United States and international economies.[1] ‘Africa’, Romney Ryan.[2] Chandy, Laurence, and Gertz, Geoffrey, ‘With Little Notice, Globalization Reduced Poverty’, YaleGlobal, 5 July 2011.",t407,p903
904,Obama vs. Romney: Should the United States increase the foreign aid budget?,US spending should focus on defence rather than aid,attack,"Romney believes that the United States should be focusing more on national security; however this in turn does benefit other nations so could be considered aid. Governor Romney was quoted as saying “foreign aid has several elements. One of those elements is defense, is to make sure that we are able to have the defense resources we want in certain places of the world. That probably ought to fall under the Department of Defense budget rather than a foreign aid budget.”[1] When it focuses on its own national security the United States is providing public goods for the rest of the world. These include reducing the incentives for others to engage in the use of force – ‘the global policeman’, maintaining open global markets, maintaining a virtual commons in cyberspace, preventing weapons proliferation[2]  and maintaining freedom of navigation just as the United States is doing in the South China Sea.[3] All of these to a greater or lesser extent need US military forces to maintain them.The Romney campaign rejects the notion that the United States has an obligation to rely on foreign aid in its international development efforts, wanting to “[cut] the ongoing foreign aid commitments” and “[you] start everything from zero”. Vice Presidential candidate Paul Ryan, has proposed a budget that includes cutting international affairs and foreign assistance by 29 percent in 2012 and 44 percent by 2016, which would dramatically cut funds for USAID and their foreign aid programs.[4] The Republican party believes that cutting down all sorts of government spending, including international spending, would help bring the economy out of the deficit and back towards a balanced budget.[1] Rosenkranz, Rolf, ‘At GOP debate, presidential candidates vow to cut foreign aid’, devex, 20 October 2011.[2] Nye, Joseph S., ‘America and Global Public Goods’, Project Syndicate, 11 September 2007[3] Cronin, Dr. Patrick M., ‘Averting Conflict in the South China Sea’, Center for a New American Security, 4 September 2012.[4] Smith, Adam, et al., ‘U.S. foreign aid is not a luxury but a critical investment in global stability’, The Seattle Times, 17 April 2011.",t407,p904
898,Obama vs. Romney: Should the United States increase the foreign aid budget?,no summary,attack,"It is wrong to be expanding the aid budget at a time of economic crisis when the government is dramatically failing to balance its books. The list of things that the Obama administration wants to do with aid  are either things that are best left to the military and intelligence services such as combating terrorism and transnational crime, or are areas where the United States has no responsibility to be providing assistance such as global education and health. The reality is that there are not rising commitments for foreign aid; far from it. The number of people in absolute poverty (less than $1.25 per day) has declined from 1.91 billion in 1990 to 1.29 billion in 2008 despite a rapidly rising population.[1] Moreover it is not foreign aid that is bringing about this decline but trade and the resulting economic growth in developing countries.[2] It is therefore completely the wrong strategy to be increasing foreign aid to tackle these problems.[1] ‘Poverty’, The World Bank, March 2012.[2] Chandy, Laurence, and Gertz, Geoffrey, ‘With Little Notice, Globalization Reduced Poverty’, YaleGlobal, 5 July 2011.",p898,c898
899,Obama vs. Romney: Should the United States increase the foreign aid budget?,no summary,attack,"While it is undoubtedly true that some foreign aid money will flow into the hands of US firms it is wrong to argue that this is beneficial to the economy. What needs to be considered is not just whether some aid money ends up in the hands of Americans but whether that same money could be spent in such a way where more of it would. The answer is undoubtedly yes. The same money would benefit the economy much more if handed back to the citizen to spend themselves or directly invested in the United States. The developing world would then in turn benefit because more Americans spending means more purchasing of goods made in developing countries. The United States exports $2-3billion worth of goods to Africa every month while it imports around $6billion[1] clearly then Africa is benefiting from trade with the United States and more spending in the United States will benefit Africa.[1] ‘Trade in Goods with Africa’, U.S. Department of Commerce United States Census Bureau, 2012.",p899,c899
900,Obama vs. Romney: Should the United States increase the foreign aid budget?,no summary,attack,"Everyone is for transparency when it is taxpayers’ money that is being spent however transparency does not make it a worthwhile investment. Ban Ki-moon, the United Nations Secretary General says that “Last year, corruption prevented 30 per cent of all development assistance from reaching its final destination.”[1] This means huge amounts of money is not helping development as it is meant to. Obama’s transparency initiatives will no doubt help show what the US is spending and where but will it tell us who else benefits? Moreover the administration’s record on aid transparency is very patchy; some budgets like the Millennium Challenge Corporation, created by the Republicans during the Bush Administration, are very transparent while big departments like State and Treasury are just the opposite.[2][1] ‘At high-level discussion, UN officials highlight costs of corruption on societies’, UN News Centre, 9 July 2012.[2] ‘2011 Pilot Aid Transparency Index’, Publish What You Fund, 2012.",p900,c900
