,title,summary,stance,comment,parent_id,comment_id
1169,"Should a new global body, the United Nations Committee for Internet Related Policies, take over inte",Internet governance must be multinational,support,"The internet is global, things on the internet do not just affect one country, indeed they often don’t just affect a small group of countries but affect every country. This is especially true of issues of internet governance as setting the rules for the internet and the architecture has to be for the whole internet not isolated bits of it. The function that ICANN currently performs is one that should rightfully be done internationally in the interests of all the nations. This is not the case at the moment as the United States has essentially has a monopoly on internet governance. While ICANN is an independent non-profit body it is under contract from the U.S. department of Commerce and is subject to U.S. laws.[1]The United States already abuses its control over the internet. It has become commonplace for the U.S. to seize domains, as it did with Bodog.com, regardless of where their domain name registrar, or the owner of the website, is based. It can do this easily because the companies that have the contract to manage the generic top level names such as .com and .org are based within the United States. As it is U.S. based the company with these top level domains has to comply with U.S. law so when it is asked to shut down a site even if it is a foreign site with a foreign registrar it will do so.[2] Actions like this show that the United States is only interested in its own power over the internet. It is not interested in the rights of other countries and owners of websites that are registered in those countries highlighting a need to a change to a more multinational system.[1] Singh, Parminder Jeet, ‘India’s proposal will help take the web out of U.S. control’, The Hindu, 17 May 2012.[2] Kravets, David, ‘Uncle Sam: If It Ends in .Com, It’s .Seizable’, Wired, 6th March 2012.",t536,p1169
1170,"Should a new global body, the United Nations Committee for Internet Related Policies, take over inte",Governments not ‘civil society’ must be in control of internet governance,support,"It is governments who are in charge of setting public policy within countries so it makes sense that these same governments should set public policy in the international sphere;[1] this is why international organisations have been set up and why it is governments that are represented in them. Internet governance should also be the purview of governments on account of the wide range of issues it covers. These include who gets access to the technical resources of the internet, intellectual property, participation in the online economy (which now has an immense impact on the physical economy as well - just consider how the financial markets around the world are interconnected in part as a result of the internet), freedom of expression, and security which ultimately can affect national security and the high politics if balance of power.[2] Private companies and civil society will inevitably only represent a minority of opinions within these countries and cannot be said to truly represent their country, the right place for them is in providing advice to their governments rather than through direct control such as that currently held by ICANN.[1] Al-Darrab, Abdullah A., ‘The Need for International Internet Governance Oversight’, Internet Governance Forum.[2] ‘About’, Internet Governance Project Syracuse University.",t536,p1170
1171,"Should a new global body, the United Nations Committee for Internet Related Policies, take over inte",Simplicity,support,"One of the best things about the proposal to create CIRP is that it simply brings the internet into line with other areas of international communication and the global economy by bringing the internet into the United Nations system. The International Telecommunications Union (ITU) for example is the body that allocates radio spectrums and satellite orbits, in other words it does for telecommunications what ICANN does for the internet, and it is a United Nations agency.[1] The ITU has 193 countries as members but is also open to the private sector and academia, just as CIRP would be.[2] Having internet governance working through the United Nations would therefore mean using a tried and tested method of governance.[1] ‘About ITU’, International Telecommunication Union.[2] ‘Membership’, International Telecommunication Union",t536,p1171
1172,"Should a new global body, the United Nations Committee for Internet Related Policies, take over inte",The internet should be governed in the interests of freedom,attack,"The internet is used by everyone and so should be governed in such a way as reflects the desires of the users of the internet; and this is somewhere where internet users are often at odds with their governments. Where the freedom of individuals are concerned it is undoubtedly the bottom up system of ICANN which will be less restrictive than the option of top down control through an international organisation in which governments have the lion’s share of the power. While governments are meant to be protecting the interests of their people and their rights it is rare that this is actually the case. More usually it is states that are violating the rights of their citizens both online and offline as is shown by the human rights records of countries like Iran and China. On the internet government involvement equally regularly means attempts by states to create restrictions and prevent the internet from being a place where citizens have freedom of expression. This can even be the case in democracies, for example in South Korea a critic of the government who called the president names found his twitter account blocked as a result.[1][1] Sang-Hun, Choe, ‘Korea Policing the Net. Twist? It’s South Korea.”, The New York Times, 12 August 2012.",t536,p1172
1173,"Should a new global body, the United Nations Committee for Internet Related Policies, take over inte",CIRP would place power in the hands of authoritarian governments,attack,"The intention for the creation of CIRP is to give more power to governments, and particularly to authoritarian governments that wish much greater control over the internet. If CIRP is meant to enable “enhanced cooperation to enable governments, on an equal footing, to carry out their roles and responsibilities in international public policy issues pertaining to the Internet”[1] this may result in CIRP becoming an international organisation that would impose censorship on the internet. This is practically an inevitable result as the main tool of government is regulation. In the case of the internet such regulation will mean more controls on what users can and cannot do online.The result is likely to be similar to the U.N. Human Rights Council where many of the world’s biggest human rights abusers are regularly elected and Israel and the U.S. are constantly investigated while a blind eye is turned to many abuses.[2] At the very least such control will provide an enabler that will allow countries that want to censor the internet to shelter behind the international organisation. India’s Minister of Communications and Information Technology Kapil Sibal has said the solution to this problem of objectionable content online should be permanent ""That will only happen when we talk to all the stakeholders and form such a mechanism under which any objectionable content is removed,""[3][1] ‘Full text: India’s United Nations proposal to control the Internet’, IBNLive, 21 May 2012.[2] Ayalon, Danny, ‘Theater of the Absurd’, Foreign Policy, 30 March 2012.[3] Julka, Harsomran, ‘Internet censorship: India to push for internet regulation at United Nations’, The Economic Times, 24 August 2012.",t536,p1173
1174,"Should a new global body, the United Nations Committee for Internet Related Policies, take over inte",The status quo has been very successful; don’t fix something that is not broken.,attack,"The current system for control of the internet has been successful in managing phenomenal growth in the internet with very few problems. ICANN has been a success precisely because it does not focus on politics but on making the internet as efficient as possible, in contrast the telecommunications sector remained static and costly for a long time as a result of government interference.[1] Experts such as Rajnesh Singh argue ICANN’s “multi-stakeholder approach has proven to be nimble and effective in ensuring the stability, security, and availability of the global infrastructure, while still giving sovereign nations the flexibility to enact and enforce relevant Internet legislation within their borders… This model has been a key contributor to the breathtaking evolution and expansion of the Internet worldwide.”[2] It is this openness that has contributed to the internet generating 10% of GDP growth in the rich world over the last fifteen years.[3]The change to CIRP would cause a lot of disruption; it would mean changing the current bottom up model of regulation to a top down model such as that used by the ITU.[4] The White House has highlighted the likely effect this would have on the internet; “Centralized control over the Internet through a top-down government approach would put political dealmakers, rather than innovators and experts, in charge of the future of the Internet.  This would slow the pace of innovation, hamper global economic development, and lead to an era of unprecedented control over what people can say and do online.”[5][1] ‘America rules OK’, The Economist, 6th October 2005.[2] Kwang, Kevin, ‘’Multi-stakeholder’ management of Internet should stay’, ZDNet, 15 June 2012.[3] ‘In praise of chaos’, The Economist, 1 October 2011.[4] ‘OECD input to the United Nations Working Group on Internet Governance’, OECD.[5] Strickling, Lawrence, Verveer, Philip, and Weitzner, Daniel, ‘Ensuring an Open Internet’, Office of Science and Technology Policy, 2 May 2012.",t536,p1174
1169,"Should a new global body, the United Nations Committee for Internet Related Policies, take over inte",no summary,attack,"While the US government may have more influence over ICANN than other governments it does not control ICANN. This lack of control is demonstrated by the organisation being willing to do things that the United States is opposed to. For example ICANN the rolled out of the new top level domain names which both the United States and European Union were opposed to, and was incidentally were supported by developing countries.[1][1] Mackinnon, Rebecca, ‘The United Nations and the Internet: It’s Complicated’, Foreign Policy, 8 August 2012.",p1169,c1169
1170,"Should a new global body, the United Nations Committee for Internet Related Policies, take over inte",no summary,attack,"It is wrong that civil society should have reduced influence over the governance of the internet with governments making all the key decisions. Many governments around the world are not democratic and so cannot be said to represent their people while even those that are democratic are prone to advancing the interests of minorities of their constituents as shown by treaties and legislation such as SOPA and ACTA. Governments of all stripes whether authoritarian or democratic do not have a good record of transparency; ICANN on the other hand does.[1] ICANN works on a ""bottom-up, consensus-driven, multi-stakeholder model"" meaning that ICANN is very inclusive bringing together governments, experts, private companies and ngos, potentially even individuals can get involved and have their say.[2][1] ‘ICANN Accountability & Transparency’, Internet Corporation for Assigned Names and Numbers.[2] ‘About Us’, Internet Corporation for Assigned Names and Numbers.",p1170,c1170
1171,"Should a new global body, the United Nations Committee for Internet Related Policies, take over inte",no summary,attack,"The United States is unlikely to give up control and no one can force it to do, the ITU itself has accepted that it could not do so,[1] so creating CIRP would really be a pointless increase in bureaucracy. There is already government involvement in ICANN through the Governmental Advisory Committee[2] so there is little need for another body giving governments more control over the internet. If the United States does not give up control voluntarily then there is likely to be added problems arising from conflicts between the ICANN and CIRP.[1] Kelion, Leo, ‘US resists control of internet passing to UN agency’, BBC News, 3 August 2012.[2] ‘About the GAC’, ICANN GAC.",p1171,c1171
1172,"Should a new global body, the United Nations Committee for Internet Related Policies, take over inte",no summary,attack,"While this might be a valid argument if the United Nations Committee for Internet Related Policies means handing over governance to an individual state it is difficult to question that collectively through the United Nations system states have generally worked to improve citizens quality of life and human rights. CIRP will be just such a multilateral institution so will not be a threat to freedom on the internet. It is even suggested that the mandate for the new organisation include “the promotion and protection of all human rights, namely, civil, political, social, economic and cultural rights, including the Right to Development”. Even those who don’t want governmental control accept that there is a need for some form of constitution with a bill of rights and some kind of board for review[1] – thus showing that under ICANN the internet is not governed in the interests of the users.[1] ‘A plaything of powerful nations’, The Economist, 1 October 2011.",p1172,c1172
