,title,summary,stance,comment,parent_id,comment_id
528,This House Believes That Feminism Is Still Needed,Feminism Has Plenty More To Achieve,support,"Feminism is still of relevance today, and is indeed needed. In the UK, one in four women suffers domestic violence, and an increase in the reporting of rape in the last thirty years has gone alongside a threefold drop in conviction rates. In countries such as Ireland and Malta abortion is still not legal for all women, this can be seen as an important part of equality for woman that has not been achieved yet and needs to be fought for.  If we take feminism as a global movement then the movement is still of huge importance. That's because U.S. women still earned only 77 cents on the male dollar in 2008, according to the latest census statistics. (That number drops to 68% for African-American women and 58% for Latinas.) [1] These are all real problems, on which feminists continue to campaign - as they should.[1] http://www.time.com/time/nation/article/0,8599,1983185,00.html#ixzz1TtHZOvXp ",t308,p528
529,This House Believes That Feminism Is Still Needed,Males Still Dominate the Top Positions,support,"Out of over 250 countries, only a few are currently headed by women.[1]  Women still account for only about 14% of members of parliament worldwide in 2002.[2] Some argue that gender quotas should be established to ensure equal input of men and women in parliament. Therefore, the feminist movement is still needed to fight this battle.Woman still hold lower position in business, the legal profession and in the world of politics. It is therefore hard to argue that the glass ceiling has disintegrated. Until women hold higher positions in these fields the feminist cause has still not achieved its goals- in seeking to create a world where, amongst other things women can advance up the ladder in their career without being blocked by a glass ceiling and held back in lower positions.[1] http://www.onlinewomeninpolitics.org/statistics.htm[2] http://www.ipu.org/press-e/gen62.htm",t308,p529
530,This House Believes That Feminism Is Still Needed,Maternity and Paternity Leave Are Not Yet Equal,support,"Employers worry when they hire young/middle aged women. They fear that after hiring a woman, she will only cost the company money by getting pregnant and going on maternity leave. To combat this attitude, maternity and paternity leave should be equal. Currently, paternity leave is a maximum of two consecutive weeks. These two weeks must be taken within 56 days of the child’s birth. This can be contrasted with the long maternity leave that is allowed for. Women are entitled to 52 weeks of maternity leave from day one of employment. Women are entitled to maternity pay for 39 weeks if they have been working for their employer for 26 weeks.Father’s also do not have the right to take time off work to attend antenatal classes, this allowance is for pregnant employees only. The feminist cause still has this issue to resolve. Until paternity leave is offered an employer can safely assume that a woman will be the partner to burden the care of the child and the employer will be the one to bear these costs of maternity leave. This gives men an unfair advantage in the workplace as they are a “safer bet” for employment.",t308,p530
531,This House Believes That Feminism Is Still Needed,Men Have Big Problems Too,attack,"By focusing on women and their problems, feminism fails to recognise that there are inequality issues in which men are the victims. For example: boys are falling behind girls in academic achievement; far less money is spent on combating ‘male’ than ‘female’ diseases (the difference between the amount of research into breast cancer and prostate cancer is a striking.)[1]Single fathers are discriminated against over child custody and child support; fear of being accused of sexism is so widespread that it often leads to unfair discrimination against men.[2]Even the way men are portrayed in the media is a cause for concern. Last year, an oven cleaner ad drew a thousand-plus complaints for the slogan, “So easy, even a man can use it.” These can only be tackled by recognising that feminism has gone too far. The battle for equality is no longer needed but rather, we must remember feminism was never a tool for women to get their own back.[1] http://themahima.com/?p=3667[2] www.mens-rights.net",t308,p531
532,This House Believes That Feminism Is Still Needed,The Feminist Cause No Longer Appeals to Women,attack,"Many women no longer identify themselves as feminists, associating feminism with man-hating, sex-hating humourlessness, and seeing it as a relic of the 1970s. Modern women are perfectly capable of competing with men on equal terms, and they resent suggestions that they need special treatment.Some women would question where the line between feminism and positive sexism begins. Women no longer want to associate themselves with a cause that is outdated and outmoded.",t308,p532
533,This House Believes That Feminism Is Still Needed,Now Damaging Gender Roles?,attack,"There is certainly a case to be made that women, in modern-western society have completely shattered the traditional values and roles that are best suited to them.For example, it has always been the case that men have been the providers, the defenders of themselves, the household and the family. Women have been the maintainers of these things. These things are not unfair. They are not unequal. They are simply what each gender is best suited for.Women should not feel lesser than men simply because they are ""supposed"" to do ""motherly things"". The feminist movement has gone beyond its cause in beginning to deem what role in life is more appropriate. ",t308,p533
528,This House Believes That Feminism Is Still Needed,no summary,attack,"Feminism has no more battles left to fight. Victories such as gaining the vote, the right to an abortion(in most of the northern hemisphere) and the right to equal pay were important and worth winning. But given that sexual equality is now - rightly - enshrined and protected in law, there is nothing left for the feminist movement to do in most western countries. It may still be useful in parts of the world where women still lack basic democratic and other rights. However, in western society the feminist cause in no longer needed.",p528,c528
529,This House Believes That Feminism Is Still Needed,no summary,attack,"The glass ceiling is extremely variable. The two deciding and overlapping factors, being whether women have children and which profession they are in. Higher numbers of women now going to university may change the number of lawyers, judges, doctors etc in the future. Doctors, barristers, leading scientists, all now contain a significant female percentage. Since 2001 there are more women called to the bar than men.[1] Huge advancements have been made and given positive intervention in the past statistics are now changing. Therefore, the feminist movement has achieved its objective.[1] http://www.lsuc.on.ca/faq.aspx?id=1275",p529,c529
530,This House Believes That Feminism Is Still Needed,no summary,attack,"Most corporations, in almost every country on the earth will not even offer their male employees something close to paternity.[1] But, most countries mandate by law, that women get a set amount of maternity leave. The truth is that, the lack of any kind of paternity leave for the male, indicates that there is a ""glass ceiling"" hovering over fathers heads, and is preventing them from being good parents. It would benefit every family, if fathers were allowed to spend time with their new borns, like women can.This is not a battle for the feminist cause.[1] http://www.opm.gov/oca/leave/html/ParentalReport.htm",p530,c530
531,This House Believes That Feminism Is Still Needed,no summary,attack,"There are two responses to this. First, many of the ways in which men suffer inequality are relatively minor when compared to the ongoing subordination of women in many areas of private and public life such as pay, childcare and sexuality. Second, where such inequality does exist, feminism possesses the resources to offer a distinctive and useful critique of the causes and consequences of sexual inequality, whether it is men or women who suffer as a result - men and women should be joining forces to offer feminist responses to discrimination, not blaming feminism where men have problems disconnected from the feminist cause. Additionally, Feminism is a rights movement to place the female sex on equal footing as males. This naturally means that when an inequality exists it needs to be corrected. Yes, even when women have an apparent advantage in something over men it needs to be fixed. It is true men are given lower rights in certain cases. The results of divorce with children involved comes to mind. However, this, like many issues, will be solved in time through feminism. The main issue with this particular example is that women are seen as primary caregivers and are given the responsibility to be in that position. By showing women can succeed in traditionally male dominated areas it also opens the oppurtunity for men to step into female dominated areas. When men and women are seen as equal caregivers then there is less bias to grant custody to a mother over an equal father.",p531,c531
