,title,summary,stance,comment,parent_id,comment_id
459,This House Believes that assisted suicide should be legalized,Every human being has a right to life,support,"Perhaps the most basic and fundamental of all our rights. However, with every right comes a choice. The right to speech does not remove the option to remain silent; the right to vote brings with it the right to abstain. In the same way, the right to choose to die is implicit in the right to life. The degree to which physical pain and psychological distress can be tolerated is different in all humans. Quality of life judgements are private and personal, thus only the sufferer can make relevant decisions.[1] This was particularly evident in the case of Daniel James.[2]  After suffering a spinal dislocation as the result of a rugby accident he decided that he would live a second-rate existence if he continued with life and that it was not something he wanted to prolong. People are given a large degree of autonomy within their lives and since deciding to end your life does not physically harm anyone else, it should be within your rights to decide when you wish to die.  While the act of suicide does remove option to choose life, most cases in which physician assisted suicide is reasonable, death is the inevitable and often imminent outcome for the patient regardless if by suicide or pathological process.  The choice for the patient, therefore, is not to die, but to cease suffering and tto chose the time and manner of their death.[1]Derek Humphrey, 'Liberty and Death: A manifesto concerning an individual's right to choose to die', assistedsuicide.org 1 March 2005, http://www.assistedsuicide.org/suicide_laws.html (accessed 4/6/2011)[2]Elizabeth Stewart, 'Parents defend assisted suicide of paralysed rugby player', guardian.co.uk, 17 October 2008, http://www.guardian.co.uk/sport/2008/oct/17/rugbyunion  (accessed 6/6/2011)",t492,p459
460,This House Believes that assisted suicide should be legalized,Those who are in the late stages of a terminal disease have a horrific future agead of them,support,"The gradual decline of their body, the failure of their organs and the need for artificial support. In some cases, the illness will slowly destroy their minds, the essence of themselves; even if this is not the case, the huge amounts of medication required to ‘control’ their pain will often leave them in a delirious and incapable state. At least five percent of terminal pain cannot be controlled, even with the best care. Faced with this, it is surely more humane that those people be allowed to choose the manner of their own end, and have the assistance of a doctor to die with dignity. One particular account was of Sue Rodriguez who died slowly of Lou Gehrig's disease. She lived for several years with the knowledge that her muscles would, one by one, waste away until the day came when, fully conscious, she would choke to death. She begged the courts to reassure her that a doctor would be allowed to assist her in choosing the moment of death. They refused. Rodriguez did not accept the verdict and with the help of an anonymous physician committed suicide in February 1994.[1][1]Chris Docker, Cases in history, euthanasia.cc, 2000 http://www.euthanasia.cc/cases.html (accessed 6/6/2011)",t492,p460
461,This House Believes that assisted suicide should be legalized,"Suicide is a lonely, desperate act, carried out in secrecy and often as a cry for help",support,"The impact on the family who remain can be catastrophic. Often because they were unaware of how their loved one was feeling. Suicide cases such as Megan Meier, an American teenager who committed suicide by hanging herself in 2006,[1] as the parents have to launch police investigations into why their child might have felt so desperate. By legalising assisted suicide, the process can be brought out into the open. In some cases, families might have been unaware of the true feelings of their loved one; being forced to confront the issue of their illness may do great good, perhaps even allowing them to persuade the patient not to end their life. In other cases, it makes them part of the process: they can understand the reasons behind their decision without feelings of guilt and recrimination, and the terminally ill patient can speak openly to them about their feelings before their death.[1]Wikipedia, ""Suicide of Megan Meier"", en.wikipedia.org, http://en.wikipedia.org/wiki/Suicide_of_Megan_Meier (accessed 6/6/2011)",t492,p461
462,This House Believes that assisted suicide should be legalized,It is vital that a doctor's role not be confused,attack,"The guiding principle of medical ethics is to do no harm: a physician must not be involved in deliberately harming their patient. Without this principle, the medical profession would lose a great deal of trust; and admitting that killing is an acceptable part of a doctor’s role would likely increase the danger of involuntary euthanasia, not reduce it. Legalising assisted suicide also places an unreasonable burden on doctors. The daily decisions made in order to preserve life can be difficult enough; to require them to also carry the immense moral responsibility of deciding who can and cannot die, and the further responsibility of actually killing patients, is unacceptable. This is why the vast majority of medical professionals oppose the legalisation of assisted suicide: ending the life of a patient goes against all they stand for. The Hippocratic Oath that doctors use as a guide states 'I will neither give a deadly drug to anybody if asked for it, nor will I make a suggestion to this effect.'[1][1]Medical Opinion, religiouseducation.co.uk http://www.religiouseducation.co.uk/school/alevel/ethics/euthanasia/DpFS_MedOp.html  (accessed on 4/6/2011)",t492,p462
463,This House Believes that assisted suicide should be legalized,If someone is threatening to kill themselves it is your moral duty to try to stop them,attack,"Those who commit suicide are not evil, and those who attempt to take their own lives are not prosecuted. However, it is your moral duty to try and prevent people from committing suicide. You would not, for example, simply ignore a man standing on a ledge and threatening to jump simply because it is his choice; and you would definitely not assist in his suicide by pushing him. In the same way, you should try to help a person with a terminal illness, not help them to die. With the exception of the libertarian position that each person has a right against others that they not interfere with her suicidal intentions. Little justification is necessary for actions that aim to prevent another's suicide but are non-coercive. Pleading with a suicidal individual, trying to convince her of the value of continued life, recommending counseling, etc. are morally unproblematic, since they do not interfere with the individual's conduct or plans except by engaging her rational capacities (Cosculluela 1994, 35; Cholbi 2002, 252).[1] The impulse toward suicide is often short-lived, ambivalent, and influenced by mental illnesses such as depression. While these facts together do not appear to justify intervening in others' suicidal intentions, they are indicators that the suicide may be undertaken with less than full rationality. Yet given the added fact that death is irreversible, when these factors are present, they justify intervention in others' suicidal plans on the grounds that suicide is not in the individual's interests as they would rationally conceive those interests. We might call this the ‘no regrets' or ‘err on the side of life’ approach to suicide intervention (Martin 1980; Pabst Battin 1996, 141; Cholbi 2002).[2][1] Cholbi, Michael, ""Suicide"", The Stanford Encyclopedia of Philosophy (Fall 2009 Edition), Edward N. Zalta (ed.), http://plato.stanford.edu/archives/fall2009/entries/suicide/#DutTowSui  (accessed 7/6/2011)[2] Cholbi, Michael, ""Suicide"", The Stanford Encyclopedia of Philosophy (Fall 2009 Edition), Edward N. Zalta (ed.), http://plato.stanford.edu/archives/fall2009/entries/suicide/#DutTowSui  (accessed 7/6/2011)",t492,p463
464,This House Believes that assisted suicide should be legalized,Only God can give and take away life,attack,"Life is Sacred so no one has the right to take a life, this includes ones own. As a result both suicide and assisted suicide are wrong. There are many passages within the bible that speak of the idea that God has appointed a time for all to die, 'Hebrews 9:27, “And as it is appointed unto men once to die, but after this the judgement:” Ecclesiastes 3:1-2, “To every thing there is a season, and a time to every purpose under the heaven: A time to be born, and a time to die; a time to plant, and a time to pluck up that which is planted;” Ecclesiastes 7:17, “Be not over much wicked, neither be thou foolish: why shouldest thou die before thy time?”[1] In addition to this, physicians are nowhere in Scripture given authority to take someone's life. Apart from the government in the case of capital punishment, all other human beings are given the commandment “Thou shalt not kill,” Exodus 20:13 and “Thou shalt do no murder,” Matthew 19:18.[2][1]   Pastor Art Kohl, 'The Bible Speaks on Euthanasia', Political Science and the Bible, 2002 http://www.fbbc.com/messages/kohl_political_science_euthanasia.htm  (accessed 6/6/2011)[2]   Pastor Art Kohl, 'The Bible Speaks on Euthanasia', Political Science and the Bible, 2002 http://www.fbbc.com/messages/kohl_political_science_euthanasia.htm  (accessed 6/6/2011)",t492,p464
465,This House Believes that assisted suicide should be legalized,It would have a damaging effect on society,attack,"Some people who do not agree with voluntary euthanasia argue that if it was legalised, it would damage the moral and social foundation of society by removing the traditional principle that man should not kill, and reduce the respect for human life. It might also be the case that once voluntary euthanasia has been legalised, this might lead to cases of involuntary euthanasia being carried out. With people deciding that someone else's life such as the elderly or the terminally ill is not worth living and therefore performing euthanasia without their consent.[1] A recent study discovered that some sufferers of locked-in syndrome – as many as three out of four of the main sample – were happy and did not want to die.[2][1]The case against, religiouseducation.co.uik http://www.religiouseducation.co.uk/school/alevel/ethics/euthanasia/DpFS_Agst.html  (accessed 4/6/2011).[2]Barbara Ellen, Who is to judge which lives are worth living?, guardian.co.uk, 17 April 2011 http://www.guardian.co.uk/commentisfree/2011/apr/17/barbara-ellen-assisted-death (accessed 6/6/2011)",t492,p465
459,This House Believes that assisted suicide should be legalized,no summary,attack,"There is no comparison between the right to life and other rights. When you choose to remain silent, you may change your mind at a later date; when you choose to die, you have no such second chance. Arguments from pro-life groups suggest that nearly ninety-five percent of those who kill themselves have been shown to have a diagnosable psychiatric illness in the months preceding suicide. The majority suffer from depression that can be treated.[1] If they had been treated for depression as well as pain they may not have wanted to commit suicide. Participating in someone’s death is also to participate in depriving them of all choices they might make in the future, and is therefore immoral.[1]Herbert Hendin, M.D., Seduced by Death: Doctors, Patients, and Assisted Suicide (New York: W.W. Norton, 1998): 34-35.  http://www.usccb.org/prolife/issues/euthanas/roleofdepression.pdf  (accessed 4/6/2011)",p459,c459
460,This House Believes that assisted suicide should be legalized,no summary,attack,"Modern palliative care is immensely flexible and effective, and helps to preserve quality of life as far as is possible. There is no need for terminally ill patients ever to be in pain, even at the very end of the course of their illness. It is always wrong to give up on life. The future which lies ahead for the terminally ill is of course terrifying, but society’s role is to help them live their lives as well as they can. This can take place through counselling, helping patients to come to terms with their condition.",p460,c460
461,This House Believes that assisted suicide should be legalized,no summary,attack,"Demanding that family take part in such a decision can be an unbearable burden: many may resent a loved one’s decision to die, and would be either emotionally scared or estranged by the prospect of being in any way involved with their death. Assisted suicide also introduces a new danger, that the terminally ill may be pressured into ending their lives by others who are not prepared to support them through their illness. Even the most well regulated system would have no real way to ensure that this did not happen.",p461,c461
