,title,summary,stance,comment,parent_id,comment_id
3479,This House believes Corporations’ Use of IP Laws in Relation to Event Sponsorship Poses a Threat to,Governments and corporations have been complicit in an effective ‘privatization of language’.,support,"Recent developments in IP legislation, particularly in the UK, have given corporations a carte blanche with regards to protecting their claim on associations with events they are sponsoring. The Olympics, for example, has required vastly more investment from the taxpayer than from any sponsor[i] [ii] and yet those very taxpayers have been prevented from using associations with the event to their advantage. The build-up to the games saw the international media full of stories of small businesses and others banned from using the logo or name of the games for their own advantage[iii]. Sponsors may have ploughed in millions but the taxpayers has invested billions, many of them will see precious little return on that investment and this is exacerbated by the official sponsors buying those terms. Effectively government has conspired with corporations to own chunks of language which morally, linguistically and financially can be said to belong to the public.Nobody would challenge the right of sponsors to proudly promote their bought association with an event they are sponsoring and to use all of the means at their disposal to declare that association to the world, which they have done. However, there is a world of difference between the positive right to proclaim a particular association and the negative right to prevent anyone else from proclaiming theirs. Of course sponsorship should provide bragging rights and privileged access but that is a world away from buying the silence of others.[i] London 2012 Olympic Sponsors List: Who Are They And What Have They Paid? Simon Rogers. The Guardian. 19 July 2012.[ii] London Olympics Could Cost Taxpayer $17Bn. Fred Drier. Forbes Magazine. 10 March 2012.[iii] Even Sausage Rings Are Put on The Chopping Block. Jere Longman. New York Times. 24 July 2012.",t300,p3479
3480,This House believes Corporations’ Use of IP Laws in Relation to Event Sponsorship Poses a Threat to,Those unable to respond will be worst hit,support,"Smaller businesses and other organisations see their freedom of expression worst hit by laws that prevent them from associating themselves in any way with major events, to the detriment of their communities. Free speech is not relative or conditional and certainly should not be determined on the basis of the thickness of someone’s chequebook. In this regard, freedom of information is a very real issue. Those organisations without access to huge legal departments are hardest hit, further disadvantaging them against corporations who can already outspend them on advertising. Free speech means that in the world of words and ideas, at least, there is an even playing field and undermining that runs against a sense of natural justice.Sponsors are simply using this to increase an already fairly unfair advantage; many people supported Britain’s bid for the games on the basis that it would offer great benefits to local businesses, legislation restricting their ability to use their geographical and cultural association with the event make that pledge look extremely hollow.One of the noticeable failings of the Games is just how little positive impact they have had for small business in East London where most of the events are being held added to this, 62% of small businesses think the games will have no impact while 25% believe the impact will be negative[i] and business outside the capital have actually suffered as a result[ii].The major sponsors already went into this situation with massive advantages over small traders who had the sole advantage of the geographical proximity to the events. The idea that, for example, Coca Cola can prevent street vendors in the Olympic Village from selling Pepsi is absurd. Coke isn’t planning to make their money back on direct sales of their product around venues but on the prestige it brings them as a global brand.[i] FSB News Release, ‘Olympics legacy will be damp squib for small firms’, Federation of Small Businesses, 9 January 2011.[ii] Now Retailers Outside London Suffer From Olympics Effect. Simon Neville. The Guardian. 3 August 2012.",t300,p3480
3481,This House believes Corporations’ Use of IP Laws in Relation to Event Sponsorship Poses a Threat to,This creates a dangerous precedent,support,"The idea that corporations can, effectively, buy words and phrases set a pernicious precedent similar to their ability to own genes. There are certain things that, self-evidently, are the property of the people. They are held in common and in trust for future generations. They cannot be sold because they are not owned. Attempts to evade that reality have, generally, been seen as pernicious by history – even where they have not been rectified. European settlers laying claim to land used by indigenous people would be one example.Recent attempts by pharmaceutical companies to purchase genes[i] and now other Corporations to own chunks of the language – or at least rent them from governments and NGOs that also don’t own them in the first place - seems to come in a similar spirit.Who can reasonably be said to own, for example, the phrase “London 2012”? If anybody could make such a claim, Londoners living in the city in 2012 would seem to be the obvious answer. However, there is a far more satisfying answer that nobody does.The London Olympic Games and Paralympic Games Act 2006 extends the scope of protection given to the Olympic and Paralympic Games by making it an infringement of the “London Olympic Association Right” (LOAR) to do anything which is “likely to create in the public mind an association” with the London Olympics[ii].[iii]The fact that this is happening in relation to the Olympics makes the precedent particularly troubling as the idea that the Games are for all mankind is at the heart of the Olympic ideal. It is an aspiration of our common humanity and all that entails. If chunks of that are for sale then it raises very real concerns about what else could go under the hammer.[i] Noonan, Kevin ed., ‘This House would allow the patenting of genes’, Debatabase, 2011.[ii] International Trademark Association.[iii] Davies, Malcolm, ‘Intellectual Property and the London 2012 Olympic Games - What businesses need to know’, Intellectual Property Office, November 2009.",t300,p3481
3482,This House believes Corporations’ Use of IP Laws in Relation to Event Sponsorship Poses a Threat to,Sponsors pay for the privilege,attack,"Sponsors pay an enormous amount of money to support events such as the Olympics, it is only fair that they can protect themselves against ‘ambush advertising’ by competitors. This is an issue of simple financial reality. Although there have been some unpleasant – and probably unwise – accounts of smaller traders getting caught up in the crossfire, and opposition concedes that should be rectified in future events – the purpose of this kind of legislation and the regulations  it spawns is to prevent direct competitors of sponsors finding ways to ambush the event[i].The issue of concern is not really a lone athletics fan wandering into the final of the Men’s 100m with a can of Pepsi. The intention is clearly to prevent representatives of that company standing outside the venue handing out thousands of free T-shirts.There have been some problems with the implementation of this legislation but the principle remains sound and serves to the benefit of all. The alternative would be both Coke and Pepsi reps handing out T-shirts outside and the organisers of the event not getting a penny from either. It is only fair that those who pay the piper to a certain extent get to call the tune.[i] London 2012: Coe Sparks Olympic Sponsorship Row. Shiv Malik. The Guardian. 20 July 2012.",t300,p3482
3483,This House believes Corporations’ Use of IP Laws in Relation to Event Sponsorship Poses a Threat to,There is a clear difference between protecting commercial interests in terms of association with a sponsored event and ‘owning words’.,attack,"It would be both illegal and impractical for a sponsor to ‘buy’ the word “London”. The rules make it clear that they are not attempting to infringe on, for example, the right of journalists to report the Games nor on people to discuss them. A simple Google search will bring up thousands of articles – like this one – using the Olympic rings, the phrase “London 2012” and many of the others words and phrases that concern Proposition. At no point have the news organisations concerned been asked to pay. There is clearly a world of difference between an existing magazine running a feature about the event – indeed several features – and the creation of a one-off special publication stuffed full of advertising for a direct competitor of the event.An equivalent would be paying for a meal in a restaurant only to see that everyone else was eating for free. That is the infringement of natural justice. Sponsors have paid to have a certain association with the Games and it is both fair and reasonable that they should get that association in a way that does not allow their competitors to get a free lunch.It is ridiculous to suggest that this is tantamount to ‘owning words’ as Proposition has done. To start with the preclusions cited here are temporary, additionally they are only in reference to this event. It would seem to be in everyone’s interest for sponsorship of sport and the arts to continue, for that to happen, they sponsors need to get something in return.",t300,p3483
3484,This House believes Corporations’ Use of IP Laws in Relation to Event Sponsorship Poses a Threat to,Sponsorship is necessary to host major sporting events,attack,"It is in the interests of communities and countries to attract sponsorship for events on this scale, as with other areas, such as transport, that requires a little sacrifice. Hosting major events, inevitably, requires some degree of inconvenience for those living in the area trying to go about their daily lives. These inconveniences are tolerated because there are wider benefits. In the instance of the Olympics, a core part of the initial bid was the assumption that hosting them would produce long term benefits for the city in the form of tourism[i] and regeneration.[ii] Whether that proves to be the case remains to be seen although, given the number of historic venues used for events[iii], it doesn’t seem unreasonable to suppose that it may be likely.To ensure these future benefits, there is an understanding that there will be some disruption caused and some inconvenience, allowing sponsors a degree of autonomy is comparable to that inconvenience.LOCOG argues without the sponsors “investment the Games wouldn’t happen.”[iv] Without the Games the future benefits wouldn’t happen – quite the reverse if they simply fell apart after the bid had been won. The smaller traders who feel aggrieved now are exactly the people who will benefit for years to come as people make use of the new facilities or see London as a tourist destination they would not otherwise have considered. It’s a simple quid pro quo.[i] Woodman, Peter, ‘London 2012: Olympic boost to retailers and tourism new figures show’, The Independent, 6 August 2012.[ii] ‘Regeneration and economic growth Olympics legacy’, Communities and Local Government, accessed 9th August 2012[iii] London Olympics: Some Events Set Amid Historic City Landmarks. LA Times. 27 July 2012.[iv] London Organising Committee of the Olympic Games and Paralympic Games Limited, ‘Rule 40 Guidelines’, July 2011, p.6.",t300,p3484
3479,This House believes Corporations’ Use of IP Laws in Relation to Event Sponsorship Poses a Threat to,no summary,attack,"It is a massive overstatement to say that recent events are equivalent to the privatization of language. Were people to be charged every time they used the word “Olympic”, say, that would look like the privatisation of language, this is merely sponsors protecting the association with an event that they paid for in the first place.Additionally, to portray this as a conspiracy raises the question of, “To what end?” Government works with major organisations as partners all the time, precisely because it saves the taxpayer money to do so. Although the taxpayer has footed a significant bill for the games, it would have been that much larger without sponsors and it is the taxpayer, not the sponsors, who receive the infrastructural benefits, which is what they paid for. The sponsors receive promotion for their brands, which is what they paid for. It’s a simple quid pro quo. Other companies trying to muscle in on the act have paid for nothing – and that is just what they should get.[i].[i] London 2012. Olympic Legacy Website.",p3479,c3479
3480,This House believes Corporations’ Use of IP Laws in Relation to Event Sponsorship Poses a Threat to,no summary,attack,"It is important not to confuse two issues. The ongoing ‘Battle of the Brands’ between, for example, Coke and Pepsi or McDonalds and Burger King are the focus of the sponsors. It really seems unlikely that the directors of McDonalds lose a lot of sleep over competition from a family butcher in Dorset. The problem has come because the butcher is caught in the crossfire. It’s worth noting that that butcher has received the sort of media coverage that money really can’t buy, so he’s probably not complaining too much. It may have been wise to draft the legislation so that it only applied to companies of a certain size but, in reality, it only affects large-scale efforts to circumvent the rules.[i][i] London 2012: Organisers clarify rules on branded clothing for spectators. BBC website. 20 July 2012.",p3480,c3480
3481,This House believes Corporations’ Use of IP Laws in Relation to Event Sponsorship Poses a Threat to,no summary,attack,"This is clearly not the same as buying a gene as the timescales are quite different. These are not words sold off in perpetuity, neither were they previously in use by someone else as was the case with land grabs by colonizing settlers. This is a description of an event that would not have taken place without the sponsorship for the duration of that event. Both of the other examples are of the permanent acquisition of something that was previously communal property.",p3481,c3481
3482,This House believes Corporations’ Use of IP Laws in Relation to Event Sponsorship Poses a Threat to,no summary,attack,"It would be nice to think that, at least at some level, sponsors offer sponsorship out of a desire to give something back to the customers who create vast profits for them but perhaps that is naïve. Ultimately, however, this exercise in ownership has been counter-productive. It would be difficult to imagine an ‘ambush advertising’ action that would come close to inflicting the damage on corporate reputations that the bad press surrounding this issue has generated. From the point of view of sponsors, this was a real example of the best getting in the way of the good. The net result has been that nobody has benefitted as they could have if the sponsors had not been so set on exclusivity of association.  ",p3482,c3482
