,title,summary,stance,comment,parent_id,comment_id
2458,This House believes NATO has succeeded in Afghanistan,NATO has brought peace and security,support,"“NATO’s primary objective in Afghanistan is to enable the Afghan authorities to provide effective security across the country and ensure that the country can never again be a safe haven for terrorists.”[1] The invasion of Afghanistan was initially about destroying al-Qaeda and with the killing of Osama bin Laden in 2011 in Pakistan this objective has been met. There are still efforts to destroy al Qaeda but these have mostly moved out of Afghanistan and into Pakistan and other countries such as Yemen.NATO has also brought Afghanistan to the point where the Afghani’s can look after themselves and exercise their own security. On 18th June Afghanistan took over the lead from NATO on security nationwide having previously been taking control district by district. Handing over security also itself improves security with Afghanis in Kandahar saying “Now that the foreigners are gone, the security situation in the city and in the districts is much better”.[2][1] ‘NATO and Afghanistan’, nato.int[2] Loyn, David, ‘Afghans take nationwide security lead from NATO’, BBC News, 18 June 2013",t434,p2458
2459,This House believes NATO has succeeded in Afghanistan,Negotiations to ensure lasting peace,support,"NATO is also ensuring that peace and security remain in Afghanistan as they draw down by opening up negotiations with the Taliban. Peace can only be assured by bringing together the sides so that almost everyone accepts the status quo and does not want to destroy that status quo through force. United States officials say “We have long said this conflict won't be won on the battlefield” with the deputy national security advisor, Ben Rhodes, adding “The United States will be supporting a process that is fundamentally Afghan-led” meaning that NATO is no longer key to the process.[1] NATO handing over control to the Afghans and eventually withdrawing entirely will make peace more likely to succeed as the Taliban “considerers it its religious and national duty to gain independence from the occupation” with this goal it wants “to support a political and peaceful solution”.[2] Lasting peace is then only possible when NATO leaves.[1] Roberts, Dan, ‘Taliban peace talks: ‘Peace and reconciliation’ negotiations to take place in Qatar’, The Guardian, 19 June 2013[2] Taliban, ‘Taliban agree to peace talks with US over Afghanistan – full statement’, guardian.co.uk, 18 June 2013",t434,p2459
2460,This House believes NATO has succeeded in Afghanistan,Democracy has been brought to Afghanistan,support,"Some of the biggest benefits of the NATO occupation have been through the increase in democracy and human rights. While these were not specific aims of the NATO mission they were among the goals set out by the United Nations.[1] There have been two Presidential elections, one in 2004 the other in 2009, and two parliamentary elections, 2005 and 2010 none have been perfect but it is a clear advance from no elections at all. The most notable human rights increase has been in women’s rights. Under the Taliban Afghanistan strictly limited the activities of women but today 27.3% of the representatives in the Parliament are women (better than in the UK or US) and the first female governor is in office. The literacy rate is still low but they now make up 36.6% of those in primary school up from almost nothing.[2] There have been similar gains in other human rights such as a reduction in the use of corporal punishments such as amputating hands for theft.[1] Annex III Request to the United Nations by the participants at the UN talks on Afghanistan, S/2001/1154, UNDemocracy.com[2] Haidari, M. Ashraf, ‘Afghan women as a measure of progress’, The AfPak Channel Foreign Policy, 18 March 2013",t434,p2460
2461,This House believes NATO has succeeded in Afghanistan,Investment in Afghanistan; rebuilding the economy,support,"The ‘rehabilitation’ of Afghanistan’s infrastructure has not been an immense success due to the continuing bombing campaign which inevitably damages infrastructure but there have been big economic benefits from the NATO presence. There have been more than 4,000 schools built and 175,000 teachers trained, although more is needed this is an immense boost to education in Afghanistan.[1]  Another benefit of increased stability is a renewal of outside investment, from China in particular. China has been investing billions, Several mining firms have made a $4.4 billion investment in one project; an immense undeveloped copper reserve in Aynak.[2] In total there is more than $20 billion being invested in infrastructure by Afghanistan’s Asian neighbours, as these investments are looking for profit they are clearly believed to be sustainable, by comparison the United States has only funded $1.6billion since 2006.[3][1] ‘Afghanistan’, USAID, February 2013[2] Downs, Erica S., ‘China Buys into Afghanistan’, Brookings, 21 February 2013[3] Barfield, Thomas, ‘Two Diverging Roads in Afghanistan’, YaleGlobal, 11 January 2013",t434,p2461
2462,This House believes NATO has succeeded in Afghanistan,Afghanistan is still a dangerous place,attack,"Peace talks or no peace talks, NATO military leadership of Afghan would all appear to make no difference. Only hours after the Taliban said it would hold peace talks and the United States handed over control of military operations to the Afghan National Army four US soldiers were killed in a mortar attack at Bagram Airbase one of the centres of NATO operations.[1] Clearly then NATO has not brought peace and security to Afghanistan. The effect of handovers to the Afghans have already been seen; August to October of last year saw a 28% spike in killings from the same period the year before at a time when NATO was handing over control implying that the Afghan army is not yet ready to protect civilians.[2][1] Roberts, Dan, ‘Taliban peace talks: ‘Peace and reconciliation’ negotiations to take place in Qatar’, The Guardian, 19 June 2013[2] Borger, Julian, ‘Can Afghan troops hold off the Taliban after Nato withdraws?’, The Guardian, 1 January 2013",t434,p2462
2463,This House believes NATO has succeeded in Afghanistan,The Taliban will likely take over when the NATO forces leave,attack,"Even if they are willing to negotiate a peaceful US exit this does not mean the Taliban will not wish to use force when the United States has left. In their statement on peace talks they highlighted “the establishment of an independent Islamic system and true security which is the want and aspiration of the nation.”[1] They also style themselves as the Islamic Emirate of Afghanistan clearly showing their political goal is regaining power in Afghanistan which would mean overthrowing the democratically elected government. Some Afghan experts such as Gilles Dorronsoro believe that this is what will happen “After 2014, the level of US support for the Afghan regime will be limited and, after a new phase in the civil war, a Taliban victory will likely follow” though this would have the advantage of bringing stability as the Taliban did before the US invasion it would represent a complete failure for the US.[2][1] Taliban, ‘Taliban agree to peace talks with US over Afghanistan – full statement’, guardian.co.uk, 18 June 2013[2] AFP, ‘Afghan govt will collapse and Taliban will rule again, Afghan expert says’, news.com.au, 27 September 2012",t434,p2463
2464,This House believes NATO has succeeded in Afghanistan,NATO has failed to solve Afghanistan’s economic problems,attack,"While some progress has been made on the economic and development front in Afghanistan it is difficult to consider it a success. There are still 20% of households who are chronically food insecure and another 18% in need of assistance in some of the year with the result that nearly 40% of children under three are malnourished.[1] Afghanistan is immensely dependent on aid for its economic progress with foreign aid to the country representing 100% of GDP in 2011 which makes the country vulnerable to a change in priorities. Clearly the withdrawal will represent such a change; when NATO goes aid, and spending as a result of the military occupation, will drop at the very least constraining growth and likely taking the Afghan economy with it.[2] Already the International Labour Organisation has been warning that this will mean increasing child labour in the country as lower profit margins force families to use their children to boost incomes.[3][1] UNDP Afghanistan, ‘Eradicated Extreme Poverty and Hunger’, United Nations Development Programme, 21 July 2011[2] ‘The hand that feeds’, The Economist, 14 July 2012[3] Ferris-Rotman, Amie, ‘Afghan child labor fears grow as aid dries up’, Reuters, 7 February 2012",t434,p2464
2465,This House believes NATO has succeeded in Afghanistan,An Afghanistan dominated by warlords.,attack,"Under the Taliban up to the US invasion Afghanistan was at least united. Today however there is little central control beyond the NATO forces; the Taliban clearly controls some areas but there are also powerful warlords. Appointments are based on nepotism and tribal affiliations not on merit or education and those who were part of the northern alliance that fought on the US side (Tajiks, Uzbeks, and Hazaras) are taking advantage of the opportunity of the overthrow of Pashtun dominance in the country to grab power and resources.[1] Already the conflict has an ethnic dimension as almost all of the Taliban is made up of Pashtuns. The Taliban meanwhile believes that the other ethnicities want a partition of the country through a very decentralised federal state. In almost any peace scenario with NATO gone there is a large chance that one faction will walk out setting off a civil war and fragmentation of the country.[2][1] Noor, Ahmad, ‘Power Politics of ethnic groups and the future of Afghanistan’, World Security Network, 8 July 2011[2] Rafiq Arif, ‘The Coming Civil War in Afghanistan’, Foreign Policy, 3 February 2012",t434,p2465
2458,This House believes NATO has succeeded in Afghanistan,no summary,attack,"The conflict clearly is ongoing in Afghanistan; in 2012 there were 245 drone strikes in Afghanistan compared to only 44 in Pakistan and 28 in Yemen.[1] Even if those drones are not being used to attack al Qaeda but instead the Taliban in Afghanistan it is impossible to say that peace and security has been brought to the country.It is also impossible to say that the handover to Afghan forces shows that the NATO mission has been a success; a handover could occur no matter how peaceful or otherwise the country is. In Vietnam the United States declared victory by signing the Paris Peace Accords and handing over to South Vietnam only for the country to be overrun two years later in the spring of 1975.[2][1] Woods, Chris, and Ross, Alice, K., ‘Revealed: US and Britain launched 1,200 drone strikes in recent wars’, The Bureau of Investigative Journalism, 4 December 2012[2] The Learning Network, ‘April 30, 1975 | Saigon Falls’, The New York Times, 30 April 2012",p2458,c2458
2459,This House believes NATO has succeeded in Afghanistan,no summary,attack,"Peace talks starting just 18 months before all NATO forces have left is clearly leaving it too late to ensure success. There will be little to persuade the Taliban to compromise as they believe their situation is only going to get better when there is no fear of military defeats. The Taliban has walked away from talks before and could easily do so again. It is notable that a Taliban spokesman says “There is no ceasefire now. They are attacking us and we are attacking them” which makes the chances of breakdown in the talks high.[1] To make matters worse the Afghan government has only been lukewarm about the talks complaining that allowing the Taliban an office in Doha “gave the Taliban an official identity, something we didn't want” and responded by suspending negotiations with the United States on a security agreement that would determine how many US soldiers stay in the country after the NATO mission has ended.[2][1] ‘US to hold direct peace talks with Taliban’, Al Jazeera, 19 June 2013[2] Shalizi, Hamid, ‘Afghan government irked over U.S. talks with Taliban’, Reuters, 19 June 2013",p2459,c2459
