,title,summary,stance,comment,parent_id,comment_id
506,This House believes a lack of investment in teachers is the greatest barrier to achieving universal,Social Policy: encouraging teaching careers ,support,"UNESCO (2013) report the need for 6.8mn teachers by 2015 for the right to primary education to be achieved. The teaching workforce requires includes both replacements and additional teachers. Africa has a reality of low teacher-student ratios. In 2012, 80 students were reported per teacher in the Central African Republic (World Bank, 2013). Positive schemes are needed to incentivise potential teachers to enter the profession and meet demand.Careers can be encouraged through multiple paths. For example, providing incentives to study teaching as a profession. Tanzania’s Ministry of Education provides grants to students entering University to study teaching. ",t373,p506
507,This House believes a lack of investment in teachers is the greatest barrier to achieving universal,Teacher training ,support,"Investment is required in teacher training to ensure quality control. Teachers need to be provided with qualifications and effective training both technical and theoretical. Teachers need to be introduced to methods on how to interact with students, provoke student debates, and manage large classes. In-service training and pre-teaching training are key.Countries such as Uganda and Angola[1] have utilised on the job training for teachers, with positive results for teaching quality. In Uganda initiatives, such as INSSTEP[2], provided capacity training to teachers and headteachers. 14,000 secondary school teachers participated between 1994-1999, followed by school inspections to monitor capacity. The ‘mobile-caravan’ approach is making it easier, more feasible, and flexible, to provide training[3].Additionally, investors and national governments need to provide Model schools, indicating what responsibilities teachers have and enabling knowledge transfer. Model schools can assist in alleviating work pressures for teachers by showing their terms of contract, duties and obligations. Increasingly teachers are expected to fulfil the role of carer, counsellor, and advisers on HIV/AIDs without relevant training.[1] See further readings: World Bank, 2013.[2] In-Service Secondary Teacher Education Project.[3] See further readings: World Bank, 2013.",t373,p507
508,This House believes a lack of investment in teachers is the greatest barrier to achieving universal,Incentivising movement so there are teachers where they are needed,support,"Although the extent of rural-urban disparities remains debatable, geographical disparities in living standards and education are articulated across Africa. The location, and provision, of teachers does not always match need.In Uganda, the universalisation of education has been met with inequities, regionally and across socioeconomic groups, in the quality of education (Hedger et al, 2010). Incentives are required to deploy teachers to districts according to need; and encourage teachers to relocate. For example, awards need to be provided for teachers to move to rural areas, and the development of teacher housing schemes - providing teachers with houses in new locations. ",t373,p508
509,This House believes a lack of investment in teachers is the greatest barrier to achieving universal,Social Policy for satisfied teachers,support,"The creation of national social policies which provide secure, and stable, wages for teachers is fundamental. Social policy can make satisfied teachers. A key concern amongst teachers is finance - inadequate wages and insurance. Teacher wages is considerably lower than other formal professions - combining to enforce low morale and occupational motivation as pay is too low to sustain individuals and households (Bennell, 2004). In South Africa an average teaching salary is 19,535 ZAR in contrast to the 28,235 ZAR average granted in all jobs in South Africa (Salary Explorer, 2013).Further, social policy is required to introduce teacher pension schemes. Pension schemes are provided for workers within the formal employment sector, by various public organisations - including the government and GEPF[1]. However, some national pension schemes are more developed than others and teachers need to be ensured the profession can provide investments for future security. An ageing population only reinforces its importance.[1] See further readings: GEPF, 2013.",t373,p509
510,This House believes a lack of investment in teachers is the greatest barrier to achieving universal,Teaching begins at home,attack,"For the target of universal primary education to be achieved we need to look beyond a narrow education policy. Programs are required to enable teaching at home. The benefits of education need to be accessed nationwide; which will cumulatively encourage children to go to school and participate to do their best. For example, by introducing adult training/education courses to parents and elderly populations, parents are able to assist children at home, and to recognise the benefits of gaining an education. Simply providing better teachers at school fails to recognise the importance of intra-household decisions and life. For universal education the whole population strata needs to be included; and adult courses provided on basic maths, english and science. ",t373,p510
511,This House believes a lack of investment in teachers is the greatest barrier to achieving universal,Colonial legacies: the issue of language,attack,"A fundamental restriction to achieving universal education in several African countries is not teachers, as a resource, but rather the lack of a national language. Colonialism enforced national boundaries, of which remain mismatched to ethnicity and language. African nations remain some of the most diverse in the world. With the exception of Tanzania, whereby Julius Nyerere used policy to create a sense of national unity and language, many African nations placed minimal focus on nationalisation. Around 46 languages are spoken in Zambia.Such language diversities make universal education difficult. Therefore, presidents such as Paul Kagame, have the right approach of enforcing a national language. ",t373,p511
512,This House believes a lack of investment in teachers is the greatest barrier to achieving universal,The complex controls over enrolment,attack,"Suggesting investments are required in teachers limits a recognition of the multiple forces creating barriers to achieve a right to education. Universal education is constrained by political, socio-cultural, and economic, structures.Firstly, gender inequalities in education raise cultural norms of the role of girls in society, and within the domestic-sphere at home. Religious and cultural beliefs mean girls account for 70% of children not attending school. Across Sub-Saharan Africa the economics of child marriage often mean girls leave school or become reluctant to go to school. A positive correlation is found between low education and countries with high rates of child marriage[1]. Niger has the highest rate of child marriage.Secondly, poverty and hunger act as key restraints in achieving the target. As Mkandawire (2010) argues, development needs to be brought back onto the ‘pro-poor’ agenda. Human capital cannot be developed without a broader focus on social and economic policies that enable development first.[1] See further readings: Education for Girls, 2013.",t373,p512
513,This House believes a lack of investment in teachers is the greatest barrier to achieving universal,The MDG is the barrier,attack,"Significant progress has been made in meeting the MDG in Africa, therefore criticism needs to be raised on the MDG themselves. The MDG are unrealistic, unfair, and the benchmarks set fail to acknowledge progress made (Easterly, 2009).The barrier to achieving universal education is not a lack of investment, rather inappropriate targets.",t373,p513
506,This House believes a lack of investment in teachers is the greatest barrier to achieving universal,no summary,attack,"Firstly, encouraging teaching as a employment path does not ensure committed or motivated teachers are gained. Secondly, the problem is advocating ‘universal’ education when the infrastructure does not match. Low teacher ratios per student indicate the need for new buildings, and bigger schools. Facilities need to be improved with space for more classes. Schools need to be designed to enable diverse learning - such as space for IT, games, and public discussions.The experience of learning is broader, and goes beyond the classroom. Good education is not solely reliant on the teacher, but on what the student is able to engage in and how they can learn to raise new ideas and questions. Investment is therefore required in new schools and universities. ",p506,c506
507,This House believes a lack of investment in teachers is the greatest barrier to achieving universal,no summary,attack,"The issue is not teachers or investment per se, rather the structure of teaching used. The curriculum is focused on passing exams to meet the MDG criteria and get students to the next stage. There remains a need to incorporate the teaching of life skills for potential career options, and encouraging students to engage in innovative thinking and explore interests. UNICEF’s Child-Friendly Education approach is a clear example, whereby the child’s need is the central focus.Technology is changing teaching, and teacher training needs to be less theoretical; more focused on the subjective needs of the children.Further, challenges to teacher training are prevalent. For example, not all schools are government owned - with faith bodies, private sector and NGOs establishing schools. The diversity of ownership creates challenges for regulating training provided. By focusing on teaching curriculum the national government can enforce national policy change. ",p507,c507
