,title,summary,stance,comment,parent_id,comment_id
1126,This House believes a nation's history and mythology is part of its national security,Protecting the past,support,"There is a simple case of natural justice in protecting the decisions and reputations of those who have served the state and can no longer speak for themselves[i]. The same applies to events, for better or worse political or military disputes that were settled fifty or a hundred years ago are best left like that, settled.All nations have moments in their histories that are unlikely to reflect that country at its best but we judge our own nations and others on a balance of the broad sweep of history rather than the grubby minutiae of particular events.By its nature the historical record will always be incomplete – silent on motivations of those involved or the particularities of individual decisions as we can never know everything and not all decision making processes are recorded. We already know the overall outcomes of, for example, wars or elections. It would be impossible to change those results by discovering that they were not handled as one might have wished. Neither is their much to be gained in despoiling the characters of those involved – national psyches need their heroes and villains, making either of them more human in both senses of the phrase adds little and could distract much. For example do we really need to know that Churchill opposed the Nuremburg trials instead favouring execution without trial for senior Nazi leaders? Does it diminish Churchill’s greatness or undermine the results of the Nuremburg trials? No.[ii][i] BBC News Website. Secret papers face faster release. 29 January 2009.[ii] Cobain, Ian, ‘Britain favoured execution over Nuremberg trials for Nazi leaders’, The Guardian, 26 October 2012",t23,p1126
1127,This House believes a nation's history and mythology is part of its national security,Foundational Myths,support,"Nations come from somewhere, or at least we tend to believe they do[i]. The fact that these foundational myths are usually either partially or completely untrue is mostly irrelevant. These myths – be they of glorious revolutions or long histories reaching back into antiquity are projections of the modern nation. However, they are only the most obvious example of national mythologies, we project our current-day identities onto all sorts of more recent histories as well. To take one fairly flippant example of this, ask a national of any country involved on the victorious side in WWII and ask them who won the war.States have an interest in perpetuating these myths, not for particular or personal motives but because they add to a sense of national identity and the homogeneity of the whole. To that extent they are, quite literally, a matter of national security they confer and justify the notion of the nation as an entity or the concept of the nation state as a possibility. As national historian Spyridon Lambros said “next to military power, the pen of the historian is the most powerful weapon of national ambitions.”[ii][i] Tambini, D. Ethnic and Racial studies, Vol 24 No. 2 March 2001 pp. 195 – 217. Post-national citizenship.[ii] Berger, Stefan, ‘History and national identity: why they should remain divorced’, History & Policy, December 2007",t23,p1127
1128,This House believes a nation's history and mythology is part of its national security,Predicting and protecting the future nation,support,"In a much more practical sense historical data may well breach national security. They may well be instances, such as in the case given in the introduction, where governments may even be unaware that there were issues of national security involved until they are brought to light. Data that was not significant fifty years ago may become of great significance later on.To take a simple, hypothetical example. Laws relating to the ownership of the sea are relatively obscure and often based on ancient negotiations or treaties that are mostly about something else. They frequently involve custom and precedent and, for the most part, nobody really makes a fuss about the exact details. Until, of course, someone finds an oil field underneath that stretch of ocean or the fish supplies of a neighboring area become depleted[i]. At his point, the exact details of those negotiations and treaties become a source of great interest. Thus for example documents relating the Senkaku/Daioyu islets may have been uncontentious and irrelevant in the 1950 may now be of vital importance in an international dispute between China and Japan over the islands.[ii][iii]In a scenario such as this, there may well be vital national issues that were not predicted at the time of the negotiation or ratification of a treaty. Disputes of this nature – justifying industrial scale claims to mineral and fishing rights on the basis of historical claims are likely to boom over the next few years in relation to the poles as the icecaps recede[iv].[i] There are islands around the world under disputed ownership for this reason. Senkaku/Diaoyu (China/Japan) and Dokdo/Takeshima (Japan/Korea)are two obvious examples.[ii] Lee, Joyman, ‘Senkaku/Diaoyu: Islands of Conflict’, History Today, Vol. 61 no.5, 2011[iii] Gertz, Bill, ‘China-Japan tensions’, The Washington Times, 15 September 2010[iv] Sea Shepherd Conservation Society. Captain Paul Watson. The Birth of a New Manchuria. 25 January 2008.",t23,p1128
1129,This House believes a nation's history and mythology is part of its national security,Open expression,attack,"If ever there were a situation where free expression should be assumed, this is surely it. Where no harm can come of knowing something (Prop appears to accept this by saying the outcome can’t be changed) what possible reason could there be suppressing the information?[i] The only possible reason would seem to be that it is more convenient for that small group of people, those currently both living and powerful, that the true details of past events not emerge.If this is the case then the other arguments for free speech come into play, particularly its role in holding the powerful to account.Either way, proposition loses; if it’s just the minutiae of bygone times, then why not release it, if it’s the stuff of modern day political discourse then the failure to publish it is tantamount to tyranny. To take oppositions own example will learning that Churchill wanted Hitler’s lieutenants executed without trial will this really affect people’s opinions of Churchill? It seems unlikely, many would have similar opinions in the same situation and will be able to understand Churchill’s position.[i] This principle – that all things being equal there should be a presumption in favour of publication – has been argued in different ways in different countries. A useful example is the US Supreme Court Ruling in the matter of the New York Times vs The United States.",t23,p1129
1130,This House believes a nation's history and mythology is part of its national security,Popular history,attack,"Who owns a nation’s history? The current government? Those living today? Scholars?There’s not really a satisfying answer as every group is interested in and uses different parts of history. It doesn’t sit happily into the usual structures, a defeated power may not get to write the history but it certainly has an interest in it. Within a relatively short period of time the nation that featured in historical events has ceased to exist regardless of what happens with borders and names. China may be the best example of all here; which nation is being protected. The China of the revolution? Of the Korean War? Of the Cultural Revolution? Of the Economic reforms of the seventies or the Economic super power of today? What about the Imperial China? Which dynasty? For any nation, the question can be asked, which class, which race, which generation, gender, political creed and so on have a claim to the collective history of the nation.[i]History must therefore be in the open so that everyone can investigate it and can build their own historical narratives. Secrecy by the government is an attempt to claim ownership of shared events that cannot be owned. As history is an essential part of the creation of an identity government attempts at ownership are a direct attack on an individual’s right to decide their own identity.[i] Berger, Stefan, ‘History and national identity: why they should remain divorced’, History & Policy, December 2007, http://www.historyandpolicy.org/papers/policy-paper-66.html",t23,p1130
1131,This House believes a nation's history and mythology is part of its national security,‘It will come out eventually’,attack,"Journalism is sometimes called the first draft of history. That does, of course, raise the issue of who writes the final draft. On the basis that historians still argue about the events of centuries and millennia ago, the notion of a final draft may be absurd; however conclusions will be drawn at some point. Politicians trying to hold back historical judgement is a little like trying to hold back the tide, even if the facts are not all available the void will be filled with speculation to explain the gap.Ultimately information will emerge and will be assessed. The question seems to be when that should take place. Those states that make use of a ‘thirty year rule’ or something similar to protect particular documents such as cabinet minutes do so to allow the free exchange of ideas in the present.[i] Such a length of time seems sufficient to let politicians and civil servants operate without endlessly focussing on their legacies.However, beyond that trying to control the assessment of history seems to be an exercise in futility. Even the deepest, darkest secrets tend to be extrapolated when they’re not demonstrated. Imprisoning historians and banning things only tends to confirm the view that they were right and there is something damning being hidden. Ultimately, it’s self-defeating.[i] BBC News, ‘Secret papers face faster release’, 29 January 2009, http://news.bbc.co.uk/1/hi/uk/7857370.stm",t23,p1131
1126,This House believes a nation's history and mythology is part of its national security,no summary,attack,"There is rarely anything to do with protecting the past in these decisions. It is all to do with the present and either manufacturing an image of a previous decision or covering up corruption or incompetence on the part of the party, faction or individual that happens to be in charge at the time. What Proposition so cheerily describes as ‘grubby minutiae’ would be more generally referred to as ‘facts’, proposition seems to think that history shouldn’t let these ‘grubby minutiae’ get in the way of a good story. If proposition is correct in its view that “It would be impossible to change those results” then there is no reason why historians should not be free to investigate and reinterpret the record as to how these results were arrived at.",p1126,c1126
1127,This House believes a nation's history and mythology is part of its national security,no summary,attack,"This is an excellent reason why as much information as possible should be publically and internationally available[i]. China’s entry into the Korean war was justified on grounds of national security at the time and that line has been doggedly followed since. Truman thought it was “a bald attempt to blackmail the UN”[ii] at the time and the opinion of many has not changed since. The US and Korea have had to face some of their demons about the war since; why not China? It is also difficult to see what this has to do with the foundational myths of the Chinese state, which go back thousands of years, or even the Communist party which come from the long march and the second world war. And if indeed it is a ‘myth’ then is there not a duty to show that this historical record is wrong? National identity should be built on the basis of facts not manufactured mythologies.[i] Eurozine. Danuta Glondys, Arne Ruth. Breaking the Bonds of National Mythology. 14 March 2011.[ii] China intervenes (October – December 1950). Korean War. Wikipedia.",p1127,c1127
1128,This House believes a nation's history and mythology is part of its national security,no summary,attack,"In such instances, clearly nations will pursue their national interest but, just to take Prop’s example, the ICJ[i] spends most of its time dealing with disputes about maritime law, mostly ownership issues. They work on the basis of investigation and fact. Suppressing information would clearly only be an attempt to reduce the information available so as to prevent an unbiased judgement. To take the Senkaku/Daioyu example yes the China’s may have some documents conceding Japanese sovereignty but that does not end the dispute. Nor would losing the case in such a dispute be a real threat to the national security of either side; the territory and resources would be nice to have but are not vital for either’s economy or security.  So Proposition has yet to give an example of where there would be a clear issue of national security – or even national interest in hiding history.[i] International Criminal Court of Justice website. Contentious Cases",p1128,c1128
1129,This House believes a nation's history and mythology is part of its national security,no summary,attack,"Opposition is living in a fantasy world. They forget that people do not always have rational responses to history, while the outcome of the event in question may not be changed revealing awkward truths could have unpleasant results, so for example if the Chinese government were to suddenly accept responsibility for the killing of millions during the great leap forward riots or even revolution could very well occur. Governments regularly suppress information on the basis of national security and their citizens accept that as a reality. Indeed most accept it as a benefit.It seems likely that the only reason Dr Xu’s case has achieved notoriety is that he studied in the west (Oxford) for ten years. The same is true of Dr. Gao Zhan (Syracuese) and Dr. Li Shaomin (Princeton) – the other two high-profile academic detainees. It does rather suggest that the spotlight on their cases has less to do with a genuine concern with free speech and more to do with having friends in the West who don’t think their associates should be treated under the same rules as other Chinese citizens. Western nations have their own rules on secrecy which can be used to prosecute those who break them.[i] It is hypocrisy to deny China the right to do the same.[i] ‘Official Secrets Act 1989’, legislation.gov.uk, 11 May 1989, http://www.legislation.gov.uk/ukpga/1989/6/introduction",p1129,c1129
