,title,summary,stance,comment,parent_id,comment_id
1881,This House believes governments should choose open source software in order to encourage its use,Open source software is more adaptable to government needs. ,support,"Open source software starts from a completely different viewpoint of how products should be created. Rather than resembling a traditional hierarchical organisation (such as an early twentieth century business, an army or a monastic order) where everyone has their own clearly defined role and are told how to proceed by a top-down central authority, open-source software development is more like an open market where everyone is engaged in the same activity but come at it from different directions.[i]Out of this cacophonous market, a more fluid product emerges. The basic advantage of open source software is that, as users can read, redistribute, and modify the source code for a piece of software, it evolves. This means that users and programmers can improve, adapt and fix the software at a much faster pace than Microsoft or another closed source developer can match. The highly collegiate culture in which contemporary approaches to coding evolved continues to create programmers who are naturally curious about the functions and features of new software. Open source software harnesses the wide range of ideas and methodologies that different coders use to writer software to refine and improve existing programmes. Open source software solicits a wide variety of solutions to particular coding problems; the more solutions that coders generate, the more likely it is that an optimal solution will be discovered.Not only does the approach described above result in the creation of higher quality programmes, it also allows businesses and individual coders to easily adapt existing programmes to their needs. Monopolistic producers like Microsoft have an incentive to slow the pace of change, whereas the open source community will simply choose the best solution. In this way, open source software is more robust and more responsive to governments’ changing needs than closed source alternatives.[i]  Raymond, Eric. “The Cathedral and the Bazaar.” Cunningham & Cunningham. 18 February 2010. ",t362,p1881
1882,This House believes governments should choose open source software in order to encourage its use,Government contracts can change the software industry for the better.,support,"Even when governments do not ultimately select an open source program, by simply including them in the competitive bidding process, they have been able to radically change the approach that Microsoft and other closed source companies take to producing IT solutions.Under threat from Linux, Microsoft has launched the Open Source Initiative through which it shares elements of some of its programs’ source code with key partners to enable the development of software for platforms like Windows Mobile[i]. More dramatically, in 2002, Real Networks opened up the source code for its world renowned RealPlayer media and music software package and, in 2005, IBM offered 500 key patents (out of 40,000) to the open source community. Sun Microsystems released its Solaris server operating system to the open source community under the Common Development and Distribution licence in 2005. If you accept that the open source software industry is a positive force, then simply by considering open source software, governments are doing well.[i]  Ed Hansberry. “Open Source WebOS: A Win For Windows Phone?” Information Week. 12 December 2011. ",t362,p1882
1883,This House believes governments should choose open source software in order to encourage its use,Governments can re-define industry standards by choosing open source software.,support,"Economists use the term ‘network effect’ to describe the phenomenon whereby, as several people use the same communication platform (be it a specific device, such as a telephone, or a complicated service, such as Facebook), it becomes more valuable for others to use because they can share and collaborate on work with a wider range of individuals.Network effects explain why Microsoft’s monopoly of around 90% of the desktop market with its Windows and Office software has been so hard to challenge[i].Governments are one of the few organisations which can define industry standards because citizens and businesses increasingly have to interact with governments electronically. Brazil’s Digital Inclusion Program, for example, has selected open source software for 58 government units rather than Windows or Microsoft Office[ii]. The result is that businesses and Brazilian citizens can use the same open source software at home, knowing they will be able to interact with their government. As open source software is often either free or cheaper than closed source alternatives, this approach enables local authorities, private businesses and individual citizens to interact more easily with the state, removing many of the obstacles and objections to the wider adoption of information technology.[i]  Lie, Hakon Wium. “Microsoft’s forgotten monopoly.” CNET News. 19 June 2006.[ii] Fried, Ina. “Brazil: Digital inclusion, but how?” CNET News. 27 August 2008.",t362,p1883
1884,This House believes governments should choose open source software in order to encourage its use,Open source software is more expensive for governments in the long run. ,attack,"Open source software is often confused with free software; in fact, it is usually provided at some cost to the user. More importantly, if a Microsoft product fails, a government IT department knows that it can rely on a patch or technical support. Whereas, with open source software, they are left waiting on a community to get round to tackling the problem. This has meant that governments which choose open source software have had to pay for expensive support packages, which makes the total cost of the IT solution similar to that of the closed source software. This has been to the advantage of major consultancy firms, which are often chosen to put together IT solutions and who can make more money from pushing expensive support contracts than on upfront costs for software. In the rush to find the software with the cheapest sticker price, there is a risk that governments will end up paying more overall for open software that lacks the accessibility and features of the closed source alternatives.",t362,p1884
1885,This House believes governments should choose open source software in order to encourage its use,Open source software undermines national security.,attack,"Even if closed source software firms are ultimately answerable to their shareholders, their shareholders want them to produce software which meets the needs of their customers so that they can sell their products. That is why Microsoft has offered a cheap version of Windows Vista to developing nations, and has been willing to cut the price of its software in negotiations with governments around the world.More worrying than the burden that closed source software places on a government’s coffers is the threat that open source software presents to a state’s security.  By definition, the code for open source software is freely available. However, the continual attempts to hack into government computer systems demonstrate that many of the same hackers are now moving beyond mere targets of opportunity. Hackers could well take advantage of the increasing ubiquity of open source code to attack national computer systems.The additional security that open source software claims to benefit from is an illusion. Rather, it is the lack of ubiquitous open source platforms that has kept OSs such as Linux and BSD safe from attack. The possibility that an might yield some form of a reward is reduced when a hacker is presented with fewer viable targets.Although open source code may give ethical and honest coders more opportunities to spot the flaws in programmes, it also incentivises hackers to invest their efforts in spotting such flaws first.",t362,p1885
1886,This House believes governments should choose open source software in order to encourage its use,Closed source software is better at meeting consumer needs. ,attack,"Closed source software companies are more than capable of segmenting their products to reach each part of the market, as Microsoft has shown by producing its new Windows 7 operating system in a record six different versions.Microsoft’s monopoly of desktop computers ensures that if a programmer produces a niche software package or software translation for a specialized purpose, that programmer knows that potential clients will almost certainly be able to run the program if it is designed for Windows. If this monopoly is broken up and governments start to push Linux or other open source alternatives, the programmer will either have to develop for two or more platforms, thereby increasing the cost of the final product, or they will have to gamble on a single platform; both options would reduce the likelihood of the niche solution reaching the clients that need it.While open source software does allow anyone to spot a potential market and customize software to sell to that market, that access is also its great undoing. The type of accessibility that many open source products pride themselves on providing leaves projects open to abuse, either by well-meaning amateurs or intentional wreckers. Constant self-policing by the open source community is required, in order to guarantee the stability of the software it creates. An analogy can be drawn with Wikipedia, where the freedom of the mob led to defamatory statements being written about the former editor of USA Today [i]. Governments should be wary of relying on an anarchic, self-organising community to serve their IT needs, no matter how smart and well intentioned the members of that community may be.[i] Seigenthaler, John. .”A false Wikipedia “biography”.” USA Today. 29 November 2005 ",t362,p1886
1881,This House believes governments should choose open source software in order to encourage its use,no summary,attack,"Open source software is not bug-proof and requires far more updates than the closed source alternatives. In fact, the most successful open source software after the operating system Linux is Apache, an open-source web-server which holds around 65% of the global market, and MySQL, an open-source database[i]. Both pieces of software are far from innovative; they are essentially just stripped-down versions of closed source programs. Real innovation is driven by the profit motive and comes from the knowledge that a firm can capitalize on a discovery, as Google has done with its search algorithm. For this reason, the open source software movement is doomed to producing mediocrity. As governments choose IT systems for five to ten years, they should look to a reliable closed source solution which provides quality rather than buying into a nebulous idea of ‘moral software’.[i]  “Microsoft’s IIS web server market share is falling.” Webserver. 3 October 2011. ",p1881,c1881
1882,This House believes governments should choose open source software in order to encourage its use,no summary,attack,"The first firm to shift to the open source approach was Netscape with its Navigator web browser, because it was being outperformed by the closed source Microsoft Internet Explorer; Netscape made the shift out of desperation. This is exactly the same reason why Sun and Real have made their programs open source - Solaris was being squeezed by Windows based server software and RealPlayer by iTunes and Spotify. Similarly, the patents which IBM is sharing and the narrow range of source code that Microsoft is now opening up relate to sectors and product markets where neither firm is dominant and where they hope they can leverage the programming community to boost the quality of the software they are offering. Since Microsoft launched the Open Source Initiative, it has not expanded it in response to other governments threatening to shift to open source software. Therefore, we should not view this initiative as the beginning of a trend.",p1882,c1882
1883,This House believes governments should choose open source software in order to encourage its use,no summary,attack,"The network effect is more complex than the argument that, if a government uses a product, then its population will too. Firstly, 90% of desktop PCs use Microsoft products; the cost for companies and citizens to transition from Microsoft to an open source alternative makes it prohibitive in the short term. Secondly, open source software works on the basis of a constant flow of updates and minor changes; this may be suitable for servers (where it has already made most impact) managed by IT professionals, but the average citizen or government worker would require continual training and re-training before they could be trusted to implement and use such updates correctly. Open source software is being jumped on by some governments as a tool to attack Microsoft’s monopoly but, in the end, it will cost them time and money.",p1883,c1883
1884,This House believes governments should choose open source software in order to encourage its use,no summary,attack,"While open source software is not always free, it tends to be significantly cheaper than closed source alternatives. For instance, the Brazilian government’s decision to adopt open source software for its housing department in 2005 has generated savings of $120m a year.[i]Given that, the United States government alone spends $80 billion a year on information technology, the potential for total cost savings is enormous.[ii] The money saved could be used to fund more important government expenditure such as healthcare or education – the very activities that, it was claimed, could be delivered more efficiently and cheaply following widespread adoption of IT systems. Furthermore, simply by discussing adopting open source software, Microsoft has been forced to reduce its prices; it cut its prices by $35m to match Linux’s offering to the city of Munich and, when Brazil began discussing its future software plans, Microsoft was forced to offer to release a cheaper version of its new operating system, Windows Vista.[iii] Ultimately, this not only helps governments, but also helps Microsoft, as many developing nations currently rely on pirated copies of Microsoft software which undermines attempts to stop copyright fraud.[i] Kingstone, Steve, ‘Brazil adopts open-source software’, BBC News, 2/05/2005. [ii] ‘Using Technology to Drive Productivity Gains’, Performance.gov, accessed 25/07/2013[iii] Bailey, Dave. “Microsoft faces value challenge.” Computing. 18/06/2003.",p1884,c1884
