,title,summary,stance,comment,parent_id,comment_id
2698,This House believes in the right to die,Suicide is a rational choice in many situations.,support,"When confronted with chronic pain or with diseases that steadily remove our sense of self – or at least the self of whom we are aware – death has proven to be a sensible option taken by sensible people[i]. It is a simple fact that we all die, our objections to it tend to be based on the idea that it can happen at the hands of others or at a time, or in a manner, not of our choosing.Neither of these issues arise with either assisted suicide or voluntary euthanasia. Proposition has no difficulty at all with the suggestion that both procedures should be regulated and take place in safe, medically supported, environments.However, if an individual accepts that death is their preferred option in such a scenario, it is difficult to comprehend of reasons why they should not be allowed to proceed. Our social rejection of murder does not, ultimately relate to death itself but to the denial of choice. With murder someone is denying that person all their future potential so denying their freedom of choice, and this remains the case even if the murder was completely painless. Here, reason tells us, the virtuous act is death and the reservation of that choice.The determining element of humanity is that we are rational beings; a blanket ban – legal and social – on choosing the time and manner of our deaths reflects our primeval fear of a death that comes, unwanted, in the dark of the night, not the mature judgement of modern, thinking (and long-lived) humans.[i] Andy Bloxham. Husband films assisted suicide of wife to prove it was not murder. The Daily Telegraph. 10 March 2011.",t101,p2698
2699,This House believes in the right to die,"Medical science allows us to control death, suicide and euthanasia are sensible corollaries to that.",support,"We now live longer than at any time in the 100,000 years or so of human evolution and longer than the other primates[i]. In many nations we have successfully increased the quantity of life without improving the quality. More to the point, too little thought has been given to the quality of our deaths.Let us consider the example of the cancer patient who opts not to put herself through the agony and uncertainty of chemotherapy. In such a circumstance, we accept that a person may accept the certainty of death with grace and reason rather than chasing after a slim probability of living longer but in pain.All proposition is arguing is that this approach can also apply to other conditions, which may not be terminal in the strict sense of the world but certainly lead to the death of that person in any meaningful sense. The application of medical science to extend a life, long after life is ‘worth living’ or would be possible to live without these interventions cannot be considered a moral good for its own sake. Many find that they are facing the prospect of living out the rest of their days in physical pain or are losing their memory. As a result, some may see ‘going out at the top of their game’ as the better, and more natural, option.[i] Caleb E Finch. Evolution of Human Lifespan and the Diseases of Aging: Roles of Infection, Inflammation, and Nutrition. Proceding of the National Academy of Sciences of the united States of America. 12 October 2009.",t101,p2699
2700,This House believes in the right to die,The decision to die is a deeply personal one - it is no business of the state.,support,"Ultimately, the decision to die is a personal one, it may affect others but, clearly it has the greatest impact on the person who decides to die.Clearly those who remain behind will have to deal with the consequences of that death and the end of their relationship with that person but, one would hope, that would be the case if she had died of natural causes at a later date. Furthermore the experience of watching someone die can by as traumatic, or more so, for the carer or loved one than it is for the individual concerned.What it clearly is not, is an issue for legislators and other strangers who have no connection to the person involved. There are deeply personal issues such as love, death, sex, and reproduction where we accept the state may have a role in the formal sense of preventing their abuse but otherwise should not have an opinion either way. With the right to die the state has maintained not only an opinion but a criminal sanction. This is a clear example of where the role of the state is to respect the individual and step back; legislation is far too cumbersome a tool with be used in circumstances as varied and complex as these.Dealing with the loss of a loved one, particularly in a situation such as assisted suicide, is painful and traumatic enough for all concerned without adding to that the additional stress of a threat of criminal sanction.",t101,p2700
2701,This House believes in the right to die,It is impossible to frame a structure which respects the right to die for the individual but that cannot be abused by others.,attack,"In terms of moral absolutes, killing people is wrong sets the bar fairly low. Pretty much all societies have accepted this as a line that cannot be crossed without the explicit and specific agreement of the state which only happens in very rare circumstances such as in times of war.There is a simple reason for a blanket ban. It allows for no caveats, no misunderstandings, no fudging of the issue, and no shades of grey. Again, the reason for this approach is equally simple; anything other than such a clear cut approach will inevitably be abused[i]. As things stand guilt in the case of murder is determined entirely on the basis that it is proven that someone took another life. Their reasons for doing so may be reflected in sentencing but the court is not required to consider whether someone was justified in killing another.It is in the nature of a court case that it happens after the event and nobody other than the murderer and the deceased know what actually took place between them. If we take shaken baby syndrome cases as an example the parent still loves the child, they have acted in the madness of a moment out of frustration. It’s still murder. Supporting a dying relative can be no less frustrating but killing them would still be murder, even where that comes after a prolonged period of coercion to fill in forms and achieve the appearance of consent. It would, however, be very hard to prove. At least with a baby we can assume consent was not given, that would not be the case here.[i] Stephen Drake and Diane Coleman. ‘Second Thoughts’ Grow on Assisted Suicide. The Wall Street Journal. 5 August 2012.",t101,p2701
2702,This House believes in the right to die,"Once the moral absolute is broken, there is no other credible point before the right to use becomes standardised. ",attack,"It is easy to say that this social move would not lead to healthy thirty year olds walking into emergency rooms and asking to end it all because they had just broken up with their partner or been sacked. However, it’s rather difficult to see why it should not. Proposition says that all this would do is extend the right to commit suicide to those currently incapable of performing the act themselves but that isn’t so. It also extends the surety of success and of a medically painless procedure that is not available to the teenager with a razorblade or the bankrupt with a bottle of pills and another of vodka. For the sake of exactly the equality of approach, it seems only fair to do so. Proposition are attempting to pick the easy bits of the case but, by doing so, they leave contradictions in their case, why shouldn’t the right to die be universal? They know the reason; society would reject the idea out of hand, regardless of its merits. As a result they draw an arbitrary line simply because it is difficult to argue this right as a response to poverty or grief or addiction. They could argue that all of those things “might” get better. Well similarly a cure for cancer “might” be invented. The only consistent argument is either a universal ban or a universal acceptance. Anything else is an argument about where to draw the line; such approaches tend to lead to a gradual, slippery descent away from the original intentions of legislators. Whatever the initial legislation, it would likely be a matter of days before the court cases started.",t101,p2702
2703,This House believes in the right to die,There is a risk that even a free choice may have some coercion involved.,attack,"By far the biggest worry is that a right to die will create a silent form of coercion that cannot be detected. In the West’s increasingly elderly society the role of older people in that society, their value and their continuing contribution is all too likely to be masked by the issue of the cost placed on those of working age. Even where older people do not face pressure from their families, society needs to be aware of this wider narrative. Such a narrative will slowly create a norm where the elderly feel that they are a burden and it is expected that they will exercise their right to die. The ‘choice’ will remain and they will even think it a choice free of coercion but will exercise their right not because they really want to die but because they feel it is what they ought to do, once the right to die is completely normalised those exercising it may not even consider that what they are doing is not really of their free will. Perceiving oneself as a burden is already a common cause of suicide[i] and would certainly increase if it were to no longer be considered taboo. Not having a right to die will not stop arguments about the burden placed on the working members of society by the elderly but it will stop this going any further towards the creation of a culture where individuals consider it normal that they should die when they feel they are a burden.[i] Joiner, Thomas E. et al., ‘The Psychology and Neurobiology of Suicidal Behaviour’, Annual Review of Psychology, 10 September 2004, p.304.",t101,p2703
2704,This House believes in the right to die,"The death of one individual has implications for others, which by definition, do not affect the suicide herself.",attack,"Even setting aside the religious concerns of many in this situation[i], there are solid secular reasons for accepting the sanctity of life. First among them is the impact it has on the survivors. The relative who does not want a loved one to take their own life, or to die in the case of euthanasia. It is simply untrue that others are not affect by the death of the individual – someone needs to support that person emotionally and someone has to administer the injection. Because of the ties of love involved for relatives, they are, in effect, left with no choice but to agree regardless of their own views, the law should respect their position as well.It further gives protection to doctors and others who would be involved in the procedure. Campaigners are keen to stress that doctors should be involved in the process whilst ignoring that, pretty much whenever they’re asked doctors say they have no desire to have any part of it[ii]. Indeed it would be against the Hippocratic oath which while it is no longer always taken still sums up the duties of a doctor which includes doing no harm and includes ""And I will not give a drug that is deadly to anyone if asked, nor will I suggest the way to such a counsel."" So ruling out euthanasia.[iii] Presumably, the very case that is so keen on the voluntary principle would also observe this compelling rejection by a group critical to the plan.[i] Joint letter to the Telegraph. The terminally ill need care and protection – not help in committing suicide. The Most Rev Rowan Williams, Archbishop of Canterbury. The Most Rev Vincent Nichols, Archbishop of Westminster. Sir Jonathan Sacks, Chief Rabbi.[ii] Ella Pickover. Doctors Reject Assisted Suicide. The Independent. 28 June 2012.[iii] Sokol, Dr Daniel, ‘A guide to the Hippocratic Oath’, BBC News, 26 October 2008, ",t101,p2704
2698,This House believes in the right to die,no summary,attack,"It is the mark of a civilised society that we accept the inconvenience of laws in some circumstances because we also require their protection in others. To take a trivial example we take away the choice for people to drive on the other side of the road to everyone else. Here the protection offered by a full moratorium on killing requires that we accept all of its implications. The challenge is to use medical science to make it a moot point. Proposition has therefore made a powerful argument in favour of better painkillers and more research into mentally debilitating illnesses. Many of those developments have come about as a result of the very human attributes prop is so keen to cite. Realising that they have an opportunity of future free of pain and illness, humans have found ways of delivering it. It is precisely because death can now be managed that the process of self-imposed triage prop suggests is increasingly unnecessary; a fact to be applauded, not discarded",p2698,c2698
2699,This House believes in the right to die,no summary,attack,"This conveniently ignores that patients in a permanent vegetative state (PVS) do recover. It also ignore that Alzheimer’s patients enjoy moments of lucidity that bring pleasure to both themselves and their friends and relatives. It also discounts the possibilities offered by advances in medical science. The one point in any of the processes that is irreversible is the point of death – in the event of a misdiagnosis or the creation of a new drug, it’s too late if the person is already dead.",p2699,c2699
2700,This House believes in the right to die,no summary,attack,"Society routinely accepts that the state has a role in balancing the desires of some with the threats those pose to others. For every reasoned, unpressured decision that can be presented by prop, we can offer a situation in which the decision to die was coerced, or at least was not devoid of financial of self-serving interests on the part of others. The only way to prevent those negative outcomes is to deny the palatable ones through a complete moratorium. Such actions may not become routine yet even one death through compulsion is too many. However it is equally likely that once a right to die becomes established it comes to be seen as normal that someone who is particularly ill or frail will exercise the right to die. Once this is normalised then it becomes easier and easier for the boundary to slowly slip as it is an arbitrary line, either those exercising the right slowly become less and less ill or frail. Alternatively there is a slide into coercion as it becomes normal it begins to be seen as expected that the right will be exercised.[i][i] Young, Robert, ""Voluntary Euthanasia"", The Stanford Encyclopedia of Philosophy (Fall 2010 Edition), Edward N. Zalta (ed.)",p2700,c2700
