,title,summary,stance,comment,parent_id,comment_id
3890,This House believes limited press and speech freedom will hinder progress in Rwanda,Authoritarian leadership,support,"President Kagame though considered a visionary leader has made Rwanda a country based on one man’s ideas. He has silenced critics, opposition and any counter arguments that may not support his opinions through tough rules imposed against the media and free speech. This sparked misunderstandings within the government forcing 4 four high rank officials in exile, one, an ex-intelligence chief was recently murdered in South Africa[1].Rwanda is essentially a hard-line, one-party, secretive police state with a façade of democracy[2]. To avoid future conflict and government break down Kagame needs to convene a genuine, inclusive, unconditional and comprehensive national dialogue with the aim of preparing and strengthening the country’s future progress.The fact that most Rwandans still want him to run for  re-election after his two terms in 2017 shows how much he has controlled people to believe he is the only potential leader in a country of more than 11 million citizens. If Rwanda is to have a stable future democracy it needs to be recognised that the opposition are patriots too and should be entitled to freedom of speech and press to give them an opportunity to share their views on how the country can be improved. For democracy in Rwanda to progress  the country needs to accept the idea of freedom of speech and a ‘loyal opposition’.[3][1] Aljazeera Africa news, ‘Rwandan ex-spy chief found dead in S Africa’, Aljazeera.com, 2 January 2014[2] Kenzer, Stephen, ‘Kagame's authoritarian turn risks Rwanda's future’, thegurdian.com, 27 January 2011[3] Fisher, Julie, ‘Emerging Voices: Julie Fisher on Democratization NGOs and Loyal Opposition’, CFR, 13 March 2013",t151,p3890
3891,This House believes limited press and speech freedom will hinder progress in Rwanda,Blind obedience to authority,support,"One of the major factors that exacerbated genocide ideology was the “AKAZU” controlled media which made most of the Hutu population wrongfully obey authority and government propaganda of divisionism[1].This was achieved by proclaiming that the Tutsi are snakes and cockroaches in newspapers, and directing the Hutu extremists to where killings were to be conducted on radio RTLM. Meanwhile they also refused to broadcast speeches calling out for unity among people helping to lead to the assassination of the then Prime minister Agathe Uwilingiyimana who opposed government restrictions. There was no space to question policies and ideas that were encouraging genocide by manipulating people to believe it was right path for Rwanda.The genocide should therefore serve as an example that restricting freedoms of speech and press can cause severe damage. This is especially harmful to a healing and reconciling country like Rwanda that needs the freedom to debate the past and analyse how far it has come openly. Rwanda should learn from the past that freedom of speech is necessary to prevent conflict while having only one side potentially exacerbates it.[1] Chalk, Prof. Frank ‘Radio propaganda and genocide’, Concordia.ca, November 1999",t151,p3891
3892,This House believes limited press and speech freedom will hinder progress in Rwanda,International concern,support,"Rwanda, though a progressing country is still aid dependent which has been a backbone for its achievements today[1]. Spoiling Rwanda’s relations with the international community would therefor be destabilising Rwanda’s focus and growth. This has been evident when some countries cut aid to Rwanda recently following allegations of the government supporting insecurity in Congo [2].Most donor governments are strong backers of human rights and freedom. Continued restrictions to freedom of speech may provoke international reaction through cutting aid and trade ties a move that may hinder the success of Rwanda’s goals. Aid has been cut on other human rights issues for example donor countries have recently acted to cut aid to Uganda as a result of their criminalisation of homosexuality.[3][1] DFID Rwanda, ‘Growth and Poverty reduction grant to the government of Rwanda (2012/2013-2014/2015), gov.uk, July 2012[2] BBC news, ‘UK stops £21m aid payment to Rwanda’ bbc.co.uk, 30 November 2012[3] Plaut, Martin, ‘Uganda donors cut aid after president passes anti-gay law’, theguardian.com, 25 February 2014",t151,p3892
3893,This House believes limited press and speech freedom will hinder progress in Rwanda,Focused leadership,attack,"Progress in Africa has been hindered by factors like corruption, conflicts and poor infrastructure, all of which are linked to the incompetent or greedy leaders.Rwanda is a different case, ranked among the best countries with a strong and focused leadership in Africa, the country has set up clear policies like EDPRS [Economic Development and Poverty Reduction Strategy] which aims to change Rwanda from an agriculture based economy to knowledge and service economy [1]. It is well known for zero tolerance to corruption, improved infrastructure and technology all of which are core factors in achieving development. In Africa, Rwanda tops list of easiest countries to do business a move that has encouraged more investors into the country[2].Limited freedom of speech and press does not hinder economic development. What matters is that the government is trusted to fulfil all its commitments. After all, nothing has stopped China progressing despite human rights violations and censorship of both free speech and the press.[1] The world bank, ‘Rwanda overview’, worldbank.org[2] International finance corporation, ‘Rwanda top business reformer’, ifc.org",t151,p3893
3894,This House believes limited press and speech freedom will hinder progress in Rwanda,Setting Rwanda's priorities,attack,"Rwanda is an emerging democracy healing from the wounds of the horrific past. To achieve the set vision, there should be a priority which in this case is economic development[1].A large number of Rwandans believe that the government should focus on transforming the nation economically although it may mean restricting free speech, which has prompted a huge participation in government development programs like Ubudehe[2]. Freedom of speech and press needs to be restricted if the government wants to engage in unlimited development; there is no time to engage in long debates over whether a particular project is being implemented the correct way. Having freedom of speech and press would hinder the government’s ability to manage the resources of the state and to encourage investors who don’t want to have protests to their building factories, or have labour complaining about not being paid enough.Whether a country puts rights or the economy first is up to the individual country, Rwanda has chosen.[1] Horand, Knaup, ‘Kagame's Priorities for Rwanda: First Prosperity, then Freedom of Expression’, Spiegel.de, 12 August 2010[2] NS world, ‘Rwanda Engages Citizens in Community-Level development’, nsworld.org",t151,p3894
3895,This House believes limited press and speech freedom will hinder progress in Rwanda,There is accountability without a free press,attack,"Freedom of speech and the Press is not the only way of creating accountability in a country – especially a comparatively small one such as Rwanda. Rwanda has been ranked a transparent and is the least corrupt state in East Africa [1] where everyone is accountable and equal before the law.How can this be without an aggressive free press? Annually, all government officials are cross examined by locals publicly in a forum called national dialogue “Umushyikirano”, to ensure that they meet the needs of citizens and assess their performance[2]. This has given Rwandans courage to express their desires and feel much valued in the process of policy making and engagement. It puts ministers and even the Prime Minister on the spot on individual issues. Restricted press and speech is therefore rendered irrelevant by such programs as people can question authorities and demand justification directly rather than relying on the press.In Africa, most countries lack transparent government systems and institutions, a factor responsible for continued corruption, poor governance and crime which in turn destroy progress in societies [3], but this is not the case with regard to Rwanda.[1] Zegabi East Africa news, ‘Transparency International Ranks Rwanda the Least Corrupt Country in East Africa’, 5 December 2013, zegabi.com[2] Hunt, Swanee ‘Rebuilding Rwanda: Access and Accountability’, inclusivesecurity.org, 30 December 2013[3] Jones Lang Lasale, ‘Sub-Saharan Africa: A region with opportunities amid transparency challenges’, joneslanglasale.eu",t151,p3895
3890,This House believes limited press and speech freedom will hinder progress in Rwanda,no summary,attack,"Rwanda does not limit freedoms of press and speech as such but discourages the use of sensitive articles or speeches that would provoke insecurity in a country still trying to heal from the wounds of genocide. This cannot be therefore considered abusing people’s rights.Misunderstandings with the 4 officials were not as a result of restricted freedoms but instead the desire of power[1] and cannot be taken a model for Rwanda’s future.Past conflict broke out due to divisionism which was given space through hate speeches and publications a behaviour that has no room in the country today – indeed there are anti divisionism laws.Having a large population supporting a leader doesn’t mean they are controlled, he has done so much to revive lost hope hence winning the favour of the people.[1] Smith, David, ‘Exiled Rwandan general attacks Paul Kagame as 'dictator', thegurdian.com, 30 July 2012",p3890,c3890
3891,This House believes limited press and speech freedom will hinder progress in Rwanda,no summary,attack,"Divisionism in Rwanda did not spark as a result of the controlled media and government propaganda in 1994, there were killings reported in the 1960’s 1970’s and 1980’s[1] even before the media was part of society. This came as a result of long standing grudges and misunderstandings between the Tutsi and Hutu groups in the country. That the media bears responsibility for spreading hate speech and broadcasting where the other could be killed moreover does not absolve the individuals involved. Each individual had the choice whether they acted on what the media was telling them. In a completely free media there would be some of the same hate speech and it would still be up to the individual to decide whether to follow that message. Far better to ensure that message cannot be aired in the first place.[1] History world, ‘History of Rwanda’, historyworld.net",p3891,c3891
3892,This House believes limited press and speech freedom will hinder progress in Rwanda,no summary,attack,"Many donors have been deeply reluctant to stop or reduce aid, whatever the arguments over eastern Congo[1]. Donors like to see their money have an impact, something that Rwanda’s transformation has provided. There might be concern about freedom of speech and the press but donors recognise that the way to change this is not to simply stop aid; an act that simply damages those the donors are trying to help not those who are limiting freedom of speech.[1] The economist, ‘The pain of suspension’, economist.com, 12 January 2013[2] Timmins, Jerry, ‘Free speech, free press, free societies’, li.com",p3892,c3892
3893,This House believes limited press and speech freedom will hinder progress in Rwanda,no summary,attack,"Restricted press and speech also limits political debate and engagement which are crucially needed in adopting fruitful policies[1]. The best policies are those that are rigorously debated and analysed. The current leadership may have acted to check corruption but without institutionalised freedom of the press to encourage whistleblowing there is no guarantee that corruption won’t return in the future. Rwanda’s progress is therefore dependent on individuals, fine in the short term but development takes decades. In the long term for a state to progress there has to be balancing mechanisms so as to prevent misrule and importantly persuade investors there will be stability.Moreover Rwanda is trying to create a knowledge economy. It is not like China’s creation of a manufacturing based economy, instead it relies upon critical thinking, ideas and analysis – all things that benefit from freedom of speech.[1] UNESCO, ‘Press freedom and development: an analysis of correlations between freedom of the press and the different dimensions of development, poverty, governance and peace’, unesco.org",p3893,c3893
