,title,summary,stance,comment,parent_id,comment_id
4193,This House believes long term cooperation between Russia and the United States is possible.,Russian and the US have many areas where they can cooperate.,support,"In 2009 President Obama stated “I believe that on the fundamental issues that will shape this century, Americans and Russians share common interests that form a basis for cooperation.”[1] This makes the real question ‘how to cooperate’ rather that whether there should be cooperation. Military transparency, particularly on nuclear weapons is necessary. “Russia and the United States matter to one another, and how well or how poorly we manage our interactions matters to the rest of the world. The two of us control more than 90% of the world’s nuclear weapons, and our leadership can do more than anyone else’s to help secure nuclear material globally and prevent the spread of nuclear weapons.”[2] This continued cooperation on nuclear issues in particular has been demonstrated with the signing of the ‘New START’ treaty on 8th April 2010.There are many other areas where cooperation between the America and Russia is vital as well. As is demonstrated by the geopolitical situation “Russia sits astride Europe, Asia and the broader Middle East – three regions whose future will shape American interests for many years to come. And in an era in which common challenges” so cooperation is necessary for the United States, but also for Russia as it would not want the US acting without its cooperation. According to Undersecretary of State Burns there are also many issues “non-proliferation, climate change, energy security, the struggle against terrorism, and many more – demand common action more than at any other period in human history, the United States and Russia have a lot more to gain by working together than by working apart.”[3][1] Barak Obama, Obama’s Speech in Moscow, President addresses New Economic School graduation, 7/7/09, http://www.america.gov/st/texttrans-english/2009/July/20090707062839abretnuh3.549922e-02.html&distid=ucs#ixzz1K4z0wqG3 accessed 20/4/11[2] William J. Burns, The United States and Russia in a New Era: One Year After ""Reset"",  Remarks to the Center for American Progress, Washington DC, 14th April 2010, http://www.state.gov/p/us/rm/2010/140179.htm accessed 10/4/11[3] William J. Burns, The United States and Russia in a New Era: One Year After ""Reset"",  Remarks to the Center for American Progress, Washington DC, 14th April 2010, http://www.state.gov/p/us/rm/2010/140179.htm accessed 10/4/11",t103,p4193
4194,This House believes long term cooperation between Russia and the United States is possible.,Desire to stabilize Central Asia,support,"September 11th brought a change in how the United States dealt with the autocratic rulers of Central Asia, bringing policy more into line with Moscow’s interests. The US changed from promoting democracy in the region to trying to keep the region stable by supporting the incumbent regimes. For example Uzbekistan was given US political, military and economic support despite human rights violations.[1] There were also secondary US interests that were not related to terrorism such as attempting to limit the production of drugs and the corruption this causes. President Putin recognised that “Terrorism and drugs are absolutely kindred phenomena.” With Russia’s immense drug problems “We have a conspicuous growth of the share of highly concentrated drugs, and in the first place Afghan heroin”[2] The promotion of “peace and stability to Afghanistan” and the promised aid to “rebuild Afghanistan and the region economically,” were also recognised by George Bush as US interests in the region.[3] There has therefore in the aftermath of 9/11 been a dovetailing of interests in central Asia and in particular Afghanistan and on the war on drugs.[1] Lena Jonson, Vladimir Putin and Central Asia The Shaping of Russian Foreign Policy, (I.B. Tauris, London, 2004), p.64.[2] Speech by President Vladimir Putin at a Meeting of the Security Council of the Russian Federation, Moscow, September 28, 2001[3] Joint Statement by President George W. Bush and President Vladimir V. Putin on Afghanistan, Office of the Press Secretary, November 13, 2001, http://www.whitehouse.gov/news/releases/2001/11/20011113-9.html",t103,p4194
4195,This House believes long term cooperation between Russia and the United States is possible.,Shared experience of terrorism,support,"A shared experience of terrorism means both have long term reasons to cooperate against it. Russia already had experience with terrorism with a string of bombings in the summer of 1999 which the Russian government blamed on the Chechans.[1] As a result of this on-going Chechen terrorism the Russian government was keen to cooperate in any counter terrorist effort there may be. Russian officials such as Sergey Ordzhonikidze spoke of the grief they shared with the American people “The hearts of Russians who know first-hand what terrorism is like are also filled with grief for all those who fell victim to terrorism in other parts of the planet.”[2] President Putin himself agreed with this immediately after the 9/11 attacks “[Russia is] deeply shocked by the reports of the tragic events that occurred today in the United States. The barbaric terrorist attacks against innocent people evoked the anger and indignation of the Russian people.”[3] Both the terrorists who had been attacking Russia and the 9/11 attackers were motivated by an extremist version of Islam, this gives both Russia and the United States a mutual interest in combating this terrorism wherever it may be occurring. This continues to give both Russia and the United States an interest in solving the problems that create terrorism such as the Israel-Palestinian conflict and keeping the Taliban out of power in Afghanistan. That both understand the other’s motivations makes this link much stronger.[1] Mark Kramer, Guerrilla Warfare, Counter Insurgency and Terrorism in the North Caucuses: The Military Dimension of the Russia-Chechen conflict, Europe-Asia Studies, Vol.57, No.2, (March, 2005), pp.209-290, p.212[2] Statement by Sergey A. Ordzhonikidze, Deputy Minister of Foreign Affairs of the Russian Federation, on agenda item 166 of the 56 session of the UN General Assembly: Measures to eliminate international terrorism New York, October 1, 2001[3] Russian President Vladimir Putin telegram of condolence to US President George W. Bush, September 11, 2001, http://www.kremlin.ru/eng/text/news/2001/09/136023.shtml accessed 20/4/11",t103,p4195
4196,This House believes long term cooperation between Russia and the United States is possible.,Economically compatible,support,"There is a huge potential for economic cooperation between two of the biggest states in the world. Russia desperately needs investment and technology to modernize its economy. The USA can offer this and more. It has helped Russia to get into the World Trade Organization,[1] to integrate it into the global economy, put pressure on Russian companies to drop their corrupt ways and adopt modern modes of operation. Russia also has plenty of chips to bring to the table. Pumping seven million barrels a day, Russia is second only to the Saudis in oil production. The Bush team saw Russia as a source for crude oil should U.S. relations with Saudi Arabia deteriorate, this is why at the Moscow summit in May, 2002, Bush and Putin launched “an energy dialogue to strengthen the overall relationship between our countries, and to enhance global energy security, international strategic stability, and regional cooperation.”[2] The United States has invested whenever it could in Russian oil and gas despite the difficulties private companies like Yukos have faced with government tax demands. For example in October 2001, Exxon Mobil announced that the Sakhalin 1 project was profitable and outlined the company’s plans to invest $30 billion by 2030.[3][1] Kirk, ‘Full Statement by Ambassador Kirk Regarding the Invitation to Russia to Join the WTO’, Office of the United States Trade Representative, December 2011, http://www.ustr.gov/about-us/press-office/press-releases/2011/december/us-trade-representative-kirk-welcomes-invitation[2] William Ratliff, ‘Russia’s Oil in America’s Future: Policy, Pipelines, and Prospects, Hoover Institution, 1/9/03, http://www.hoover.org/publications/monographs/27207 accessed 04/5/11[3] Tamara Troyakova and Elizabeth Wishnick, ‘Integration or Disintegration: Challenges for the Russian Far East in the Asia-Pacific Region, p.18.http://src-h.slav.hokudai.ac.jp/coe21/publish/no1/wishnick.pdf accessed 6/5/11",t103,p4196
4198,This House believes long term cooperation between Russia and the United States is possible.,Russia’s near abroad,attack,"Russia and the US have a fundamental divergence over the notion of spheres of interest. Russia only accepts any other country playing a role in its near abroad very grudgingly and will attempt to get other great powers out whenever possible. In the aftermath of 9/11 Russia could not prevent American intervention in Central Asia therefore it was sensible to make sure it was co-opted to serve Russia’s own interests, namely to be against international terrorism, rather than being directed against Russia herself. By doing so Russia could preserve her influence in the region. As America was willing to take on the costs of maintaining the security of the region Russia could retrench and cut costs.[1] Yet Russia began to force the US out as soon as was possible, for example forcing the closure of a U.S. airbase in Kyrgyzstan.[2]Russia has sometimes seemed to purposefully take the opposite side to the US in Eastern Europe. An example of this occurring was over the possibility of independence for Kosovo almost a decade after the conflict that forced Serbian forces out of the country. According to Charles Kupchan “on the question of Kosovo, direct Russian interests are difficult to discern, and therefore it appears that Russia’s backing of Serbia is part of a more muscular Russian policy, and a desire to stand up to the United States and the EU across the board.”[3][1] Lena Jonson, Vladimir Putin and Central Asia The Shaping of Russian Foreign Policy, (I.B. Tauris, London, 2004), pp.172-174[2] Schwirtz, Michael, ‘Kyrgyzstan Insists U.S. Base to Close’, The New York Times, 11 June 2009, http://www.nytimes.com/2009/06/12/world/asia/12kyrgyz.html[3] Bernard Gwertzmann, ‘Interview Kupchan: Russian Opposition to Kosovo Independence ‘Perplexing’, Foreign Affairs, Dec 2007, http://www.cfr.org/kosovo/kupchan-russian-opposition-kosovo-independence-perplexing/p15093 accessed 27/4/11",t103,p4198
4199,This House believes long term cooperation between Russia and the United States is possible.,Russian and US economic interests conflict,attack,"Good economic relations are possible only as long as long as The USA believes that Russia is genuinely trying hard to bring its economy into line with the Western world. Both Putin and Medvedev have emphasised that the country’s economic interests will always determine Russian foreign policy. Most particularly foreign policy has been driven by oil and natural gas. This has involved a conflict with the United States over the construction of pipelines. The Baku-Tbilisi-Ceyhan (BTC) oil and the Baku-Tbilisi-Erzurum (BTE) gas pipelines are specifically built to diversify European energy supplies away from dependence on Russia but were only built due to unequivocal US support.[1] Building these pipelines is directly against Russian interests. Russian economic interests include, amongst other things, close trade links with autocratic regimes, particularly in the former USSR, and exporting weapons and nuclear technology to China and Iran. In the example of Iran Russian economic interests have meant that Russia has blocked US efforts to get sanctions.[2] An area of particular conflict with the US is the Russian building of an $800million nuclear reactor at Bushehr. Similarly Russia sold Iran $1.7 billion of arms between 2002 and 2005 including anti-aircraft systems so making any potential attack on Iranian nuclear facilities by the United States much more dangerous.[3] Thus, close economic cooperation between two states whose economies are driven by very different goals is improbable.[1] ‘Pipeline politics? Russia and the EU’s battle for energy’, EurActive.com, 20/8/09, http://www.euractiv.com/en/energy/pipeline-politics-russia-eu-battle-energy/article-177579 accessed 6/5/11[2] Tony Karon, ‘Iran Diplomacy: Why Russia and China Won’t Play Ball’, Time, 22/3/06, http://www.time.com/time/world/article/0,8599,1175573,00.html accessed 6/5/11[3] Mark N. Katz, ‘Russian-Iranian Relations: Functional Dysfunction’, Mideast Monitor, Vol. 4, No. 1, 2009, http://www.mideastmonitor.org/issues/0907/0907_5.htm accessed 6/5/11",t103,p4199
4193,This House believes long term cooperation between Russia and the United States is possible.,no summary,attack,"Even assuming that US-Russian there are many areas where the US and Russia could cooperate this does not mean that it will happen. Cooperation between the United States and Russia would have been even more vital to the world at the end of World War two when both were superpowers and both had common interests in keeping Germany and Japan down yet this did not lay the ground for cooperation between the two. Instead there was a forty year cold war. Now whole Burns may consider the challenges in Europe, Asia and the Middle East to be common interests Russia may instead choose to cooperate with others such as China and consider US interests to be counter to its own",p4193,c4193
4194,This House believes long term cooperation between Russia and the United States is possible.,no summary,attack,"A U.S. dovetailing of interests in Central Asia is unlikely to last. September 11th moved Central Asia from being an area of peripheral importance to being a central US interest.[1] There is nothing to say that it will not sink back to being peripheral in the future. The Taliban were both sheltering extremists such as al Qaeda and exporting disorder to surrounding states.[2] As George Bush put it “make no mistake about it, the new war is not only against the evildoers, themselves; the new war is against those who harbor them and finance them and feed them.”[3] But with al Qaeda diversifying, terrorism no longer so high up the agenda and the United States drawing down in Afghanistan US and Russian interests are set to diverge.[1] Boris Rumer, The Powers in Central Asia, Survival, vol. 44, no.3, (Autumn, 2002), pp.57-68, pp.63-64.[2] Rajan Menon, ‘The New Great Game in Central Asia’, Survival, vol.45, no.2, (Summer, 2003), pp.187-204, p.188.[3] At O'Hare, President Says ""Get On Board"", Office of the Press Secretary, September 27, 2001, http://www.whitehouse.gov/news/releases/2001/09/20010927-1.html",p4194,c4194
4195,This House believes long term cooperation between Russia and the United States is possible.,no summary,attack,"Even if both agree that fighting terrorism is in both their interests this is not a reason for cooperation when views about how to tackle the problem divide. While both have used military force in their attempts to defeat terrorism both have criticised the other’s force as being excessive. The United States continued to be critical of the situation in Chechnya where 45000 civilians were killed and 200000 made refugees.[1] September 11th was a gift to Putin as it transformed perceptions of the situation in Chechnya.[2] Chechnya was effectively legitimised by September 11th as it was similar to what the United States would fight in Afghanistan.[3] However the western media continued to be sceptical about terrorism in Russia for example that Chechen militants were the bombers of the apartment blocks, rather than it being rogue elements of the Russian security services, or even originated from the Kremlin.[4] Moreover the two diverged over the need to invade Iraq to fight terrorism; Russia opposed the invasion in the Security Council. In short Russia and the United States cooperate in Afghanistan but this does not translate into wider cooperation against terrorism. Terrorism is also no longer the number one foreign policy priority of the United States which is ‘pivoting’ to Asia and away from the Middle East.[5][1] Kramer, Guerrilla, pp.210, 214.[2] Claire Bigg, Five Years After 9/11: The Kremlin's War On Terror, Radio Free Europe, 2006, http://www.globalsecurity.org/security/library/news/2006/09/sec-060908-rferl02.htm[3] Oksana Antonenko, ‘Putin’s Gamble’, Survival, Vol.43, no.4, (Winter, 2001-02), pp.49-60, p.51[4] World: Europe, Russia's bombs: Who is to blame? BBC News, September 30, 1999, http://news.bbc.co.uk/1/hi/world/europe/449325.stm[5] Clinton, Hillary, ‘America’s Pacific Century’, Foreign Policy, November 2011, http://www.foreignpolicy.com/articles/2011/10/11/americas_pacific_century",p4195,c4195
4196,This House believes long term cooperation between Russia and the United States is possible.,no summary,attack,"Although the United States would like to get its hands on Russia’s vast economic resources it is not a good place to do business. Russia was accused of being a ‘virtual mafia state’ by US diplomats in a wikileaked cable.[1] According to then US Ambassador to Russia Russia needs to “support the “sanctity” of commercial contracts and agreements; create a “transparent, stable and enforceable” tax and license regime; improve and enforce intellectual property rights protection; act decisively on “pervasive bureaucratic red tape and over-regulation”; bring corruption under control; reverse the “worrying trend” in Russia towards control over the mass media”[2] before it becomes a place that the US can really do lots of business with. The economy may therefore be more of a source of conflict than cooperation as The United States tries to push Russia into being more open and less corrupt against the wishes of the Russian elites.[1] Luke Harding, WikiLeaks cables condemn Russia as ‘mafia state’, guardian.co.uk 1/12/10, http://www.guardian.co.uk/world/2010/dec/01/wikileaks-cables-russia-mafia-kleptocracy accessed 28/4/11[2] Alexander Vershbow, “Opportunities in U.S.-Russian Economic Relations,” United States Embassy Moscow, 22 May 2003. http://www.hoover.org/publications/monographs/27207#n32",p4196,c4196
