,title,summary,stance,comment,parent_id,comment_id
3291,This House believes post conflict peace cannot be sustained without impartial justice.,Justice is needed for a lasting peace,support,"By prosecuting perpetrators, justice creates a deterrent. The deterrent effect, as accepted in criminal law generally, is likely to make the peace more long standing and stable in the future – it will make those minded to perform atrocities think again. If those who committed atrocities ‘get away with it’ they will be much more likely to plunge the country back into violence.The career of Laurent Nkunda is a good example of this; he fought in the Tutsi group that took control of Rwanda in 1994 ending the genocide and then was a rebel commander in both Congolese civil wars in which he was accused of atrocities before launching his own rebellion, only now after 14 years as an army commander is he under arrest.[1] Clearly Nkunda being locked up at some stage would have been better than regularly negotiating with him to try and create peace.[1] BBC News, “Profile: General Laurent Nkunda”, 23 January 2009, http://news.bbc.co.uk/1/hi/world/africa/3786883.stm",t590,p3291
3292,This House believes post conflict peace cannot be sustained without impartial justice.,Accountability,support,"It is a fundamental principle of morality that individuals should be held responsible for their crimes – that is the reason why we, as societies, have criminal law.Prosecuting people – holding them responsible for their crimes – is a moral imperative.  We all wish to live in  a society where everyone is equally accountable when they commit crime as one in which not everyone is held to account is fundamentally unjust; it creates one rule for the powerless and another for those who are ‘needed’ to help create peace. This would simply incentivise people to try to make themselves indispensable strongmen – not a sustainable basis for a peaceful society. ",t590,p3292
3293,This House believes post conflict peace cannot be sustained without impartial justice.,Justice is needed to help end denialism.,support,"By creating a historical record through the investigations and trial proceedings[1], International justice can create a narrative that helps fight denialism over events in the past. It creates an accepted version of events where both victim and accused have had their say.Denialism can be dangerous because it is likely to create perceptions that are likely to make conflict more likely again. For example the post-First World War Dolchstoßlegende (stab in the back myth) was used by the political right in Germany after WWI implied that the German Army had not lost but Germany had only done so due to the civilian leadership. This not only encouraged a belief that Germany could win in another war but also as the accusation was levelled particularly at socialists and Jews helped pave the way for the holocaust.[2][1] Goldstone, p422[2] Holocaust Encyclopedia, ‘Antisemitism in history: World War I’, United States Holocaust Memorial Museum, 10 June 2013, http://www.ushmm.org/wlc/en/article.php?ModuleId=10007166",t590,p3293
3294,This House believes post conflict peace cannot be sustained without impartial justice.,Peace has occurred without justice,attack,"Argentina did not prosecute for a long time after the collapse of the junta[1], a 1986 law, commonly known as the Full Stop Law (also known by its number, Law 23492), prohibited prosecution of those involved in the dirty war which resulted in up to 30,000 deaths.However, Argentina managed to build a lasting peace, and society without prosecutions.[1]               Kersten, Mark, “The Fallacy of Sequencing Peace and Justice”, Opinio Juris, 29 September 2011, http://opiniojuris.org/2011/09/29/the-fallacy-of-sequencing-peace-and-justice/",t590,p3294
3295,This House believes post conflict peace cannot be sustained without impartial justice.,Justice can harm peace.,attack,"Former ICTR chief prosecutor, Richard Goldstone, argued that the indictments of Radovan Karadzic and Ratko Mladic prevented them from attending the Dayton peace talks. The Russian government tried to get those indictments suspended, but Goldstone informed them that he did not have the power to do so. Slobodan Milosevic, the representative of Serbia also represented Republika Srbska.[1]In 2006 thyere was an agreement by the Lord’s Resistance Army to a ceasefire but before they would negotiate towards a final peace the LRA demanded the suspension of the ICC indictments.[2] Even six years on none of the LRA leadership have been caught – had peace been put first it might have occurred then rather than intermittent conflict continuing for years.Peace is a valid goal. However, an overzealous pursuit of justice may impede negotiations.[1]               Goldstone, Richard, “Peace versus Justice”, Nevada Law Journal, 2006, http://scholars.law.unlv.edu/cgi/viewcontent.cgi?article=1367&context=nlj&sei-redir=1 at p421-p322[2] Otim, Michael, and Wierda, Marieke, ‘Justice at Juba: International Obligations and Local Demands in Northern Uganda’, in Waddell and Clarck eds., Courting Conflict? Justice, Peace and the ICC in Africa, pp.21-28 http://www.issafrica.org/anicj/uploads/Waddell_Clark_Courting_Conflict.pdf",t590,p3295
3296,This House believes post conflict peace cannot be sustained without impartial justice.,Justice can be impossible,attack,"The Rwandan genocide one of the largest the world has ever seen since the Second World War. A large number of victims – at least half a million – means a large number of perpetrators. There are 100,000 alleged perpetrators in Uganda. While an informal Gacaca system has been criticized by human rights groups for not being able to provide fair trials, a full system of fair trials would be impractical[1].Rwanda is now relatively peaceful, with a functioning economy.[1]  Hannum, p492",t590,p3296
3291,This House believes post conflict peace cannot be sustained without impartial justice.,no summary,attack,"This fails for two reasons. Firstly, prosecutions are not always a deterrent to future crimes. Secondly that justice is not necessary in all cases to prevent recidivism – justice has not been needed in many cases, such as in Haiti after the 2004 coup, Haiti’s subsequent problems being caused by natural disasters.",p3291,c3291
3292,This House believes post conflict peace cannot be sustained without impartial justice.,no summary,attack,"While distasteful, sometimes cutting deals with perpetrators is necessary to bring a quick end to the human suffering that conflicts cause[1].In advocating prosecutions, justice can simply ignore victims. Atrocities are more than likely to have been committed by more than one side in a conflict. As those leaders do not want to be prosecuted, justice can act as a bar to peace. Moreover if people are responsible and accountable to society then that society should be able to agree to forgo justice in order to create peace if it is deemed necessary.[1]               Grono, Nick and O’Brien, Adam, “Justice in Conflict? The IOCC and Peace Processes”, Courting Conflict? Justice, Peace and the ICC in Africa, 2008, available at http://www.lse.ac.uk/internationalDevelopment/research/crisisStates/download/others/ICC%20in%20Africa.pdf, chapter 2",p3292,c3292
3293,This House believes post conflict peace cannot be sustained without impartial justice.,no summary,attack,"Holocaust denial does still exists today despite the Nuremburg trials and immense amounts of evidence. Also, Japanese denialism over forced prostitution in the Second World War is part of mainstream politics[1].Despite ICTY convictions, denial of atrocities in the Yugoslav wars continue.[1]               See Honda, Masakazu and Takada, Makoto, “LDP Pressure led to cuts in NHK show”, The Asahi Shimbun, 12 January 2005, http://www.asahi.com/english/politics/TKY200501120160.html",p3293,c3293
3295,This House believes post conflict peace cannot be sustained without impartial justice.,no summary,attack,"Dayton worked despite not inviting Karadzic and Mladic. Both of those are currently on trial for the most serious crimes imaginable – Karadzic for, amongst other things, his alleged role in ordering the Srebrenica massacre, and Mladic for Srbrenica and the Siege of Sarajevo.These prosecutions have not caused problems for peace in the Balkans and Croatia, one of the participants in the conflict, has joined the European Union.Similarly, despite the ICC indictment, coupled with better results obtained by the Ugandan military, has lead towards the prospect of surrender by the LRA, despite their leaders such as Joseph Kony being indicted[1].[1]               BBC News, “LRA leader Joseph Kony ‘in surrender talks’ with CAR”, BBC News, http://www.bbc.co.uk/news/world-africa-25027616",p3295,c3295
