,title,summary,stance,comment,parent_id,comment_id
1472,This House believes single-sex schools are good for education,Women are better off in single-sex institutions,support,"Women in particular benefit from a single-sex education; research shows that they participate more in class, develop much higher self-esteem, score higher in aptitude tests, are more likely to choose ‘male’ disciplines such as science in college, and are more successful in their careers. In the USA Who’s Who, graduates of women’s colleges outnumber all other women; there are only approximately 50 women’s colleges left in the States today.[1] Elizabeth Tidball, who conducted the Who’s Who research, also later concluded that women’s colleges produced ‘more than their fair share who went on to medical school or received doctorates in the natural or life sciences’, typically male fields.[2][1] Calefati, Jessica, ‘The Changing Face of Women’s Colleges’, US News, 11 March 2009.[2] Kaimer, W. ‘The Trouble with Single-sex Schools’. The Atlantic, April 1998.",t145,p1472
1473,This House believes single-sex schools are good for education,Boys and girls are an unwelcome distraction to each other,support,"Boys and girls distract each other from their education, especially in adolescence as their sexual and emotional sides develop. Too much time can be spent attempting to impress or even sexually harassing each other (particularly boys toward girls). Academic competition between the sexes is unhealthy and only adds to unhappiness and anxiety among weaker students. As Tricia Kelleher, a school principal, argues, ‘rather than girls defining themselves by their interests, they define themselves by what the boys think of them or what other girls think boys think of them’.[1] Furthermore, John Silber, President of Boston University, declared in 2002 that his university would prioritize male applications in order to even up the student composition and ensure the male population did not become ‘ungentlemanly’ towards women due to their numerical inferiority. A single-sex environment is therefore a space where (children) can learn without feeling pressurized by the other sex’.[2][1] Kelleher, Tricia et al., ‘Should boys and girls be taught together’, perspicacious.[2] Kelleher, Tricia et al., ‘Should boys and girls be taught together’, perspicacious.",t145,p1473
1474,This House believes single-sex schools are good for education,"Boys and girls develop at different times and speeds, therefore they should be taught separately",support,"Co-educational schools attempt to establish uniformity in the teaching of two groups, boys and girls, who typically learn and develop at different speeds and using different methods. ‘They do not develop in the same way or at the same time; boys favour visual processing and do not have the hand-motor control that girls readily achieve in early grades’.[1] It is widely accepted that ‘boys develop more slowly than girls..that’s true at every level of analysis’.[2] Furthermore, they develop physically at different speeds, girls often developing earlier which can lead to bullying from the opposite sex for those who either over-develop or under-develop. Therefore, it should come as no surprise that, at least in the United States, elementary school boys are 50% more likely to repeat a grade than girls and they drop out of high school a third more often.[3]  If they were taught separately and the curriculum and teaching was tailored to their needs, drop-out rates would not be so high nor as vastly disproportionate.[1] Gilbert, M. ‘Single-sex schools help children thrive’. The Christian Science Monitor 20 September 2007.[2] Bronski, M., ‘Single-sex Schools’. Znet, 25 October 2002.[3] Gilbert, M. ‘Single-sex schools help children thrive’. The Christian Science Monitor 20 September 2007.",t145,p1474
1475,This House believes single-sex schools are good for education,Teachers favour their own gender in co-educational schools,support,"Teachers frequently favour their own gender when teaching co-educational classes; for example, male teachers can undermine the progress and confidence of girl students by refusing to choose them to answer questions etc. A recent study by the American Association of University Women found that ‘gender bias is a major problem at all levels of schooling’, asserting ‘girls are plagued by sexual harassment and neglected by sexist teachers, who pay more attention to boys’.[1] As a result, girls tend to fall behind their male counterparts.[1] Kaimer, W. ‘The Trouble with Single-sex Schools’. The Atlantic, April 1998.",t145,p1475
1476,This House believes single-sex schools are good for education,Children need to be exposed to the opposite sex in preparation for later life,attack,"The formative years of children are the best time to expose them to the company of the other gender, in order that they may learn each other’s’ behaviour and be better prepared for adult life. Moreover, the school's role is to prepare its students for life which involves interaction between the sexes, by preventing inter-sexual interaction we hurt the role of the school significantly. The effects of same-sex schools are significant. This creates segregation men and women, this which as a result of a lack of contact between them can create fear and uneasiness between them. This might be compatred to segregation between black and white in the USA or South Africa where the resulting racism and troubles to bond has yet to heal. We already live in a society where women are discriminated against, segregation cannot be the answer to this. Furthermore, the number of subjects benefiting from single-sex discussion is so small that this could easily be organised within a co-educational system. Furthermore, even if girls naturally perform better in an environment without boys, they need to learn how to perform just as well with boys. Dr. Alan Smithers, a respected British schools expert, declared in a 2006 report that ‘distraction by boys was a myth’ and that ‘half a century of research has not shown any dramatic or consistent advantages for single-sex education for boys or girls’.[1][1] Asthana, A. ‘Single-sex schools ‘no benefit to girls’’. The Guardian, 25 June 2006.",t145,p1476
1477,This House believes single-sex schools are good for education,Single-sex schools are manifestations of patriarchal societies,attack,"Single-sex schools are a throwback to the patriarchal society of the past; in many historical cultures, only men were allowed an education of any sort. To perpetuate this is to remind women of their past subservience and to continue to hold them from full social inclusion. In India, where the colonial yoke of British rule remains, the national average for the difference in male-female literacy is 16.7%, with some districts as high as 28%.[1] Single-sex schools discourage female education and make it increasingly difficult for parents to find room for girls in the limited co-educational schools. A push for single-sex education therefore is ‘predicated on outdated, moronic, and destructive gender stereotypes’.[2][1] Times of India, ‘Male-female literacy gap highest in Rajasthan’, Times of India, 5 April 2011.[2] Bronski, M., ‘Single-sex Schools’. Znet, 25 October 2002.",t145,p1477
1478,This House believes single-sex schools are good for education,Single-sex institutions are bad for the emotional health of males ,attack,"Men always say that they do not understand women, perhaps because they were sent to single sex schools. Research has proved that boys who went to single sex schools as opposed to mixed schools are more likely to get divorced and suffer from depression in their 40. This is proof that we should school our children in mixed schools in order to give them the best bill of emotional health. Dr. Diana Leonard, who presented the findings, concluded that ‘Boys learn better when they are with girls and they actually learn to get on better’.[1][1] Garner, R. ‘Why single-sex schools are bad for your health’. The Independent, 1 December 2009.",t145,p1478
1472,This House believes single-sex schools are good for education,no summary,attack,"Other studies have found that women in fact are not any better off in single-sex institutions. A 1998 survey from the American Association of University Women, a long-time advocate of single-sex education, admitted that girls from such schools did not show any academic improvement.[1] That they are more inclined towards maths and sciences is of questionable importance to society as a whole. As the report noted, ""boys and girls both thrive when the elements of good education are there, elements like smaller classes, focused academic curriculum and gender-fair instruction"".[2] These can all be present in co-educational schools. Tidball in her research made the mistake of not controlling for other characteristics, namely socio-economic privileges of those at elite women’s colleges.[3][1] Morse, Susan ed., Separated by Sex a critical look at single-sex education for girls, American Association of University Women Educational Foundation, March 1998.[2] Lewin, Tamar, ‘All-Girl Schools Questioned As a Way to Attain Equality’, The New York Times, 12 March 1998.[3] Kaimer, W. ‘The Trouble with Single-sex Schools’. The Atlantic, April 1998.",p1472,c1472
1473,This House believes single-sex schools are good for education,no summary,attack,"In fact boys and girls are a good influence on each other, engendering good behaviour and maturity – particularly as teenage girls usually exhibit greater responsibility than boys of the same age. Academic competition between the sexes is a spur to better performance at school. Any negative effects of co-educational schools have been explained away by studies as the result of other factors, such as ‘classroom size, economic discrepancies and cultural differences’.[1] Furthermore, the separation of boys and girls only serves to embrace sexual objectification, for they exist for each other only as dates rather than the classmates they would be in a co-educational environment[2]. Allowing them into the same educational environment, in part to permit them to distract each other, is a welcome social development as well as a beneficial learning curve.[1] Bronski, M., ‘Single-sex Schools’. Znet, 25 October 2002.[2] Kaimer, W. ‘The Trouble with Single-sex Schools’. The Atlantic, April 1998.",p1473,c1473
1474,This House believes single-sex schools are good for education,no summary,attack,"Everyone develops at slightly different speeds, however few would advocate everyone should be home-schooled. Ultimately, the curriculum determines the mode of teaching, not the gender composition of the class, and the curriculum can be moulded to suit both girls and boys, faster and slower learners and those with under-developed hand-motor control. If elementary school boys are being forced to repeat grades that is a manifestation of difficulties in learning and as relevant to their proximity to girls in the classroom as it is to the higher-achieving boys. Furthermore, the sociologist Cynthia Epstein argues that in fact ‘there is no consensus among psychologists as to the existence of psychological or cognitive differences between the sexes’.[1] Finally, as Michael Bronski notes, the benefits of same-sex schools cannot be applied across the educational sphere for the private schools where the tests take place admit ‘either only high-achieving pupils or self-select by expelling poorly-performing or misbehaving students’.[2][1] Kaimer, W. ‘The Trouble with Single-sex Schools’. The Atlantic, April 1998.[2] Bronski, M., ‘Single-sex Schools’. Znet, 25 October 2002.",p1474,c1474
