,title,summary,stance,comment,parent_id,comment_id
849,This House believes that a legal qualification is worth the cost,You need a legal qualification to be a lawyer,support,"A law degree is first and foremost a requirement of being a lawyer. Anyone with any interest in working in the legal field, serving as a judge, or even working in a number of governmental and non-profit fields will quite simply need to attend law school at some point. If you are already a recipient of such a degree, it will increase the opportunities for advancement within your chosen career.",t226,p849
850,This House believes that a legal qualification is worth the cost,A legal qualification is a gateway to a number of different career paths.,support,"A JD is not simply a gateway to the legal world. Lawyers work as corporate executives, run movie studios, hold political office, and teach academically. Holding the degree will increase your qualifications, and make it far easier to move up the ladder in whatever field you chose to enter even if it is not a legal one.",t226,p850
851,This House believes that a legal qualification is worth the cost,Law School provides a safe haven from which to wait out a bad economy.,support,"Law school is a good way to spend your time and wait out the bad economy. By the time a law degree has run its course, the economy will have improved, and you will have a lot more options available, whether you still want to be a lawyer or not. Indeed, the UK based law school BPP has previously advertised its courses as a “recession proof investment”, arguing that returns, in terms of wages, on an individual’s course fees could potentially be greater than equities or risky financial instruments. ",t226,p851
852,This House believes that a legal qualification is worth the cost,Admissions tests such as the LNAT exaggerate small differences in performance,support,"Lawyers are often extremely high paid, and occupy a prestigious position in society. A law degree is key to entry to the top tier of society and high income earners.",t226,p852
853,This House believes that a legal qualification is worth the cost,Law school helps graduates to think more clearly making them more attractive to other employers.,support,"Law Schools teaches you to “think” more critically, and legal work offers the opportunity to engage in a largely intellectual pursuit with other highly intellectual individuals. Law students are likely to develop a wider range of intellectual skills throughout their careers, and will be better able to transition in to different jobs and different areas of the legal industry if needed. Moreover, the level of enjoyment that individuals derive from their jobs- and thus the nature of the hedonic calculus that they engage in when determining whether a particular job will fully account for their needs- is linked partly to the variety and difficulty of the tasks they must accomplish. Law represents a sustained and engaging intellectual challenge, and a challenge ideally suited to the skills of most humanities graduates.",t226,p853
854,This House believes that a legal qualification is worth the cost,"A stint at law school is of little value to those who are not pursuing a legal degree, but nonetheless many applicants treat it as a second shot at an Undergraduate degree.",attack,"Individuals increasingly treat Law School as a second shot at their Undergraduate degree. Applicants who failed to get into Russell group or Ivy League institutions the first time around compete obsessively to achieve their dreams on “second chance” while many other applicants are suckered into the image of rich, successful, attractive lawyers presented by the media. Many universities in England, including Oxford, have begun to offer accelerated undergraduate law degrees, which are highly appealing to those seeking to improve on grades received in science or humanities oriented degrees.The result is that a large number of students are not actually thinking about the role that law plays in their communities, or what they want to do with their life, when they apply. The result is that supply and demand in the Law School sector is not driven by the actual demand for Lawyers but instead by the demand for law school places by applicants who may or may not be interested in actually being lawyers, and may or may not have any idea of what the job entails. The explosion in the number of Law Schools in the last ten years, and the consequent growth in the number of law school graduates has not been accompanied by significant growth in the legal sector. A large portion of Law School graduates are therefore not only unable to find gainful employment within their chosen field, but prohibited by debt from finding opportunities elsewhere. Graduate employment has now become a buyer’s market. Law firms are now able to dictate the conditions and pay for first year associates and NQs unchallenged. The demands placed upon young lawyers now range from back-breaking to soul crushing.",t226,p854
855,This House believes that a legal qualification is worth the cost,"The debt incurred in the pursuit of a law degree limits options both within the legal industry, and outside of it, by compelling recipients to seek out the highest paying jobs.",attack,"Legal Work is a dog-eats dog world. Law students are forced into a competition with each other for valuable internships, and then in turn face a brutal competition for summer associate positions. Of every ten junior associates hired, one will be lucky to make partner at a major firm, and the rest will often be faced with a career dead-end at 35 or need to switch careers. For those who do make partner, the opportunities to enjoy the benefits will be limited by pressure to work even harder. ",t226,p855
856,This House believes that a legal qualification is worth the cost,The actual opportunities outside of the top ten law schools are quite limited.,attack,"Because of the supply and demand problems, the actual opportunities outside of the top ten law schools are quite limited.This is not in fact  solely due to their actual quality. It is more a consequence of the fact that the legal job market is so bad, that Firms need to use a proxy for removing applicants from the pool without further consideration, and for many, schools work well.US Supreme Court Justice Anthony Scalia had admitted to not hiring Clerks from outside of the top ten law schools, suggesting that he prefers to trust that the admissions offices at these schools did their job properly. He has maintained this policy despite admitting that it would have prevented the hiring of the best clerk he ever had, who had gone to Ohio State University Law School. While the qualitative outcomes are massively different, the price differential between second and third tier law schools and their first year counterparts is next to non-existent. To the extent it exists at all, those schools on top tend to be able to offer more financial aid. ",t226,p856
857,This House believes that a legal qualification is worth the cost,Failing a law degree can be extremely costly. ,attack,"Law School as a choice has to be weighed against its opportunity cost: what else could someone do with three years and $120,000? How might the long term benefits of this activity weigh up against the consequent benefits of time spent at law school? This is an especially important consideration for those interested in careers outside of the legal profession. Spending some of that tuition subsidizing an internship on Capitol Hill or with a Think Tank or Lobbying firm would be far more likely to lead to later employment in politics than earning a JD and likely offer a politically interested potential law student a far more entertaining and enjoyable experience. Joining the Peace Corp or working for an international non-Profit would both impress the State Department more and be far cheaper than a law degree.",t226,p857
849,This House believes that a legal qualification is worth the cost,no summary,attack,"This argument is simultaneously both a truism, and beside the point. While it is true that someone will need a JD in order to become a lawyer, individuals pursuing those degrees need to understand that they are investing a huge sum of money for an opportunity to take a difficult series of examinations, which if you pass, allows you to apply for a job in the legal field.  These positions are becoming far harder to find, as each year the number of students graduating from law schools increases, while the number of available positions either shrink or remain static. One has to take account of the entire field and its condition before making a leap.",p849,c849
