,title,summary,stance,comment,parent_id,comment_id
4201,This House believes that capital punishment should be abolished in Africa,Encourages a culture of respect for human rights,support,"Capital punishment is, in general seen as a significant human rights violation by the international community - not only most liberal democracies, but much of international civil society.Abolition will help lead to the development of a culture of human rights and the rule of law by acting as a benchmark of progress, and a symbol of a commitment to these principles. It is notable that Guinea Bissau is the only abolitionist nation in the bottom ten countries in Africa for the rule of law – according to the Ibrahim Index of African Governance’s safety and rule of law category, compared to six abolitionist countries in the top ten[1].[1] Mo Ibrahim Foundation, “Ibrahim Index of African Governance”, Mo Ibrahim Foundation, 2013, http://www.moibrahimfoundation.org/iiag/",t429,p4201
4202,This House believes that capital punishment should be abolished in Africa,Justice co-operation,support,"Crime does not stop at national borders. Therefore efforts to fight crime cannot, either. A country that abolishes capital punishment will be in a much better position to cooperate on justice issues internationally.Many states, particularly ones in the Global North, have policies of not extraditing people to jeopardy of capital punishment. Not only could more people be extradited, foreign states may be more willing to provide broader based assistance and co-operation if they see that a state has made steps forward in criminal justice policy.Some states have a policy of not extraditing to states where there is a risk of capital punishment: a particular clause on this is included in the US-Mexico extradition treaty, and it is the position of the European Court of Human Rights.[1][1] Soering v United Kingdom - available at http://www.bailii.org/eu/cases/ECHR/1989/14.html",t429,p4202
4203,This House believes that capital punishment should be abolished in Africa,Diplomatic relations,support,"European states in particular put a particular emphasis on capital punishment when determining human rights issues for foreign policy. The UK for example has a policy of promoting and lobbying for the abolition of capital punishment with foreign governments.[1]This will help generate goodwill for the nation. This could have a whole myriad of benefits - from aid and trade, to being seen as the “good guy” in any international disputes. When using capital punishment the opposite is the case; controversy has been created by the use of UN resources in drugs cases in Vietnam that could lead to executions for drug offences[2].[1] Foreign & Commonwealth Office, ‘HMG Strategy for Abolition of the Death Penalty 2010-2015’, gov.uk, October 2011, https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/35448/death-penalty-strategy-oct-11-15.pdf[2] “UN urged to freeze anti-drug aid to Vietnam over death penalty”, Reuters, 12 Feb 2014, http://in.reuters.com/article/2014/02/12/vietnam-un-narcotics-idINDEEA1B0FL20140212",t429,p4203
4204,This House believes that capital punishment should be abolished in Africa,“Benefits” of capital punishment apply universally,attack,"The same arguments about capital punishment apply in Africa - deterrence value, potential cost savings, and principles of justice.[1] This could be more acute, with growing issues of international crime, such as drugs, growing in Africa[2].Africa has had many issues of conflict and crimes against humanity – these are the kind of crimes that many who are less enthusiastic about capital punishment would still support it for.[1] See “This House Supports the Death Penalty” - http://idebate.org/debatabase/debates/capital-punishment/house-supports-death-penalty[2] See Cockayne, James, “Africa and the War on Drugs: the West African cocaine trade is not just business as usual”, African Arguments, 2012, http://africanarguments.org/2012/10/19/africa-and-the-war-on-drugs-the-west-african-cocaine-trade-is-not-just-business-as-usual-by-james-cockayne/",t429,p4204
4205,This House believes that capital punishment should be abolished in Africa,African values,attack,"Human rights are a concept that take on different conclusions and priorities when applied in different cultural contexts. Protecting the community as a whole, by removing dangerous offenders from circulation, and by a deterrence effect, capital punishment is a manifestation of a form of “African Values” that place more emphasis on the community over the individual than western legal tradition. Capital Punishment has traditionally used for the most serious crimes such as murder as well as some serious religious offenses which it was feared might bring serious consequences for the entire community.[1][1] Balogun, Oladele Abiodun, ‘A Philosophical Defence of Punishment in Traditional African Legal Culture: The Yoruba Example’, The Journal of Pan African Studies, Vol.3, No.3, September 2009, http://www.jpanafrican.com/docs/vol3no3/3.3APhilosophical.pdf, p.47",t429,p4205
4206,This House believes that capital punishment should be abolished in Africa,Capital punishment is a comparatively small issue,attack,"Whatever the merits, capital punishment in Africa is a small issue. Capital punishment opponents should focus on China, which uses capital punishment in a secretive manner for all variety of offences and executes far more people than the rest of the world put together.[1]If Western human rights groups genuinely want to improve human rights in Africa, there are a myriad of issues that affect many more people relating to good governance, political rights and socio-economic rights, rather than just focusing on a small number of individuals, generally convicted of particularly serious criminal offences.[1] ‘Death Sentences and Executions 2012’, Amnesty International, April 2013, http://www.amnesty.org/en/library/asset/ACT50/001/2013/en/bbfea0d6-39b2-4e5f-a1ad-885a8eb5c607/act500012013en.pdf, p.6",t429,p4206
4207,This House believes that capital punishment should be abolished in Africa,Particular need in Africa,attack,"Capital punishment for particularly dangerous offenders is a practical solution for African nations with low quality prison systems, which, through either deliberate policy or basic underfunding, can have poor conditions, or poor security. In 2013, over a thousand prisoners escaped from a prison near Benghazi in Libya[1]. A similar escape with particularly dangerous offenders would be dangerous - a corpse can’t escape.[1] Zway, Suliman Ali, “Amid protests, Inmates escape from Libyan prison”, New York Times, 27 July 2013, http://www.nytimes.com/2013/07/28/world/africa/libyans-turn-on-islamists-and-liberals-after-killings.html?_r=0",t429,p4207
4201,This House believes that capital punishment should be abolished in Africa,no summary,attack,"If anything, abolition could be a seen as a distraction of progress. Even in retentionist criminal justice systems, only a small number of those who go through the criminal justice system are sentenced to death or executed. Behind the smokescreen of reform, things can be hidden. While Russia abolished capital punishment shortly after the end of the Soviet Union, politically motivated prosecutions continue, such as those of the members of Pussy Riot.As for the rankings, correlation is not causation. ",p4201,c4201
4202,This House believes that capital punishment should be abolished in Africa,no summary,attack,States in the Global North already deal with other states with capital punishment in the Global North. Broader based changes to criminal justice system would be needed - if it is desirable for states to make those changes in the first place.The solution for extradition is clear - diplomatic assurances before extradition that capital punishment will not be sought.,p4202,c4202
4203,This House believes that capital punishment should be abolished in Africa,no summary,attack,"It should be for a state to independently determine its criminal justice policy. At any rate, there are some developed states that maintain capital punishment; they are hardly likely to impose diplomatic penalties on other states that do the same.Capital punishment also doesn’t stop states being seen positively. Despite having even worse human rights violations (if you consider capital punishment as a human rights violation) - the US and US-aligned nations in Europe have very strong and positive relations with Saudi Arabia, despite Saudi Arabia’s gender segregation and lack of religious and political freedom. ",p4203,c4203
