,title,summary,stance,comment,parent_id,comment_id
3395,This House believes that it is sometimes right for the government to restrict freedom of speech,The character of every act depends upon the circumstances in which it is done,support,"""The most stringent protection of free speech would not protect a man in falsely shouting fire in a theatre and causing a panic.""[1] Shouting fire in a crowded cinema when there is no fire, and you know it, is wrong because doing so creates a clear and present danger of harm to others.Likewise, in the US (and many other countries) there is no protection for ‘false commercial speech’ (i.e. misrepresentation) and the contents of adverts can be regulated in order to ensure that they are truthful and do not deceive consumers.[2]  On that basis, restrictions can be placed on how tobacco products may be advertised, and people may be prevented from promoting illegal and fraudulent tax advice.[1] U.S. Supreme Court, Schenck v. United States, 249 U.S. 47, 1919, [2] U.S. Supreme Court, Lorillard Tobacco Co v Reilly, AG of Massachusetts, 533 U.S. 525, 200",t480,p3395
3396,This House believes that it is sometimes right for the government to restrict freedom of speech,Protection of Minors,support,"We need to protect minors (those under the age of majority) from exposure to obscene, offensive or potentially damaging materials. While this would be a restriction on the freedom of speech it should be something that the government is responsible for and we would all agree needs some kind of restriction or regulation.",t480,p3396
3397,This House believes that it is sometimes right for the government to restrict freedom of speech,It may be necessary in the interests of national security,support,"The Government must protect its citizens from foreign enemies and internal enemies - thus freedom of speech can be acceptably curtailed during times of war in order to prevent propaganda and spying which might undermine the national interest. This has happened in almost all states during times of war, during the second world war the United States even had a government department dedicated to it; The Office of Censorship.[1][1] Hanyok, Robert J., ‘Secrets of Victory: The Office of Censorship and The American Press and Radio in World War II’, Studies in Intelligence, Vol 46, No. 3,",t480,p3397
3398,This House believes that it is sometimes right for the government to restrict freedom of speech,Holocaust Denial,support,"Speech acts lead to physical acts. Thus pornography, hate speech and political polemic are causally linked to rape, hate crimes, and insurrection.Both scientific creationism and Holocaust denial have serious, and dangerous, hidden agendas. Deniers of the Nanjing Massacre believe that the Japanese did nothing wrong in the Second World War and continue to claim that it was a war of liberation against western colonialism - feeding Japanese militarism today. Holocaust deniers, in claiming that a Jewish conspiracy is responsible for the widespread belief that six million Jews were murdered by the Nazis, are closely allied to anti-Semitism and neo-Nazism. We should not allow such views the legitimacy which being debated gives them.",t480,p3398
3399,This House believes that it is sometimes right for the government to restrict freedom of speech,Free speech allows challenges to orthodox beliefs,attack,"Free speech is not merely a ‘nice thing to have’, it is a mechanism which brings real, tangible benefits to society by allowing people to challenge orthodoxy.  States that do not allow orthodox beliefs to be challenged stagnate and decline.Reducing restrictions on free speech to ‘special exceptions’ frustrates the whole point because it is precisely those special exceptions where established truth needs to be challenged.  This is not restricted to matters of pure opinion – the modern scientific process relies upon professionals being able to vehemently disagree on matters of crucial fact. “Real science depends for its progress on continual challenges to the current state of always-imperfect knowledge.”[1][1] Sarewitz, Daniel, ‘The voice of science: let’s agree to disagree’, Nature, Vol 487, No.7, 5 October 2011, ",t480,p3399
3400,This House believes that it is sometimes right for the government to restrict freedom of speech,Individual Liberty outweighs any potential harms,attack,"Whatever the potential harms that may arise from unrestrained free speech; they pale in comparison to the harm that arises from banning an individual from freely expressing his own mind.It is a matter of the upmost individual liberty that one’s thoughts and feelings are one’s own, and that individuals are free to express those thoughts and feelings openly.   A prohibition on this liberty is a harm of incalculable value – it strikes right to the core of what it means to be in individual person.",t480,p3400
3395,This House believes that it is sometimes right for the government to restrict freedom of speech,no summary,attack,"The argument leads to a slippery slope. It is one thing to regulate speech on matters that are objectively verifiable, quite another to restrict the permissible scope of opinion and expression.  Even then, the state should be extremely cautious about declaring a state of objective fact.  People taking advice on matters such as tax always take the risk that that advice may turn out to be bad, the amount of risk a person is willing to take is entirely a matter of personal responsibility and not a matter that the government should intervene in.",p3395,c3395
3396,This House believes that it is sometimes right for the government to restrict freedom of speech,no summary,attack,Arguments that invoke censorship of materials for minors are just that - arguments for the censorship of materials for minors. They do not concede the general principal that censorship is good because until the age of majority the state has a duty to respect (and to take limited measures to ensure others respect) the parental responsibility of those bringing up children.,p3396,c3396
3397,This House believes that it is sometimes right for the government to restrict freedom of speech,no summary,attack,"The ends do not justify the means. The government may well wish to suppress publication of information that would be prejudicial to its success in the next elections or its war campaign, but it’s in the public interest to know about their dirty dealings or illegal activities.Moreover secrecy in the name of security often leads to injustice; the rendition of British residents and secret evidence given at control order hearings are but a couple of examples.",p3397,c3397
3398,This House believes that it is sometimes right for the government to restrict freedom of speech,no summary,attack,"Society is self-regulating. The link between speech acts and physical acts is a false one - people who commit hate crimes are likely to have read hate speech, people who commit sex crimes are likely to have watched pornography but not necessarily the other way around. Viewers of pornography and readers of hate speech are therefore not incited to commit anything they otherwise would not do.If the advocates of these views have hidden agendas, all the more reason to expose them in public. The fact that Holocaust denial leads to neo-Nazism will, for most people, be one more compelling argument against it; creationism’s necessarily literalistic approach to scripture can easily be shown to be ridiculous. Again, the truth has nothing to fear, and the evil implications of falsehood should not be covered up by refusing to engage with it.",p3398,c3398
