,title,summary,stance,comment,parent_id,comment_id
317,This House believes that open primaries are the most effective method of selecting candidates for el,Increasing voter engagement,support,"A major problem with politics in Western Liberal Democracies is that electorates feel disengaged from the political process as they are generally presented with a choice between parties at irregular intervals without much oversight over the calibre of candidate presented to them by each party.This issue would be countered by introducing Open Primaries for candidates to elections. By making candidates from the same party compete for a party candidacy by appealing to the same group that will choose between all parties in General Elections, voters will have a chance to greater examine each prospective candidate at greater detail, allowing for a more considered choice of candidate than the binary choice made at elections.[1]By giving more time to voters, this will increase interest in what candidates have to say, and allow those of all political persuasions to contribute to the debate, turning contests away from ideology and towards representation.   [1] Hannan, Daniel, ‘Conservative Democrats prove the case for open primaries’, The Telegraph, 18th July 2009, http://blogs.telegraph.co.uk/news/danielhannan/100003880/conservative-democrats-prove-the-case-for-open-primaries/",t42,p317
318,This House believes that open primaries are the most effective method of selecting candidates for el,"Open primaries promote moderate, non-partisan politics",support,"By creating a situation whereby all voters have a potential say in selecting candidates, it can prevent overweening control by party grass roots who may vote for overtly ideological candidates who turn off the moderate voters needed to win elections.An Open Primary is more likely to choose more centrist candidates for the general election, providing a degree of moderation to the process of election and politics in general. This in turn can help foster a consensual atmosphere in political discourse with general agreed points, focusing the debate on more core issues between the main parties.[1]This then means that much more is likely to get done. At the moment American politics is plagued by gridlock both in the states and in Congress. Individuals elected under open primaries are much more likely to be willing to compromise across the aisle.[2] As a result government will begin moving again.[1] ‘Editorial: California should switch to open primary elections’, The Stanford Daily, 12 May 2010, http://www.stanforddaily.com/2010/05/12/editorial-california-should-switch-to-open-primary-elections/[2] Michael Alvarez, R., and Sinclair, Betsy, ‘Electoral Institutions and Legislative Behavior: The Effects of Primary Processes’,  P.2 http://home.uchicago.edu/betsy/papers/Sinclair_BlanketPrimary.pdf",t42,p318
319,This House believes that open primaries are the most effective method of selecting candidates for el,Open primaries promote engagement with political minorities,support,"A major problem with general elections, specifically in countries such as the United States, United Kingdom and Canada which use Majoritarian Simple Plurality electoral systems, is that only two major parties (e.g. Democrats and Republicans) are in contention for power or in some cases representation, leaving those that have loyalties elsewhere feeling disenfranchised from a political system that does not take into account of their point of view.Open Primaries counters this by allowing these voters a chance to vote for candidates of a major party that are closer to their own political persuasion, thus giving as many people as possible the opportunity to register their opinion on who will be their representative for the next term, ending disillusionment with predictable election results. This means that third party candidates may become serious candidates in elections when they pass the primary test.[1][1] Nielson, Susan, ‘Open Oregon’s primaries’, The Oregonian, 13 October 2008, http://www.oregonlive.com/opinion/index.ssf/2008/10/open_oregons_primaries.html",t42,p319
320,This House believes that open primaries are the most effective method of selecting candidates for el,Open primaries prevent the centralisation of party power,support,"Political Parties are able to wield considerable power, controlling their party members and representatives, particularly in Parliamentary political systems. Through use of patronage and the threat of sanctions such as deselection, party leaders are able to manipulate representatives to fulfil their own aims rather than those of constituents.[1]By instituting Open Primaries, the focus of representatives shifts from the party leadership to the constituents whom prospective candidates hope to represent. Scrutiny over the representative’s conduct would be in the hands of the voters, with reselection in an Open Primary being contingent upon the member looking after the interests of their constituents, rather than the interest of the party as is the case in many countries that do not have Open Primary systems.[2] By using Open Primaries, elections once again becomes about representing the people as opposed to being a means to power as is the case under the status quo in countries that do not use it.   [1] Stone, Daniel, ‘Prop 14’s Winners and Losers’, Newsweek, 8 June 2010, http://www.thedailybeast.com/newsweek/2010/06/09/prop-14-s-winners-and-losers.html[2] Triggs, Matthew, ‘Open primaries’, Adam Smith Institute, 16 September 2010, http://www.adamsmith.org/blog/politics-and-government/open-primaries",t42,p320
321,This House believes that open primaries are the most effective method of selecting candidates for el,Open primaries allow the electorate to express nuanced polling choices,support,"Open Primaries allows for the electorate to make a considered choice between candidate and party, with other considerations beyond the partisan being up for consideration.In safe districts, voters are given a choice between members of the same party, allowing for voters to effectively choose the next member based upon past record and views on big issues, allowing for the ideological cleavages within parties to brought under closer examination, with voters in the safe seat choosing the type of Conservatism/Liberalism/Socialism they prefer.[1]This can help to provide choice even when one party is already assured of winning the seat, thus providing a degree of competition in the district, engaging voters in the electoral process.     [1] Skelton, George, ‘California open primaries? Give them a chance’, Los Angeles Times, 11 February 2010, http://articles.latimes.com/2010/feb/11/local/la-me-cap11-2010feb11",t42,p321
322,This House believes that open primaries are the most effective method of selecting candidates for el,Open primaries will distract and confuse the majority of the electorate,attack,"Primary Elections do little more than provide a distraction to the political process. Instead of focusing on the political process for the maximum time possible between elections, politicians are constantly distracted by electioneering, not just to be re-elected but also to seek selection as their party’s candidate.This may create a dangerous precedent of politics being little more than one constant election cycle, with decision being made to please constituents in order to win two elections. We see this the most in the US House of Representatives, where decisions influencing ‘pork-barrel’ spending are made with the main aim of keeping constituents happy in order to avoid primary defeat, to the detriment of government being more disposed to dysfunction.[1]The constant election cycle can cause disillusionment with voters who fail to see tangible effects of what the politicians the elect do yet face constant electioneering. By only hosting general elections, a clear focus is provided for candidates and electorate alike, allowing for scrutiny to be based upon the actions of politicians and the party they represent against the opposition who seek to replace them.[1] Rauch, Jonathan, ‘Earmarks Are A Model, Not A Menace’, NationalJournal, 14 March 2009, http://www.nationaljournal.com/njmagazine/st_20090314_4955.php",t42,p322
323,This House believes that open primaries are the most effective method of selecting candidates for el,Open primaries obscure the distinctions between political parties,attack,"Primaries tend to favour candidates that are more centrist in nature, as non-committed voters are more likely to vote for such a candidate than grass roots members of the party hosting the primary, who are much more likely to prefer a candidate who is more ideological.The dominance of centrist candidates in primaries may lead to convergence between the major parties to the extent that there is little difference between them for voters to choose from in the general election.[1] This creates the harm of not presenting a clear democratic choice to voters, which can help feed the discontent with politics that discontent hopes will be countered by Open Primaries.[1] White, Stuart, ‘Why open primaries are a really bad idea’, NextLeft, 26 May 2009, http://www.nextleft.org/2009/05/why-open-primaries-are-really-bad-idea.html",t42,p323
324,This House believes that open primaries are the most effective method of selecting candidates for el,Open primaries are open to manipulation,attack,"Because political persuasion is no bar to voting in a Primary election, it can make the internal elections within parties be open to manipulation from those hostile to the aims of the party and the candidates running for election.       We have seen instances where ‘unelectable’ candidates have been elected by Open Primary as means of discrediting a party and helping their opponents win the general election. A famous instance of this was in the Democratic Primary for the US Senate seat in South Carolina, where the winner, Alvin Greene became the candidate with little advertising or successful fundraising, leading to accusations of a Republican campaign to make re-election of their incumbent, Jim DeMint, much easier.[1]In other instances, it is also possible that the opposition party can use the election as a means of electing a candidate that most reflects their views, neutering the effect of losing the general election. Either way, Open Primaries can be manipulated to create unrealistic outcomes that neither the party nor the electorate truly want, damaging the political process.  [1] ‘Alvin Greene’s implausible S.C. victory: 6 theories’, the week, 10 June 2010, http://theweek.com/article/index/203864/alvin-greenes-implausible-sc-victory-6-theories",t42,p324
325,This House believes that open primaries are the most effective method of selecting candidates for el,Open primaries will lead to an intensification of lobbying activities,attack,"Elections, particularly in the United States, can be prone to excessive lobbying by various interest groups who fund candidates who are more likely to support their point of view whilst also pouring efforts into ensuring the defeat of those who are opposed to their interests (See the fate of Rep. Richard Pombo, who was defeated after a campaign by the Sierra Club[1]).Primary elections exacerbates this, with 527 groups affiliated to certain interest groups being able to lobby and fund numerous candidates in the primary to ensure that regardless of the result, their interests are best preserved. This can be harmful as it further allows for corporate capture of the election cycle, with candidates positioning themselves in relation to the aims of those who helped them gain the candidacy rather than the voters who put them there. This undermines the ability of legislators to arbitrate between competing claims when making law, creating less effective government.  [1] Carlton, Jim, ‘Pombo Embarks on Fresh Path’, The Wall Street Journal, 22 February 2010, http://online.wsj.com/article/SB10001424052748703455804575058372413222414.html",t42,p325
326,This House believes that open primaries are the most effective method of selecting candidates for el,Open primaries will lead to an increase in disputes internal to political parties,attack,"Primary elections can be extremely damaging to parties as it engenders cleaves and splits which damage chances of election. Election campaigns between candidates from the same party can become feverish, particularly if the contest is close (See the Democratic Presidential Primary in 2008).This can be damaging as parties are made to spend their time focussing their energies on themselves instead of the opposition only to create an image of a divided party that alienates voters who prefer parties who can convey a coherent message about what they can provide for the future.Primaries obscure what a party is about, changing the focus from being about policy and the message of the party to the candidate with personal attributes such as image being of importance. This makes politics much more superficial than it already is.    ",t42,p326
