,title,summary,stance,comment,parent_id,comment_id
3953,This House believes that the Church of England should be separated from the British state.,The church’s involvement undermines the role of the state. ,support,"The role of the state is to protect its people and to create the conditions for its people’s prosperity. The Church does not share these objectives. The Church’s objectives are, instead, to either convert as many people as possible to its own religion, and to ‘save souls’ brining people into its own perceived afterlife.[1] The Anglican church itself considers its mission to be “transformation - transforming individual lives, transforming communities and transforming the world.” “that calling is carried out at the national level of the Church of England in evangelism, development of parish congregations”.[2] Such a mission is inherently aimed solely at benefiting those within the church or those who can be converted not society as a whole.The current confusion of state and Church, therefore, is likely to cloud the state’s judgement and limit the state’s ability to provide the maximum possible prosperity and security for its people.[1] Weller, Paul. “Time for a Change: Reconfiguring Religion, State & Society.” T&T Clark Int’l. 2005.[2] Church of England, ‘Mission’.",t110,p3953
3954,This House believes that the Church of England should be separated from the British state.,Separation would show acceptance of other religions. ,support,"It is important to note that it is not religion in general which has this special access to the state in the UK but the Church of England specifically. This means that the state is showing favouritism to the Church of England over other religions by allowing it a far greater contribution to the running of the state. Therefore, separating the church and the state would put all of the religions in the country on an even level of contribution, which is none, and in the process show acceptance of these other religions.[1]This is especially important as the number of people who identify as following religions other than Christianity in the UK has doubled in the last 20 years.[2] Additionally, many people identify more with their religion than with any country and so this move would help show acceptance of those cultures by the British state.[1] Hannan, Daniel. “The Conservative Case for Disestablishing the Church.” The Telegraph. 2008.[2] Lee, Lucy, “Religion.” In Curtice, John et al. eds., British Social Attitudes Survey 2009. p.180.",t110,p3954
3955,This House believes that the Church of England should be separated from the British state.,Separation would show non-religious people that their contributions to the state are valued. ,support,"In the last 25 years, the number of people in the UK who identify as non-religious has gone up from 31% to 50% of the population, while people in the UK who identify as religious has gone down by the same amount.[1] Clearly then, there are growing numbers of non-religious people in the UK and falling numbers of religious people.Separating the church and the state would highlight that one does not have to be part of a certain religion to contribute to the state. With the non-religious now making up half the population it no longer makes sense for one denomination of Christianity to have such an official connection to the state.[1] Lee, Lucy, “Religion.” In Curtice, John et al. eds., British Social Attitudes Survey 2009. p.173.",t110,p3955
3956,This House believes that the Church of England should be separated from the British state.,International signalling. ,support,"As a government, the UK aims to promote democracy in the international community while reducing the number of countries adhering to other forms of government that do not listen to their people. This includes opposition to theocracies, where the country is run by a religious group according to religious doctrines, particularly in the case of Iran.It is difficult for the UK to legitimately condemn such a governmental system while the Church of England has such a heavy role in the running of its own government. Although these are not on the same level, it can still be perceived as hypocrisy by the international community and the separation of church and state would greatly benefit the UK’s ability to condemn these states.",t110,p3956
3957,This House believes that the Church of England should be separated from the British state.,Separating Church and State in England would be harmful to national identity. ,attack,"The reason the Church of England has the involvement that it does in the state is because it is important part of the UK’s cultural heritage. Completely separating the Church of England from the state would be perceived to many people as severely damaging to British national identity. As a national church the Church of England has been at the heart of the country’s political and cultural life since the sixteenth century, religion helped make Britain the country it is today.[1] A separation would be the country turning its back on this history and its own culture.[1] MacCulloch, Diarmaid, ‘How God Made the English’, BBC, 2012",t110,p3957
3958,This House believes that the Church of England should be separated from the British state.,Separation would create animosity towards immigrants and non-Christians. ,attack,"Currently, we already see problems in the UK with extremist groups blaming immigrants and non-Christian religious groups for pretty much everything from unemployment among whites to a lack of patriotism. Completely separating the church and the state could be seen as a move made due to political correctness and/or to try not to offend immigrants or those from non-Christian religious backgrounds.This would be providing ammunition to extremist groups, as well as inspiring people who do not share these views to sympathise with them. This would be extremely harmful to the groups who are perceived as responsible for this change.[1][1] Iannaccone, Laurence R. “Religious extremism: Origins and consequences” Contemporary Jewry. Volume 20. 1996.",t110,p3958
3959,This House believes that the Church of England should be separated from the British state.,Disestablishment sidelines all religious people. ,attack,"Rather than other religious groups seeing the removal of the Church of England’s involvement of the state as them all being put on a level playing field, it is more likely to be seen as a total removal of religion from the government.[1] Bishop John Pritchard of Oxford argues that Anglican Bishops can be seen as acting as community leaders for all faiths and are respected as such, as a result they often support other religion’s such as Pritchard himself arguing a mosque in Oxford should be allowed to issue the call to prayer.[2]This separation of church and state, therefore, will be seen as a declaration by the government that religious groups have nothing to contribute to the operation of the state. Since nearly 50% of people in the UK identify as religious[3] this is likely to cause a feeling of being undervalued amongst a huge part of society.[1] Gay, Kathlyn. “Church and State.” Millbrook Press. 1992.[2] Bardsley, Fran, ‘Bishop backs mosque’s call to prayer’, The Oxford Times, 11 January 2008.[3] Lee, Lucy, “Religion.” In Curtice, John et al. eds., British Social Attitudes Survey 2009. p.173.",t110,p3959
3960,This House believes that the Church of England should be separated from the British state.,Minimal practical effect. ,attack,"As it stands, the Church of England’s involvement in the state actually has little effect on it. Decisions are taken by the Prime Minister and his/her government rather than by religious officials and indeed the Church of England can often be a vehicle for the government’s views rather than the Church having an influence on government. As Bishop of Rochester Nazir-Ali states ‘The church is seen simply as the religious aspect of society, there to endorse any change which politicians deem fit to impose upon the public.’[1] Therefore, separating the church and the state will make little difference in terms of the way the state is actually run but may result in a reduction of the influence of the government on some of the population.[2][1] Liddle, Rod, ‘The C of E has forgotten its purpose. Why, exactly, does it exist?’, The Spectator, 7 April 2009.[2] Gay, Kathlyn. “Church and State.” Millbrook Press. 1992.",t110,p3960
3953,This House believes that the Church of England should be separated from the British state.,no summary,attack,"The Church does not have enough of an involvement in UK politics for the objectives of the Church of England to have any impact upon how the country is run. The UK government is still run in an entirely democratic way. While the Church is consulted in certain decisions and bishop have seats in the House of Lords, final decisions are still taken democratically by the government.There is in no way enough involvement by the church in the state for it to actually undermine the role of the state.[1][1] Gay, Kathlyn. “Church and State.” Millbrook Press. 1992.",p3953,c3953
3954,This House believes that the Church of England should be separated from the British state.,no summary,attack,"Separation of Church and State would do exactly the opposite; it would create animosity towards other cultures. This separation would be seen by many people, including extremist groups, as pandering to non-Christian religions and cultures in an attempt to show a greater level of acceptance.This would result in people blaming non-Christian religious groups and cultures for the changes and giving ammunition to extremist groups who wish to incite racism. Rather than benefitting immigrants and people who follow non-Christian religions, this would actively harm them.[1][1] Iannaccone, Laurence R. “Religious extremism: Origins and consequences” Contemporary Jewry. Volume 20. 1996. ",p3954,c3954
