,title,summary,stance,comment,parent_id,comment_id
546,This House believes that the US and Israel should join the International Criminal Court.,"The ICC is a force for good, and the all states should be seen to be standing fully behind it.",support,"The International Criminal Court is a major breakthrough in providing a permanent and durable system that can effectively prosecute and independently try war criminals.In the past there was no permanent framework for dealing with grave breaches of human rights protection, often allowing states to perform evil acts with impunity. Only for the very worst atrocities were special courts and tribunals set up. It should also act as a deterrent to future violations; it may not reduce conflict but will encourage states to keep a tighter rein on their militaries.An attempt at a solution to the problem of enforcement of international criminal law is something to be applauded, for the same reason the criminal law on the domestic sphere is – it saves lives, protects human rights and provides civilization to what would otherwise be anarchy.",t129,p546
547,This House believes that the US and Israel should join the International Criminal Court.,"Domestic courts are often incapable of providing a fair trial, when they fail the ICC fills the void.",support,"Domestic legal systems will often suffer from a lack of judicial independence and potentially politicised prosecutions, and are also open to allegations of victors’ justice, or whitewashes by a judiciary biased towards the winners of the conflict.The ICC, as an effective court and with an independent judiciary, provide a suitable and unbiased climate for these cases to be heard in.  While it is difficult to give any former head of state a fair trial, it is even more so in cases involving states divided along ethnic and political fault lines where any conviction could be seen as one based on continuing hatreds rather than evidence and criminal procedure.It is clearly in the interests of the United States and Israel to support the principle that where there is no independent judiciary cases can be moved to a higher level. These states as much as any other desire that those who commit large scale international crimes be brought to book. The ICC for example might provide an alternative method of going after terrorists.In addition, the principle of complementarity – that the ICC should only  prosecute where states have shown themselves unable or unwilling to prosecute - means that when a state can take effective action against war crimes, there will be no role for the ICC. This means that the US and Israel with independent judiciaries should have nothing to worry about unless their judiciary proves unwilling to prosecute if one of their own nationals commits a crime prosecutable by the ICC.",t129,p547
548,This House believes that the US and Israel should join the International Criminal Court.,The American people support ICC membership.,support,In a democracy the voice of the people should carry weight in determining how the country acts internationally. According to a 2005 poll carried out by the Chicago Council on foreign relations 69% of the US population are in favour of US participation in the ICC. This clearly shows that the US people are unconvinced by the arguments on the theorized drawbacks of the International Criminal Court and are happy for it to be ratified. ,t129,p548
549,This House believes that the US and Israel should join the International Criminal Court.,Ratification of the International Criminal Court would be a violation of national sovereignty,attack,"Any state ratifying the Rome Statute, is placing its citizens at the mercy of a court that operates outside of national control. This is an unacceptable ceding of national sovereignty – thus no state other than the US has the power to deal with American criminals, and no one but Israel should deal with Israeli criminals. International criminal law and national sovereignty are inevitably enemiesNot only does the ICC threaten American sovereignty, it threatens the sovereignty of all nations – the ICC can, in some cases, prosecute citizens of nations that are not state parties. Authority for justice within one’s territory is however at the heart of the concept of sovereignty. As a matter of principle the US should not be supporting measures that affect the sovereignty of any nation, let alone the US itself.",t129,p549
550,This House believes that the US and Israel should join the International Criminal Court.,Risk of “lawfare” against Israel,attack,"The specific position that Israel is in, places it at a unique risk of “lawfare”, the use and abuse of the legal process by states for political ends.A particular concern is Article 8(2)(b)(viii), which could be used as a particular tool to attack Israel over the settlements policy. Issues over settlements in the West Bank should be resolved by negotiation during the existing, albeit fractious, peace process, rather than being used as a tool for those who wish to derail good faith negotiations by dragging matters in to the hands of the international courts.Israel has regularly been singled out for particular beration by UN bodies. For example, over half of the country-specific resolutions passed by the UN Human Rights Council have been about Israel, while praising Muammar Gadaffi.   ",t129,p550
551,This House believes that the US and Israel should join the International Criminal Court.,The rest of the world is better off with the US out,attack,"The crucial role that the US plays for international security means that, for the benefit of the rest of the world, it is advantageous for the US to be outside of the ICC jurisdiction.When military intervention is needed , it will often be the US that does so. The US being in a position where its actions would be constrained by a fear of ICC prosecution.This would be even worse if the crime of aggression were to take effect, a broad definition of which could harm US interests. With the notable exceptions of the 1991 Gulf War and the invasion of Afghanistan, most recent US overseas missions could be seen as amounting to the crime of aggression. Depending on the definition used, it has been argued that every single US president since Kennedy has committed the crime of aggression. In an increasingly uncertain world, it could be necessary for the US to interveneAmerican ratification of the ICC would therefore have the unintended consequence of constraining US actions that would otherwise save lives. If the United States does not intervene in cases where there may be considered to be a responsibility to protect then it is unlikely that any other state will either.",t129,p551
552,This House believes that the US and Israel should join the International Criminal Court.,ICC trials violate the due process guarantees of the US constitution,attack,"US ratification of the Rome Statute would lead to the possibility of Americans being subject to trials with procedures that violate the American Constitution. For example, there are no jury trials at the ICC – a majority vote of the judges is enough to convict - is a violation of the Sixth Amendment to the US Constitution.The independence and neutrality of some of the judges may be doubtful if they come from countries with definite foreign policy interests that run contrary to those of the US. This is particularly pertaining to judges who are from backgrounds where judicial independence from the executive is not a defining feature of the legal system who will be more likely swayed by political considerations.There is, in addition, a lack of rules against double jeopardy, and the glacial rate of progress made by the ICC with lengthy waits in pre-trial detention for defendants, affecting the right to a speedy trial. It has also been argued that the procedures for special measures to protect witnesses hamper the defence.",t129,p552
546,This House believes that the US and Israel should join the International Criminal Court.,no summary,attack,"It took nearly two years for the ICC to launch an investigation into atrocities in the Central African Republic. This has helped defeat the argument that it would be faster than the International Criminal Tribunal for the former Yugoslavia and International Tribunal for Rwanda were. So far being indicted by the ICC has had little impact; for example it failed to prevent the election of Uhuru Kenyatta, who is currently facing trial by the ICC for crimes against humanity, as President of Kenya.The ICC is also hamstrung by its inability to capture defendants itself. It can only do so with the co-operation of its member states.The US and Israel have nothing to gain from membership, and everything to lose in terms of being on the receiving end of politically motivated and abusive prosecutions. ",p546,c546
547,This House believes that the US and Israel should join the International Criminal Court.,no summary,attack,"Independent nations are capable of trying war crimes themselves.The ICC is an unnecessary intrusion on national sovereignty. It should be up to each state to determine its own legal system as to how criminal matters should be prosecuted.If the US and Israel do have issues where military officials have broken the international criminal law, they can be dealt with by the existing Courts-Martial of their respective militaries. Both Israel and the US are states that obey the rule of law. The ICC was unnecessary when the US military convicted William Calley for the My Lai massacre, or the Mahmudiyah case.The principle of complementarity is no guarantee as it is up to the ICC itself to determine if the state is unable or unwilling, meaning it could take over a case for its own ends.",p547,c547
548,This House believes that the US and Israel should join the International Criminal Court.,no summary,attack,"Just because there is widespread public support for a thing or measure does not mean that it should automatically be the case. The issue should be debated on its own merits, rather than resting on a potentially ill-informed public. Ratification of treaties is left to congress and the Knesset to ensure that their consequences are properly considered.",p548,c548
