,title,summary,stance,comment,parent_id,comment_id
1499,This House believes that the traditional university will be replaced by online learning,Online courses are more convenient for students than traditional university,support,"The vast popularity of MOOCs can be explained by the fact that people are finding it easier to learn this way. The best feature of online learning that it can be done in the privacy of one's home, which is more convenient than having to move cities or even countries for a university degree. Moreover, online courses are inherently more flexible. Lectures can be watched and tests taken at any time a person desires (within the deadlines), unlike with scheduled lectures and tests at the traditional university. Not only this means a more personal approach to studying, it also provides people with more flexibility to manage their other commitments, such as work and childcare. Such personal and flexible approach to learning will overtake the rigidity of the traditional university.",t162,p1499
1500,This House believes that the traditional university will be replaced by online learning,Online courses broadens access to education,support,"Online courses can expand access to university education. University education is based on the idea of merit - that the brightest people should be enabled to learn - however in real life many different circumstances play a role in one's ability to attend university. The result is that lots of stellar people from less-affluent backgrounds do not even apply to the best universities due to costs and anxiety involved in leaving home. In the United States the bottom 50 percent of the income distribution comprise just 14 percent of the undergraduates at top universities [10]. Online courses allow more bright people to go to a university by definitely removing accommodation and travel costs, and, as some predict, even by lowering or dropping tuition fees [11]. This argument is made even stronger by inherent flexibility of online courses, which means that people can combine studies with work and family obligations better. This improves access to education for the poor within the country and in particularly for those in less developed countries, which then improves meritocracy of the university system.",t162,p1500
1501,This House believes that the traditional university will be replaced by online learning,Online courses are a way to higher academic excellence,support,"Relocating to the best universities is a budgetary concern, but also family and social relations concern for many people, which prevents all the best people from even applying to universities that would suit them the best. Online courses can recruit students from anywhere in the world much easier than traditional universities can because students don't need to travel far away for the best education. This then ensures that universities have better access to the brightest people. For instance, Stanford University's online course on Artificial Intelligence enabled people from 190 countries to join, and none of students receiving a score of 100 percent where from Stanford [14]. Improving the pool of students would automatically result in better academics, professionals and science, which would benefit the society better. ",t162,p1501
1502,This House believes that the traditional university will be replaced by online learning,Online courses would allow universities to use more resources on teaching and research,support,"Traditional Universities are forced to spend a lot on administration and facilities, such as renting and maintaining buildings and parking lots, providing student support for accommodation, renting student halls, subsiding transports costs and meals, supervising university areas and so on. Across 72 US public universities the average administrative cost was about 8% of spending with the highest, at the University of Connecticut at 17% [15]. All these costs can be cut or abandoned all together if universities move to online teaching. There would be no need for lecture halls and student accommodation as students would just work from home, and even professors could mostly work from home. Even if some of administrative costs remain, that would still substantially increase the amount of resources to be spent entirely on teaching and research. This allows universities to improve their academic credentials and their academic output, which benefits the students and the society. ",t162,p1502
1503,This House believes that the traditional university will be replaced by online learning,Online courses encourage sharing of academic information,support,"One of the technical features of MOOCs is that content of courses can easily be shared between universities and learners (as content is freely downloadable). This is useful in two ways. First, people who are not earning credit from the course can have full access to educational materials, which expands knowledge of those not enrolled in the university. Second, less prestigious universities can benefit by learning how to design courses better, so they can offer better services. MOOCs even offer opportunities for universities to cooperate together to offer shared courses that would decrease duplication and increase quality of education [16], which would be of even greater benefit to financially stressed institutions. Shared educational resources would expand access to education even further and drive educational standards higher through university cooperation.  ",t162,p1503
1504,This House believes that the traditional university will be replaced by online learning,Financial model of online courses is unsustainable ,attack,"At the moment some MOOC platforms are non-profit, while even for-profit ones do not pay universities, nor do universities pay MOOC platforms, they might only divide revenue if a revenue stream appears [18]. This essentially means that MOOCs have to rely on traditional financial models of universities to survive – they need the universities to provide materials and the academics and traditional models that are based on the fact that lots of students do not take online courses. However, MOOCs might undermine traditional university funding. For instance, Princeton professor Mitchell Duneier withdrew from Coursera claiming that states use MOOCs as a justification to withdraw state funding from universities [19]. Moreover, some MOOCs consider providing chargeable courses for credit but for a substantially lower price (around 100 dollars for a course), which might draw students away from traditional universities further undermining their existence [20]. This means a depletion of universities financial sources that MOOCs themselves rely on. At the moment there is no way for MOOCs to replace traditional university learning. ",t162,p1504
1505,This House believes that the traditional university will be replaced by online learning,Online courses make it impossible to ensure academic honesty,attack,"With online courses, unlike with actual tests and lectures, there is no way to ensure the person is not cheating on the other side of the screen. There is no way to ensure that essays and papers are written by people who will be getting degrees, and especially that tests and examinations are taken by the people who will be getting the degrees. But even if they are the same people, there is no way to prevent cheating during tests and examinations, as people can just have the cheat sheets in front of them and there are no supervisors to stop them from doing so. The crucial point about university degrees is that they ensure that the person is the professional. With online courses, that is not possible, which undermines the whole idea of the university degree. ",t162,p1505
1506,This House believes that the traditional university will be replaced by online learning,Online courses undermine live communication with professors and other students,attack,"Online courses impair live communication between students and professors and among students. For instance, Coursera professors ask students not to email them because due to high numbers of students taking the course meaning they cannot reply [22]. Moreover, due to pre-recorded lectures, there is no option of asking professors questions. There are no live class discussions. Sure students could email each other, but it is more difficult to freely communicate with people you do not know and never met. It is also difficult to imagine that, given their numbers, students could get personal feedback on their progress from professors themselves, and not, say, teaching assistants (as Coursera does) or even from computers. Lack of personal feedback and engagement with professors and other students in discussions of the material decreases the quality of education. ",t162,p1506
1507,This House believes that the traditional university will be replaced by online learning,Online courses undermine society life of the university,attack,"University is not just a place for learning. A big part of student life is participating in societies and other activities, such as sports, debating, political, philosophical or other interest groups. These provide them with opportunity to explore their talents, do the things they like and also build connections that could be useful after the university. But you cannot do most of these things online as they, unlike studying, are not based on studying materials you can upload. This is why students with online courses would be deprived of these opportunities to develop themselves, build useful connections and get ideas for their further life. This is important for society too as students historically have often been an important political and social actor (e.g. see 1968 France, Athens Polytechnic uprising etc.). ",t162,p1507
1508,This House believes that the traditional university will be replaced by online learning,Traditional universities are a rite of passage to independent life,attack,"For many students leaving for a university is a passage to an independent life, as they often move out out of their parents’ home and even their countries. This means they have to start learning or practically using lots of skills of independent adults, such as financial management, cooking, being crime-aware, networking, and solving communication problems on their own. With online courses students do not leave homes, and essentially do not start using these skills. This takes away an important practice in being an independent adult before the real life, which might leave students less equipped for the real life.",t162,p1508
