,title,summary,stance,comment,parent_id,comment_id
2199,This House believes the Kenyatta and Ruto ICC trials should be  delayed,A delay is necessary for national security,support,"Kenya is at risk of terrorist attack. Al-Shabab, a group linked to Al Qaeda have launched a number of attacks against Kenya. In addition to the Westgate massacre, there have been grenade attacks on bus terminals[1] and suicide bombings in refugee camps[2].Kenya’s waters are also used by Somali based pirates as a ground for attacks on international shipping, including possibly targeting ships travelling towards the port of Mombasa.It is more important to the international community to have credible action taken in order to protect the Kenyan people from terrorism. This needs a strong Kenyan government – which means that there cannot be a change due to an international trial.[1] Associated Press, “Two grenade blasts rattle Nairobi; 1 dead”, USA Today, 25/10/2011 http://usatoday30.usatoday.com/news/world/story/2011-10-24/kenya-grenade-attack/50898570/1[2] Ombati, Cyrus, “Terror suspects die after bombs explode on them”, Standard Digital News, http://www.standardmedia.co.ke/?articleID=2000075252&story_title=Kenya-Terror-suspects-die-after-bombs-explode-on-them",t528,p2199
2200,This House believes the Kenyatta and Ruto ICC trials should be  delayed,Head of state immunity,support,"Traditionally, heads of state have had immunity in foreign courts. This is for the normal functioning of diplomacy – so heads of state can engage in business at other states and travel to summits without the risk of harassment by vexatious claims in foreign courts, or foreign governments trying to attack the decisions of other governments in their own courts.The ICC trying sitting heads of state would set a terrible precedent of a method of regime change – not even by foreign militaries, but by the ICC prosecutor. Regimes should change according to democratic mandate not foreign courts. ",t528,p2200
2201,This House believes the Kenyatta and Ruto ICC trials should be  delayed,Interferes with a democratic mandate,support,"Unlike many of the other ICC defendants, Uhuru Kenyatta and William Ruto have a democratic mandate from elections that “represented the will of the voters”[1] – electoral mandates given to them after their indictment by the International Criminal Court.This must be respected by the ICC and the international community as a whole: even though they are suspected of crimes against humanity by a foreign court.[1] European Union Election Observation Mission To Kenya, General Elections 2013 :Final Report,  http://reliefweb.int/sites/reliefweb.int/files/resources/eu-eom-kenya-2013-final-report_en.pdf",t528,p2201
2202,This House believes the Kenyatta and Ruto ICC trials should be  delayed,Criminal defendants don’t get to pick and choose trial dates,attack,"Irrespective of who they are, Kenyatta and Ruto are nothing special – they’re just another two criminal defendants.A person who is on trial murder or any other offence, whoever they are, can’t pick and choose their trial date for their own convenience or for their own business interests – why should these two particular defendants get a special privilege? Silvio Berlusconi was prosecuted by the Italian courts; the slow speed was due to the glacial pace of the Italian legal system rather than him particularly agitating for a special hold-up. The court cases were not done at his convenience.",t528,p2202
2203,This House believes the Kenyatta and Ruto ICC trials should be  delayed,Kenya needs the trial now,attack,"Without justice, there cannot be peace. Following the total failure of the Kenyan justice system to take action, exemplified by the Parliament’s complete and utter rejection of the Waki Commission, the ICC, which Kenya voluntarily signed up to, has to step in.Ethnic violence still goes on in Kenya[1], and if there is impunity in this case, no message will be sent out: justice must be done and seen to be done to prevent similar abuses and prevent justice being taken outside of the courts.[1] Wachira, Muchemi, “Cattle raids and tribal rivalries to blame for perennial conflict”, Daily Nation, November 18 2012, http://www.nation.co.ke/News/Cattle-raids-and-tribal-rivalries-to-blame/-/1056/1623092/-/2j30fx/-/index.html",t528,p2203
2204,This House believes the Kenyatta and Ruto ICC trials should be  delayed,Kenya would be better off without them,attack,"Kenya does not need or want government by those who hand out illegal title deeds[1] and threaten the freedom of the press[2] as Kenyatta’s government does.In addition to that, the allegations that the president used a banned occult gang, the Mungiki, in order to perform acts of mass murder is enough to end his credibility as a leader in the country – the best interests of good governance in Kenya mean that Kenyatta should go.[1] Chanji, Tobias, “Raila Odinga says title deeds issued by President Uhuru Kenyatta illegal”, Standard Digital, November 25th 2013, http://www.standardmedia.co.ke/?articleID=2000098610&story_title=raila-says-title-deeds-issued-by-uhuru-illegal[2] Shiundu, Alphonce, “President retains punitive fines against media in new law”, Standard Digital, November 27th 2013, http://www.standardmedia.co.ke/?articleID=2000098841&story_title=Kenya-president-retains-punitive-fines-against-media-in-new-law",t528,p2204
2205,This House believes the Kenyatta and Ruto ICC trials should be  delayed,Just hold the trial by videolink,attack,"It has already been agreed that defendants can appear at the court by videolink[1] for parts of the trial. This is not problematic, unless the defendants want to start representing themselves.Bearing in mind that Ruto and Kenyatta have been continuing to co-operate with the trial throughout the process, there is no reason to think that they would flee the international criminal court. Either way, if they change their mind, they could simply not travel to The Hague for the trial.[1] Corder, Mike, “International court changes trial attendance rule”, The Wichita Eagle, November 28th 2013,  http://www.kansas.com/2013/11/27/3145973/international-court-tweaks-trial.html",t528,p2205
2199,This House believes the Kenyatta and Ruto ICC trials should be  delayed,no summary,attack,"Kenya is an advanced state with a functioning system of the rule of law – except for those in power. With modern video technology, Ruto and Kenyatta could oversee the governance of the country from The Hague, or, alternatively, participate in the trial through videolink.Even so, Al-Shabab are unlikely to be defeatable within the terms of Kenyatta and Ruto. Such a delay would only be useful if there was government reform or fresh elections necessary, rather than anti-terrorist action.",p2199,c2199
2200,This House believes the Kenyatta and Ruto ICC trials should be  delayed,no summary,attack,"It is accepted as a position of international criminal law that head of state immunity does not apply before international tribunals[1]. Any such immunity that Kenya had was waived by them joining the ICC, which they did voluntarily.Even so, just because someone has a position of power does not mean they should have impunity from liability for very serious crimes. [1] Case Concerning the Arrest Warrant of 11 April 2000 (Democratic Republic of the Congo v Belgium), 14 February 2002, http://www.refworld.org/cgi-bin/texis/vtx/rwmain?docid=3c6cd39b4",p2200,c2200
2201,This House believes the Kenyatta and Ruto ICC trials should be  delayed,no summary,attack," A previous Kenyan government, operating with a democratic mandate, ratified the Rome Statute. Therefore, there is no interference with Kenyan sovereignty: a Kenyan government legally and lawfully submitted Kenya to the jurisdiction of the ICC.Besides, a “democratic mandate” would not stop the prosecution of a prosecution of someone for an offence committed prior to getting into office, which is what happened in Kenya. Neither is a “democratic mandate” a defence to perform crimes against humanity either in or out of office.",p2201,c2201
