,title,summary,stance,comment,parent_id,comment_id
3832,This House believes the Uhuru Kenyatta indictment was an unwelcome interference by the ICC,The ICC indictment undermines democracy,support,"Uhuru Kenyatta is a sitting president of a democratic nation. This means that he was elected by the people to serve them. By indicting a sitting leader, you undermine their ability to rule the country as they will be forced to spend long periods outside their country focusing on something that is irrelevant to the governance of their country. The ICC has demanded that Kenyatta and Ruto attend the trial in person.[1] By forcing the President and Deputy President to spend long hours away from the country involved in a trial the ICC is effectively disenfranchising the people who voted from him to be their leader. Further, Kenyatta is first and foremost accountable to the Kenyan people, who have chosen him as leader despite these claims. It is clearly unwelcome interference by the ICC for the court to take the President away from his duties.[1] Statement by ICC, ‘Kenyatta case: ICC Trial Chamber V(b) reviews decision on presence of accused at trial’, whereiskenya.com, 27 November 2013, http://whereiskenya.com/icc-judges-kenyatta-case-videolink-kenyatta-must-person-5th-february/",t435,p3832
3833,This House believes the Uhuru Kenyatta indictment was an unwelcome interference by the ICC,Having the president out of the country undermines stability,support,"While Kenyatta and his deputy William Ruto have been visiting the ICC, they should have been leading their countries. While the indictment has occurred both have remained the leaders of their countries, but have been absent while major events such as the Westgate shootings occurred. Despite the need to strong leadership in the midst of a potentially divisive event, Ruto was only granted one week away from trial.[1] Having a clear and stable leadership is important for Kenya to develop, restrict violence and ensure that policy development is able to continue, particularly given the cross-ethnic powering sharing arrangement between Kenyatta and Ruto. Absence of leadership during the fear and uncertainty surrounding this event might lead to a fresh round of violence as supporters take to the streets in protest – this election had put former enemies Kenyatta and Ruto together, easing ethnic tensions in the region[2].[1] Ndonga, Wamubi, ‘Kenya: Ruto Can Return to Kenya For A Week Over Westgate – ICC’, allAfrica, 23 September 2013, http://allafrica.com/stories/201309230358.html[2] ‘Will Africa pull out of the ICC?’, BBC News, 11 October 2013, http://www.bbc.co.uk/news/world-africa-24452288",t435,p3833
3834,This House believes the Uhuru Kenyatta indictment was an unwelcome interference by the ICC,Kenya can prosecute these crimes itself,support,"Kenya has a functioning judiciary and police force. They have successfully prosecuted some individuals for these crimes and it should be left to Kenya to deliver justice for itself. There have been several cases brought before the courts.[1] Kenyans overwhelmingly see the ICC is ‘imperialist’, and 61% want the ICC to terminate its case against Kenyatta.[2] If and when Kenya’s leaders should be tried should be left to the domestic judiciary to decide.[1] Nebehay, Stephanie, ‘UN urges Kenya to probe violence after 2007 elections’, Reuters, 26 July 2012, http://www.reuters.com/article/2012/07/26/ozatp-kenya-un-rights-idAFJOE86P07M20120726?sp=true[2] Wanyama, Henry, ‘Kenya: 61 Percent of Kenyans Want ICC Cases Dropped – Poll’, allAfrica, 1 February 2014, http://allafrica.com/stories/201402030215.html",t435,p3834
3835,This House believes the Uhuru Kenyatta indictment was an unwelcome interference by the ICC,A pointless trial that victimizes African leaders,support,"While the ICC feels free to interfere with African countries it would never dare to do so in a western country; leaders such as George Bush, Tony Blair, Nicholas Sarkozy and others who have launched various armed interventions have not been put on trial. Not only is it victimization and interference the trial of Kenyatta is also likely to be pointless; it is on the point of collapse. The prosecutor Fatou Bensouda has stated “Having carefully considered my evidence and the impact of the two withdrawals, I have come to the conclusion that currently the case against Mr. Kenyatta does not satisfy the high evidentiary standards required at trial”.[1][1] AFP, ‘'Not enough evidence for Kenyatta trial': ICC prosecutor’, Google, 19 December 2013, http://www.google.com/hostednews/afp/article/ALeqM5gogR-q3dBDCH4lzeEEnUnA4kfGag?docId=271e8feb-da06-4fd8-a859-9cc7c1e5a0f6",t435,p3835
3836,This House believes the Uhuru Kenyatta indictment was an unwelcome interference by the ICC,Justice is important,attack,"Justice is important in its own right, for the victims of the atrocities and for the development of Kenya. Victims have a right under the Universal Declaration of Human Rights[1] to have access to justice. Being elected should not be a blanket ban from being prosecuted for your crimes. In fact, the rule of law establishes the principle that leaders are subject to the same laws as all citizens. By seeing leaders being prosecuted for crimes, everyone sees the system working, allowing citizens to trust and buy further into the democratic system. As a consequence, the pursuit of justice is the most important factor above and beyond any claims of interference.[1] Article 8, Universal Declaration of Human Rights. ",t435,p3836
3837,This House believes the Uhuru Kenyatta indictment was an unwelcome interference by the ICC,Breaks cycles of violence,attack,"When violence is not punished, it tends to lead to more violence – such as the lack of prosecutions following the violence occurring after the 1992 and 1997 elections, to which people attribute to the air of impunity in the 2007 elections. This is firstly because people never heal from the initial violence – when justice is not seen to be done, they remain angry and partisan. Secondly however, a lack of retribution leads to increased confidence to repeat and exacerbate acts.  ",t435,p3837
3838,This House believes the Uhuru Kenyatta indictment was an unwelcome interference by the ICC,Kenyans wanted the investigation,attack,"It cannot be unwelcome interference in Kenya’s internal affairs when it was Kenyans who invited the ICC in. It was the Kenyan government that set up the Waki commission under Kenyan Court of Appeals Judge Philip Waki into the violence. It was then this commission that decided to pass the results of its investigation on to the ICC in order to get prosecutions due to the failure to set up a special tribunal.[1] The Kenyan government may have disliked the final outcome of its creation of such a commission but it was undoubtedly asked for by the Kenyan judiciary. Moreover until it became clear that the trial could collapse Kenyans were largely supportive with more than half the country supporting the trial.[2][1] Justice Initiative Kenya Monitor[2] Maliti, Tom, ‘New opinion poll finds rise in support for ICC; many want Kenyatta to attend trial’, Kenya Monitor, 15 November 2013, http://www.icckenya.org/2013/11/new-opinion-poll-finds-rise-in-support-for-icc-many-want-kenyatta-to-attend-trial/",t435,p3838
3832,This House believes the Uhuru Kenyatta indictment was an unwelcome interference by the ICC,no summary,attack,"It would seem to undermine democracy to allow a president accused of violence during an election to continue to serve. Elections are only one part of a democracy; another is a functioning and respected rule of law. When the president has charges to answer he should stand down, at least temporarily. It is wrong to assume that someone who is elected as representative should have some form of immunity and that outside forces should not be able to investigate him; a president has a lot of power to repress minorities. That repression being supported by a democratic minority does not make it any less wrong. Moreover Kenyatta was elected with 50.07% of the vote, not an overwhelming endorsement.[1]  [1] Gatehouse, Gabriel, ‘Kenya Supreme Court upholds Uhuru Kenyatta election win’, BBC News, 30 March 2013, http://www.bbc.co.uk/news/world-africa-21979298",p3832,c3832
3833,This House believes the Uhuru Kenyatta indictment was an unwelcome interference by the ICC,no summary,attack,"Being leader should not allow you blanket immunity from persecution of crimes. If an agreement was able to be reached for these two men, surely a similar agreement can reached for others. Stability might be undermined more if leaders who are proven to committing war crimes are allowed to remain in power where they may do so again. ",p3833,c3833
3834,This House believes the Uhuru Kenyatta indictment was an unwelcome interference by the ICC,no summary,attack,"In the five years since the violence occurred, very little action has occurred from the domestic forces; there have been only two murder convictions for the 1200 deaths.[1] Furthermore, these forces are working for the people they are meant to be investigating. The case of Kenyatta has seen accusations of witness intimidation on large scales, meaning objectivity in local courts is very unlikely to occur[2]. The result of the Waki commission was to hand over alleged perpetrators to the ICC directly, showing that Kenya felt the need to rely on this international framework[3].[1] ‘Kenya: Prosecute Perpetrators of Post-Election Violence’, Human Rights Watch, 9 December 2011, http://www.hrw.org/news/2011/12/09/kenya-prosecute-perpetrators-post-election-violence[2] ‘Perceptions and Realities:Kenya and the International Criminal Court’, Human Rights Watch, 14 November 2013, http://www.hrw.org/news/2013/11/14/perceptions-and-realities-kenya-and-international-criminal-court[3] Wachira, Muchemi, ‘Annan did not ambush Kenya says Justice minister’, Daily Nation, 13 July 2009, http://www.nation.co.ke/News/-/1056/623306/-/ukx8q9/-/index.html",p3834,c3834
