,title,summary,stance,comment,parent_id,comment_id
2110,This House believes the government of Uganda has failed its citizens over LGBT rights,Marginalising the minority,support,"Human rights are fundamental and universal. They do not only apply to a certain group of people and invalid to another such as homosexuals. Criminalising homosexuality in Uganda considers all in the LGBT minority to be worse than second class citizens. Making them almost automatically criminal renders homosexuals sub human depriving them of their identity as Ugandans. The government has a responsibility to protect every citizen but in this case the Ugandan government has taken the first step in rejecting and mistreating its own people.The new law infringes on fundamental rights to privacy, non-discrimination, equality and freedom from cruelty and inhumane treatment[1]. Even before the bill was introduced the government prevented there being room for LGBT activists to explain their cause showing their lack of freedom of expression. This and rights such as equality are universal and fundamental rights that the government of Uganda has on numerous occasions signed up for in the Universal Declaration of Human Rights and the African Charter on Human and Peoples Rights among other documents.[2][1] Reuters, ‘Uganda's Anti-Gay Law Prompts Court Petition’, huffingtonpost.com, 11 March 2014, http://www.huffingtonpost.com/2014/03/11/uganda-gay-bill-petition-_n_4940664.html[2] Organisation of Africa Unity, ‘African Charter on Human and Peoples’ Rights’, achpr.org, http://www.achpr.org/instruments/achpr/#a2",t303,p2110
2111,This House believes the government of Uganda has failed its citizens over LGBT rights,Policy should not be dictated by religion,support,"Article 7 of the Ugandan constitution is clear in its separation of church and state “Uganda shall not have a State religion.” The government must serve all its people equally regardless religious and cultural orientation. But this bill has been created with a religious motive. In his interview defending the anti-gay bill, MP David Bahati lamented, that God doesn’t accept homosexuality quoting a bible verse that the wages of sin is death[1]; as if the Ugandan parliament is filled with righteous souls! The constitution allows freedom of religion and prohibits the creation of political parties based on religion[2]. Laws and policies should therefore not base on bible verses as not everyone will share the same belief to such scriptures.[1] Jack Mirkinson, ‘Rachel Maddow Interviews David Bahati, Author Of Ugandan 'Kill The Gays' Bill’, huffingtonpost.com, http://www.huffingtonpost.com/2010/12/09/rachel-maddow-bahati-uganda-gays_n_794271.html[2] U.S. Department of State, ’Uganda’, state.gov, http://www.state.gov/documents/organization/171644.pdf",t303,p2111
2112,This House believes the government of Uganda has failed its citizens over LGBT rights,The law is contrary to the constitution,support,"Chapter 4 of the Ugandan constitution recognises fundamental rights and freedoms of the individual as inherent and not granted by the State. The constitution states; All persons are equal before and under the law in all spheres of political, economic, social and cultural life and in every other respect and shall enjoy equal protection of the law; Without prejudice, a person shall not be discriminated against on the ground of sex, race, colour, ethnic origin, tribe, birth, creed or religion, or social or economic standing, political opinion or disability[1]. It defines “discriminate"" as giving different treatment to different persons attributable only or mainly to their respective descriptions by sex, race, colour, ethnic origin, tribe, birth, creed or religion, or social or economic standing, political opinion or disability.The government has acted contrary to their own law, with President Museveni remarking that what homosexuals do is disgusting, un African and had no place in his country[2] and MP David Bahati, asserting that homosexuals do not deserve to be treated as humans. Breaching such a law while relying on such logical fallacies is a sign of how the government failed on human rights.[1] DREDF, ‘The Constitution Of Uganda; Chapter 4, human rights and freedoms’, dredf.org, http://www.dredf.org/international/UgaConst.html[2] Mark Duell & Leon Watson, 'Gay people are unnatural and disgusting', says Ugandan president as he signs bill punishing homosexual sex with life in jail’, dailymail.co.uk, 24 February 2014, http://www.dailymail.co.uk/news/article-2566425/Ugandas-president-sign-anti-gay-bill-Monday.html",t303,p2112
2113,This House believes the government of Uganda has failed its citizens over LGBT rights,Rule of the majority,attack,"As a democratic country, Uganda favours and runs according to the will of the majority. This is also part of the constitution that recognises the opinion of the majority where all policies and rules that govern the country should base. With more than 90% of Ugandans against homosexuality and speaking in support of the anti-gay law[1], it was therefore inevitable for the government to pass such a bill despite president Museveni’s letter to parliament to ignore the law[2]. It is not the Ugandan government that has failed its LGBT citizens but the Ugandan people. A democratic government simply responds to what its people wants.[1] Patience Akumu, ‘It pains me to live in a country, Uganda, that hates gay people and 'indecent' women’, thegurdian.com, 22 December 2013, http://www.theguardian.com/commentisfree/2013/dec/22/uganda-gay-laws-target-gays-women[2] Warren Throckmorton, ‘Full Text of Letter From Uganda’s President Museveni to Speaker of Parliament Kadaga Regarding the Anti-Homosexuality Bill’, patheos.com, 17 January 2014, http://www.patheos.com/blogs/warrenthrockmorton/2014/01/17/full-text-of-letter-from-ugandas-president-museveni-to-speaker-of-parliament-kadaga/",t303,p2113
2114,This House believes the government of Uganda has failed its citizens over LGBT rights,Traditional and religious beliefs,attack,"More than 90% of Uganda’s population believe that homosexuality is not part of their culture and should never be accepted[1], its seen as  indecency, criminality and a taboo in the community. This is something the government did not invent and not something it can simply wash out of society. Shelving the bill would not suddenly create tolerance from Ugandan society towards the gay community but instead would isolate and impose a threat to the LGBT community.Others would have tried to create laws anti-gay laws. This ‘kill the Gays bill’ was originally intended to include the death penalty for some homosexual acts such as when one of the participants is a minor, HIV-positive, disabled or a ""serial offender"".[2] The bill is therefore considerably better than what the alternative could have been – the government has done its duty and moderated it. Any wider change to the culture of the country is not the duty of the government.[1] Patience Akumu, ‘It pains me to live in a country, Uganda, that hates gay people and 'indecent' women’, thegurdian.com, 22 December 2013, http://www.theguardian.com/commentisfree/2013/dec/22/uganda-gay-laws-target-gays-women[2] BBC News, ‘Uganda Anti-Homosexuality Bill: MPs drop death penalty’, 23 November 2012, http://www.bbc.co.uk/news/world-africa-20463887",t303,p2114
2115,This House believes the government of Uganda has failed its citizens over LGBT rights,Not passing the bill would bring a threat to the public peace,attack,"Homophobia in Uganda was not introduced by this law. Refusing to sign the bill into law would result in increased brutality and cruelty to the LGBT minority from the majority of citizens who were angry that president Museveni even considered vetoing the bill. Shortly after the president’s letter to parliament requesting the shelving of the bill was revealed, thousands of Ugandans took on to the streets protesting against the move complaining that homosexuality will never be allowed in their society. Known gay Ugandans were forced not to move while others were attacked in their homes. Long before the bill was passed by parliament, homosexuals and LGBT activists were beaten, harassed and killed by their fellow Ugandans. David Kato a leading figure in demanding equal rights for the gay minority was killed in January 2011[1]. The situation may have worsened had the bill been shelved as angry Ugandans would attack the gay community seeking revenge, something that they made clear would happen during the anti-gay protests. Most Ugandans had supported a death penalty for homosexuals and clearly have few qualms about launching attacks, sometimes murderous against homosexuals.[1] BBC News, ‘Obituary: Uganda gay activist David Kato’, bbc.co.uk, 27 January 2011, http://www.bbc.co.uk/news/world-africa-12299786",t303,p2115
2110,This House believes the government of Uganda has failed its citizens over LGBT rights,no summary,attack,Homosexuality has been illegal in Uganda since colonialism. It was signed into law and amended in Uganda’s constitution but did not change after independence. The blame should therefore go to the British not Ugandan government. If it is a violation of human rights then it is a violation that has been occurring for decades. The long term effect has been that Ugandans now are agreed that LGBT people are not a minority but criminals who deserve punishment.,p2110,c2110
2111,This House believes the government of Uganda has failed its citizens over LGBT rights,no summary,attack,"Although religions supported the anti-gay law, it is not solely a religious issue; the majority of Ugandans believe that homosexuality is contrary to their traditional values and all the anti-gay protests were inclusive regardless of religious denominations. It is therefore wrong to assert that the law was passed as a religious initiative. A separation of church and state does not mean the government should never run policies that the religious want simply that the government should not be favouring a particular religion. ",p2111,c2111
2112,This House believes the government of Uganda has failed its citizens over LGBT rights,no summary,attack,"In the same chapter, the constitution states that nothing within the article shall prevent Parliament from enacting laws that are necessary for implementing policies and programmes aimed at redressing social, economic or educational or other imbalance in society; or providing for any matter acceptable and demonstrably justified in a free and democratic society[1]. It is on this clause that most officials have based their support for the anti-gay law. The majority of Ugandans deem homosexuality immoral and unacceptable. There is therefore a democratic reason to enact such a law. The law is justified by democracy.[1] DREDF, ‘The Constitution Of Uganda; Chapter 4, human rights and freedoms’, dredf.org, http://www.dredf.org/international/UgaConst.html",p2112,c2112
2113,This House believes the government of Uganda has failed its citizens over LGBT rights,no summary,attack,"Democracy is not just about enabling a tyranny of the majority. It is about enabling everyone have a say in running the country and about protecting the rights of those minority viewpoints. Simply accepting that the majority is always right is the path to populist dictatorship; most people can be bought by promises of better times ahead and attempts to put the blame for any problems on minority groups. Human rights are intrinsic and cannot be determined on what the majority or civil society believes. The simple maxim ‘do unto others what you would have them do to you’ shows why minorities need to be protected. Everyone is a minority in something whether it is because they are a particular ethnic, sexual, language group or the views they hold we would not want to be discriminated on the basis of that aspect of ourselves. Where the majority wants to harm the minority the role of the government is to protect the minority. The bill was introduced to parliament individually by MP David Bahati[1] who spearheaded it through the end not the large Ugandan majority and the government should have stopped it.   [1] The Economist, ‘Uganda’s anti-gay law; Deadly intolerance’, economist.com, 1 March 2014, http://www.economist.com/news/middle-east-and-africa/21597943-diplomatic-pressure-did-not-stop-absurd-law-deadly-intolerance",p2113,c2113
