,title,summary,stance,comment,parent_id,comment_id
2277,This House supports protection of the French Language in the face of Franglais,Protection of identity,support,"Franglais has connotations of English and French conflict such as the Norman conquest and the Hundred Years’ War and is a mark of disrespect and impertinence towards the French. Therefore, for the French culture to be immersed in this is ridiculous and immoral and the French people deserve to have their language protected against it.For example, as explained by Nicholas Ridley, Winston Churchill addressed General de Gaulle during the Second World War with an unrefined Franglias-ridden threat; “Monsieur le General, markez vous mes mots. Si vous me doublecrosserez, je vous liquidaterai”[1] (sic!) In this quotation, (which is not standard French) Winston Churchill made up the ‘French’ words and phraseology by taking English words and applying French grammar endings thereto in order to be rude; He was using Franglais to embarrass the French.Therefore, the increased protection of the French language is necessary so that the English terminology that carries with it connotations of derision against the French be dissolved.[1] Ridley, Nicholas, My style of government: The Thatcher years, Hutchinson, 1991, page 159",t425,p2277
2278,This House supports protection of the French Language in the face of Franglais,Protection of language is protection of national identity. Society reflects language and language reflects society.,support,"How a people see the world is encased in the words they use to communicate with each other and the words they use to write songs, poems and stories about their people’s history and experiences. Culture is inseparable from language. For example, the ‘e’ on the end of a word that is silent in everyday speech becomes pronounced in French poetry and song when it figures on the end of a line, thus adding an extra syllable to that line, and so “femme” on the end of a line of poetry would not be pronounced “fam”, but “fam-mer”, and so an extra syllable results. This principal also helps to create more rhymes within the poetry and song. Therefore, in order to keep the French culture alive, we must too protect its home language from falling to the globally dominant language of English. This is why we need an increased awareness and presence of francophone art; higher quotas of Francophone songs on the radio and the same of Francophone programmes on television. These two examples demonstrate how the culture itself can be better protected when the language is better upheld.",t425,p2278
2279,This House supports protection of the French Language in the face of Franglais,Franglais interferes with the four established levels of the French language.  ,support,"There are four levels of French language. In descending order of formality these are; Précieux (snobby, poetic), Soutenu (literary, written), Courant (public, administrative), Familier (informal language, non-standard popular terms), Argotique (very informal language, offensive if used in the wrong context or said to a stranger).[1] “the Middle Ages (ninth century – fifteenth century)…[saw] the emergence of a new standard language, replacing Latin.”[2] Since French - if not began, at least ‘grew up’- it has functioned with these four levels of formality. Franglais is not standard French, although many Franglais nouns (un post-it, un walkman) would be acceptable in a formal context, and its presence, uprising and prevalence threatens the use and survival of the more formal versions of the language.It is important that the French people are not seduced by the English language but instead know their mother tongue properly and can appreciate and understand these four levels. The acceptance of Franglais and Anglicisms within the French language means there could well be a whole generation of French whose mother tongue is punctuated and littered with Anglicisms.If English influences are allowed to prevail in the French language, then soon any linguist who writes about the French language will only be able to see it in relation to the English language that influences it; and not as a language in its own right with those four differing levels of formality.If the French language is protected, it will not only be protected against English but against becoming degraded into a language littered with wrong usage; good French will be upheld and defended against bad French.[1] Lodge, R. Anthony, Exploring the French language, John Wiley and Sons, 1997, (page 28)[2] Lodge, R. Anthony, Exploring the French language, John Wiley and Sons, 1997, (page 44)",t425,p2279
2280,This House supports protection of the French Language in the face of Franglais,There are official french alternatives,support,"The French often call the use of Franglais “Anglo snobberie” and those who use it as opposed to the standard version of their mother tongue “Anglo snobs”.This is why the organisation Defense de la langue française (DLF)[1] exists – to invent terminology that prevents the French language from embracing yet more Franglais. The movement supports the use of such words as un balladeur as opposed to un walkman. Défense de la langue française also regulates the quota of Francophone songs that must be played at peak listening hours on French radio stations. Public opinion must be taken into account; the French DO express opposition to the anglicising of their language and so the Défense de la langue française must be brought into effect, for this is the purpose it seeks to serve and it exists to solve these very problems.[1] Défense de la langue française, Home page",t425,p2280
2281,This House supports protection of the French Language in the face of Franglais,The French language is still increasing in relevance through the European Union,support,"The French language cannot realistically survive if is not upheld as a relevant and respected language in official contexts. It is a very emotive and sensitive issue for the French people. The EU was founded by a Frenchman, Robert Schuman, France and Germany were two of the five founding members, the Union was created to ally France with Germany and before Britain joined, the French vetoed Britain’s entry. Now, the French feel their part is Europe is becoming diluted by the use of English. By forcing them to accept the English language in the context of an EU meeting only opens the gate to making them accept the same rules as other nations; if their own language is silenced, so too is their voice of expression and opposition.The following example demonstrates the reality of the threat to the French language being used correctly in formal contexts. In March, 2005, the then French Prime Minister Jacques Chirac shocked and appalled his people by making an address to the European Union in English. French representatives present walked out in protest.The Times reported in Franglais and somewhat comically on the predominance of English in the Union; ""Ils s’adresseraint l’Union Européenne cinq fois every day en franglais"" (sic!).[1] When translated from Franglais into English, it reads They address the European Union every day in Franglais. The article implies that Franglais has overtaken standard français as the accepted means of French communication within the European Union.It is time for more language protection through active measures by the French Government and Défense de la langue française took the matter of defending the French language seriously, and so the measures of increased exposure to French language songs, television shows and films is necessary, as are more French –sounding nouns for referring to modern inventions which are generally just known by their English names in France.[1] The Times, Saturday, 25th March, 2005",t425,p2281
2282,This House supports protection of the French Language in the face of Franglais,The French Language has always absorbed and embraced the influence of foreign languages,attack,"Previously, foreign languages have even been used in France instead of French. As explained in Exploring the French language, “from the fourteenth century onwards the dialect spoken by the King and his court gradually acquired greater prestige and began to replace Latin as the language of writing, government and education.”[1] Up to this point, Latin was used in France as the language of the legal courts and education establishments. The fact that foreign languages continue to have a high profile in France is because it has always been the case. [1] Lodge, R. Anthony, Exploring the French language, John Wiley and Sons, 1997, page 44",t425,p2282
2283,This House supports protection of the French Language in the face of Franglais,The stereotype that the French are resistant to English and Anglophone influences is nothing but Francophobic scaremongering driven by British tabloids.,attack,"The French are not closed to the English language as much as anti-EU press would have the British believe. M. Nicolas Sarkozy, the French Prime Minister, wants France to be a bilingual nation with the ability to speak both French and English and to change between the two at will. It is impossible for the French to have this level of respect for the English language and to be anti-Franglais. Franglais is to be expected as a hangover, a residue from the platform and welcome given to the English language in France. ",t425,p2283
2284,This House supports protection of the French Language in the face of Franglais,Anglophones use French terminology as well. ,attack,"This borrowing the two languages works both ways. As a hangover from the Norman Invasion, there are often more than one English words that pertain to the same concept and for each of these, one option is of French origin. For example to ‘ask’ and to ‘demand’; the latter is derived from the French noun demander (seen here in the infinitive) meaning to ask.Moreover, it is commonplace for Anglophones to use Gallicisms (French terminology); je ne sais quoi, cul de sac, pour encourager des autres, au contraire, en route, têtê à têtê, rendez-vous are all French terms fully understood to an Anglophone’s ear and in regular use. The French language is not being victimised by its speakers’ use of Franglais, it is a natural occurrence; as a result of shared Anglo-Franco history, the nations now adopt phraseology from each other’s language. No governmental measures can ever change or affect this natural linguistic activity and so political intervention on this issue is a waste of time. ",t425,p2284
2285,This House supports protection of the French Language in the face of Franglais,The State cannot control what its people want.,attack,"In the same way that theatres stay open because the public vote with their feet, languages stay alive because people vote with their tongue.  The Scottish language (Gaelic) is very rarely spoken for the same reasons that Welsh is so heavily protected; necessity and desire to use it. As Gaelic is spoken in the Highlands where the population is low it remains a rare language. If, like Welsh, it were spoken by a high population and used in the spheres of business and commerce in the main cities, it would have survived better. Franglais is similarly surviving due to necessity- it economises the effort of translating modern English terms that refer to technology, etc. into French and out of desire; the French clearly enjoy this playful fusion of their language with that of their historical rival.If the French Government and Défense de la langue française seek to influence which words people may and may not use, this is censorship and is wholly wrong.",t425,p2285
2286,This House supports protection of the French Language in the face of Franglais,"It is not the English language that is taking over French language, it is English products.",attack,"Newly invented products from the English-speaking world give rise to Franglais, for the Franglais terms tend to be for newly invented products. Therefore, it is not Anglicisms taking over the French language, but products from the English-speaking world. The French would never rename Toyota or Mitsubishi, so it is merely sensible to refer to foreign products in their original language.",t425,p2286
2277,This House supports protection of the French Language in the face of Franglais,no summary,attack,"There is a need for a progression in attitudes. The past and political history should not impinge on our freedom to choose our own words in the modern day, particularly when those political divisions no longer exist.  An example is that the English call a certain flower a sweet William, but the Scots name it a stinking Billy as a result of the king who oppressed the Scots in favour of the English. However, England and Scotland have been unified for some three hundred years. Scotland has not elected independence, although such a party exists. Therefore, the memory remains, reflected by and encased in this use of language, but the original emotion does not.  Previous negative connotations of using Franglais or English to be rude to the French happened in the past where they belong. Surely, if the French use English themselves, they reclaim, take back, and use in defiance a language structure that has previously been used impertinently towards them.",p2277,c2277
2278,This House supports protection of the French Language in the face of Franglais,no summary,attack,"But these two nations DO have shared history and these Anglicisms in the French language are only a reflection on this. For example, the British call a particular brass instrument a French horn, but the French call it un cor anglais, in translation, an English horn. Certainly, how a people see the world is encased and reflected in the language they use, and their history and their relations with other nations is not separable from this vision of the world. Au contraire, it is integral to it. It is unlikely that historical events embedded so deep in memory that are reflected through language are likely to disappear just because certain words are deemed unacceptable by a certain body like Défense de la langue française.",p2278,c2278
2279,This House supports protection of the French Language in the face of Franglais,no summary,attack,"Quod semper (as it always was). French has previously relaxed the formality of its language and has always changed by absorbing foreign influences. Latin was the language of the legal courts and of schools and universities until the fifteenth century, when French became acceptable in these settings. Until then, French was used as the medium in less prestigious contexts.As explained in Exploring the French language, “we can say that the core of French vocabulary comes from Latin.”[1] However, this is not the only foreign influence; “from the eighth century BC and for about 1000 years, the inhabitants of Gaul spoke a Celtic language (Gaulish)…As the Gauls shifted language, it appears that they brought over into their Latin a Gaulish ‘accent’ and a certain number of Gaulish words have remained in the (French) language ever since e.g.carrum> chardunam> dune”.Similarly, Germanic languages have also given rise to words in the French language. To protect French in the face of Franglais is to arrest the natural development of the French language and foreign-infused changes that have always occurred therein. No governing language body would be able to affect the natural way in which language and word meanings change and develop, and so protection of the French language seems futile and unrealistic.[1] Lodge, R. Anthony, Exploring the French language, John Wiley and Sons, 1997, (Page 42)",p2279,c2279
