,title,summary,stance,comment,parent_id,comment_id
3076,This House supports public service broadcasters,PSBs provide quality and original content that can cater for niche or commercially unattractive market segments,support,PSBs create unique content which private broadcasters would be unable to produce as they strive for mass market appeal to satisfy the demands placed upon them by commercial interests looking to purchase advertising. PSBs create more educational and minority output which enriches society rather than just entertaining it.PSBs can concentrate on creating high quality programming across all genres rather than simply producing mediocre populist programming such as low-cost game shows and reality TV. For example it is unlikely that commercial broadcasters would have aired nightly university lectures as the BBC did with its partnership with the Open University. PSBs are usually among the highest investors in the domestic content industries and nurture local creative talent. ,t457,p3076
3077,This House supports public service broadcasters,PSBs bring nations and people together and are an actively positive force within the mediasphere,support,"As well as airing programming for minorities which the private broadcasters would not provide,  by providing and presenting content in a manner that resonates with the society in which they operate and by offering universal and affordable access to such content (see definition in the introduction) PSBs can also help  bring people together and thus promote social cohesion. PSBs are able to put people and society first before financial and commercial interests. For example the BBC in its 2005 “Building Public Value” report states that it “aims to serve its audiences not just as consumers, but as members of a wider society, with programmes and services which, while seeking to inform, educate and entertain audiences, also serve wider public purposes”.[1][1] BBC (2005) Building Public Value. [online] [Accessed 1st June 2011] Available at: http://downloads.bbc.co.uk/aboutthebbc/policies/pdf/bpv.pdf",t457,p3077
3078,This House supports public service broadcasters,"PSB are better equipped than private broadcasters to air accurate, objective and impartial information and programming",support,"Advertising limits the types of programming and stories commercial networks will run as they may fear losing lucrative advertising deals with large corporations. As PSBs do not rely (solely) on advertising they are more likely to air programming which is critical towards the practices of large corporations and serve the public interest. For example, In August 2011, PBS aired Food Inc., a documentary that ‘lifted the veil on (the US’) food industry…exposing the underbelly that’s hidden from the American consumer with the consent of (the) government’s regulatory agencies’.[1][1] PBS (2011). “Food, Inc. – Synopsis”. [Accessed 6th September, 2011]. Available at: http://www.pbs.org/pov/foodinc/",t457,p3078
3079,This House supports public service broadcasters,The relationship between governments and PSBs can be problematic,attack,"The broadcast media has so much power to form opinion that it is dangerous to give politicians too much influence over it. Once in government, a political party can use public ownership and control of television and radio stations to manipulate both the news agenda and its editorial policy - as many Middle-East regimes did during the 2011 Arab Spring. For example in Egypt, during sustained and substantial protests aimed at removing President Hosni Mubarak from office the state run media described protestors as “... ‘Vandals’ and ‘hooligans’. A few hours after Mubarak’s fall, the ‘vandalisers’ had become ‘heroes’, and what [they] had previously described as ‘chaos instigated by foreign powers’ had suddenly become ‘a glorious revolution.’”[1][1] Diab, O. (2011) New Egypt, New Media. [Accessed 1st June 2011] Available at: http://www.guardian.co.uk/commentisfree/2011/mar/10/egypt-media-newspapers-mubarak-propaganda",t457,p3079
3080,This House supports public service broadcasters,Privatising PSBs would improve the efficiency of their operations and the quality of their programming,attack,"Privatization would be good for public broadcasters, exposing them to the bracing impact of proper competition and forcing them to focus more effectively upon their strengths while producing efficiencies. When it was privatized, it was expected that New Jersey Public Television could save the state $11million a year.[1] Freed from government control, they would be less exposed to political decisions about the level of license fee or direct subsidy, and better able to raise finance in the capital markets. This would allow them to compete internationally in the changing digital marketplace, developing commercial operations, and ploughing increased profits back into better program making for their domestic market.[1] McGlone, Penny. (2011) “N.J. public television to undergo name change, cuts in staff”. The Star-Ledger, 7 June 2011. [Accessed 23 August 2011] Available at:  http://www.nj.com/news/index.ssf/2011/06/nj_public_television_getting_n.html",t457,p3080
3081,This House supports public service broadcasters,"PSBs funding sources give them an unfair advantage in the broadcasting market, harming competition.",attack,"Public ownership of the media distorts competition, harming private companies in their domestic marketplace and their ability to compete internationally. It does this because the government is funding a service that could be supplied profitably by the private sector - for example, a pop music radio station or the broadcast of sporting events. The market share of private companies inevitably suffers, along with their ability to raise advertising revenue based upon the size of their audience. This means that private broadcasters end up with less money to spend on their programmes and are less well placed to compete internationally. James Murdoch, son of the medal mogul Rupert Murdoch, in his MacTaggart Lecture at the Edinburgh Television Festival in 2009 echoed this opinion stating that the free news output by the BBC “""threatens the provision of news in Britain"".[1][1] The Independent (2009) The BBC’s Unhealthy Dominance. [Accessed 1st June 2011] Available at: http://www.independent.co.uk/opinion/leading-articles/leading-article-the-bbcs-unhealthy-dominance-1778976.html",t457,p3081
3076,This House supports public service broadcasters,no summary,attack,"Commercial broadcasters have to directly interact with their audience to ensure that the programming being provided is what the public actually wants to consume. Commercial broadcasters have to pull in audiences whereas the (partly) publicly funded PSBs have a financial safety net which allows them to push content onto the audience in an elitist manner and allows them to essentially tell their audience what is good for them. It is also erroneous to suggest that minority tastes are not served by commercial broadcasters. Technology has allowed for a greater number of broadcast channels and as a result many of these specialize to cater for particular niches, for example, The History Channel.",p3076,c3076
3077,This House supports public service broadcasters,no summary,attack,PSBs are a thing of the past. People no longer sit around the Television together. Commercial broadcasters provide more cultural freedom and choice for people. The idea of TV bringing a nation together no longer holds any merit in fragmented globalizing media markets where individualism dominates. TV is now more often than not a solitary experience rather than a communal one. This can be demonstrated by the amount of TV sets owned per household. A marketing report from Nielsen shows that in 1980 49% of US households had only 1 TV set and that 15% had three or more. Compare that with data from 2010 and only 17% of people in the US own only 1 TV set whereas 55% have 3 or more.[1][1] Nielsen (2010) U.S. Homes Add Even More TV Sets in 2010. [Accessed 1st June 2011] Available at: http://blog.nielsen.com/nielsenwire/consumer/u-s-homes-add-even-more-tv-sets-in-2010/,p3077,c3077
3078,This House supports public service broadcasters,no summary,attack,The same could be said equally about PSBs. They are unlikely to broadcast items which may damage their funding stream. In the case of networks using the underwriting model they are also unlikely to broadcast things which underwriters do not approve of. Due to the fragmented and competitive broadcasting market place there will always be a home for programming which challenges businesses and other entities if there is enough public interest in the given issue.,p3078,c3078
3079,This House supports public service broadcasters,no summary,attack,"It is true that government should not be allowed a monopoly over broadcasting, but that is very rare outside totalitarian states. Usually countries have at least one privately owned broadcasting network competing with the public media and so limiting political manipulation by the State. In addition, corporatization, as with the BBC in the UK, or CBC in Canada, sets the broadcaster up as accurate and impartial, allowing for the benefits of public ownership without the risk of political interference. Instead, the greatest risk of bias lies within a purely private broadcasting sector, where the high costs of entry and technological development encourage consolidation to the point where powerful individuals, such as Silvio Berlusconi in Italy, can manipulate the broadcast agenda in their own interests. Without the balance guaranteed by public service media, meaningful participation by all citizens in the social and political lives of their societies and fair elections might become impossible.",p3079,c3079
