,title,summary,stance,comment,parent_id,comment_id
480,This House would allow parents to monitor their children's online and mobile communications.,Monitoring prevents cyberbullying.,support,"Social approval is especially craved by teens because they are beginning to shift focus from family to peers. [1] Unfortunately, some teens may resort to cyberbullying others in order to gain erroneous respect from others and eliminate competitors in order to establish superficial friendships. Over the last few years a number of cyberbullying cases have caused the tragic suicides of Tyler Clementi (2010), Megan Meier who was bullied online by a non-existent Josh Evans whom she had feelings for (2006), and Ryan Halligan (2003) among others. [2] Responsible parents need to be one step ahead because at these relevant stages, cognitive abilities are advancing, but morals are lagging behind, meaning children are morally unequipped in making informed decisions in cyberspace. [1] One important way to make this guidance more effective would be if parents chose to monitor their children’s digital behavior by acquiring their passwords and paying close attention to their social network activity such as Facebook and chat rooms, even if it means skimming through their private messages. Applying the categorical imperative, if monitoring becomes universal, then cyberbullying will no longer be a problem in the cyberspace as the perpetrators would be quickly caught and disciplined.[1] Bauman, Sheri. Cyberbullying: a Virtual Menace. University of Arizona, 2007. Web. May 2013.[2] Littler, Chris. “8 Infamous Cases of Cyber-Bullying.” The Sixth Wall. Koldcast Entertainment Media. 7 Feb 2011. Web. May 2013.",t287,p480
481,This House would allow parents to monitor their children's online and mobile communications.,Monitoring allows parents to correct children who are wasting their time. ,support,"Parents also need to monitor their children to ensure that they are properly using the time they have with the computer and the mobile phone.  According to the Kaiser Family Foundation 40% of 8- to 18-year olds spend 54 minutes a day on social media sites.[1] and that “when alerted to a new social networking site activity, like a new tweet or Facebook message, users take 20 to 25 minutes on average to return to the original task” resulting to 20% lower grades. [2] Thus, parents must constantly monitor the digital activities of their children and see whether they have been maximizing the technology at their disposal in terms of researching for their homework, connecting with good friends and relatives, and many more.[1]        Foehr, Ulla G., Rideout, Victoria J., and Roberts, Donald F., “Generation M2 Media in the Lives of 8- to 18-Year-Olds”, The Kaiser Family Foundation, January 2010, p.21[2]        Gasser, Urs, and Palfrey, John, “Mastering Multitasking”, Association for Supervision and Curriculum Development, March 2009, p.17",t287,p481
482,This House would allow parents to monitor their children's online and mobile communications.,Monitoring decreases children’s involvement with pornography. ,support,"A 2005 study by the London School of Economics found that “while 57 per cent of the over-nines had seen porn online, only 16 per cent of parents knew.” [1] That number is almost certain to have increased. In addition sexting has also become prevalent as research from the UK suggests “over a third (38%) [of] under 18’s have received an offensive or distressing sexual image via text or email.” [2] This is dangerous because this digital reality extends to the real world. [3] W.L. Marshall says that early exposure to pornography may incite children to act out sexually against other children and may shape their sexual attitudes negatively, manifesting as insensitivity towards women and undervaluing monogamy.  Only with monitoring can parents have absolute certainy of what their children are doing on the Internet. It may not allow them to prevent children from viewing pornography completely, but regulating the digital use of their children in such a way does not have to limit their digital freedoms or human rights.[1] Carey, Tanith. “Is YOUR child watching porn? The devastating effects of graphic images of sex on young minds”. Daily Mail. Daily Mail and General Trust. 25 April 2011. Web. May 2013.[2] “Truth of Sexting Amongst UK Teens.” BeatBullying. Beatbullying. 4 Aug 2009. Web. May 2013.[3] Hughes, Donna Rice. Kids Online: Protecting Your Children in Cyberspace. Michigan: Fleming H. Revell, 1998. ProtectKids.  Web. May 2013.",t287,p482
483,This House would allow parents to monitor their children's online and mobile communications.,Monitoring raises digital awareness among parents.,support,"Parents who are willing to monitor their children’s digital communications also benefit themselves. By setting up the necessary software and apps to secure their children’s online growth, parents familiarize themselves with basic digital skills and keep up with the latest in social media. As it stands there is a need to raise digital awareness among most parents. Sonia Livingston and Magdalena Bober in their extensive survey of the cyber experience of UK children and their parents report that “among parents only 1 in 3 know how to set up an email account, and only a fifth or fewer are able to set up a filter, remove a virus, download music or fix a problem.” [1] Parents becoming more digitally involved as a result of their children provides the added benefit of increasing the number of mature netizens so encouraging norms of good behavior online.[1]        Livingstone, Sonia, and Magdalena Bober. “UK Children Go Online: Surveying the experiences of young people and their parents.” UK Children Go Online. Second Report (2004): 1-61. ",t287,p483
484,This House would allow parents to monitor their children's online and mobile communications.,This proposal is simply an invasion of privacy. ,attack," Children have as much right to privacy as any adult. Unfortunately there is yet to be a provision on the protection of privacy in either the United States Constitution or the Bill of Rights, though the Supreme Court states that the concept of privacy rooted within the framework of the Constitution. [1] This ambiguity causes confusion among parents regarding the concept of child privacy. Many maintain that privacy should be administered to a child as a privilege, not a right. [2] Fortunately, the UNCRC clearly states that “No child shall be subjected to arbitrary or unlawful interference with his or her privacy, family, home or correspondence, nor to unlawful attacks on his or her honour and reputation,” [3] making child privacy an automatic right. Just as children should receive privacy in the real world, so too should they in the digital world. Individual rights, including right to privacy, shape intrafamilial relationships because they initiate individuality and independence. [1][1] Shmueli, Benjamin, and Ayelet Blecher-Prigat. “Privacy for Children.” Columbia Human Rights Review.  Rev. 759 (2010-2011): 760-795. Columbia Law School. Web. May 2013.P.764[2] Brenner, Susan. “The Privacy Privilege.” CYB3RCRIM3. Blogspot. 3 April 2009. May 2013.[3] United Nations Children’s Fund. Implementation Handbook for the Convention on the Rights of the Child. Fully revised 3rd edition.  Geneva.  United Nations Publications.  Google Search.  Web. May 2013.",t287,p484
485,This House would allow parents to monitor their children's online and mobile communications.,Monitoring is lazy parenting. ,attack,"The proposition substitutes the good, old-fashioned way of teaching children how to be responsible, with invasions of their privacy, so violating an inherent rights [1]. Such parenting is called remote-control parenting. Parents who monitor their children’s digital behavior feel that they satisfactorily fulfil their parental role when in fact they are being lazy and uninvolved in the growth of their child. Children, especially the youngest, are “dependent upon their parents and require an intense and intimate relationship with their parents to satisfy their physical and emotional needs.” This is called a psychological attachment theory. Responsible parents would instead spend more time with their children teaching them about information management, when to and when not to disclose information, and interaction management, when to and when not to interact with others. [2] That parents have the ability to track their children is true, but doing so is not necessarily likely to make them better adults [3]. The key is for parents and children to talk regularly about the experiences of the child online. This is a process that cannot be substituted by parental monitoring.[1]        United Nations Children’s Fund. Implementation Handbook for the Convention on the Rights of the Child. Fully revised 3rd edition.  Geneva.  United Nations Publications.  Google Search.  Web. May 2013.[2] Shmueli, Benjamin, and Ayelet Blecher-Prigat. “Privacy for Children.” Columbia Human Rights Review.  Rev. 759 (2010-2011): 760-795. Columbia Law School. Web. May 2013.[3] “You Can Track Your Kids. But Should You?” New York Times. 27 June 2012: 1. New York Times. May 2013.",t287,p485
486,This House would allow parents to monitor their children's online and mobile communications.,Other parental controls are more practical and reasonable to administer. ,attack," Monitoring would be extremely tedious and time-consuming. Many teens send over 100 texts a day, it would clearly be very time consuming to read them all along with all other digital communication.[1] By contrast content filtering, contact management, and privacy protection parental controls, which can be used to block all incoming and outgoing information, require only minimal supervision. Parents who meanwhile deem their children immature when it comes to social networking and gaming can instead impose user restrictions on the relevant websites and devices. [2] Administering these alternative parental controls leave for more quality time with children. In this case, only when children acquire sufficient digital maturity and responsibility can these controls be lifted. As they have learnt to be mature in the digital environment the children would most likely continue to surf safely even when the parental controls are lifted.[1]        Goldberg, Stephanie, “Many teens send 100-plus texts a day, survey says”, CNN, 21 April 2010[2]        Burt, David.  “Parental Controls Product Guide.” 2010 Edition. n.d.  PDF File. Web. May 2013.",t287,p486
487,This House would allow parents to monitor their children's online and mobile communications.,Monitoring is a hindrance to forming relationships both outside and inside the family.,attack,"If children are being monitored, or if it seems to children that they are being monitored, they would immediately lose trust in their parents. As trust is reciprocal, children will also learn not to trust others. This will result in their difficulty in forging human connections, thereby straining their psychosocial growth. For them to learn how to trust therefore, children must know that they can break their parents’ trust (as said by the proposition before). This will allow them to understand, obey, and respect their parents on their own initiative, allowing them to respect others in the same manner as well. [1] This growth would only be possible if parents refuse this proposition and instead choose to educate their children how to be responsible beforehand.[1]        Shmueli, Benjamin, and Ayelet Blecher-Prigat. “Privacy for Children.” Columbia Human Rights Review.  Rev. 759 (2010-2011): 760-795. Columbia Law School. Web. May 2013.",t287,p487
480,This House would allow parents to monitor their children's online and mobile communications.,no summary,attack,"While cyberbullying is indeed a danger to children, it is not an excuse to invade their personal life-worlds. The UNCRC clearly states that “(1) No child shall be subjected to arbitrary or unlawful interference with his or her privacy, family, home or correspondence, nor to unlawful attacks on his or her honour and reputation,” and that, “(2) The child has the right to the protection of the law against such interference or attack.” These ‘interferences’ or ‘attacks’ not only apply to third parties but to parents as well. [1] Moreover in less traditional ‘offline’ spaces children have far greater ability to choose which information they share with their parents and what they do not. As online spaces are not inherently more dangerous than those offline, it seems reasonable to suggest that similar limitations and restrictions on invasions of privacy that apply online should also apply offline. What a parent can do is to be there for their children and talk to them and support them. They should also spend time surfing the Internet together with them to discuss their issues and problems. But the child should always also have the opportunity to have his or her own protected and private space that is outside the every watchful surveilant eye of the parent..[1]        United Nations Children’s Fund. Implementation Handbook for the Convention on the Rights of the Child. Fully revised 3rd edition.  Geneva.  United Nations Publications.  Google Search.  Web. May 2013.",p480,c480
481,This House would allow parents to monitor their children's online and mobile communications.,no summary,attack,"Certainly parents should help their children to make most of their time with the computer and their phone. However, monitoring children in order to do so is lazy, or more precisely a form of ‘remote-control parenting’. Parents abuse of their children’s inherent right to privacy and feel that they have satisfactorily fulfilled their parental role when instead they are just lazy and unwilling to talk to their child personally about being a responsible netizen. [1] How are children to develop a healthy relationship to sharing information and privacy protection if they are constantly being surveilled by their own parents? More effective parents would instead choose to personally and positively teach their children about time management.[1]        Shmueli, Benjamin, and Ayelet Blecher-Prigat. “Privacy for Children.” Columbia Human Rights Review.  Rev. 759 (2010-2011): 760-795. Columbia Law School. Web. May 2013.",p481,c481
