,title,summary,stance,comment,parent_id,comment_id
3896,This House would arm the Syrian rebels,Syria clearly meets the standards for intervention,support,"The Assad regime has clearly lost its legitimacy and has precipitated a humanitarian crisis in Syria. The February estimate of 70000 killed[1] is up from an estimate of 60000 only a month before,[2] so clearly the violence is escalating. The conflict is also affecting neighbours; refugees have flooded into Jordan, Lebanon, and Turkey, and Israel is already believed to have attacked a convoy or research facility involved in chemical and biological weapons development.[3] Clearly the presence of these weapons show how much worse the situation could get if Assad is not overthrown. Not intervening risks the whole region being slowly destabilised and drawn in to the conflict.[4][1] Nichols, Michelle, ‘Syria death toll likely near 70,000, says U.N. rights chief’, Reuters, 12 Feb 2012[2] ‘Data suggests Syria death toll could be more than 60,000, says UN human rights office’, UN News Centre, 2 January 2013[3] ‘Q&A: Israeli ‘strike’ on Syria’, BBC News, 3 February 2013[4] Byman, Daniel, in ‘Roundtable: arming the Syrian rebels’, Foreign Policy, 21 February 2013",t215,p3896
3897,This House would arm the Syrian rebels,It is in the national interest for democracies to support those seeking to oust dictators,support,"Democracies should support moderate groups seeking to oust dictators because the result will hopefully be a moderate, democratic state. This would then be a reliable partner for the future that would be more willing to help engage and resolve the region's problems. But this is not all about being high minded and wanting to promote democracy in the Middle East, arms need to be provided in order to ensure future influence in Syria. We already know that there are jihadis operating in Syria so it is plain that this is a conflict that will eventually have wider implications for the west. If we want to have influence in Syria after Assad is overthrown then we need to begin helping opposition groups. It is in our interest to build up the moderate groups so as to deny support to the extremists; once this is over we would be in a much better position if we have grateful friends on the ground rather than groups who are resentful that we provided fine words but no real help. We don't want to find ourselves having to root out terrorists from the air using UAVs.[1][1] Hokayem, Emile, in ‘Roundtable: arming the Syrian rebels’, Foreign Policy, 21 February 2013",t215,p3897
3898,This House would arm the Syrian rebels,The Free Syrian Army is outgunned,support,"The Syrian army is one of the biggest armies in the world; it is nothing like the poorly equipped Libyan army that was beaten by western backed rebels in 2011. The government has aircraft, and helicopters that are used to bomb the rebels, and heavy Russian built tanks that are impervious to most of the small arms the free Syrian army has. Providing arms would quickly even the odds; light anti-tank weapons would be effective against Syrian armoured vehicles repeating the success with which Hezbollah employed them when they knocked out sixty Israeli armoured vehicles in 2006,[1] while man portable air defence systems would quickly make the skies too dangerous for the Syrian airforce so protecting free Syrian controlled areas from the threat of attack from the air.[2][1] Cordesman, Anthony H., ‘Preliminary “Lessons” of the Israeli-Hezbollah War’, Center for Strategic and International Studies, 17 August 2006, P.18[2] Doran, Michael, and Shaikh, Salman, ‘Arm the Syrian Rebels. Now’. Foreign Policy, 8 February 2013",t215,p3898
3899,This House would arm the Syrian rebels,Would balance the support for Syrian government,support,"Syria's government has been receiving outside support from a variety of sources; Russia and Iran being the most prominent. Iran has been training the Jaysh al- Shabi, a Syrian government-controlled force modelled on Iran's Basij militia. Far from just providing weapons, both Iran and Hezbollah from Lebanon have been sending fighters to support the Syrian government.[1] The rebels have received some support for Qatar and Saudi Arabia but not to the extent the Syrian government has. Anyone with an interest in the free Syrian cause should realise that they cannot do so simply by sitting on their hands expecting a victory when those doing the fighting are only provided diplomatic support.[1] Doran, Michael, and Shaikh, Salman, ‘Arm the Syrian Rebels. Now’. Foreign Policy, 8 February 2013",t215,p3899
3900,This House would arm the Syrian rebels,Diplomacy is not going anywhere,support,"The best solution would be a ceasefire between the two sides in the Syrian civil war and a negotiated settlement, but it is clear we are long past the point where this approach stood a chance of success. The United Nations peace effort under Kofi Annan failed in the middle of last year[1] and there has been no progress since. Similarly all attempts to bring pressure to bear throughout the security council have failed as a result of Russia supporting Assad's regime. This leaves the unilateral initiatives to help the rebels. No state wants full intervention as France did in Mali[2] so the only alternative is simply to help the Free Syrian Army. To do so means providing what they need to win the conflict; primarily arms that can defeat the Syrian army. This need not be considered to be exclusive with diplomacy; the intervening state should continue to try to find a diplomatic solution just as before the Dayton accords NATO helped the Croats militarily while at the same time looking to diplomacy to provide an overall solution to the conflict.[3][1] Plett, Barbara, ‘Syria crisis: Kofi Annan quits as UN-Arab League envoy’, BBC News, 2 August 2012[2] See the debatabase debate ‘This House believes France is right to intervene in Mali’.[3] Hokayem, Emile, in ‘Roundtable: arming the Syrian rebels’, Foreign Policy, 21 February 2013",t215,p3900
3901,This House would arm the Syrian rebels,Sovereignty and non intervention in internal affairs,attack,"It is a clear international rule that nations are sovereign and other states are simply not allowed to be making interventions into another country’s domestic affairs. The UN Charter emphasises “Nothing contained in the present Charter shall authorize the United Nations to intervene in matters which are essentially within the domestic jurisdiction of any state”.[1] Within a state only the government is legitimate as the supreme authority within its territory.[2] This is to prevent the bigger and richer powers from doing exactly this sort of thing to obtain the result they want inside another country. This is why Russian Foreign Minister Sergei Lavrov stated ""International law does not permit the supply of arms to non-governmental actors and our point of view is that it is a violation of international law,"" in response to suggestions that the UK would arm the Syrian rebels.[3][1] UN General Assembly, Article 2, Charter of the United Nations, 26 June 1945[2] Philpott, Dan, ""Sovereignty"", The Stanford Encyclopedia of Philosophy (Summer 2010 Edition), Edward N. Zalta (ed.)[3] Abbas, Mohammed, ‘Russia says arming Syrian opposition would be illegal’, Reuters, 13 March 2013",t215,p3901
3902,This House would arm the Syrian rebels,Arming the rebels would be unpopular,attack,"Ten years after the Iraq war interventions in the Middle East are no more popular than they were back in 2003. Getting involved in Syria would not be popular no matter how small the commitment. In the United States voters oppose the idea of supplying arms to Syrian rebels by 45% against to only 16% in favour, in the United Kingdom opinion is even more opposed; while there are still 16% in favour there are 57% opposed.[1] Clearly arming the rebels would not be popular with voters - there can therefore be no domestic reason for this policy.[1] Clark, Tom, ‘US and UK public reject stronger military support for Syrian rebels’, guardian.co.uk, 22 March 2013",t215,p3902
3903,This House would arm the Syrian rebels,Unforeseeable consequences,attack,"We do not know where arming the rebels will lead. The most obvious parallel has to be Afghanistan in the 1980s where the United States armed the mujahideen and succeeded in their objective of damaging the USSR through a war of attrition much as the US had suffered in Vietnam. Afghanistan became an albatross around the Soviet Union’s neck.[1] But the US did not win the peace, Afghanistan descended into civil conflict which had a Taliban victory that sheltered Osama bin Laden; US arms in Afghanistan unintentionally lead more than a decade later to September 11. In this case we would be arming a movement that has many jihadi elements that could end up with the weaponry. Other countries such as Turkey are also worried about where powerful weapons such as anti aircraft missiles could end up if provided to the rebels. They fear they could easily find their way across the border to militant Kurds.[2] Other paths that this could lead to are just as bad; for example helping the Libyan rebels lead to the conflict in Mali.[3] In this case the short term consequences could be just as bad. Arming the Sunnis could provoke retaliation from either Iran or Hezbollah who could feel undermined by the move, in the worst case scenario they could even attack western assets in the area.[4][1] Hoffman, David E., The Dead Hand: Reagan, Gorbachev and the Untold Story of the Cold War Arms Race, Icon Books Ltd, 2011, p.211[2] Hokayem, Emile, in ‘Roundtable: arming the Syrian rebels’, Foreign Policy, 21 February 2013[3] Jones, Owen, ‘The war in Libya was seen as a success, now here we are engaging with the blowback in Mali’, The Independent, 13 January 2013[4] Yacoubian, Mona, in ‘Roundtable: arming the Syrian rebels’, Foreign Policy, 21 February 2013",t215,p3903
3904,This House would arm the Syrian rebels,Possibility of being drawn into a long drawn out conflict,attack,"Even just providing the rebels with arms risks drawing the powers that supply those arms into the conflict.[1] This is because it gives the intervening power a stake in the conflict. Once weapons have been supplied allowing the Syrian government to reassert control would be a large foreign policy reversal and would damage relations with the Syrian government for years to come.We need only look at the Vietnam conflict to know that what starts out as a very small commitment can rapidly escalate when the government decides it cannot afford to back down. What starts as just arming the rebels could quickly lead to troops on the ground. Indeed it might require men on the ground right from the start as if we were to be providing heavy weapons the rebels would need training in how to use those weapons if they are to seriously be considered an equaliser.[1] Byman, Daniel, in ‘Roundtable: arming the Syrian rebels’, Foreign Policy, 21 February 2013",t215,p3904
3905,This House would arm the Syrian rebels,Would it work?,attack,"The most fundamental question for any policy is whether it would actually work if implemented? In this case it seems to be doubtful that in practice arming the rebels would be enough to allow them to prevail. It will simply be helping to even the odds; providing enough arms to prevail over a fully equipped army that is supplied by Iran and Russia would require a truly colossal effort. No one is seriously going to consider providing M1 Abrams tanks to overcome Syrian armour when there are even concerns about providing anti-aircraft missiles.  Even supporters of arming the rebels such as Senator John McCain say ""this alone will not be decisive"". All arming the rebels does then is make the government appear to be doing something (in a bad way since it is an unpopular policy), and stick a toe in the water (also bad as that may lead to escalating commitments), and another decision point six months down the line.[1][1] Lynch, Marc, ‘Shopping Option C for Syria’, Foreign Policy, 14 February 2013",t215,p3905
