,title,summary,stance,comment,parent_id,comment_id
6,This House would ban child performers,Being a performer limits a child’s formal education,support,"Spending so much time either performing or training limits the amount of formal education the child can receive. For example, in the UK and other countries, child performers are only required to be educated for three hours each day.[1]Additionally, the focus on the specialised skill of the child (e.g., acting, dancing, etc.) may detract from their family’s or their own interest in formal education.[1] The Children’s Legal Centre, ‘What are the hours that a child performer may work?’ improve this ",t222,p6
7,This House would ban child performers,performers are at risk of exploitation,support,"Children are generally considered to be too young to make important decisions for themselves, and so decision-making falls to parents, teachers, etc. For child performers, there are additional decision-makers: their agents. Since agents benefit financially from the child’s getting a role or doing well in a sporting event, there is a definite risk of exploitation. Exploitation can also come from parents, as in the famous case of American television child stars Jackie Coogan and Gary Coleman, who both sued their parents for spending the money they had earned as children[1][2] or of Macaulay Culkin, who blocked his parents from having access to his earnings.[1] AP, ‘The Kid’ To Get $126,000 For His Share’[2] The Deseret News, ‘Former Child Star Wins $1.3 Million Judgment’",t222,p7
8,This House would ban child performers,It is unethical to expose children to the pressures of performing,support,"Even experienced adults can find it difficult to deal with stage fright or performance anxiety. Children, more emotionally vulnerable than adults by nature, should not be exposed to this sort of pressure. This is especially true in situations where the child is being paid for their performance, since the added necessity to perform well can lead to even more pressure. Although suicide among children is rare, it is believed often to occur as a result of the child feeling like she is under too much pressure, or failing to meet the expectations of others.[1]There are also consequences that continue long past the child has stopped performing; former child actors often have the problem as young adults as feeling as having already ‘peaked’ and find themselves without a sense of drive or ambition or a coherent adult identity, consequentially they often suffer from substance abuse and addiction[1] Lipsett, ‘Stress driving pupils to suicide, says union’ ",t222,p8
9,This House would ban child performers,Being a performer can make the child physically vulnerable,support,"Children involved at a professional level in sports are at a higher risk than their peers of physical problems like breaking bones. In some cases, these physical problems can be fatal; e.g., Julissa Gomez, who died from complications of a vaulting injury contracted when she was 15 in warm-ups for a gymnastics competition.[1]Even in careers like acting and dancing there are risks for child performers. Actors and dancers are usually encouraged to stay thin, often to an unhealthy degree. Because children are particularly vulnerable, they are more susceptible to the perils of over-exercising for athletes and eating disorders for performers. It has been found, for example, that girls who dance in their childhood are more likely than their peers to develop anorexia nervosa in later life.[2] Lena Zavaroni, the childhood winner of ‘opportunity knocks’ in the 1970’s, struggled with eating disorders for all of her life and died aged 34. With the damage eating disorders can do to a person’s body, it should be illegal to expose children to such risks.[1] Hoffman, ‘Obituaries’[2] BBC News, ‘Anorexia linked to child dancers’ ",t222,p9
10,This House would ban child performers,Allowing children to perform pushes them to grow up too soon,support,"Child performers are exposed to a much higher level of responsibility than their peers, without the maturity to deal with it. They may be exposed to sex, drugs, or alcohol, in a context too far removed from a normal life that they don’t learn adequate coping mechanisms. It is no surprise that many child performers “burn out” by the time they reach adulthood, often experiencing problems long before, as in the case of actress Drew Barrymore, who entered rehab at the age of 13.[1] Children should not be encouraged to enter into these adult worlds of acting, modeling, dancing, etc.  Michael Jackson attributed his obsession with children and childhood as a consequence of having missed out on a childhood himself.[1] Barrymore, Little Girl Lost",t222,p10
11,This House would ban child performers,Just as the state creates laws to protect child performers it could ban child performers,support,Child performers are currently protected by laws about all sorts of things from the minimum amount of education they may get to their pay and how many hours they can work. Many of these laws would be much more difficult to enforce than a blanket ban. It would be simple to enforce as child performers would in most cases be easy to spot – as they are performing for the public. The government could then bring charges against those who are employing the child and fine them.,t222,p11
12,This House would ban child performers,"Child performers are necessary for roles in some films, television shows, etc., and for the survival of some sports",attack,"In some films or television shows, child actors are absolutely necessary in order to realistically portray society and the roles children play. The incredibly popular Harry Potter films, for example, would not have been half as convincing without the large cast of actors under the age of 18 playing the schoolchildren. Child actors are also necessary in the advertising industry, in order to make products appealing to a younger audience. Some sports, too, would be endangered if children were not allowed to compete. Ice skaters and dancers, for example, benefit greatly from training starting at an early age.[1][1] Sagolla, ‘Dance Training for Children and Teens’",t222,p12
13,This House would ban child performers,"If child performers were banned, many children would find a way to perform illegally, now without legal protection.",attack,"While being a child performer is legal, these children’s working circumstances are under the protection of the law and monitored by government departments such as the Inland Revenue, Health and Safety, etc. Were child performers to be banned, it is certain that some children would still perform, but would not be thus protected. This has already happened in certain professional sports where athletes can benefit by lying about their age. For example, it is easier for Latin American baseball players to sign with U.S. Major League teams if the teams think they are young. As a result, countless players have lied about their age, including a number of high-profile cases, such as Miguel Tejada who was named Most Valuable Player in 2002.[1] Many of these young players, however, have been less successful. There are too many unfortunate examples of players who came to the United States at a young age and, under the increased pressure, fell victim to serious drug problems, often resulting in overdose and death.[2][3] A ban would not prevent children from performing; it would actually further expose them to whatever risks may be involved.[1] Schmidt and Schwartz. “Baseball’s Use of DNA Raises Questions.”[2] Zirin, “Can’t Knock the Hassle: Chavez Challenges Baseball.”[3] Helfgott, “The international game.” ",t222,p13
14,This House would ban child performers,The government has no right to prevent children from doing what they enjoy and are good at,attack,"Many child performers would undoubtedly protest if their right to perform were taken away from them, and justly so. This can be seen in quotes from the likes of Roddy McDowall, who said in an interview in 1963 that he “had a particularly wonderful time” as a child actor,[1] and would presumably have been quite upset had a ban been enforced in his lifetime. It is beyond the rights of the government to make illegal an opportunity that allows those talented on the stage, in front of a camera, on the pitch, etc. (who might well not be so strong in other, e.g., academic, areas) to make a living from doing what they do best.Some child performers have also proved to be extremely business savvy – the ‘Olsen Twins’ have built a massive industry off of their Disney stardom.[1] BBC News. ‘Actor McDowall dies aged 70",t222,p14
6,This House would ban child performers,no summary,attack,"It is entirely possible for child performers to achieve high grades. For example, Jodie Foster graduated magna cum laude from Yale University, despite having been a child star.[1]Child performers who spend a lot of hours on-set will also have access to a certified teacher who acts as their personal tutor during that time.[2]In addition, as long as the child performer obtains a sufficient understanding of the core academic curriculum, it doesn’t matter if they are more interested in their chosen career area than in formal education, especially if they plan on continuing on that career path into adulthood.[1] Yale Office of Public Affairs & Communications, ‘Yale Alumni Go to the Oscars’[2] On Location Education, ‘Teacher Requirements’ improve this ",p6,c6
