,title,summary,stance,comment,parent_id,comment_id
3416,This House would ban homework,"Homework has little educational worth, and therefore is a waste of students' time",support,"Homework has little educational worth and adds nothing to the time spent in school. Some schools and some countries don't bother with homework at all, and their results do not seem to suffer from it. Studies show that homework adds nothing to standardised test scores for primary/ elementary pupils. As Alfie Kohn notes, no study has ever found a link between homework and better tests results in elementary school, and there is no reason to believe it is necessary in high school.1 International comparisons of older students have found no positive relationship between the amount of homework set and average test scores - students in Japan and Denmark get little homework but score very well on tests.2 If anything, countries with more homework get worse results!1 Sorrentino, 20112 Britt, 2005",t184,p3416
3417,This House would ban homework,Marking homework reduces the amount of time teachers have to prepare good lessons,support,"Irrespective of homework's educational value, marking it takes up much of teachers' time. Australian teachers have complained that 'homework marking can result in four extra hours of work a day and they are rarely rewarded for their effort'.1 This leaves teachers tired and with little time to prepare effective, inspiring lessons. If the lessons aren't to the standard they should be, the point of homework is lost as the students have little to practise in the first place. The heavy workload also puts young graduates off becoming teachers, and so reduces the talent pool from which schools can recruit.1 Speranza, 2011",t184,p3417
3418,This House would ban homework,Homework reduces the amount of time for students to do other activities,support,"Homework takes a lot of time up. In America, they encourage the '10 minute rule', 10 minutes homework for every grade, meaning that high-school students are all doing more than an hour's worth of homework each night.1 Being young is not just about doing school work every night. It should also about being physically active, exploring the environment through play, doing creative things like music and art, and playing a part in the community. It is also important for young people to build bonds with others, especially family and friends, but homework often squeezes the time available for all these things.1 Associated Press, 2009",t184,p3418
3419,This House would ban homework,Homework puts students off learning,support,"Homework puts students off learning. Studies have shown that many children find doing homework very stressful, boring and tiring. Often teachers underestimate how long a task will take, or set an unrealistic deadline. Sometimes because a teacher has not explained something new well in class, the homework task is impossible. So children end up paying with their free time for the failings of their teachers. They also suffer punishments if work is done badly or late. After years of bad homework experiences, it is no wonder that many children come to dislike education and switch off, or drop out too early. Teachers in Britain fear that poor children, because they lack the support to do their homework, will be turned off school 1.1 BBC News, 2008",t184,p3419
3420,This House would ban homework,"Homework is about 'winning' on tests, not learning",support,"Many governments make their schools give students a national test (a test taken by all students of the same age). After the tests, they compare schools and punish the schools and teachers whose students do badly. Because schools and teachers are therefore scared about their students doing poorly, they give them more homework, not in the hope they learn more but simply to do better on the tests.1 As such, homework is not designed to help the student, just their teachers and schools who want them to 'win' the test and make them look good, not learn for the students' own benefit.1 Sorrentino",t184,p3420
3421,This House would ban homework,The ban on homework could be easily enforced through school inspections,support,"In many countries public schools require regular school inspections to ensure students are receiving a relatively equal level of education. In Britain for example, Ofsted is a public body that exists specifically to inspect public schools.1 A ban on homework would thus not require a level of trust between the state and individual school principals, for state inspectors could very quickly work out whether homework was being given out by asking the children themselves. Children, who don't like homework at the best of times, would not lie.1 Ofsted, 2011",t184,p3421
3422,This House would ban homework,Homework encourages students to work more independently (by themselves),attack,"Homework encourages students to work more independently, as they will have to at college and in their jobs. Everyone needs to develop responsibility and skills in personal organization, working to deadlines, being able to research, etc. If students are always “spoon-fed” topics at school they will never develop study skills and self-discipline for the future.  A gradual increase in homework responsibilities over the years allows these skills to develop 1. For instance, to read a novel or complete a research project, there is simply no time at school to do it properly. Students have to act independently and be willing to read or write, knowing that if they struggle, they will have to work through the problem or the difficult words themselves. Diane Ravitch points out that a novel like Jane Eyre cannot be completed if it is not read at home – students have to work through it themselves 2. When given the choice of homework or no homework most students would chose not to do it. But by doing homework they are effectively taught independence in finding their own ways to explain and understand the topic.1 Bempechat, 20042 Ravitch, 2007",t184,p3422
3423,This House would ban homework,Homework ensures that students practise what they are taught at school,attack,"Having homework also allows students to really fix in their heads work they have done in school. Doing tasks linked to recent lessons helps students strengthen their understanding and become more confident in using new knowledge and skills. For younger children this could be practising reading or multiplication tables. For older ones it might be writing up an experiment, revising for a test and reading in preparation for the next topic. Professor Cooper of Duke University, has found that there is evidence that in elementary school students do better on tests when they do short homework assignments related to the test 1. Students gain confidence from such practise, and that shows when they sit the tests.1 Strauss, 2006",t184,p3423
3424,This House would ban homework,"Homework provides a link between child, school and the home",attack,"Education is a partnership between the child, the school and the home 1. Homework is one of the main ways in which the student’s family can be involved with their learning. Many parents value the chance to see what their child is studying and to support them in it. It has been described as the ‘window into the school’ for parents, the area in which schools, parents and students interact daily 2. And schools need parents’ support in encouraging students to read at home, to help with the practising of tables, and to give them opportunities to research new topics.1 Walker, et. al, 2004 2 Gill & Schlossman, 2003",t184,p3424
3425,This House would ban homework,"Homework is an essential part of education, allowing students to learn information beyond that which they are taught at school.",attack,"Homework is a vital and valuable part of education. There are only a few hours in each school day – not enough time to cover properly all the subjects children need to study. Setting homework extends study beyond school hours, allowing a wider and deeper education. It also makes the best use of teachers, who can spend lesson time teaching rather than just supervising individual work that could be done at home. Education is about pushing boundaries, and the learning should not stop at the entrance to the classroom – students should take skills learnt in the classroom and apply them at home. Homework allows this to happen, encouraging students to go above and beyond what they do in school. Reading is the best example, students learn how to read at school, but in order to get better, they need to practise and that is best done at home, with the support of parents and at the right pace for the student. ",t184,p3425
3416,This House would ban homework,no summary,attack,"Homework has a lot of educational value, the reason it has not shown this is because teachers do not set the right kind of homework or they set the wrong amount of it. Some teachers believe homework is for reviewing material, others think it is better for learning new concepts. The result is 'confusion for students'.1 If the homework was consistent however, and related specifically to what is learnt in the classroom, it would have a great deal of educational value by helping them remember their lessons and increase students' confidence in how much they are learning.Furthermore, Professor Cooper of Duke University has shown that by the high schools years, there is a strong and positive relationship between homework and how well students do at school. There are two main reasons why this relationship does not appear in elementary school: 1) Elementary school teachers assign homework not so much to enhance learning, but in order to encourage the development of good study skills and time management;2 2) young children have less developed cognitive skills to focus and concentrate on their work.3 Thus, they are more easily distracted from their homework assignments.1 Strauss, 20062 Muhlenbruck, Cooper, Nye, & Lindsey, 20003Hoover-Dempsey et al., 2001",p3416,c3416
3417,This House would ban homework,no summary,attack,"Teachers accept that marking student work is an important part of their job. Well planned homework should not take so long to mark that the rest of their job suffers, and it can inform their understanding of their students, helping them design new activities to engage and stretch them. As for recruitment, although teachers do often work in the evenings, they are not alone in this and they get long holidays to compensate.",p3417,c3417
3418,This House would ban homework,no summary,attack,"Homework has not prevented students doing other activities; it takes very little time to complete. Recent American surveys found that most students in the USA spent no more than an hour a night on homework. That suggests there does not seem to be a terrible problem with the amount being set. Furthermore, British studies have shown that 'more children are engaging in sport or cultural activities' than ever before.1 As such, there is no clear evidence to suggest that students are stuck at home doing their homework instead of doing other activities. In addition, concerns over how busy children are suggest that parents need to help their children set priorities so that homework does not take a back seat to school work.1 BBC News, 2008",p3418,c3418
3419,This House would ban homework,no summary,attack,"If homework puts students off learning, then it has been badly planned by the teacher. As Linda Darling-Hammond, a professor of Education notes, 'many teachers lack the skills to design homework assignments that help kids learn and don't turn them off to learning' .1 The best homework tasks engage and stretch students, encouraging them to think for themselves and follow through ideas which interest them. Over time, well planned homework can help students develop good habits, such as reading for pleasure or creative writing. The research however suggests that homework is not in fact putting students off learning. Rather studies in Britain indicate that 'most children are happy (and) most are achieving a higher level than before'.2 Homework cannot be blamed for a problem that does not exist. Poor children may indeed lack support to do their homework, but this just means that schools need to do more to provide the help they need.1 Strauss, 20062 BBC News, 2008",p3419,c3419
