,title,summary,stance,comment,parent_id,comment_id
2324,This House would ban partial birth abortions,The foetus feels pain,support,"Partial-birth abortion is disgusting. Like all abortions, it involves the killing of an unborn child, but unlike first trimester abortions there is no doubt that the foetus can feel pain by the third trimester.[1] The procedure involves sticking a pair of scissors into a baby’s brain, enlarging the hole, sucking the brain out with a catheter and then crushing the skull. It is entirely unacceptable to do this to a living human being. Psychological damage to the mother as a result of rape or teenage pregnancy or depression is in the end less significant than the physical damage - death - caused to the child.[1] Lee, Susan J., et al., ‘Fetal Pain, A Systematic Multidisciplinary Review of the Evidence’, Journal of the American Medical Association, Vol 294 (8), 2005,  http://jama.ama-assn.org/content/294/8/947.short",t179,p2324
2325,This House would ban partial birth abortions,"If personhood accrues at birth, then abortion after inducing birth is wrong",support,"If birth is the crucial dividing-line we use to decide when legal personhood begins, then we should not be allowed to induce birth and then deliberately kill a foetus during that process - this is different from early abortion in which birth is induced and the foetus dies naturally. Partial-birth abortion is murder, even on the pro-choice understanding of personhood.",t179,p2325
2326,This House would ban partial birth abortions,Abortion is wrong per se when there are alternatives such as adoption,support,"Tragically, some babies are unwanted, but this does not mean that we should kill them. There are plenty of other options, notably adoption. If anything, the case for adoption is more compelling in the third trimester, because the pregnancy is nearer to its natural end and there is less time, only about ten weeks, for the mother to have to put up with it.[1] Unwanted pregnancy and adoption may be psychologically harmful, but in many cases so is abortion, particularly at a late stage of pregnancy when the mother can see that the dead foetus is recognisably a baby - the guilt feelings associated with feeling that one is responsible for murdering a child can be unbearable.[1] Bupa, ‘Stages of pregnancy’, April 2010, http://www.bupa.co.uk/individuals/health-information/directory/s/pregnancy-what-happens-stages#textBlock190283",t179,p2326
2327,This House would ban partial birth abortions,Banning partial birth abortions is in line with popular and accepted moral standards,support,"here is a vast amount of support in the United States for a ban on partial-birth abortion. Opinion polls have shown a consistent increase in support for a ban: as high as 70% in favour to 25% against in January 2003.[1] Furthermore, in 1997 the House of Representatives voted 295-136, and the Senate 64-36, in favour of a ban. For President Clinton to veto it was undemocratic;[2] for President Bush not to pass it would have been to break a campaign promise.[1] Gallup, ‘Abortion’, 30 November 2011, http://www.gallup.com/poll/1576/abortion.aspx[2] Craig, Larry E., ‘Clinton Claims on Partial-Birth Abortion Still Not True -- Not Even 'Legally Accurate'’, United States Senate Republican Policy Committee, 15 September 1998, http://rpc.senate.gov/releases/1998/partial-birth.htm",t179,p2327
2328,This House would ban partial birth abortions,"The concept of ""foetal rights"" is an attack on the autonomy of women",attack,"The culture of foetal rights reflects a dangerous litigious trend in American society, and implies a view of pregnant women as being nothing more than baby-carrying machines whose independence and autonomy should be restricted and whose motivations should be questioned at every turn. If this has implications for the abortion debate, then those implications are profoundly damaging to women in general. In any case, the mother of a wanted baby has entirely different responsibilities toward the unborn foetus from the mother of an unwanted baby - that’s why our society allows both abortions and antenatal classes.",t179,p2328
2329,This House would ban partial birth abortions,Opposition to partial birth abortion is part of a strategy intended to ban abortion in general,attack,"Partial-birth abortions form a tiny proportion of all abortions, but from a medical and psychological point of view they ought to be the least controversial. The reason for this focus is that late-term abortions are the most obviously distasteful, because late-term foetuses look more like babies than embryos or foetuses at an earlier developmental stage. Late-term abortions therefore make for the best pro-life campaigning material. By attempting to focus the debate here, campaigners are aiming to conflate all abortions with late-term abortions, and to increase opposition to all abortion on that basis.",t179,p2329
2330,This House would ban partial birth abortions,Partial birth abortions are safer than any available alternative,attack,"The D&X abortion procedure generates the minimum of risk for the mother.  Banning it means that the only alternatives are premature labour induction for which mortality rates are 2.5 times higher and is emotionally very difficult due to the length of time it takes[1] (it is also likely to be unacceptable to the proposition) and hysterotomy (which results in removal of the womb). Finally as those who are having late partial birth abortions are likely to be suicidal, or at least will be very determined to get rid of their child they are the most likely to resort to back-street methods that cause damage to themselves.[1] The Harriet and Robert Heilbrunn Department of Population and Family Health, ‘Abortion’, http://www.columbia.edu/itc/hs/pubhealth/modules/reproductiveHealth/abortion.html",t179,p2330
2324,This House would ban partial birth abortions,no summary,attack,"Nobody would choose to have a partial-birth abortion over a much simpler abortion in the first trimester. Partial-birth abortions are either medically or psychologically necessary. If a young mother either does not find out she is pregnant or is too scared to tell anyone, if a woman is raped and decides at any stage that she does not want the baby, if a woman is threatening suicide if she is forced to carry a baby to term, we should not make her suffer further by forbidding her from ending the pregnancy. For all sorts of reasons, many women do not seek any kind of medical help until late in their pregnancy - this should not mean they forfeit their right to an abortion. In any case, if abortion is allowed at all, and given that the foetus is not recognised in law as a human being, it should be nobody’s business but the mother’s whether and at what stage she chooses to have an abortion.",p2324,c2324
2325,This House would ban partial birth abortions,no summary,attack,"This is misleading - in partial-birth abortion, as the term suggests, the foetus is not fully born when it is killed: the purpose of collapsing the skull is to allow the foetus’ head to pass more easily through the birth canal. At no point in the process is a live foetus entirely outside the womb, so legal personhood is never an issue.",p2325,c2325
2326,This House would ban partial birth abortions,no summary,attack,"Arguing that adoption is a good option shows a fundamental lack of awareness of what is involved in carrying an unwanted foetus to term. Pregnancy can be stressful at the best of times; being forced to carry an unwanted child against your will is enormously traumatic, and can cause permanent psychological harm, as can the knowledge that your own unwanted child is growing up elsewhere and may one day return to find you. If a mother chooses to carry a foetus to term and then give it up for adoption, that’s fine, but nobody should force her to do so.",p2326,c2326
