,title,summary,stance,comment,parent_id,comment_id
1854,This House would create an African Criminal Court,ICC is biased against Africans ,support,"All of the ongoing ICC prosecutions are based on events in Africa, and all those on trial are Africans.The ICC has not brought actions following the invasion of Iraq, or the conflicts in Sri Lanka and Colombia. The lack of action in any matter outside sub-Saharan Africa shows that the international community are happy to allow the ICC to exclusively prosecute Africans. The UN Security Council, which contains no African permanent members, can veto any possible prosecution[1] and refer a case to the ICC[2]..Replacing the ICC with an African Criminal Court would stop this bias, or perception of bias. This would be done by withdrawing from the Rome statute and the ICC which has been labelled as Western imperialism by people such as Rwandan president Paul Kagame[3].[1] Rome Statute, Article 16[2] Rome Statute, Article 13[3] Du Plessis, footnote 36 (dead links)",t26,p1854
1855,This House would create an African Criminal Court,Regional court is “best of both worlds”,support,"A regional court would be a good way to balance the competing issues between the legitimate concerns of the African states and the International Criminal Court.It would be able to provide an African solution to African problems, with no accusations of external interference or colonialism. Similarly, it would have some of the advantages of the ICC particularly its independence from individual states, meaning those in high places are more likely to be held to account. With this accountability to an African court there would be an impression of being held to account by peers not outsiders. ",t26,p1855
1856,This House would create an African Criminal Court,ICC doesn’t strike right balance between peace and justice for Africa,support,"The balance between peace and justice is a complex issue. The ICC has disregarded peace as a priority in cases, focusing exclusively on justice by indicting individuals, which reduces the diplomatic leeway and drives those indicted towards a bunker mentality. The result then may be the conflict goes on longer and more crimes are committed. Peace and preventing future crimes should come before justice for past crimes. The ICC have focused on prosecuting Omar al Bashir, but it may be a better option to focus on diplomatic alternatives to trials for dealing with the conflict in Darfur. ",t26,p1856
1857,This House would create an African Criminal Court,ACC could deal with pan-African problems that the ICC does not address,support,"It has been suggested that offences such as “unconstitutional change of government”, drug trafficking, piracy and corruption[1] should be added to the jurisdiction of an African Criminal Court.The ICC is limited to only a small number of crimes. However, an African Criminal Court could not only deal with the existing crimes, but create pan-African solutions in terms of dealing with a number of issues where Africa needs particular solutions.An ACC could deal with piracy off the coast of East Africa, where there is no effective court system, due to Somalia amounting to a failed state.  Similarly, “unconstitutional change of government” prosecutions could amount to a deterrent to coups.[1]IRIN, “Analysis: How Close is an African Criminal Court?”, IRIN (Integrated Regional Information Networks), 13 June 2012,  http://www.irinnews.org/report/95633/analysis-how-close-is-an-african-criminal-court",t26,p1857
1858,This House would create an African Criminal Court,Just as much of a violation of sovereignty as the ICC ,attack,"Part of the calls for an African Criminal Court are based on the perception that the national sovereignty of African nations is being attacked in some way before the International Criminal Court.However, an African Criminal Court would be just as much of a violation of the sovereignty of individual African nations as the ICC; it is a system of courts outside the control of the nation of those it is trying.European states object to courts outside their control dictating even when they are regional courts – consider the reactions to the European Court of Human Rights on areas like voting for prisoners or to the European Court of Justice. That these are regional not global courts makes little difference to national opinion. It is no surprise then that not even the EU with its close relations has attempted a supra national criminal court system.",t26,p1858
1859,This House would create an African Criminal Court,ACC could destabilize Africa,attack,"Depending on how the treaty is drawn up, an African Criminal Court could be open to abuse. If it has too broad powers, it could lead to political trials thanks to judges following orders from their domestic governments, and complaints to it by governments in diplomatic spats rather than actually resolving serious international criminal law crimes.The same disputes that exist now within the ICC over issues such as interference with national sovereignty could just be replicated on a smaller scale – but rather than resembling a failure of any international body, it would be a regional body and lead to greater problems. If the ICC indicts a leader there is anger at the international community, if an ACC does the same there is a split in the AU.",t26,p1859
1860,This House would create an African Criminal Court,Anti-ICC sentiment is a simple desire for impunity,attack,"The sole motive for the anti-ICC arguments raised by organizations such as the African Union is a drive towards impunity – particularly for heads of state. The prosecutions of Uhuru Kenyatta and Omar al-Bashir, so viciously opposed by the AU, are a show that heads of state are and should be subject to the international criminal law – a principle that dates back to Nuremberg.An African Criminal Court would simply be granting African leaders’ carte blanche to perform crimes against humanity, as there would be a ready-made court to acquit them.",t26,p1860
1861,This House would create an African Criminal Court,An African Criminal Court would be a waste of money,attack,"International trials are expensive – 14% of the AU’s annual budget for an ICC trial[1].The ICC is cheaper than the cost of the tribunal system – the cost of the Charles Taylor trial was roughly two and a half times that of the $20M figure for ICC trials. Africa already contributes little to the budget of the ICC. The ICC will be cheaper than standalone tribunals thanks to economies of scale.The African Union has a track record of failures as well – NEPAD, the New Partnership for African Development tried to have a quasi-judicial element aiming to create rulings against corruption, but failed[2].[1] IRIN, “Analysis: How Close is an African Criminal Court?”, IRIN (Integrated Regional Information Networks), 13 June 2012,  http://www.irinnews.org/report/95633/analysis-how-close-is-an-african-criminal-court[2] Editorial, ‘African Criminal Court Not Viable’, the Star, 17 July 2012, http://allafrica.com/stories/201207180064.html",t26,p1861
1854,This House would create an African Criminal Court,no summary,attack,"Almost all of the cases where people have been indicted before the ICC – DR Congo, Uganda, Central African Republic and the Ivory Coast – have been referred to the court by African nations themselves. Those that have not were referred to the UN Security Council. The only case where the Office of the Prosecutor started a case leading to incitement was the Kenya case, Kenya having signed and ratified the Rome Statute. The ICC can only act where it has jurisdiction[1] - it is not a kangaroo court for particular cases.The ICC has looked in to cases outside Africa, including in Afghanistan, Honduras, the Mediterranean sea (an Israeli attack on Comorosian, Greek and Cambodian ships), Korea, Colombia, Georgia and Palestine[2].[1] Rome Statute, Article 22[2] Office of the Prosecutor, Report in to Preliminary Examination Activities, 2013, http://www.icc-cpi.int/en_menus/icc/press%20and%20media/press%20releases/Documents/OTP%20Preliminary%20Examinations/OTP%20-%20Report%20%20Preliminary%20Examination%20Activities%202013.PDF",p1854,c1854
1855,This House would create an African Criminal Court,no summary,attack,"African states have been happy with the ICC in the past – they referred ICC cases to the court themselves.If African states were to set up their own court, it would be unclear how it would work with the existing framework of the ICC as some African states may wish to remain ICC members. Also, a regional body would still lead to allegations of a “foreign court”, while at the same time placing the decisions in the hands of judges who may be less insulated from regional geopolitical pressures. ",p1855,c1855
