,title,summary,stance,comment,parent_id,comment_id
4181,This House would cull badgers,A cull is needed to prevent bovine TB,support,"Bovine TB is a disease that affects cattle. When a herd is infected the animals in question need to be slaughtered to prevent the disease getting into the foodchain. The UK’s Chief vet, Nigel Gibbons argues that the risk of infection of humans will increase if there is no cull.[1]  Since the protection of badgers in 1992 there have been increases in the numbers of badgers and at the same time an increase in infections. In 1992 there were only about 800 infected herds but by 2012 that had increased to 9000. Scotland, which has only 10% of the UK’s badgers compared to 25% in the South West of England has very low prevalence of bovine TB.[2] It seems clear that we need to halt the spread of bovine TB to prevent the infection of humans and a badger cull has to be a part of the answer.[1] Bawden, Tom, ‘Chief vet: We need badger cull to prevent spread of TB to humans’, The Independent, 30 May 2013, http://www.independent.co.uk/life-style/gadgets-and-tech/news/chief-vet-we-need-badger-cull-to-prevent-spread-of-tb-to-humans-8638379.html[2] ‘Bovine tuberculosis statistics and costs’, bovinetb.info, http://www.bovinetb.info/ (chart f and j)",t408,p4181
4182,This House would cull badgers,A cull would save on the cost of compensation to farmers,support,"A cull would be much cheaper than the cost of compensating farmers for their losses as a result of bovine TB. The cost of the disease to the taxpayer is estimated to be £1billion over the next ten years – mostly as a result of compensation payments for farmers. This cost also damages farmers’ livelihoods as the average cost of a TB breakdown on a farm is £34,000 of which the farmer has to pay £12,000.[1] By contrast the cost of the cull is estimated to be £1000 per square kilometre per year meaning the trials for the culls would cost a total of £2.2million. This then is considerably cheaper than the cost of the disease so will be saving both farmers and taxpayers a considerable cost.[2][1] ‘Bovine TB (tuberculosis)’, Department for Environment, Food & Rural Affairs,26 March 2013, http://www.defra.gov.uk/animal-diseases/a-z/bovine-tb/[2] Agencies, ‘How badger cull policy was reached’, The Telegraph, 27 August 2013, http://www.telegraph.co.uk/earth/countryside/10268051/How-badger-cull-policy-was-reached.html",t408,p4182
4183,This House would cull badgers,If there is no cull farmers will simply carry out their own killing,support,"Without a cull farmers will simply take the issue into their own hands in order to protect their herds. If the government will not act on the issue of badgers then farmers will feel they are left with no choice. According to groups that aim to protect badgers there are already an estimated 9,000 badgers killed each year through gassing, poisoning, and baiting.[1][1] Jenkinson, Stephen, ‘Protect the Badger, Why Bother?’, South Yorkshire Badger Group, http://www.sybadgergroup.f9.co.uk/page4.html",t408,p4183
4184,This House would cull badgers,Culling badgers is inhumane,attack,"The culling of badgers will not be done in a humane way. The intention is that badgers will be shot by trained marksmen but according to the RSPCA “Their anatomy makes it difficult to shoot a free-roaming badger” the result is likely to be large numbers of injured badgers with many escaping “suffer agonizing deaths underground.”[1] As badgers are sentient beings we should be seeking to avoid causing them harm and suffering.[1] RSPCA, ‘RSPCA deeply saddened by start to badger cull’, politics.co.uk, 27 August 2013, http://www.politics.co.uk/opinion-formers/rspca-royal-society-for-the-prevention-of-cruelty-to-animals/article/rspca-deeply-saddened-by-start-to-badger-cull",t408,p4184
4185,This House would cull badgers,Culling could increase rather than reduce TB,attack,"There have been trials of culls of badgers before and they have not been successful. In a randomised badger culling trial in 30 areas of England each measuring 100km2 it was found that “removing badgers by culling was found to disrupt their social organisation, causing remaining badgers to range more widely both inside and around the outside of culled areas.” The result of increased movement was “Proactive culling was associated with a 25% increase in the incidence of cattle TB on neighbouring un-culled land.”[1] Reactive culling can result in even higher increases with the risk of bovine TB more than doubling.[2] Clearly this could be dealt with through a complete cull that would not encourage movement of badgers but as the badger remains protected this is not possible. There are also difficulties with knowing how many badgers there really are because they live underground and only come out a night. Counting by numbers of setts is unreliable when there may be many that are disused or where there are badgers that use more than one sett.[3][1] Bourne, John, et al., ‘Final Report of the Independent Scientific Group on Cattle TB’, Department for Environment Food and Rural Affairs, http://collections.europarchive.org/tna/20081027092120/http://defra.gov.uk/animalh/tb/isg/pdf/final_report.pdf Pp.19-20[2] Imperial College London News Release, ‘badger Localised reactive badger culling raises bovine tuberculosis risk, new analysis confirms’, Imperial College London, 13 July 2011, http://www3.imperial.ac.uk/newsandeventspggrp/imperialcollege/newssummary/news_13-7-2011-9-59-29?newsid=100586[3] Carrington, Damian, ‘Counting the cost: fears badger cull could worsen bovine TB crisis’, The Guardian, 27 May 2013, http://www.theguardian.com/environment/2013/may/27/badger-cull-bovine-tuberculosis",t408,p4185
4186,This House would cull badgers,There are other options to a cull,attack,"Culling badgers is just one option for reducing the incidence of bovine TB. We are forgetting that the rate of bovine TB is increasing mostly because the UK was very successful at wiping out bovine TB in the past. In the 1930s the national infection rate was around 4 in 10 cattle, this was reduced to less than one in 1000 in the mid-1960s.[1] This was done by removing infected cattle; this is still done today but that it was so successful in the past shows that other methods work. Badgers are not a new species in the UK and would have represented the same risk in the 1960s.Also potentially a better option is vaccination. This can be done either by vaccinating the badgers, or most effectively by vaccinating the cows. Wales has opted to go for a vaccination of badgers, a field study has found that vaccination can result in a 74% reduction in the proportion of wild badgers testing positive for TB.[2] It can also be done comparatively cheaply by using volunteers (the same people who are campaigning against the culls). It will still cost £2000 per km2 (about twice the cull) and it is clear that even if herd immunity is achieved in badgers this won’t immediately stop infections of cattle from badgers but considering the cull is expected over 9 years with only a 16% improvement in infection rates a vaccine would seem to be a good alternative.[3][1] Rollins, Julian, ‘Badgers: To cull or not to cull’, BBC Countryfile, 8 April 2009, http://www.countryfile.com/countryside/badgers-cull-or-not-cull[2] ‘Research into Bovine TB’, Department for Environment, Food & Rural Affairs, 10 December 2012, http://www.defra.gov.uk/animal-diseases/a-z/bovine-tb/research/[3] ‘Bovine TB vaccination no magic bullet say MPs’, parliament.uk, 5 June 2013, http://www.parliament.uk/business/committees/committees-a-z/commons-select/environment-food-and-rural-affairs-committee/news/bovine-tb-report-publication/",t408,p4186
4187,This House would cull badgers,"A relaxation in cattle controls, not badgers, caused the problem",attack,"Bovine TB was almost eradicated in the UK yet the number of cases have shot up since the 1990s. The cause however is not badgers. Rather it is the result of BSE and Foot and Mouth disease which resulted in huge numbers of cattle being destroyed. To help the cattle farmers get back on their feet restrictions were all but lifted and cattle were moved all over the country. It is notable that the Isle of Man, which has no badgers, does have bovine TB.[1]John Bourne, who led a trial of badger culling, suggests the cattle movement controls should be tightened before anything as drastic as a cull is undertaken. “The cattle controls in operation at the moment are totally ineffective… It's an absolute nonsense that farmers can move cattle willy-nilly after only two tests. Why won't politicians implement proper cattle movement controls? Because they don't want to upset farmers.” The problem is that the tests are not accurate so herds can pass the tests while they still have the disease so when cattle are moved they infect other herds.[2][1] Kaminski, Julia, ‘Badger culls don't stop tuberculosis in cattle – the evidence is clear’, theguardian.com, 11 August 2011, http://www.theguardian.com/environment/blog/2011/aug/11/badger-cull-dont-stop-bovine-tb[2] Carrington, Damian, ‘Counting the cost: fears badger cull could worsen bovine TB crisis’, The Guardian, 27 May 2013, http://www.theguardian.com/environment/2013/may/27/badger-cull-bovine-tuberculosis",t408,p4187
4181,This House would cull badgers,no summary,attack,"Some of the costs are largely illusionary. Yes we stop food that is tested positive from bovine TB from getting into the food chain but this ignores that the tests are not accurate so there is likely meat that is infected getting into the foodchain anyway. Bovine TB is mostly in parts of cattle that are not eaten and cooking kills the TB bacterium. At the same time almost all milk is pasteurised so again the bacterium is killed posing no risk to human health.[1]The main difficulty with the argument that a cull will prevent TB is that we do not know which way infections run. Do badgers infect cattle or the other way around. Currently the evidence suggests that it is cattle that infect badgers this is why there are areas with high badger populations without bovine TB problems such as the north of England. It is all but certain that any large jumps in infection over large distances are the result of cattle to cattle transmission.[2] Looking at the chart presented it is clear that the biggest jump from under 2000 to over 5000 infected herds occurs immediately after foot and mouth suggesting the increase was a result of cattle movements.[1] ‘expert reaction to TB test-positive cattle entering the food chain’, Science Media Centre, 1 July 2013, http://www.sciencemediacentre.org/expert-reaction-to-tb-test-positive-cattle-entering-the-food-chain/[2] Dawson, D.G., ‘Badgers and TB, where is the science?’, University of Birkbeck, March 2013, http://www.bbk.ac.uk/environment/ecss/lecturesarchive/badgerstext (6, 10, 11)",p4181,c4181
4182,This House would cull badgers,no summary,attack,"This would certainly make sense if it was expected that the cull would eliminate bovine TB however this is not the case. The estimated reduction in bovine TB cases is expected to only be 16% as a result of a cull of 70% of badgers in an area.[1] This is because only a small proportion of badgers, possibly as low as 6% and at most 30-40%, have bovine TB.[2] Another reason is that other animals, such as deer and foxes, also can pass on bovine TB.[3] Clearly most of the cost in terms of compensation will therefore remain. There may be some small cost savings but these are marginal.[1] Ghosh, Pallab, ‘Badger cull will reduce cattle TB infections slightly’, BBC News, 28 September 2012, http://www.bbc.co.uk/news/science-environment-19742101[2] Packham, Chris, ‘like Owen Paterson, I had pet badgers. But their real place was in the wild’, theguardian.com, 27 August 2013, http://www.theguardian.com/environment/shortcuts/2013/aug/27/chris-packham-pet-badgers-owen-paterson[3] Worral, Patrick, ‘FactCheck: the badger cull – what we know and what we don’t know’, Channel 4 News, 27 August 2013, http://blogs.channel4.com/factcheck/factcheck-badger-cull/14232",p4182,c4182
4183,This House would cull badgers,no summary,attack,Clearly such actions would be against the law. It has been made clear that even if there were to be a cull the protections that currently exist for badgers would continue to exist as before any cull. For individuals to be taking the matter into their own hands if there is no cull would be illegal and should be punished as such.,p4183,c4183
