,title,summary,stance,comment,parent_id,comment_id
2035,This House would grant an amnesty to illegal immigrants,Amnesties are the only long term solution,support,"Amnesty is the only way to deal with the fundamental problem behind immigration; the developed world much richer and has more jobs available than the developing world. For example the USA has a per capita GDP of $48,100[1] by comparison Mexico’s is only $15,100[2] using PPP the gap with the Central American countries to the south of Mexico is even starker with Guatemalan GDP/capita at $5,000.[3] Not surprisingly the USA far outstrips the Central American countries in the Human development index; the US is 4th, Mexico 57th and Guatemala 131st.[4] So long as there is such diversity of income and opportunity immigrants will keep coming, and this will continue no matter what the state that is receiving migrants does in an attempt to deter them.Amnesties will help allow labour to get to where it is needed, through NAFTA the US is integrating North America but it is specifically excluding labour from this integration while tightening border controls at the Mexican border. Amnesties would help to counter-act the problems caused by leaving labour as the resource that is not allowed to cross borders and so provide benefits to both the host economy and the country of origin for the migrants. This is because the migrants will send back remittances that will help to develop their home nation and they themselves may well return after developing new skills that can then be put to use at home.[1] The World Factbook, ‘United States’, Central Intelligence Agency, 15 February 2012, https://www.cia.gov/library/publications/the-world-factbook/geos/us.html[2] The World Factbook, ‘Mexico’, Central Intelligence Agency, 21 February 2012, https://www.cia.gov/library/publications/the-world-factbook/geos/mx.html[3] The World Factbook, ‘Guatemala’, Central Intelligence Agency, 21 February 2012, https://www.cia.gov/library/publications/the-world-factbook/geos/gt.html[4] United Nations Development Programme, ‘Human Development Index’, 2011, http://hdr.undp.org/en/statistics/",t109,p2035
2036,This House would grant an amnesty to illegal immigrants,Migrants benefit the economy,support,"Migrants, including illegal migrants, are necessary for the economies of rich countries. There are schemes run by these countries that allow the migration of skilled workers for jobs where there is a skills shortage in the native population, for example the United Kingdom takes in a lot of migrants to work as doctors and migrants. However these schemes fail to acknowledge that migrants are also vital for unskilled jobs which native workers are often unwilling to take; for example jobs in catering, picking crops and cleaning. Approximately 6.3 million illegal immigrants are working in the USA, and these are benefiting the economy.[1] The Federal Reserve Bank of Dallas says “The pace of recent U.S. economic growth would have been impossible without immigration. Since 1990, immigrants have contributed to job growth in three main ways: They fill an increasing share of jobs overall, they take jobs in labor-scarce regions, and they fill the types of jobs native workers often shun.”[2] Amnesties are necessary to ensure the economy keeps benefiting from these workers.[1] Goyle, Rajeev, and Jaeger, David A., ‘Deporting the Undocumented: A Cost Assessment’, Center for American Progress, July 2005, p.9. http://www.americanprogress.org/kf/deporting_the_undocumented.pdf[2] Orrenius, Pia M., ‘U.S. Immigration and Economic Growth: Putting Policy on Hold’, Southwest Economy, Issue 6, Nov./Dec. 2003, http://www.dallasfed.org/research/swe/2003/swe0306a.html",t109,p2036
2037,This House would grant an amnesty to illegal immigrants,Immigrants are needed to make up for aging populations,support,"Much of the rich world is aging, and in a few cases is close to having a declining population. As a result the size of the available workforce will decrease. For example in Germany by 2050 a third of the population will be over 60,[1] and over the next 15 years will as a result loose five million workers from the current workforce of 41 million.[2] While increasing retirement age can mean that these reductions in the size of the workforce come later to maintain the size of the workforce immigration or a rapid increase in birth rate is necessary. These countries in order to maintain the size of their economies will therefore either have to rapidly increase productivity, which itself may not be easy as they are already the most productive nations, or else allow migrants to fill the gaps in the labour force. At the same time there will be an increase in some jobs that rely on migrants such as care workers to help look after the increasing number of elderly.[3][1] Ripperger, Sabine, ‘The Challenge of Demographic Change in Old, Shrivelling Europe’, Deutche-Welle, http://www.dw.de/dw/article/0,,1865419,00.html[2] Elliott, Larry, and Kollewe, Julia, ‘Germany faces up to problem of ageing workforce’, guardian.co.uk, 17 March 2011, http://www.guardian.co.uk/world/2011/mar/17/new-europe-germany-retirement-pensions-exports[3] Martin, Susan, et al., ‘The Role of Migrant Care Workers in Aging Societies: Report on Research Findings in the United States’, Institute for the Study of International Migration, December 2009, p.vii, http://www12.georgetown.edu/sfs/docs/20101201_Elder_Care_Report.pdf",t109,p2037
2038,This House would grant an amnesty to illegal immigrants,An amnesty rewards law breakers,attack,"An amnesty by its very definition is letting someone who has engaged in an illegal act off the hook. It is letting criminal activity pay. It is also an admission of government defeat; other options have failed and there are still lawbreakers who are not being deported as they should be so there is a need for an amnesty. These people who have entered the country illegally, and have worked illegally are then being forgiven for their having broken the law. This is not something that rich countries should be encouraging.",t109,p2038
2039,This House would grant an amnesty to illegal immigrants,Amnesties are unpopular; governments need to get tougher if they want to be reelected.,attack,"Amnesties are unpopular, in the UK for example 65% of the population wants tougher immigration laws,[1] and so most governments are unlikely to resort to them except as a last resort. Instead of granting an amnesty governments need to get tougher on illegal immigrants in order to find, deport and deter them. This would be a much more popular policy and could be achieved using better monitoring and communications between departments.  For example in the United States the Inland Revenue Service knows where millions of illegals live and are employed as they know 600,000 people work under the Social Security number 000-00-0000, presumably many more were used different made up numbers.[2] This would therefore not only catch illegal immigrants but would help end misuse of Social Security and IRS identification numbers. There are also other tactics that can make illegal immigration more difficult and less likely to pay such as preventing illegal immigrants from obtaining drivers licences or, as in Tennessee, employers that knowingly employ illegal immigrants can have their business licence suspended.[3][1] Standford, Daniel, ‘Illegal immigration: Is an amnesty the answer’, BBC News, 19 April 2010, http://news.bbc.co.uk/1/hi/uk_politics/election_2010/parties_and_issues/8629354.stm[2] Sensenbrenner, James F., et al., ‘Social Security Better Coordination among Federal Agencies Could Reduce Unidentified Earnings Reports’, United States Government Accountability Office, February 2005, p.3. http://www.gao.gov/new.items/d05154.pdf[3] Department of Labor and Workforce Development, ‘Illegal Alien Employment Act Frequently Asked Questions’, Tn.gov, http://www.tn.gov/labor-wfd/faq_illegal_alien.htm",t109,p2039
2040,This House would grant an amnesty to illegal immigrants,An amnesty would encourage rather than reduce immigration,attack,"An amnesty would simply mean more immigration resulting in new illegal immigrants. First, it would quickly become known that a country is offering an amnesty resulting in a rush to gain entry in time. An increase would continue even after the amnesty because migrants would believe that country would be more likely to grant another amnesty in the future.Second, Once there is an amnesty those who have been granted amnesty and are able to work legally so have gained a measure of security will bring family to live with them.This is exactly what has occurred with previous amnesties. After the 1986 Immigration Reform and Control Act in the United States which 2.7 million immigrants took advantage of to become legal residents the number of illegal immigrants arriving in the USA rose to 800,000 before falling back down to a more normal level of 500,000 per year.[1] Spain has granted numerous amnesties since 1985 as a response to increasing immigration, particularly from South America. There has as a result been an ever increasing number of applications for these amnesties from 43,815 in 1985 to 350,000 in 2001.[2] A general amnesty in 2005 that had 700,000 applicants.[3] If the result is simply increased immigration an amnesty will have achieved nothing except pushing up immigration; there will still be illegal immigrants, there will be more anger against them, and ultimately there will need to be more deportations or another amnesty.[1] Camarota, Steven A, ‘New INS Report: 1986 Amnesty Increased Illegal Immigration’, Center for Immigration Studies, 12th October 2000, http://www.cis.org/articles/2000/ins1986amnesty.html[2] Maas, Willem. ""The Politics of Immigration, Employment, and Amnesty in Spain"" Paper presented at the annual meeting of the International Studies Association, Town & Country Resort and Convention Center, San Diego, California, USA, Mar 22, 2006. http://citation.allacademic.com/meta/p_mla_apa_research_citation/0/9/9/6/1/pages99612/p99612-1.php pp.10, 14[3] Tremlett, Giles, ‘Spain grants amnesty to 700,000 migrants’, The Guardian, 9th May 2009, http://www.guardian.co.uk/world/2005/may/09/spain.gilestremlett",t109,p2040
2035,This House would grant an amnesty to illegal immigrants,no summary,attack,"An amnesty will not solve this problem either; all it will do is move poor people from one country to another. Those granted an amnesty might be slightly higher paid than they would be if they had stayed at home but without skills they will remain at the bottom of the pile while having to adapt to a new nation. Instead what is needed is economic growth in the poorer countries that are the origin of the migrants. This is something the rich world can encourage through numerous different methods. For example the USA allowed Mexico to join the North American Free Trade Agreement and so the US is Mexico's biggest export partner with 80% of Mexican exports being to America. Secondly rich countries can provide investment and the skills necessary to develop industries in these developing countries. For example Mexico has ""structural inefficiencies"" in its farming industry,[1] something which the United States as the world's most efficient agricultural producer could help with.[1] Bureau of Western Hemisphere Affairs, ‘Background Note: Mexico’, U.S. Department of State, 16 November 2011, http://www.state.gov/r/pa/ei/bgn/35749.htm",p2035,c2035
2036,This House would grant an amnesty to illegal immigrants,no summary,attack,"There are thousands of citizens who have been made unemployed during the economic crisis of the last few years who would be happy to have a paying job again. In 2010 unemployment across the OECD ranged from 3.7% of the labour force in Norway to 20.2% in Spain with an OECD average of 8.5%.[1] These unemployed could fill the jobs left by migrants in no time at all, as a result migrants do not benefit the economy rather provide drag to it as they mean that some natives who would otherwise be in employment are unemployed.[1] Directorate for Employment, Labour and Social Affairs, ‘How do OECD labour markets perform?’, OECD Employment Outlook, 27 September 2011, http://www.oecd.org/document/22/0,3746,en_2649_33927_43221014_1_1_1_1,00.html#unemp",p2036,c2036
2037,This House would grant an amnesty to illegal immigrants,no summary,attack," Far from being necessary immigrants are a drain on the economy. The vast majority of immigrants have few skills. These low skill migrants pay few taxes and take a lot of government benefits. For example in the United States each immigrant without a high school diploma costs the US taxpayers $89,000 over their lifetime. Since there are six million illegals without a high school diploma living in the US this adds up to half a trillion dollars. This increases further if they are given an amnesty so are able to claim citizenship and more money and the costs spiral yet further when the cost of educating their children is included with the possible cost rising to $2 trillion.[1] Some migrants may be necessary as a country ages, but the state should pick the migrants it wants - if a state wants migrants with skills to work in care homes it should let in those who have those skills or are applying to colleges to learn the relevant  skills rather than granting an amnesty to those who are already here regardless of their worth to the economy.[1] Rector, Robert, ‘Importing Poverty: Immigration and Poverty in the United States: A Book of Charts’, The Heritage Foundation, 25th October 2006, http://www.heritage.org/research/immigration/sr9.cfm#_ftn3",p2037,c2037
2038,This House would grant an amnesty to illegal immigrants,no summary,attack,"An amnesty is not a reward for breaking the law, and any illegal immigrant who has committed crimes other than entering the country illegally could be excluded. Instead amnesty should be seen as acknowledging those who live and work in a country but are nonetheless ignored. An amnesty would mean the state would get to collect more money in taxes from immigrants and they would be subject to all the requirements that all citizens are expected to abide by. They could also be expected to pay a processing fee to cover town or government expenditure for the amnesty amongst other things. So an amnesty wouldn't be a reward in its entirety as much as an acknowledgment and a way to balance the books.[1] The government would also be free to impose strict restrictions on any amnesty. For example the one proposed by the liberal democrats in 2010 was only to allow those who had been in the UK for ten years, spoke English and wished to work towards earning citizenship. There would also have been a probationary period and some form of voluntary service.[2][1] Barney, Katherine, ‘Mayor Wants Amnesty for Illegal Immigrants’, London Evening Standard, 9 March 2009, http://www.thisislondon.co.uk/standard/article-23659506-details/Mayor+wants+amnesty+for+illegal+immigrants/article.do[2] Standford, Daniel, ‘Illegal immigration: Is an amnesty the answer’, BBC News, 19 April 2010, http://news.bbc.co.uk/1/hi/uk_politics/election_2010/parties_and_issues/8629354.stm",p2038,c2038
