,title,summary,stance,comment,parent_id,comment_id
1033,This House would grant those diagnosed with terminal illnesses the right to access treatments that h,Freedom of Choice,support,"We live in a free society, and accept that people have the right to do as they please; including exposing themselves to risk, as long as in so doing they do not harm others (Mill’s harm principle).1To deny people the right to choose to take drugs that are still undergoing testing that, whilst they are risky, may save their lives, is a violation of this principle: in choosing to expose themselves to that risk, no-one else is harmed and indeed in the long run others may be saved as a result of the tests. Further, with the assistance of medical professionals and other support, the decision to take this risk can easily be well-informed and consensual.1 Wilson, Fred, ""John Stuart Mill"", in Edward N. Zalta (ed.), The Stanford Encyclopedia of Philosophy (Spring 2012 Edition), http://plato.stanford.edu/archives/spr2012/entries/mill/",t251,p1033
1034,This House would grant those diagnosed with terminal illnesses the right to access treatments that h,It is cruel to deny people the last hope,support,"At a point when all ordinary medical avenues have been expended, and the outcome appears bleak, new treatments still undergoing trials can be seen as the last hope.People are often aware of the existence of currently experimental drugs, they are likely to research into possible cures, and indeed there may have been attempts by their doctor to get the patient onto the trial.However, not everyone who could benefit from treatment is accepted onto a clinical trial: some trials, at some stages, restrict their recruitment to, for example, patients with no complicating factors or other illnesses.It is unethical and cruel to make people live out their last days knowing that there was something that could have helped, but to which access was restricted through no fault of their own: thus, you should allow anyone with a terminal illness access to such treatments.",t251,p1034
1035,This House would grant those diagnosed with terminal illnesses the right to access treatments that h,It is unethical to force a ‘volunteer’ to take the chance of being randomised onto the placebo arm of a trial,support,"Under the status quo, someone with a terminal illness is offered two choices: death, or to join a trial (where such trials exist). However, when they join a trial they face the possibility that they will be given a placebo, not the drug.Whilst this is probably in the best interest of future patients (a good clinical trial will determine the efficacy of the new treatment), it rides roughshod over the rights of the current patients (not to be sacrificed for future generations) and the duty of physicians to act in the best interests of their present patients.There are two consequences here: the first is that it is morally dubious to use the present patients as mere means to an end, rather than acting in their own best interests, especially where, if randomized to the placebo arm the outcome of death is a certainty.The second consequence is a practical one: compliance with the trial is lessened at the point at which patients can take alternative measures to increase their chance of survival. This was best documented during the early stages of the AIDS crisis in the 1980s, where there was evidence of ‘cheating’ during the trials1. People lied or bribed their way into clinical studies; and shared drugs to dilute the ‘risk’ of being on placebo.This has the obvious impact of casting doubt on the scientific results of the trials: you can no longer be sure who has taken what, and what other conditions they may have.1 Schüklenk, Udo, and Lowry, Christopher, ‘Terminal illness and access to Phase 1 experimental agents, surgeries and devices: reviewing the ethical arguments’, British Medical Bulletin, Vol.89, 2009, pp.7-22, http://bmb.oxfordjournals.org/content/89/1/7.full.pdf?keytype=ref&ijkey=Ip64J5FUXThKvP0",t251,p1035
1036,This House would grant those diagnosed with terminal illnesses the right to access treatments that h,Disastrous impact on medical trials,attack,"We need medical trials. It is important to have large groups of recruits, which can often be very difficult: a problem with the speed at which new treatments for rare diseases is the rate of recruitment (and therefore the length of time taken to complete the trial)1.If you pass this motion, trials will face large problems with recruitment, an area where there are already sometimes shortages2: if people can get access to the drug without a) the possibility of being placed in the placebo arm or b) inconveniences of being part of a trial, there is a reduced chance of them choosing to enter the trial.Consequently, the sample size in trials will be decreased. This will have a couple of outcomes:First trials will take a longer time to be completed as a result of fewer volunteers and this is bad for patients currently taking the new drug as well as for future patients. This is because it will take longer to determine the safety of the drug meaning if it is dangerous those taking the drug will be taking it for longer before the danger is fully appreciated and if safe then the drug will have taken longer to get to the market than it could have. The longer the trials take to complete, the more people are forced to decide whether to take the drug in the absence of reliable information. This means that, at such a stressful time, people are effectively forced to gamble the quality of their remaining years with the hope of gaining a few more (new drugs are unlikely to be ‘miracle cures’. Rather, they are likely to extend life by driving the disease into remission).  It is important to remember that, at this stage, it has yet to be determined whether new drugs are more effective than old ones, and second, that the sorts of drugs used to treat terminal illnesses tend to come with substantial side effects. As a consequence, if many people are using a new treatment before trialling has been completed, they may be using something that is not effective and has side-effects that significantly impact the quality of the last years of their life.Finally, the longer trials are delayed, the greater the chance that future trials will be biased by media hype ad speculation. It is both easy and profitable for media outlets to exaggerate early successes of a drug with claims and headlines such as “wonder drug”.This is problematic because of the tendency towards confirmation bias on the part of researchers: the greater their expectation of a positive result, the more likely they are to alter data to receive that result. Note that this is not as a result of deliberate fraud or deception, but rather, the result of any number of small decisions that, cumulatively, create a large result.1 Jenkins, John, ‘Considerations for Clinical Trial Designs’, U.S. Food and Drug Administration, https://rarediseases.info.nih.gov/files/Jenkins.pdf2 ‘Volunteer for research at UNClinicalStudies.org’, University of Michigan Comprehensive Cancer Center, http://www.cancer.med.umich.edu/living/clinical-trials.html",t251,p1036
1037,This House would grant those diagnosed with terminal illnesses the right to access treatments that h,This gives people false hope,attack,"If these drugs are made available, you risk giving many people false hope in the last days of their lives. People, particularly when in desperate situations, tend to overestimate a treatment’s efficacy.Given that these treatments are still undergoing the trial process, it is possible that they are ineffective, or have side-effects that outweigh any benefits.Thus, to allow such drugs and treatments to be handed out during the testing process, there is a great risk of giving people false hope. This is especially the case given the compromised role of the physician in this scenario: ordinarily, if a patient wants an experimental drug, they can have a discussion with their physician that stresses the ‘in trial’ nature of the drug, and thus the uncertainty of it working. Subsequent experiences (the inconveniences of trials; filling in forms and receiving expenses) reinforce the idea that these drugs were experimental, and that the bulk of the benefit from the trial accrues for future patients.Consequently, in that scenario it is easier for the physician to help the patient to come to terms with the end of life; to deal with this and to realise that any trial drugs give only a slim chance of improvement. In the scenario envisaged by this proposition, experimental drugs can be acquired as easily as licensed ones, and therefore there is no longer that clear distinction for the patient between ‘doing all you can’ in the ordinary sense, (trying every treatment that is known to be effective) and trying ‘one more (experimental) drug’.Therefore, the patient is less likely to be able to come to terms with their own condition, and therefore less likely to be able to deal with the emotional trauma inflicted not only upon them, but on close family and loved ones. ",t251,p1037
1038,This House would grant those diagnosed with terminal illnesses the right to access treatments that h,This reduces the incentive for pharmaceutical companies to complete the testing process,attack,"Testing new drugs is a very expensive process, in 2000 the average cost was estimated at around 86 million for the large scale phase III tests1 however this is contested and it could be much higher it represents 40% of pharmaceutical companies R&D expenditures, which since a recent estimated the development cost of a drug can be up to $5.8billion (due to including failures) the cost of trials would in some cases then be $2billion,2 which is currently funded by pharmaceutical companies. They fund these tests because it is either impossible, very difficult or very risky to access large markets before testing has been completed (e.g. in the USA companies are only allowed to sell new drugs “off-study”, i.e. during trials, at cost3)If you allow all terminally ill patients access to experimental drugs, you reduce the incentive for companies to continue testing their products: they will have access to a large market prior to the completion of testing, and will therefore have no incentive to complete trials, which are expensive and risk finding the product ineffective.1 DiMasi, Joseph A. et al., ‘The price of innovation: new estimates of drug development costs’, Journal of Health Economics, Vol.22, 2003, pp.151-185, p.162 http://moglen.law.columbia.edu/twiki/pub/LawNetSoc/BahradSokhansanjFirstPaper/22JHealthEcon151_drug_development_costs_2003.pdf2 Roy, Avik S. A., ‘Stifling New Cures: The True Cost of Lengthy Clinical Drug Trials’, Project FDA Report, No. 5, April 2012, http://www.manhattan-institute.org/html/fda_05.htm3 Schüklenk, Udo, and Lowry, Christopher, ‘Terminal illness and access to Phase 1 experimental agents, surgeries and devices: reviewing the ethical arguments’, British Medical Bulletin, Vol.89, 2009, pp.7-22, http://bmb.oxfordjournals.org/content/89/1/7.full.pdf?keytype=ref&ijkey=Ip64J5FUXThKvP0",t251,p1038
1039,This House would grant those diagnosed with terminal illnesses the right to access treatments that h,"This policy enhances the role of drug reps and advertising, at the cost of evidence-based medicine",attack,"By allowing anyone who is critically ill to use experimental drugs you enhance the already dubious role of drug company reps: especially in the USA, (where doctors do not operate under the NHS guidance found in the UK), there is already a problem of patterns of prescription being altered by the techniques of drug reps, rather than by evidence1. Where drugs are for sale before they have completed testing, there is even less evidence available, and therefore less ability for physicians to contest the claims of either reps or their own patients (who may have heard of the drug during their own research). Hence you magnify the problem of potentially ineffective of even harmful prescription.1 Harris, Gwyn, ‘Pharmaceutical representatives do influence physician behaviour’, Family Practice, Vol.26 2009, pp.169-70, http://fampra.oxfordjournals.org/content/26/3/169.full",t251,p1039
1033,This House would grant those diagnosed with terminal illnesses the right to access treatments that h,no summary,attack,"It is not the case that this is a policy with no harms other than to the person with a terminal illness (see opposition arguments).Second, it seems unreasonable to suggest people are making a free and informed choice in this instance: no-one has sufficient information for taking the drug to represent anything but a gamble; this is why there is a need for tests.",p1033,c1033
1034,This House would grant those diagnosed with terminal illnesses the right to access treatments that h,no summary,attack,"It is not cruel if it can be shown that this restriction is in the patient’s own interest. The status quo prevents patients from living out their last days on a stream of experimental drugs. We prevent drug companies from using them as risk-free testing (under your policy drug companies would presumably be able to shrug off any responsibility for adverse consequences by saying that it was the patient’s choice to try an experimental drug), and allow them instead to receive the appropriate support for someone at the end of their life, and come to terms with that.Further, it is important to remember that drugs at this stage are not necessarily miracle cures! If someone is refused access to a trial this is normally to reduce the risk of adverse consequences: it is wrong to give someone an experimental drug that could negatively impact the quality of their final days. ",p1034,c1034
1035,This House would grant those diagnosed with terminal illnesses the right to access treatments that h,no summary,attack,"First, note that the reason for the existence of the placebo arm is to determine if the drug is more effective than placebo, so in some cases the drug will not be, and nothing will have been lost!Second, for this point to stand, it has to be shown why the present generation should be prioritised above all future ones: the consequences of giving the present patients a slightly increased chance of survival is to negatively impact patients in the future in a myriad ways (see opposition arguments).Third, there are a number of reasons to doubt that this is, in fact in the present patient’s best interest: it is not the case that terminally ill people have ‘nothing to lose’ and can therefore be used as human guinea pigs (providing there is an, as yet unspecified, probability of survival). The large-scale provision of un-trialled drugs may well result in side-effects denigrating the quality of the patient’s remaining years.Finally, the practical consequence considered can be sidestepped through a) better supervision of trials and b) improved doctor-patient relationships (a particular problem during the AIDS crisis). Further, note that the case of AIDS is something of an anomalous one: AIDS patients were more numerous and politicised than any other group before or since, thus enabling this sort of trial-breaking behaviour.",p1035,c1035
