,title,summary,stance,comment,parent_id,comment_id
48,This House would have no elections rather than sham elections,Having no elections is honest,support,"Holding sham elections is fundamentally dishonest as it is asking the people to choose a government and then ignoring their choice. Not holding elections is at least honestly telling the people that they get no say in who is in power. Holding a sham election inevitably means having to lie to the people somewhere along the line; whether it is in preventing people registering, or voting, or in manipulating the results. The people usually know the result is a sham or at least are suspicious – in the latest Zimbabwean election the headlines in the newspapers included “ZANU-PF gloats over victory”.[1]Without a sham election the government can at least be honest with their people so enabling a level of trust or even a kind of contract between the two – the government and the people each lets the other get on with it. Thus for example in China trust in government in 2012 was 76% against the world average of 51%.[2][1] Chinaka, Cris, ‘Africa and West at odds over disputed Zimbabwe election’, Reuters, 4 August 2013, http://www.reuters.com/article/2013/08/04/us-zimbabwe-election-idUSBRE97205J20130804[2] Sedghi, Ami, and Rogers, Simon, ‘Do we trust our government? See how your country compares’, TheGuardian.com, 24 January 2012, http://www.theguardian.com/news/datablog/2012/jan/24/trust-in-government-country-edelman",t497,p48
49,This House would have no elections rather than sham elections,Avoids the costs and uncertainty of elections,support,"It is hard to see what the benefit of an election that can change nothing is, but there are certainly all the costs associated with a normal election. Elections can be costly in financial terms, the United States elections cost several billion dollars but even much smaller and less extravagant elections need financing. Zimbabwe’s elections in 2013 forced the government to ask its neighbours for $85 million to carry out the polls, for a nation that is essentially bankrupt this is a lot of money.[1]Another cost is uncertainty. In fully democratic elections the uncertainty is with what the policies will be when the government changes. With sham elections the uncertainty is whether the elections will be a focus for violence. Sometimes this is during campaigning itself as with Zimbabwe in 2008 where up to 200 people were killed.[2] Otherwise violence occurs when there is a perception that an election has been stolen so the Green Movement in Iran took to the streets and was met with a violent crackdown in 2009.[3][1] VOA News, ‘Zimbabwe Seeks Help to Cover Election Costs’, Voice of America, 10 July 2013, http://www.voanews.com/content/zimbabwe-seeks-help-to-cover-election-costs/1699194.html[2] ‘Zimbabwe: No Justice for Rampant Killings, Torture’, Human Rights Watch, 8 March 2011, http://www.hrw.org/news/2011/03/08/zimbabwe-no-justice-rampant-killings-torture[3] AFP, ‘Iran opposition says 72 killed in vote protests’, Google, 3 September 2009, http://www.google.com/hostednews/afp/article/ALeqM5iaWYtGitSBRRBJkDanoZ1gwP4DBA",t497,p49
50,This House would have no elections rather than sham elections,Allows the ruler to make necessary but unpopular decisions,support,"Democracy and elections are about popularity but popular decisions are not always the right ones. Even mature democracies have sometimes seen their government’s make use of the levers of government to boost their electoral chances; for example Margaret Thatcher’s government stoked the economy in the Lawson boom in 1987 which just happened to be an election year.[1] Governments without elections can engage in long term planning and make unpopular decisions without fear of the consequences. Thus for example Saudi Arabia is willing to pump less oil (and so get less money in the short term at least) in order to create stability in the oil market by having enough excess capacity to prevent price spikes.[1] Congdon, Tim, Keynes, the Keynesians and Monetarism, 2007, p.73 http://books.google.co.uk/books?id=7DiRU-TROV0C",t497,p50
51,This House would have no elections rather than sham elections,Forces the ruler to find another way to placate the people,support,"Not having any elections – or only elections for a powerless advisory parliament – may actually have a benefit in putting responsibility squarely on the shoulders of the rulers. Only a country that is comparatively well governed, or successful, can manage without a democratic safety valve.  It is notable that the remaining absolute monarchies or those where the King rules as well as reigns are mostly very wealthy petro states. Several of the remaining communist regimes, China and Vietnam, rely on rapid economic growth to cement their legitimacy combined with meritocracy in their selection of leaders. In both cases there is an incentive for good governance by those in power as they are in for the long term. The leaders know they are not going to be elected out of office so have the motivation to reduce corruption and create long term growth through investment in infrastructure because this will benefit them in the future.[1][1] Feldman, Noah, ‘Feldman examines corruption and political legitimacy in China’, Harvard Law School, 11 March 2013, http://www.law.harvard.edu/news/2013/03/11_feldman-corruption-political-legitimacy-china.html",t497,p51
52,This House would have no elections rather than sham elections,Some kind of election is more likely to lead to real democracy than no election,attack,"The acceptance by most autocrats that there need to be elections shows the idea that legitimacy derives from the people is generally accepted.  Meaning that these states are already part way to having a genuine democracy. Having regular elections, even if the outcome is preordained, means that the electorate becomes used to voting and the idea of voting to make their voice heard. In such circumstances eventually they are going to want their vote to really count. If there is a creeping process of reform eventually this will result in free and fair elections.Having any kind of elections means that there are people who are recognised as an opposition. This means that there is a viable alternative to the ruling party which can be turned to in a crisis, or can take on the leadership role when the regime is finally toppled. For example in Philippines the opposition was able to create a united opposition party in 1984 and coalesce around Corazon Aquino in the snap elections of 1985.[1] This meant that Aquino was in a position to swiftly set up a government following the people power revolution and flight of Marcos.[2][1] Kline, William E., ‘The Fall of Marcos: A Problem in U.S. Foreign Policymaking’, Institute for the Study of Diplomacy, 1992, http://www.princeton.edu/~bsimpson/Hist%20725%20Summer%202006/Philippines-the%20fall%20of%20Marcos.pdf Pp.4, 10[2] Reaves, Joseph A., ‘Marcos Flees, Aquino Rules’, Chicago Tribune, 26 February 1986, http://articles.chicagotribune.com/1986-02-26/news/8601140956_1_marcos-final-destination-marcos-flight-ferdinand-e-marcos",t497,p52
53,This House would have no elections rather than sham elections,Elections of any sort force rulers to meet their people,attack,"Elections almost anywhere in the world mean politicians getting out and campaigning. Regardless of the legitimacy of the final election the leadership of the country will be going out and meeting voters. In many of these events individuals won’t be able to express their views but there are also likely to be protests and meetings where individuals can get their views across. This provides an opportunity for the leader to stay in touch with the people – often a problem with dictators who have been in power too long.  Dictators will want to, and often believe that they are likely to win even without resort to fraud, as Marcos did in 1985.[1] They are then are much more likely to consider the views of the electorate to still be relevant if there are elections than if there are not. Thus for example Mugabe in the most recent elections made a bid for, and won, the youth vote by promising a direct stake in the economy,[2] so responding to their desire for jobs.[3][1] Kline, William E., ‘The Fall of Marcos: A Problem in U.S. Foreign Policymaking’, Institute for the Study of Diplomacy, 1992, http://www.princeton.edu/~bsimpson/Hist%20725%20Summer%202006/Philippines-the%20fall%20of%20Marcos.pdf p. 10[2] Agyemang, Roy, ‘Why a Robert Mugabe victory would be good for Zimbabwe’, theguardian.com, 2 August 2013, http://www.theguardian.com/world/2013/aug/02/robert-mugabe-zimbabwe-victory-good[3] AFP, ‘Youth, rural voters may hold key to Zimbabwe election’, Fox News, 27 July 2013, http://www.foxnews.com/world/2013/07/27/youth-rural-voters-may-hold-key-to-zimbabwe-election/",t497,p53
54,This House would have no elections rather than sham elections,Even a sham election demonstrates what the people want,attack,In an election the people show what their policy preferences will be. Even if the government is engaging in vote rigging or voter intimidation they will still know how the people voted or wanted to vote (if they stuffed the ballot they will know how many extra votes they added) so will have some guidance as to the policies that the people wish implemented. If there are multiple different parties competing in the elections then it will be possible to tell which party platforms are the most popular and so which to take ideas from.If there are elections then there are opposition parties and independent MPs who are given much more space than they would be without elections. Being MPs gives the opposition some status and gives them a controlled setting in which to criticise the government. This provides the opposition with the chance to channel the voice of the people and encourage change from the governing party.  ,t497,p54
55,This House would have no elections rather than sham elections,Sham elections do not mean the elections have no influence or impact. ,attack,"For an autocracy the election for the top job needs to be predetermined, but the other elections do not. This means that elections for the legislature can still be competitive. The seats do have some influence, provide patronage, and have status attached so there are plenty of people who want to contest them. In the Arab world before the Arab spring there was a less than 25% incumbency rate for legislatures.[1] Having elections that determine control in local areas or allow opposition some control in parliament is far preferable to the alternative where the government appoints everyone. Aung San Suu Kyi and the National League for Democracy in Burma have for example gained entry into Parliament and have despite being a minority had an impact. This has particularly been the case internationally. They have helped liberalise the new Foreign Investment Law and have encouraged more liberalised freedom of the press and association.[2][1] Lust, Ellen, ‘The Multiple Meanings of Elections In Non-Democratic Regimes: Breakdown, Response and Outcome in the Arab Uprisings’, Yale University, p.7. http://www.law.nyu.edu/sites/default/files/ECM_PRO_074099.pdf[2] Turnell, Sean, ‘Myanmar has made a good start to economic reform’, East Asia Forum, 27 March 2013, http://www.eastasiaforum.org/2013/03/27/myanmar-has-made-a-good-start-to-economic-reform/",t497,p55
48,This House would have no elections rather than sham elections,no summary,attack,Being honest about depriving the people of their right to choose the government is not beneficial. An unwillingness to hold elections does not build any trust even when the government has proved itself capable at governing because an unwillingness to hold elections fundamentally shows distrust by government of the people. If the government trusted the people in return it would trust them to elect a competent government and representatives.,p48,c48
49,This House would have no elections rather than sham elections,no summary,attack,"While elections can create a focal point for protest and violence this may actually make things more predictable not less. Countries without elections are not without opposition groups and protests, all this means is that the spark for the protests is going to be different; police beating someone up, a particularly extravagant piece of corruption, an attempted cover up, the disappearance of an opposition activist. Not having elections simply prevents the divisions in society from being highly visible; it does not get rid of the divisions, indeed it gets rid of one of the safety valves.",p49,c49
