,title,summary,stance,comment,parent_id,comment_id
1996,This House would implent the Virtual Doctor Project in Zambia,Tackling access: working in rural areas,support,"Zambia’s human resource crisis in healthcare is most prominent in rural areas. Poverty remains widespread and despite Zambia’s high economic fortune as a result of copper during the 1960s it has become a heavily-indebted poor country. The World Bank (2013) classifies 76% of Zambia’s poor as residing in rural areas. With disparities in access to health prevalent, Zambia needs to train new doctors and nurses to ensure the population can access health care. The VDP is therefore tackling the issue of access within rural, and remote, areas.Access to health is a human right, and the VDP is ensuring such rights are become a reality in rural areas and rural populations. Mortality and morbidity can be reduced as rural health workers are able to diagnose and treat a wider range of conditions.",t43,p1996
1997,This House would implent the Virtual Doctor Project in Zambia,The network approach: promoting learning,support,"The use of ICT and creating a network of professional experts enables learning and knowledge transfer between health workers and academics. In addition to the brain-drain, whereby skilled health professionals continue to emigrate from Zambia, Zambia also shows a slow rate of training of new health workers. Therefore the VDP provides a vital learning tool. VDP provides practical skills by healthcare workers to learn from first-hand experience while having access to a field of experts, or advisers, able to answer any questions. The quality of healthcare will be improved as workers in remote locations are given access to information and correct answers for diagnosis. A global pool of skills can be drawn upon, and utilised, when required.",t43,p1997
1998,This House would implent the Virtual Doctor Project in Zambia,Flexibility of mobile clinics,support,"The use of mobile clinics and ICT in health not only tackles issues around location accessibility to health, by travelling into remote areas, but also the flexibility provided through the clinics mobility means a larger population can be seen and treated.Virtual doctors are flexible; one doctor can be providing his or her expertise through numerous local doctors and nurses at any time. They can help staff with much less training make the correct decisions. By using mobile clinics the location is flexible - and can be altered depending on variations in social need and seasons -, and the time individuals can access the clinic is flexible. Mobile clinics are more responsive to demand.",t43,p1998
1999,This House would implent the Virtual Doctor Project in Zambia,Speeding up referral,support,"Each mobile clinic will be equipped with vital tools and equipment, and staffed with a medical assistant, a midwife/nurse, and project officer. Furthermore, the presence of a medical staff team means a number of services can be provided for women, men, and children. The team are able to carry out tests on the ground, and if required refer the patient to a hospital. Referrals are made by the staff, with all required information passed on to the hospital and an appropriate appointment made.The VDP makes each actor within the referral and treatment process aware of their position and role. The VDP appropriately delegates jobs; thus improving the system of hospital referrals and minimising unnecessary costs from inappropriate referrals.",t43,p1999
2000,This House would implent the Virtual Doctor Project in Zambia,Taking healthcare beyond basic needs,support,"Not only does VDP improve access to primary health care but the networks developed between different health advisers mean changing health demands can be met. Across Africa there is now a shift in the type of diseases prevalent. Increasing rates of non-communicable disease are being recorded - for which advisers can provide ongoing support. Additionally, there remains a need to improve understanding and treatment of mental health issues within rural areas in particular. Concern with mental health requires greater recognition across Africa. Finally, data can be collected on health issues affecting rural areas for targeted intervention.",t43,p2000
2001,This House would implent the Virtual Doctor Project in Zambia,How sustainable?,attack,"A key issue that needs to be raised is funding. Currently the VDP is funded by a range of corporate partners - including Microsoft and Google. However, for the project to be sustainable in the long-run investment is required from a wider range of bodies, and further partnerships need to be formed with the public sector. The government needs to be included as a funder and supporter. The neglect, and exclusion, of the government within discussion on health projects - such as VDP - only acts to remove their responsibility and obligation to tackle the social dilemma. Healthcare is the responsibility of government, not the NGOs and private firms that are providing VDP.",t43,p2001
2002,This House would implent the Virtual Doctor Project in Zambia,Resolving the health service crisis?,attack,"To what extent does the VDP resolve the lack of health service professionals in Zambia? Two caveats emerge.Firstly, the project shows how intervention from international organisations can work against trade union demands and employment issues. The project is introducing a model of outsourcing. The medical staff do not need to be based in hospitals so reducing government costs and decentralising employees. Recent strikes by nurses[1] shows dissatisfaction with work conditions and overwork. It raises concern over the motives of the VDP. Is the VDP encouraging social protection and an ethical work environment for all medical professionals? Or is the VDP an escape mechanism to keep wages low and neglect demands made by working nurses? A majority of the expert ‘virtual doctors’ employed are volunteers. Ultimately then the government might consider the VDP a good excuse not to invest in training Zambian doctors.Secondly, does the VDP resolve the issue of brain drain? Improved incentives and increased salaries are required for trained medical professionals, to motivate them to stay. The VDP may help educated doctors but it does not provide them with reasons to remain in Zambia, rather it gives them contacts with outside healthcare systems where their skills will be much better rewarded.[1] See further readings: Kunda, 2013.",t43,p2002
2003,This House would implent the Virtual Doctor Project in Zambia,A dangerous reliance on technology?,attack,"ICT is providing innovative solutions to resolve many social problems across Africa. However, is there now a dangerous reliance on technology? Not everyone has access to mobiles and signal remains precarious. When answers, diagnosis, and treatment, are reliant on using technology in the field it needs to be ensured that the service fitted in mobile clinics will remain reliable for field health workers. Additionally, it needs to be ensured that the network of global professionals frequently check messages for updates and respond as quickly as possible. The quality of health service cannot be improved if the response time remains low due to insufficient technology or connectivity. The scheme requires partnerships to telephone and information technology companies.The reliance on technology is also danger when we consider what information the technology used is actually providing. The VDP will mainly involve text-based emails and messages to provide patient information. Expanding to use images and videos - such as through Skype - will ensure the virtual doctor is more involved in the process, reducing error.",t43,p2003
2004,This House would implent the Virtual Doctor Project in Zambia,Will virtual doctors be used?,attack,"Even if VDPs do improve access to health services we cannot assume the health services will be used. The use of traditional healers, and practices, remains popular across rural Zambia[1]. If the population is unwilling to use modern medicine then providing better access to that medicine will be of little benefit. If formally trained doctors and medicines are not accepted, or trusted, by communities then the resources being spent on VDPs would be much better spent on education to encourage people to make better use of the facilities they already have than introducing new technology based solutions that will simply be more likely to be rejected.[1] See further readings: Bansal, 2012.",t43,p2004
1996,This House would implent the Virtual Doctor Project in Zambia,no summary,attack,"Zambia needs to improve its health care system in general, not work on implementing a virtual programme. Physical contact is still necessary for diagnosis and treatment.Alternative schemes are being used to meet health needs and improve the structure of Zambia’s health system. For example, the Clinton Foundation and DFID[1] have invested in the provision of community health workers. These programmes invest in training community health workers across Zambia’s rural regions. The health workers trained are therefore physically located within the regions. This is much more important than having virtual doctors on call.[1] See further readings: Clinton Foundation, 2013.",p1996,c1996
