,title,summary,stance,comment,parent_id,comment_id
31,This House would impose democracy,Interventions can be successful given the right conditions.,support,"Certain factors may increase the chance of success: for example imposing democracy on a nation with which there were once colonial relationships increases the expected lifespan of the democracy. Democratic transitions in general also tend to be more successful if economic conditions are better. Obviously we are not advocating imposing democracy on every country which does not have it, but if there are strong enough institutions and conditions, imposition can work and there have been past successes like Germany and Japan post WWII that show the worth of imposing democracy1/2.1Enterline, Andrew J. and Greig, J. Michael.""Against All Odds? Historical Trends in Imposed Democracy & the Future of Iraq & Afghanistan.""2Przeworski et al ""What Makes Democracies Endure?"" Journal of Democracy.",t359,p31
32,This House would impose democracy,Imposing democracy can be a way to support individuals unable to fight for democracy themselves.,support,"If the people within a nation want democracy, it is not wrong -- indeed it may even be morally required -- for us to assist them by imposing democracy against the will of the governing class. Often internal movements lack resources, weapons, or organization, making the fight for democracy very difficult. When individuals seek to defend their rights against an oppressive regime, other nations do them a disservice by allowing evil to win out. Thus NATO's intervention in Libya was in support of rebels often seen as part of the 'Arab spring' wave of democratization but the internal movement even if it had large amounts of support was being suppressed and would have been destroyed without outside intervention1.1Traub, James. ""Stepping In"", Foreign Policyimprove this ",t359,p32
33,This House would impose democracy,Promoting democracy promotes peace.,support,"By most accounts, there has not been a war between two democracies in the past 200 years. Immanuel Kant argued in Perpetual Peace (1795) that a) democratic governments are more constrained by their people's opposition to war and b) that a democratic culture of negotiation, as well as the checks and balances inherent in such a system, make war less likely. Thus by promoting democracy through imposing it, we increase the chance of a peaceful world. Furthermore, terrorism may be less likely to arise in democratic countries, where people are allowed to air their views and human rights norms prevent feelings of marginalization. This is good for human rights worldwide, including the rights and safety of individuals in our own country.11""Do Democracies Fight Each Other?"" BBC.",t359,p33
34,This House would impose democracy,"Because democracy is the best form of government, it is not wrong-- and indeed may even be our obligation-- to bring it to those who do not have it.",support,"Democratic regimes are the best form of government, and it is our obligation to try and provide that to others. Democracy is the only form of government which upholds the value of political self-determination: that each individual has a right to form his/her government, and to vote out governments s/he does not like. To deny this right is to deny the inherent worth and freedom of the individual. Political autonomy also has instrumental value insofar as it allows individuals to check abusive governments which may seek to violate other human rights. Thus it is certainly not wrong -- and may even be our humanitarian obligation -- to bring democracy to those who do not have it, just as we would intervene in other situations in which serious rights were being abused1.1Fish, Stanley. ""Why Democracy?"" The New York Times.",t359,p34
35,This House would impose democracy,Democracy by its very nature cannot be imposed.,attack,"Democratic government is not only government for the people, but also government by and of the people. A foreign-imposed government is not a government established by the people which it rules, meaning that it lacks the legitimacy necessary to claim democratic status. It is wrong to force a government upon people, and imposers of 'democracy' do just that. This is exacerbated by the fact that foreign-imposed democracies often have a great deal of trouble governing themselves independently (like the Iraqi and Afghani governments, which are still very much reliant on the United States), thus de- legitimizing the government even further1.1Doyle, Michael. ""Promoting Democracy is Not Imposing Democracy."" The Huffington Post.improve this ",t359,p35
36,This House would impose democracy,"Unilateral action is burdensome, and dangerous.",attack,"The motion suggests that a particular government is imposing democracy, but in fact it is far better to try and encourage democracy multilaterally. Multilateral assistance, like the UN Democracy Fund which seeks to ""strengthen the voice of civil society, promote human rights, and encourages the participation of all groups in the democratic process""1, is better, because it makes the support seem less political and colonial, and more honest. By using the international community to encourage democracy in a given country, we increase the chances of the people in that country respecting and supporting our attempts, rather than viewing them with suspicion2.1 United Nations Democracy Fund, 'About UNDEF', 2010,2Doyle, Michael. ""Promoting Democracy is Not Imposing Democracy."" The Huffington Post.improve this ",t359,p36
37,This House would impose democracy,"The desire for, and fight for, democracy must come from within or else democratic government will not be sustainable.",attack,"Unless the people within a country want democracy, they will not respect it. Unlike military dictatorships, democratic governments do not rely solely -- or even mainly-- on force to enforce the law. Rather, most people obey the law at least in part because they believe those laws are legitimate, as the result of free and fair elections. If citizens do not want such an electoral system, then there is no reason for them to obey the law, pay taxes etc. and the government will be unable to maintain order. Indeed, foreign-imposed democracies often slide back into authoritarian regimes because they find that they cannot uphold the law (at least without foreign support). Enterline and Greig found in a 2007 empirical study that half of imposed democracies fail within 30 years, and that this failure reduces the likelihood of democracy being successfully established in the future1/2.1Enterline, Andrew J. and Greig, J. Michael. ""Against All Odds? Historical Trends in Imposed Democracy & the Future of Iraq &Afghanistan.""2Doyle, Michael. ""Promoting Democracy is Not Imposing Democracy."" The Huffington Post.improve this ",t359,p37
38,This House would impose democracy,The imposition of democracy violates national sovereignty,attack,"Countries have a right to choose the form of government they want, and we do not have the right to violate this right by imposing the form of government we think is best. Nations may want to be ruled by, for example, religious or tribal law, or a Communist system which aims to remove government altogether. We can encourage nations to adopt democracy if we think it is better, but ultimately nations are self-directing entities which can only be interfered with in extreme situations. The United Nations has states as equals no matter their government and only authorises force in the case of an act of aggression towards another state1.1 United Nations, Charter of the United Nations, 1945,improve this ",t359,p38
39,This House would impose democracy,Attempting to impose democracy may escalate conflict.,attack,"Intervening in a country, and attempting to impose a different government, is likely to a) result in backlash and b) destabilize the country by destroying infrastructure and disrupting services. Both these things make it far more likely that violent conflict will emerge, either between the country and the imposers, or within the country, as rival factions are forced to compete for scarce resources and rights protection. Iraq is a prime example of intervention causing a civil war. The previous gulf war combined with sanctions and weeks of bombing destroyed Iraq's infrastructure resulting in what General Odierno called 'societal devastation'1 and the disbanding of the army and debaathification forced the experienced administrators who ran the country out of their jobs.(Kane, 'Don't repeat the mistakes of Iraq in Libya', 2011) The result was the attempt to impose democracy was bloody and only partially successful.1 Parrish, Karen, ""Odierno, Crocker: Iraq's Future Still Hinges on U.S. Support"", American Forces Press Service, November 15, 2010,2 Kane, Sean., 'Don't repeat the mistakes of Iraq in Libya', ForeignPolicy.com, April 27, 2011,improve this ",t359,p39
31,This House would impose democracy,no summary,attack,"Interventions are far more likely to fail than to succeed. As explained further in Opposition Argument 2, empirically and logically imposed democracy is likely to fail. Governments can try and minimize the risk of failure, but it is inherent to the nature of imposition that a government is being instated against the country's will. It is consequently very unlikely to generate support and remain stable.improve this ",p31,c31
