,title,summary,stance,comment,parent_id,comment_id
709,This House would legalise Prostitution,Prohibition does more harm than good,support,"Criminalizing the acts of selling and buying sexual services does not protect those who sell or buy such services, but rather pushes these activities underground. While market exchanges of sexual services involve some risk-taking, the risks are increased and compounded when such markets are prohibited.  When selling and buying sex is illegal, those participating in these exchanges cannot, or simply do not, seek the protection of the law when their rights are violated.   Because crimes against sex workers or their clients are often unreported, and when reported often not investigated, predators and rights violators can take advantage of others without fear of arrest and punishment.  Moreover, because criminalization forces sex work into remote and invisible corners of society, sellers and buyers are less able to insure their safety and protection.  For these reasons, laws criminalizing sex markets amplify the risks sellers and buyers face when they participate in sex market transactions. The main purpose of criminalizing sex markets is to protect those who enter such markets from harm.  Yet the harms of paying or accepting money for a good that can be legally exchanged for free are far less than the harms that result from the rights violations that often occur (robbery, battery, sexual assault, murder) when sex markets are pushed underground.",t108,p709
710,This House would legalise Prostitution,Markets in sexual services can serve legitimate needs,support,"While many societies have attempted to restrict sex to marriage, few (if any) have succeeded.  In contemporary, secular liberal societies, adults are no longer punished for pursuing sex outside of marriage. Many adults find non-marital sex satisfying, healthy, and fulfilling, whether it occurs in the context of an ongoing romantic relationship, a casual friendship, or a market exchange.  While many people will never seek the services of a sex worker, those who do are often seeking sensual comfort, companionship, entertainment, and fantasy fulfilment.   While the latter goods are often obtainable in non-market relationships, some people prefer the convenience and efficiency of market mechanisms for securing these goods. In a liberal society, individuals are free to pursue their own vision of happiness, as long as they respect the moral and civil rights of others.  Markets that provide sexual services enable some individuals to secure goods essential to their happiness.  Those who provide services to these individuals can do so in a manner that respects their rights and dignity, if the markets are legal and well regulated.",t108,p710
711,This House would legalise Prostitution,Markets in sexual services can respect sexual autonomy,support,"Sexual autonomy means being able to control when, where, and with whom one has sexual relations.  It also means that, at any moment, one may withdraw from a sexual relationship or encounter. Spouses, lovers, and also strangers have the right to sexual autonomy.  If an adult chooses to engage in sex with other adults who offer material benefits, her right to sexual autonomy is respected as long as she has control over when, where, and with which clients she has sexual relations, and as long as she is mentally competent and is allowed to terminate the agreement at any time. If markets in sex were to become legal, the rights of providers (and clients) to sexual autonomy would need to be respected.   This means that sex workers would maintain the right to refuse service to any customer, and to discontinue service or employment at any time and for any reason.  Like other workers, sexual service providers would have the right to a safe and healthy work place.  Workers who are drug dependent, or otherwise incompetent or highly vulnerable in the work place, would need to be provided treatment and time off work until they were capable of protecting themselves and others.  ",t108,p711
712,This House would legalise Prostitution,Legalization has benefits for society,support,"Removing criminal penalties from the sale or purchase of sexual services, and regulating sex markets so that they protect participants and non-involved third parties, would be socially beneficial.  In particular, sex enterprises and businesses could be made safer for workers, clients, and the communities in which they operated.  By allowing sex businesses to operate openly, providers, clients, and business owners can become law-abiding, productive citizens, who contribute to their communities.  Sex businesses and workers would pay taxes, and other licensing fees.  Business owners would be expected to comply with standard business laws and regulations.   Moreover, the government could enact special regulations appropriate to this industry, such as age restrictions on workers and clients, and mandatory condom use. The resources that are currently allocated to arrest, prosecute, and incarcerate sex workers and clients could be reallocated for better uses.   For example, these resources could be used to better address the sexual abuse of minors, sexual assault, substance abuse, mental health problems, and the many public and individual needs that go unmet.",t108,p712
713,This House would legalise Prostitution,Legalization would free up resources that could be devoted to eliminating sex trafficking,support,"Some markets in sex should be blocked.  Markets that involve child labor, forced labor or sex, and forced migration and detention, should be stopped and those who organize and profit from such markets should be prosecuted.  As with any service, it is critically important that no one is forced to work or to continue working, either through the threat of harm or through fraud and deception.  It is also critically important that children are protected from sexual predators, and are excluded from all aspects of sex businesses.  Forced labor and child sexual abuse involve violations of basic human rights that all societies are expected to protect. Voluntary, adult sex work is significantly different from trafficking, and law enforcers need to distinguish market exchanges involving consensual sex among adults from market exchanges involving forced sex among adults or involving minors.  By legalizing voluntary, adult sex work, law enforcers and rights protectors could focus their efforts on eliminating markets that involve the sexual abuse of adults or children.  Additionally, clients of sex business would have the choice of patronizing legal business, and therefore would be less likely to patronize inadvertently a business that relies on forced or child labor.",t108,p713
714,This House would legalise Prostitution,Prohibition prevents harm by substantially curtailing markets in sex ,attack,"The good of sex when offered as a gift is not the same good when it is bartered.  Taking or offering money cheapens and deforms the good of sexual intimacy, which when shared with many on the open market diminishes its value.  Moreover, while the benefits of commoditized sex are questionable, the harms are significant.  Those who engage in such exchanges diminish their capacity for genuine sexual intimacy, while damaging their physical, emotional, and mental health.  Moreover, the harms of market sexual transactions often affect non-involved third parties, such as the spouses or lovers of sellers and buyers. Because the harms of market sex are long lasting, though sometimes distant, it is appropriate for society to intervene to prevent these harms.  Markets in sex pose a public health threat, just like markets in dangerous drugs.  Prohibition will reduce the number of people who engage in market sexual transactions, and for those who do participate, there are ways to minimize violations of their rights.",t108,p714
715,This House would legalise Prostitution,Markets in sexual services undermine the values of commitment and loyalty ,attack,"Sexual relationships involve crossing ordinary social boundaries that exist between people, and exposing aspects of ourselves that normally remain private.  This aspect of sexual relationships renders the parties vulnerable emotionally and socially, and therefore sexual partners often extract commitments from each other of sexual fidelity and exclusivity.  These commitments allow people to engage in sexual relationships while treating each other with decency and respect. Markets are public and involve exchanges among strangers.  In markets, goods are exchanged with the highest bidders and not with those to whom we are committed and loyal.  For this reason, markets in sex undermine the ideals of sexual commitment, loyalty, or exclusivity, which makes decent and respectful sexual relationships possible.  Markets are for exchanging shoes and cars, or services that we can separate from ourselves without leaving us emotionally and socially vulnerable or exposed.  Sexual relationships require commitments of fidelity and exclusivity so we don’t lose part of ourselves in the exchange.",t108,p715
716,This House would legalise Prostitution,"Moral sex requires more than informed consent, and society should uphold moral values",attack,"Moral sex requires treating others not merely as a means to our own ends, but as beings with ends of their own.  This means that we are morally required to consider the needs of our sexual partners and not only our own selfish desires.  In market sexual transactions, the client merely pursues the satisfaction of his own desires, and therefore treats the service provider as a means to his own ends.Because prostitution inevitably involves the instrumental and immoral treatment of others, toleration of prostitution involves the toleration of immoral behaviour.  Society should uphold moral values by banning prostitution.",t108,p716
717,This House would legalise Prostitution,"Markets in sex would corrupt non-market sexual relations, turning women and girls into commodities ",attack,"Markets in sex are shaped by values that differ from non-market sexual relationships.  Market sexual transactions are not structured by the ideals of fidelity and exclusivity between social intimates, but rather by the ends of profit maximization and mutual benefit among strangers. The goods exchanged in a market are interchangeable with other goods, in ways that maximize profit and mutual benefit. When these goods include sexual services, the sexual services of one provider will be interchangeable with those of another.The position of seller or buyer in a particular market is often determined by one’s gender, class, race, and nationality.  In sex markets, sellers are typically female, and buyers are typically male.   Race, class, and other social hierarchies also shape one’s position in a sex market.   Because the sellers in sex markets are often people who are disadvantaged by their gender, class, race, or nationality, the existence of markets in their sexual services will promote the idea that the sexual capacities of women (and other disadvantaged groups) are goods that are interchangeable and exploitable.   The idea that the sexual capacities of women (and girls) can be accessed as market goods or commodities will shape attitudes toward women and girls who do not enter sex markets as providers.  In this way, the values that structure markets in sex will spill over into non-market sexual relationships, and lead men to regard women as replaceable goods rather than unique human subjects.",t108,p717
709,This House would legalise Prostitution,no summary,attack,"The fact that prohibition cannot prevent prostitution is not an argument against prohibition.  We have laws prohibiting murder, and yet murders happen.  Our laws deter some murders and they express our society’s moral outrage regarding murder. Similarly, laws prohibiting prostitution deter some prostitution and express our society’s moral condemnation of sex for hire.  These laws do not create harms, rather prostitution itself creates harms, by robbing those who participate of self-respect, and contributing to the spread of sexually transmitted diseases. It is inevitable that laws prohibiting prostitution will make it riskier to engage in prostitution, as this is the purpose of such laws: to provide disincentives to those who might otherwise engage in this activity.",p709,c709
