,title,summary,stance,comment,parent_id,comment_id
520,This House would make English the official language of the United States,The Identity and History of the United States are intrinsically linked to the English Language,support,"From its very founding, English was the common language of the United States, and full participation in the national life was dependent on the ability to speak it. Theodore Roosevelt himself once noted that ""We have one language here, and that is the English language, and we intend to see that the [assimilation] crucible turns our people out as Americans”[1]Declaring English as the official language will give legal force to this history, and help provide unity to Americans at a time when many come from different backgrounds and hold different political views.Furthermore, it will help immigrants with the process of assimilation. Rather than simply learning English for pragmatic reasons, the act of learning English will tie immigrants into a political and historical tradition going back to Thomas Jefferson.[1] Opposing Views, ‘Linguistic Unity Is Critical in an Increasingly Diverse Society’, 2010, http://www.opposingviews.com/arguments/linguistic-unity-is-critical-in-an-increasingly-diverse-society",t130,p520
521,This House would make English the official language of the United States,Bilingual Education is expensive and encourages balkanization,support,"One of the goals of the government in providing education is to prepare students for success in the work place, and therefore the government has an obligation to spend its money in the most efficient way possible to accomplish this. This is relevant because Bilingual education is expensive, requiring the hiring of bilingual teachers, the organization of bilingual classes, and the acquisition of bilingual curriculum materials.[1]These costs might be justified if they actually helped students. But the reality is that they do not. For one thing, they allow students to get by without learning English. One of the great obstacles to learning a new language is the fact that parents of students may well speak another language at home. If students suddenly use that language at school as well, they will spend the vast majority of their day speaking a language other than English, with the consequence that they may not pick it up at all, and find themselves at a large disadvantage when they attempt to join the workforce.As a consequence, it seems likely that the money could be better used subsidizing tutoring for students learning English than running an entirely separate and parallel educational system.[1] Rossell, Christine, ‘Does Bilingual Education Work? The Case of Texas’, Texas Public Policy Foundation, September 2009, http://www.texaspolicy.com/pdf/2009-09-RR01-bilingual-rossell.pdf",t130,p521
522,This House would make English the official language of the United States,Avoids self-segregation,support,"In a time when the US has begun to overcome racial segregation, and legal discrimination in other fields, one of the great challenges it faces is self-segregation.Linguistic diversity worsens these problems because it inevitably leads to self-segregation. All things being equal, and even if they are not, people like to be around people they can communicate with.This was not a huge problem in years past when most immigrant groups were small enough to be easily swallowed, and too small to maintain their linguistic unity, but the Hispanic population in the United States has grown at such a rate, that it is possible to get by with Spanish in many major US cities. Restaurants, businesses and services all exist which cater to it, and there is an entire industry of Spanish language television available.This in turn makes the risk of social balkanization much stronger. While a small minority of people may learn new languages because they want to, the vast majority learn them when they have to – and if individuals can get by without doing so, it’s likely that they will not. Rather than assimilation, you will have a divergence between the linguistic minority and the majority.",t130,p522
523,This House would make English the official language of the United States,Bilingual education hurts students,support,"Bilingual education segregates students in its system from those outside it. This limits the opportunities for interaction.This is harmful in a number of ways. For one thing, it limits their interaction with peers who will speak English. While it’s possible they may practice English with their friends in a bilingual school, it seems unlikely, as it would be easier to talk in the existing language.Furthermore, it also limits the exposure of English-speaking students to immigrants who don’t speak English, allowing negative stereotypes to arise out of ignorance that then can influence governmental policy through the ballot box.Finally, this segregation may extend to within bilingual schools themselves, since not everyone seeking bilingual education has the same non-English language. The result might well be that students would group socially into groups based on country of origin, and due to simple demographics this would place the Spanish-speaking students at a significant advantage as there are nearly 30 million of them in the country. This polarization in turn could lead to splits between minority language groups that could reduce their overall social capital.",t130,p523
524,This House would make English the official language of the United States,"In the current environment, moves to make English the official language are specifically targeted at Hispanic immigrants",attack,"Historically, efforts to declare English the official language tend to come up when certain elements in the American body politic become threatened. It became an issue in the First World War, when resentment rose against German immigrants, and the present movement, though nominally not signalling anyone out, is clearly aimed at Hispanics.This can be inferred from the fact that they are by far the largest non-English linguistic group in the country, and on occasion such views have been let slip, as the leader of one of the largest lobbying groups for a National Language did.[1]Even if such legislation is not aimed specifically at Hispanics, everyone will assume that it is, and many Hispanics will nevertheless believe that they are the intended targets.The practical result of this will be the alienation of the Hispanic population as many Hispanics see themselves under attack, which will cause many Hispanics to concentrate together, undermining many of the arguments for assimilation the government has made.Furthermore, to the extent it stigmatizes Spanish speakers as the ‘other’, it may well encourage bullying against Hispanic students, and discrimination against those who can’t speak English, who are a far larger group than those who chose not to speak it.[1] ‘English Only Movement FAQ File’, Mass. English Plus, http://www.massenglishplus.org/content/Language_Rights/English-Only_Movement/EngOnly.html",t130,p524
525,This House would make English the official language of the United States,It specifically denies a rich cultural heritage which is uniquely American of groups that spoke English but not as a first language,attack,"Almost no one in the United States knows English, but then chooses not to use it to make some sort of political statement. The language is far too omnipresent in the economy, culture, and everyday life to make such a choice attractive or even sane.Nor do people generally choose not to learn English. The advantages and opportunities it opens up, and the stigmas and discrimination facing non-English speakers mean that learning English is one of the first things any immigrant is going to try and do.In reality therefore we are going to be talking about people who can’t speak English, either because they have not learned it yet, or because they can’t learn it. Perhaps they don’t have the time between working two jobs, or perhaps they find it difficult.In any case, if this policy is simply symbolic it will stigmatize these people. If it goes further, it will actively make their lives worse, and perhaps make it even harder for them to learn English. ",t130,p525
526,This House would make English the official language of the United States,Even within the United States people speak English differently,attack,"Even within the United States people speak many different dialects. From Boston to New York to the rural South, accents and diversity within the English language express the exact same types of historical, cultural, and even political traditions that those pushing English find so horrifying if made in another language.It would be hard to set a standard for what is English, and ignore the fact that Americans have long used linguistic differences as a sign of identity. It therefore makes no sense to try to paper over these linguistic differences by imposing English as an official language; rather the diversity of languages and dialects should be celebrated.",t130,p526
527,This House would make English the official language of the United States,The US has a long tradition of multiple languages,attack,"There is a long historical tradition in the United States to which different languages contributed. Most Americans do not have ancestors who arrived from England prior to 1776, and even among the colonists before independence there were Frenchman, Dutch, Swedes, Scots and Irish.[1] The languages of these early immigrants remain, for example Cajun, an offshoot of French remains a de facto official language in Louisiana.[2]The historical importance of Native American languages or of the immigrants who came in and contributed so much is also ignored. All of these groups are stigmatized and their contributions ignored.The descendants of most of the groups listed above speak English today, so the issue is not an ease of access one. It is however one of historical justice and giving full recognition to the full-range of contributors to American history.[1] ‘Ethnic Composition of the Thirteen Colonies, 1750’, teacher’s Brunch, http://www.sjusd.org/sites/high/WillowGlenHigh/Teachers/documents/EthnicCompositionofthe13Colonies.pdf[2] Melancon, Megan, ‘Cajun English’, PBS, http://www.pbs.org/speak/seatosea/americanvarieties/cajun/",t130,p527
520,This House would make English the official language of the United States,no summary,attack,"English is the de facto official language of the United States already and that is not under threat at this time. There is no prospect of it being replaced with Swahili and of children three generations in the future being unable to read the declaration of independence.As a consequence the major impacts of this move will be symbolic.  First of all, it will enshrine and endorse the idea that the true Americans were the first Americans, that the English colonists who arrived on the continent speaking the language already were the only real Americans, and that everyone who arrived later is an American by integration.Not only is this untrue – the Dutch settled New York[1] – but it also places a stigma on that integration. By tying American identity to the British colony the United States was rather than the ideals the nation was founded on, the government would adopting an exclusive definition that in some ways goes against those ideals, including for instance, the inclusion in the US constitution that anyone born within the territory of the United States would automatically be a citizen.[1] New Netherlands Project, ‘New Amsterdam’, http://www.nnp.org/vtour/regions/Manhattan/new-amsterdam.html",p520,c520
521,This House would make English the official language of the United States,no summary,attack,"Bilingual education is exactly that – bilingual. Students do not simply abandon the English language – they intensively study it. The only bilingual classes are provided in other fields such as math and science - subjects critical for future employment to ensure they do not fall top far behind.On the contrary, while immersion may teach English better, there is a lot of evidence that it tends to increase drop-out rates substantially,[1] indicating that for a number of students it is in fact less effective since it is hard to learn anything in school if you don’t attend.Even those who don’t drop out tend to fall substantially behind, hurting their educational efforts, and undermining their position in the workplace. A mathematician or scientist does not need perfect English – they do need good grades in other courses.[1] Vaznis, James, ‘Boston students struggle with English-only rule’, boston.com, 7 April 2009, http://www.boston.com/news/education/k_12/articles/2009/04/07/boston_students_struggle_with_english_only_rule/",p521,c521
