,title,summary,stance,comment,parent_id,comment_id
2057,This House would not allow companies to collect/sell the personal data of their clients,Collecting and selling personal information is a major violation of privacy,support,"The gathering of personal data that companies undertake is done in a fashion that is fundamentally invasive of individuals’ privacy.When individuals go online they act as private parties, often enjoying anonymity in their personal activities. Companies, particular online services, collate information and seek to use it to market products and services that are specifically tailored to those individuals. In the context of the internet, this means that individuals’ activities online are in fact susceptible to someone else’s interference and oversight, stealing from them the privacy and security the internet has striven to provide since its inception. At the most basic level, the invasion of privacy that collating and using private data gleaned from customers is unacceptable.[1] There is a very real risk of the information being misused, as the data can be held, and even resold to third parties that the customers never consented to giving their data and might well not want to come into possession of their personal details. This can lead to serious abuses of individuals’ private information by corporations, or indeed other agents that might have less savoury uses for the information, most obviously the more places your personal information is the more likely it is to be lost in a data breach with 267million records exposed in 2012.[2] Even when the information is not exposed it may be used in ways that have a real impact on the individual such as determining credit scores.[3] People as a matter of principle should have control over who gets access to their private information. Giving companies that are driven by profit motive to sell on their customers’ data to anyone that might offer a suitable price stands as an absolute theft of personal information and privacy.[1] The Canadian Press. “Academics Want Watchdog to Probe Online Profiling”. CTV News. 28 July 2008. http://www.ctvnews.ca/academics-want-watchdog-to-probe-online-profiling-1.311784[2] Risk Based Security, “2012 Sets New Record for Reported Data Breaches”, PR Newswire, 14 February 2013, http://www.prnewswire.com/news-releases/2012-sets-new-record-for-reported-data-breaches-191272781.html[3] Morris, J., and Lacandera, E., “Why big companies buy, sell your data”, CNN, 23 August 2012, http://edition.cnn.com/2012/08/23/tech/web/big-data-acxiom",t141,p2057
2058,This House would not allow companies to collect/sell the personal data of their clients,Consumers tend to feel alienated by spreading of their personal information for profit,support,"People experiencing the use of their personal details by companies have largely been found to see the process as extremely invasive and unsettling. Many have felt violated by the exploitation of their personal lives to market them products, often from people to whom they never consented to hand over information. This feeling has been demonstrated through significant public outcry and backlash, as well as empirical results showing these attitudes becoming more and more widespread, particularly in the case of online targeted advertising, which is the most well-known use of personal information. The best example of such backlash is the result of Amazon.com’s “dynamic pricing” system, in which the company varied its offerings and pricings to customers based on information gathered about them from prior uses. The result was a severe backlash that cost Amazon business until it ended the policy.[1] This has led to a blunting of the desired outcome of such marketers who experience declines in uptake rather than increased and more efficient reach of marketing. Furthermore, the targeted marketing that arises from these forms of information storage and sale can tend toward stereotypes, using programmes that favour broad brushstrokes in their marketing, resulting in stereotyped services on the basis of apparent race and gender. When this happens it is all the more alienating.[1] Taylor, C., “Private Demands and Demands For Privacy: Dynamic Pricing and the Market for Customer Information”, Duke University, September 2002, http://public.econ.duke.edu/Papers/Other/Taylor/private.pdf p.1",t141,p2058
2059,This House would not allow companies to collect/sell the personal data of their clients,Data breaches can result in huge amounts of personal data falling into unscrupulous hands,support,"The data collected and sold by companies is not safe. Servers with even the most sophisticated security systems are susceptible to hackers and other miscreants seeking to exploit the personal data of unsuspecting customers. Identity theft is a ubiquitous threat in the Information Age, one that increases every year as the arms race between data protection designers and invaders rages on. Data breaches have been rapidly increasing[1] and although the total number declined from 412 million exposed records in 2011 to 267 million in 2012 this has increasingly been due to hacking rather than simple negligence.[2] The result of these breaches is huge costs to individuals who have their identities and also to firms that appear to be unsafe. As individuals see companies as being uncaring of their information they tend to punish them in the market.[3] There is no opt-in because the individual has no means of seeing to whom the data is sold, and how secure their servers might be, putting them doubly at risk. Firms are better off not playing with fire and keeping data that could have huge potential costs to them if it is lost, and individuals are better off not having their information disseminated across cyberspace without any guarantee of its safety.[1] Federal Trade Commission. “Privacy online: Fair information practices in the electronic marketplace: A report to Congress. Technical report, Federal Trade Commission”. May 2000. http://www.ftc.gov/reports/privacy2000/privacy2000.pdf[2] Risk Based Security, “Historically, Over 1.2 Billion Records Exposed According to Risk Based Security, Inc.” Risk Based Security, 22 February 2012, http://www.riskbasedsecurity.com/2012/02/historically-over-1-2-billion-records-exposed-according-to-risk-based-security-inc/Risk Based Security, “2012 Sets New Record for Reported Data Breaches”, PR Newswire, 14 February 2013, http://www.prnewswire.com/news-releases/2012-sets-new-record-for-reported-data-breaches-191272781.html[3] Acquisti, A. “The Economics of Personal Data and the Economics of Privacy”. OECD. 2010, http://www.oecd.org/sti/interneteconomy/46968784.pdf",t141,p2059
2060,This House would not allow companies to collect/sell the personal data of their clients,The sale of personal data makes for better advertising that benefits consumers,attack,"By targeting demographics and personal profiles by way of acquiring and utilizing personal data, businesses are able to put forward their services in a more targeted fashion in order to reach their target markets and to more effectively understand the broader market more generally. The limited budgets that constrain all companies has traditionally forced producers in the mass market to advertise to broad demographics and majority markets, resulting in a relative dearth of niche markets and breadth of services available in the mass market. Utilizing personal data effectively allows firms to enrich the lives of all consumers by expanding the range of marketable products and the furnishing of services to more eclectic tastes.[1] The vast numbers of websites and services proliferating online makes it much harder for people to find what they are looking for, but more importantly what they are not looking for but would want if they knew it existed. Data-mining allows for the channels of information to flow more effectively to consumers (Columbus, 2012). On the individual level companies are able to create individual profiles from information, so they can target them directly with things that might interest them. This strategy is used on Facebook, for example, users are shown ads that most fit their profiles giving them access to services they might not have ever found without the service.[1] Deighton, J. and J. Quelch, “Economic Value of the Advertising-Supported Internet Ecosystem”. IAB Report. 2009, http://www.iab.net/media/file/Economic-Value-Report.pdf",t141,p2060
2061,This House would not allow companies to collect/sell the personal data of their clients,The sort of information being kept and sold is legitimate for firms to utilize in this fashion,attack,"Personal information given to companies is dispersed into the public sphere in a limited fashion. Once placed into the hands of a firm it ceases to be any sort of absolutely protected private right (if it ever was), and is instead now within the sphere of the company with which the individual has opted to interact. It is the natural evolution of how people’s information informs the economic sphere.[1] With regard to selling that information on, it is clearly information the individual is willing to disclose in the realm of commerce so it should make little difference what commercial entity is in possession of the data, especially considering that the information is then only utilized to make their experience online more efficient and valuable. It is also important to consider the exact kinds of information conventionally revealed through the personal data mining efforts of firms. They rarely even access the true identity of the user, but rather make use of second-hand information gathered from search histories, cookies, etc. to generate a consumer profile the firm hopes reflects the preference map of the user. The individual's identity is not revealed in these most frequent cases and the information is usable through the impermeable intermediary of security settings, etc. Thus firms get information about users without ever being able to ascertain the actual identity of those individuals, protecting their individual privacy, if such is a concern.[2] For this reason it cannot be said that there is any true violation of privacy. All of these data-gathering efforts of companies reflect the continuation of firms’ age-old effort to better understand their clients in order to best cater to their desires.[1] Acquisti, A. “The Economics of Personal Data and the Economics of Privacy”. OECD. 2010, http://www.oecd.org/sti/interneteconomy/46968784.pdf[2] Story, L. “AOL Brings Out the Penguins to Explain Ad Targeting”. New York Times. 3 September 2008, http://bits.blogs.nytimes.com/2008/03/09/aol-brings-out-the-penguins-to-explain-ad-targeting-ok-saul-and-louise-post-with-article/",t141,p2061
2062,This House would not allow companies to collect/sell the personal data of their clients,The storing and sale of personal data aids companies by making marketing more efficient and allows niche markets to thrive,attack,"Businesses have been able to use consumers’ personal information to produce far better, more efficient, and more targeted advertising. Traditionally advertisement has been used to reach mass markets and has thus been used mostly as a blunt instrument, targeting the largest and wealthiest demographics in order to get the most efficient use of scarce advertising budgets. The focus on large markets has often left smaller, more niche, markets by the wayside.[1] Yet with the advent of the internet, targeted marketing, and data collection services, firms have been able to create whole new markets that cater to less homogenous needs and wants. The result has been a Renaissance of specialty manufacturers and service providers that could never arise if it were not for the collection of personal consumer data. By targeting their advertising, firms have been able to scale back on the broader advertising, making the whole endeavour less costly and more efficient. On the broader level, companies are able to utilize the vast amounts of individual data compiled to allow them to determine broader changes in society’s consumer desires, to establish aggregate trends.[2] E-commerce accounts for more than $300 billion in the US. This information gathering makes all businesses more responsive to consumer demands and to cause them to change their offered services and products far more swiftly, to the benefit of all consumers. Businesses have thus been able to flourish that might once have languished without access to a means of accessing their market or been unable to change with changing tastes. Because of the proliferation of personal information aggregation we can enjoy a far more efficient business world, with lots of producers that can compete with the larger mainstream on a more even footing, and a mainstream that is more able to meet the ever-changing demand structure of consumers.[1] Columbus Metropolitan Library. “Using Demographics to Target Your Market”. 2012. http://www.columbuslibrary.org/research/tutorials/using-demographic",t141,p2062
2057,This House would not allow companies to collect/sell the personal data of their clients,no summary,attack,"Much of the “personal” data that is kept, collated, and sold is freely available online already and can be protected in many ways. The programmes that are used to collect information online, where most of this collation takes place, often do not ever gain real access to individuals’ identities, but rather only have access to search details. It is highly unlikely that any of this information could be used to identify actual individuals, and where it can it is safeguarded by laws regarding privacy. Furthermore, the information in question is put into the public sphere by individuals availing of services and may well not be guaranteed any form of special protection. They exist and are revealed in the public sphere, and belong there.",p2057,c2057
2058,This House would not allow companies to collect/sell the personal data of their clients,no summary,attack,"It is simply not true that people are bothered by their personal information getting out, or at least they are unwilling to do anything about it. In a recent survey 85% of respondents said they were aware that they were being profiled by advertisers as they browse the Internet.[1] They know that this data is what companies use to enable sophisticated advertising directed at them and to determine what the market wants. While some people feel it a bit disconcerting that their computer seems to know what might interest them, as in the case with targeted advertising based on personal search data, many others have found that the targeted advertising has made the seeking out of desired goods and services far easier. Also, a policy of disclosure such as that mandated in the EU might be employed in which services inform users that their data will be collated and give them the option to leave the site before this occurs so as to ensure that individuals really are aware.[1] Ives, D., “Anonymizer, Inc. Survey Finds Most Consumers Confused About Online Safety Measures”, Anonymizer, 19 October 2010, https://www.anonymizer.com/company/pressroom/archive/20101019-anonymizer-survey-finds-consumers-confused-about-online-safety/",p2058,c2058
2059,This House would not allow companies to collect/sell the personal data of their clients,no summary,attack,"Companies have been making great strides in the realm of data protection and will no doubt continue to do so as it is in their interest to keep any information they have to themselves. They have far more resources and much more sophisticated equipment than the hackers, and while there are resourceful individuals out there, the power of the corporate structure allows them to fend off attacks with greater and greater effectiveness. As these security technologies become more advanced people should feel more and more comfortable with companies holding their data.",p2059,c2059
2060,This House would not allow companies to collect/sell the personal data of their clients,no summary,attack,"It is difficult to see how this advertising is better for business overall. The consumer still has the same amount of money so will overall still spend the same amount. They may spend it on different things as a result of more targeted advertising, assuming that the consumer is not alienated by the personalised advertising, but is that a benefit? Moreover even if companies are successful in advertising their wares more effectively to their customers, it does not change the fundamental violation of privacy upon which such advertising relies. The norm of selling personal data is hugely dangerous to engender in society, as it produces more and more a sense of entitlement to others’ personal lives. ",p2060,c2060
