,title,summary,stance,comment,parent_id,comment_id
746,This House would throw Russia out of the G8,There needs to be a response to bad behaviour internationally,support,"The intention of international institutions is to bind countries together, to ensure they speak to each other and resolve differences, and to ensure they feel they cannot engage in aggressive actions. However when a state breaks these norms there needs to be a reaction. Russia has been willing to engage in aggressive acts time and time again. The recent occupation of Crimea is very similar to Russia’s war with Georgia in 2008; in both conflicts Russia used the excuse of Russians being in danger, in both cases Russia was there as a ‘peacekeeper’, and in both cases the action was in another sovereign country whose government did not wish Russian troops there. The result is an expansion of Russian influence and some form of annexation.[1] There was no action after the Russian conflict with Georgia except a mediated peace.[2] There now needs to be a response to actions in Crimea; throwing Russia out of the G8 is the least response.[1] Friedman, Uri, ‘Putin’s Playbook: The Strategy Behind Russia’s Takeover of Crimea’, The Atlantic, 2 March 2014[2] King, Charles, ‘The Five-Day War’, Foreign Affairs, November/December 2008Traynor, Ian, Luke Harding and Helen Womack, ‘Georgia and Russia declare ceasefire’, theguardian.com, 16 August 2008",t265,p746
747,This House would throw Russia out of the G8,Aggressive acts violate the meaning of the G8,support,"The focus of the G8 is on economic, monetary, financial and globilisation issues. Aggressive actions scare the markets – as shown by the rouble reaching new lows against the dollar and Euro – so run counter to the focus of the G8.[1] Russia has in the past also used its gas supplies as an economic weapon, this and acts of aggression such as in Crimea are repudiating the idea of globilisation. The G8 is important because there is “a good understanding among G8 members” clearly when one of those members is engaging in conflictual acts that understanding is damaged.[2] The G7 members on 2nd March 2014 in a statement responding to Russia’s aggression in the Crimea stated “Russia’s actions in Ukraine also contravene the principles and values on which the G-7 and the G-8 operate”.[3] Any member that does not follow the principles of an organisation should be suspended as a member.[1] BBC News, ‘Russian rouble hits new low against the dollar and euro’, 3 March 2014[2] Government of France, ‘The G8’, g8.fr, 2003[3] Office of the Press Secretary, ‘G-7 Leaders Statement’, whitehouse.gov, 2 March 2014",t265,p747
748,This House would throw Russia out of the G8,Russia should never have been a member  ,support,"The G8 has been meant to be a group of industrialised democracies. Russia is neither particularly industrialised, nor particularly democratic. Russia remains reliant on natural resources for much of its wealth; 30% of its GDP and 70% of exports.[1] Its most recent presidential election – that voted in Putin for a third term – was not exactly free and fair. The OSCE election observers concluded “There was no real competition and abuse of government resources ensured that the ultimate winner of the election was never in doubt”.[2] Its qualifications for membership have been questioned from the very beginning, when Russia joined the G7 were able to argue inclusion would bring it closer to the west. Yet Russia remains essentially an outsider in the group, it does not share western values and goes its own way.[3][1] Aron, Leon, ‘The political economy of Russian oil and gas’, American Enterprise Institute, 11 April 2013[2] Eschenbaecher, Jens-Hagen, ‘Russia’s presidential election marked by unequal campaign conditions, active citizens’ engagement, international observers say’, OSCE, 4 March 2012[3] Dempsey, Judy, ‘Judy Asks: Is Russia Relevant in the G8?’, Carnegie Europe, 19 June 2013",t265,p748
749,This House would throw Russia out of the G8,The biggest action the west can take without sanctions,support,"European states, which make up half of the members of the G8, have been reluctant to take stronger economic steps against aggressive Russian actions. Russia has warned the US “We will encourage everybody to dump US Treasury bonds, get rid of dollars as an unreliable currency and leave the US market.”[1] The European countries have more reason to be concerned because they rely on Russia for their gas supplies; 39% of German gas and 9% of total energy consumption is reliant on Russia.[2] If Russia were to retaliate to sanctions it could seriously damage the European economy. This means that throwing Russia out of the G8 or other institutions is the biggest sanction that does not have any risk of economic retaliation and escalation that damage everyone.[1] RIA Novosti, ‘Putin Adviser Urges Dumping US Bonds In Reaction to Sanctions’, 4 March 2013[2] Ratner, Michael et al., ‘Europe’s Energy Security: Options and Challenges to Natural Gas Supply Diversification’, Congressional Research Service, 20 August 2013, p.10 ",t265,p749
750,This House would throw Russia out of the G8,There needs to be a place to talk,attack,"German Foreign Minister Frank-Walter Steinmeier argues that ""The format of the G8 is actually the only one in which we in the West can speak directly with Russia"".[1] Russia’s proposed priorities for the G8 summit included “fighting the drug menace, combating terrorism and extremism, settling regional conflicts, safeguarding people's health, and establishing a global management system to address risks associated with natural and man-made disasters”[2] since Russia is clearly willing to discuss regional conflicts then it makes sense to use the summit to discuss Ukraine. Since Russia has not turned up to other suggested talks, such as a meeting of the Budapest agreement group[3] (UK, US, Ukraine, Russia – the agreement guarantees Ukraine’s territorial integrity[4]), it makes sense to go to Russia’s summit which Russia can’t avoid.[1] kms/ccp, ‘Putin agrees to Ukraine 'fact-finding' mission after talk with Merkel’, Deutsche Welle, 2 March 2013[2] Putin, Vladimir, ‘Address by President Vladimir Putin on Russia assuming the G8 Presidency’, en.g8russia.ru, 1 January 2014[3] Guardian Staff, ‘Only talks between Russia and Ukraine can solve crisis, say US and UK’, theguardian.com, 5 March 2014[4] Presidents of Ukraine, Russian Federation and United States of America, and the Prime Minister of the United Kingdom, ‘Budapest Memorandums on Security Assurances, 1994’, cfr.org, 5 December 1994",t265,p750
751,This House would throw Russia out of the G8,Allows strength in numbers,attack,"Russia was originally allowed in to the G8 to encourage it to reform, or rather to provide a place where Russia’s leader can be backed into reforming. The G8 is a western institution, a forum in which an aggressive Russia has no natural allies. This means that it is the perfect place for the western democracies to voice their concerns; Russia will find itself isolated at the table and on the back foot. While at its own summit it will be even more likely to give concessions in the interests of making its own summit a success. At the last G8 summit Putin hosted in 2006 Russia made some concessions to the US in order to try and obtain WTO membership.[1][1] Rutland, Peter, ‘Russia and the WTO: deal, or no deal?’, National Bureau of Asian Research, Special Report no.12, March 2007. Pp31-36, p.32",t265,p751
752,This House would throw Russia out of the G8,Will make no difference to Russia,attack,"Throwing Russia out of the G8 to punish the country – whether for aggressive acts in its near abroad, for human rights violations, or simply for corruption and economic crimes – is unlikely to make any difference to Russia.[1] Being in the G8 provides very little tangible benefit; it is all about the symbolism of it being the top club. Russia however has created its own top club in the BRICS conferences that are very similar to the G8 as a series of informal gatherings of major world leaders. Russia could rightly argue that despite having fewer members it is broader and more inclusive as it includes members from the Americas (Brazil), from Africa (South Africa), and the important players from of Eurasia (Russia, China, India). Since these powers are the rising countries why would Russia want to be associated with the declining west?[1] Judah, Ben, ‘Why Russia No Longer Fears the West’, Politico, 2 March 2014",t265,p752
753,This House would throw Russia out of the G8,Simply narrows the G8 making it irrelevant,attack,"The G8 has been losing its relevance with the rise of other countries economically. It can no longer claim to be the top eight economies as Canada is the world’s eleventh largest economy with India, Brazil and China all bigger. It is even lower (14th) if done by Purchasing Power Parity.[1] Newer more inclusive institutions such as the G20 that include other vital economies like China have been taking over its primacy on the economy. The G8 is no longer the best grouping to steer the global economy as was recognised during the 2008 financial crisis where the G20 took the lead.[2] Throwing out Russia would simply be making the G8 narrower and less important globally so reducing the institution’s influence.[1] The World Bank, ‘GDP (current US$)’, data.worldbank.org, 2012 figures[2] Cooper, Andrew F., ‘The G20 as an improvised crisis committee and/or a contested ‘steering committee’ for the world’, International Affairs, Vol.86, No.3, 2010 pp.741-757",t265,p753
746,This House would throw Russia out of the G8,no summary,attack,"If there needs to be a response to Russian actions it does not need to be this response. Much more useful would be economic sanctions against Russia; either targeted freezing of state assets and the assets of leaders, or more comprehensive sanctions that would damage Russia’s economy. Such actions would provide a real cost to aggressive action, not simply a symbolic cost.[1][1] Verhofstadt, Guy, ‘Russia will bow to economic pressure over Ukraine, so the EU must impose it’, theguardian.com, 6 March 2014",p746,c746
747,This House would throw Russia out of the G8,no summary,attack,"The G8 countries are the world’s most powerful countries. As such most of the powers involved in the G8 have at some point been involved in aggressive foreign interventions. The Iraq invasion did not lead to calls to throw the US and UK out, neither did the bombing of Libya lead to France’s expulsion. Using Russian actions in Ukraine as an excuse would be simple hypocrisy.",p747,c747
