,title,summary,stance,comment,parent_id,comment_id
4331,This House would use torture to obtain information from suspected terrorists.,In the event of an imminent attack it is only reasonable to use force to find information ,support,If authorities have good reason to believe that there is a realistic threat of a nuclear explosion in downtown Manhattan or Tel Aviv then it is vital that as much information as possible can be gathered as quickly as possible.If that requires pain to be inflicted on an individual to save the lives of millions then it is simply practical to do so. The harm represented by the pain caused to a single individual is outweighed by the possibility that information gathered from a forceful interrogation might save thousands of lives,t406,p4331
4332,This House would use torture to obtain information from suspected terrorists.,Terrorist organisations such as Al Qaida do not respect the rights of individuals and the only way to fight fire is with fire,support,"Terrorist networks use fear, pain and suffering as their stock in trade. By definition, terror organisations are not bound by legal due process or rights of appeal and review. Instead they deal out death to innocent members of society who have no power to alter the events and policies that motivate terrorists atrocities.By contrast, the first role of governments is to protect their citizens’ safety and they should use all tools possible to ensure that innocents are not threatened with random death and destruction.In the light of these two realities, it is appropriate for governments to take extreme measure, such as torture, to protect their citizens.",t406,p4332
4333,This House would use torture to obtain information from suspected terrorists.,"Time is of the essence in a crisis. When confronted with extremists who see a virtue in their own death, extraordinary methods may be required. ",support,"The use of force and fear in enhanced interrogation gives quick results. In the event of a bomb hidden somewhere in Manhattan, it’s vital to have information quickly. Nobody, even the most diehard proponents of enhanced interrogation, would suggest that it is pleasant or should be used on a routine basis; the point is that techniques such as waterboarding are effective and fast.Responding to terrorist threats is something that needs to be dealt with in minutes or hours. Unfortunately, it is in the nature of due process and legal procedure that they trials and questioning take place in a framework of days or weeks.",t406,p4333
4334,This House would use torture to obtain information from suspected terrorists.,Allowing torture under any circumstances will allow the prospect of its routine use ,attack,"The advantage of a complete ban on torture is that it leaves no room for doubt, no possibility for confusion, no need to apply personal judgement. Under the status quo, it is simply illegal to use force or the threat of force to solicit information from a suspect, regardless of the charge.The moment that becomes something other than a complete ban then it puts an intolerable pressure on security officials to decide when it is justified and when it is not.The experience of Abu Grahib demonstrates how the use of abusive treatment can become routine, even trivial, all too quickly. If it is acceptable to use torture to prevent mass-murder, then why not murder? If for murder than why not rape? And so on.",t406,p4334
4335,This House would use torture to obtain information from suspected terrorists.,Introducing the use of violence into the justice system means that liberties that have taken centuries to secure are lost ,attack,"The principle that all people are presumed innocent and, as a result, should not be abused either physically or mentally by officers of the state is one that took centuries- not to mention a great deal of blood and sweat- to establish. In the words of British Chief Justice Phillips this respect for human rights is, in and of itself, “a vital part in the fight against terror”, as if terrorism is to be defeated states that ascribe to such principles must show that they remain true to them in order to win the ideological battle.Using torture on suspected terrorist would be to tear apart that basic principle in response to crimes, which, it has been noted, are on nothing like the scale of the industrialised warfare of the twentieth century, would be a massively damaging step. Regardless of the scale of the crime the individual must have protections against false accusation and punishment, this means that a fair trial is necessary in order to determine innocence or guilt. ",t406,p4335
4336,This House would use torture to obtain information from suspected terrorists.,If legal principles are abandoned then there is little point in defending the liberties that democratic governments say they are so keen to defend ,attack,"If we accept that this is a war, then its focus is not so much political control of territory as the preservation of a way of life. It is ridiculous to fight to defend principles of equality and decency using the tool of abandoning them the moment they become inconvenient.The forces of religious extremism wish to undo 1,400 years of democratic development. We should not assist them in that process by allowing the major powers of the West throw out the most basic principles of the rule of law. Such a move, ultimately, has the potential to be vastly more destructive than the actions of a few fanatics",t406,p4336
4331,This House would use torture to obtain information from suspected terrorists.,no summary,attack,"What about a biological bomb in a small town killing a few thousand. Or a lunatic with an M16 in a village killing fifty? Or preventing a single murder or rape? Anyone attempting to support the resolution must give a clear explanation of the point at which torture can be justified. How many individuals must information acquired through torture be able to save before the state is permitted to use pain and coercion against criminal and terrorist suspects in its custody?If it is right to use torture in an attempt to prevent the death of a single individual, when that individual is a member of a crowd, then why should the use of torture to protect the life of a single individual be considered unjustifiable? It makes no difference to the individual or to their family. Torture must either be treated as being unacceptable in all circumstances, or its use in all circumstances must be permitted.",p4331,c4331
4332,This House would use torture to obtain information from suspected terrorists.,no summary,attack,"When battling those who would seek to replace the rule of law and democratic governance with religious decree, it is more important than ever to demonstrate that the principles of a civilised society are paramount.In the light of that reality, for the state to use the very tools of fear and violence that they are fighting against sends out the wrong message. It means, in effect, that nations have put themselves on the same moral level as the terrorist organisations they are fighting.Instead it is important to demonstrate that actions undertaken quite legally are an effective bulwark against terror. Moreover, it is necessary to demonstrate that these values are part of a system of rule of law; that values of justice, fairness and accountability are seen as valuable both by a states’ leaders, but also by arbiters (judges) and its people.",p4332,c4332
4333,This House would use torture to obtain information from suspected terrorists.,no summary,attack,"The primary difficulty with the use of torture is not one of principle but one of practice – it doesn’t work. You simply have no way of checking whether the information is accurate. By using force or the threat of force, suspects are under pressure to say something- anything- that will stop the pain they are experiencing. However, information acquired this way will not necessarily be trueIn the light of this, the use of torture actually slows things down the process of investigating and preventing terrorist threats. This is particularly true of terror suspects for whom death has no fear and for whom it may, in fact be a goal. A much safer approach to rooting out terrorist who seek to martyr themselves is old fashioned, and perfectly legal, investigation.",p4333,c4333
4334,This House would use torture to obtain information from suspected terrorists.,no summary,attack,It is perfectly possible to put legal structures in place that allow for judicial overview of the interrogation techniques used. In most Western countries – the most common targets of modern terrorism – there are already legal frameworks for judicial approval of the extension of detention periods and so forth on an emergency basis. The same form of oversight could be used here and exactly the same principle of retrospective appeal could apply to ensure that the capacity was not misused.,p4334,c4334
