,title,summary,stance,comment,parent_id,comment_id
2589,This house Would Ban School Uniforms - Junior,Students should be allowed to wear religious dress,support,"If children are religious, they should be allowed to wear the clothes that express their religion, but school a uniform can often restrict this. Religious beliefs can be extremely valuable and important to many children, giving their lives a great deal of meaning and structure and inspiring them to work hard and behave compassionately in a school environment. Some religions place a great deal of value upon worn symbols of faith, such as turbans, headdresses and bracelets. When a school demands that a child remove these symbols, it inadvertently attacks something central to that child’s life. This may cause the child to see her school and her faith as mutually exclusive institutions[1]. Vulnerable young people should not be forced into an adversarial relationship with their school, as close, collaborative involvement with teaching and learning techniques will greatly effect a child’s ability to adapt, learn and acquire new skills in the future.For example, school skirts are often not long enough for Muslim girls, who believe that they should cover most of their bodies. To allow children to express their religions, we should get rid of school uniforms.",t401,p2589
2590,This house Would Ban School Uniforms - Junior,Dress Codes instead of school uniform,support,"Rather than having school uniform, why not have a dress code instead? This has all the benefits of uniform without the many disadvantages. While uniforms force all children to wear the same clothes, dress codes give students a lot of choice what to wear. Only a few unsuitable things are banned - for example, gang colors, very short skirts, crop tops, bare shoulders, etc",t401,p2590
2591,This house Would Ban School Uniforms - Junior,School uniforms are often impractical or uncomfortable,support,"School uniforms are often not very comfortable or practical. In state schools (schools for which parents don't have to pay fees) in the U.K., for example, girls often have to wear dresses or skirts, when they might feel more comfortable in trousers, and boys often have to wear button-up shirts and ties, which can also be uncomfortable for active children[7]. In independent schools, uniforms are often even more impractical and uncomfortable, with blazers or even tailcoats for the children to wear[8].",t401,p2591
2592,This house Would Ban School Uniforms - Junior,School uniforms are often expensive,support,"If a school has a uniform, parents are expected to buy it, and then buy a new one every time their child outgrows the last. This can be expensive. It has been reported that parents in South Africa[10], Australia[11], and the U.K[12]. have to pay a lot of money for their children's school uniforms, and it is probably the same in other countries too. ",t401,p2592
2593,This house Would Ban School Uniforms - Junior,Individuality and creativity should be encouraged,support,"Article 19 of The Universal Declaration of Human Rights states that ""Everyone has the right to freedom of opinion and expression""[18]. Children's freedom of expression is restricted by school uniforms, because children who have to wear the same clothing as every other child in their school are not able to express their individuality and creativity. We should get rid of school uniform so that all children can express themselves freely.",t401,p2593
2594,This house Would Ban School Uniforms - Junior,School uniforms create a sense of equality,attack,"School catchment areas are diverse and in private schools, some children are there on a scholarship. So, without uniforms there are clear indicators of wealth between what children wear. This makes poorer children stand out, (or even possibly the reverse). Children can then be bullied for being different, which diminishes a child's enjoyment of school.A study in New York has shown that 84% of parents think uniforms promote equality, and 89% of guidance counselors think uniforms help teach children to be more accepting of others who are less fortunate[3]. This perception among parents will help create the same perception among their children. This is also likely to translate to the teachers who will therefore treat their pupils more equally.improve this ",t401,p2594
2595,This house Would Ban School Uniforms - Junior,School uniforms contribute to the sense of school unity,attack,"Schools that have a uniform often say that they do so because wearing a uniform helps their students feel a sense of unity and pride in their school (e.g., Sacred Heart Catholic School, 2010)[15]. The headmistress of Fulham Cross School in London, England, has been quoted as saying that introducing a uniform at her school gave students ""an incredible sense of pride""; after the introduction of a school uniform, GCSE passes at her school rose from 42 to 53 per cent[16].This sense of unity is especially important on school trips, where teachers need to be able to tell which children belong to their school, so that no one gets lost. ",t401,p2595
2596,This house Would Ban School Uniforms - Junior,School uniforms encourage discipline,attack,"Having to wear smart clothes encourages children to respect their school and their teachers and behave themselves. This is because of the association between smart clothes and work. Casual wear at school can also make students feel over-relaxed and 'at home,' meaning they don't focus as much on work. A lot of schools are bringing back school uniform because they want to improve discipline[21].Moreover, school uniform can actively encourage students to enter into an adversarial relationship with the curriculum and their teachers. Exercising arbitrary control over children in the interests of “discipline” is likely to convince them that the very sensible, rational principles of learning and critical thought that they acquire during the school day are equally arbitrary and meaningless. By refusing to allow children to participate in enjoyable, beguiling processes of discovery and understanding unless they comply with unjustified and meaningless rules about dress, schools risk being seen as oppressive and capricious by their students.1 The Telegraph, 2009. School uniforms return in drive to improve school discipline [online] 1 October.improve this ",t401,p2596
2589,This house Would Ban School Uniforms - Junior,no summary,attack,"Some schools do have different rules for religious students, so that those students can express their beliefs. For example, a school might let Muslim girls wear some of their religious items of clothing mixed with the school uniform (e.g., Reading Girls' School)[2]. ",p2589,c2589
2590,This house Would Ban School Uniforms - Junior,no summary,attack,Dress codes are a half-way house that does not work. It does not make students look at all uniform and it does not show what school they are from. In the United States there has been a move away from allowing either no uniform or dress codes towards having school uniforms.[6],p2590,c2590
