,title,summary,stance,comment,parent_id,comment_id
3297,This house believes that Federal States are better than unitary nations,Federal states are economically stronger,support,"Federal states are able to remove trade barriers between members which would otherwise exist if there were independent states (such as difficulties in moving goods due to borders). This increases internal trade and economic growth and encourages investors.1 Federal units are able to share resources and concentrate on producing what they are best at (called comparative advantage) at a better economy of scale. Even in cases of agreed free trade areas between states, there is no overarching authority to ensure timely compliance to agreements.2Finally, larger economic units are more able to influence international trade regimes.31 EU Business, 2007, 'EU Single Market- benefits,'Department for Business, Enterprise and Regulatory Reform, 2007, 'Guide to Benefits of the EU,'2BBC, 2011, 'US and Mexico end cross-border trucking dispute 3Stanford Encyclopedia of Philosophy, 2010, 'Federalismimprove this ",t102,p3297
3298,This house believes that Federal States are better than unitary nations,Federal states are better able to protect their citizens.,support,"Federal states allow local decision making to suit local needs due to their tiered decision making structures. This ensures that citizens are able to determine how they should live their lives without infringing upon the rights of citizens in other federal units who may have different opinions. However on security matters which affect the entire federal state, citizens are better protected because the federal units are stronger together than apart. A federal state also creates a common sense of purpose than can dissuade conflict between the federal units. A good historical example of this behaviour was the agreement of the Swiss Cantons to come together to collectively protect and enrich themselves from outside threats in 1848.11 History of Switzerland, 'Switzerland's History,'",t102,p3298
3299,This house believes that Federal States are better than unitary nations,Nationally homogenous states are rare and most states have local differences,support,"It is not clear what the logical end point for splitting countries over political differences would be. Since each individual has a unique set of preferences, or at least there are large numbers of groups of people with different preferences, the state must aggregate preferences at some point. It makes more sense for the state to aggregate preferences in such a way that creates effective states that can meet their (aggregate) goals rather than attempting to find ""pure"" nation states. Furthermore, nations are often scattered in areas which do not provide a clear location for a state. An example of this is Eastern Europe or Africa where ethnic groups and tribes regularly cross state boundaries and exist as unconnected pockets.1 It would be impossible to create states to cater to these groups.1 Guardian, 2007, 'Biafran Lessons,'",t102,p3299
3300,This house believes that Federal States are better than unitary nations,Being a federal state helps large states deal with divergent economic performance,support,"Federal states tend to be larger and have different economic cycles. This allows the overall state to cope with different economic cycles by using fiscal transfers (tax) between wealthier states and poorer states to fund government programmes.1 So for example if Mississippi and New Mexico were paying for all their services themselves from their own taxes they would have debts of over 500% of GDP,2however at the beginning of the Republic it was the Southern States who were the richest due to their cotton wealth.1Euro Economics, 'Example: Fiscal Transfer2The Economist, 2011, 'America's Fiscal Union: Greek Americans,'improve this ",t102,p3300
3301,This house believes that Federal States are better than unitary nations,It is harder to deal with internal repression than the invasion of another sovereign state.,attack,"Federal states offer convenient guises for the exploitation of resource rich areas or areas of strategic importance. The Niger Delta is used by the Nigerian government to provide oil wealth that is insufficiently invested in the Delta leading to insurgencies1. The Nigerian government is able to remove international pressure to reform by allying itself with UN principles of non-intervention in sovereign states which is only rarely overridden in cases of serious, systemic and widespread human rights abuses when 'all peaceful means have failed'.2 In reality, this gives government's considerable leeway to commit abuses within their own territory. If the Niger Delta were a separate country, there would be much more political capital to ensure it was appropriately treated and a stronger legal basis to hold Nigeria to account.1Tai Ejibunu, Hassan. 'Nigeria's Niger Delta Crisis: Root Causes of Peacelessness.' European University Center for Peace Studies Research Papers. 07. 2007. 2 United Nations, 'An Agenda for Peace: Preventative Diplomacy, peacemaking and peace-making,'",t102,p3301
3302,This house believes that Federal States are better than unitary nations,Independent States can suit their populations.,attack,"Firstly, Federal states involve compromise between different parties in order to reach proposals which can be acceptable to all members of the federation. This often means that states are forced to compromise on important issues. An example of this is Abortion in the USA.1Often, in order to protect minorities, voting is skewed towards smaller federal units (for example the US Senate with two Senators per state, regardless of population). This does not fulfil the principles of equal democratic representation. Such an issue exists to far less a degree in independent states, which can be more homogenous in preferences and more reflective of local needs.2Moreover, given that it is unlikely that any state has chosen the appropriate position of compromise, all federal units will end up with a policy which is sub-optimal for them.Secondly, Federal arrangements tend to be complex, inhibiting transparency as vested interests at different levels of government defend their spheres.21 USA Today, 2010, 'Abortion deal helps ensure enough votes for health care,' 2Stanford Encyclopedia of Philosophy, 2010, 'Federalism,'",t102,p3302
3303,This house believes that Federal States are better than unitary nations,"Federal governments often extend their powers and usurp local authority, especially if one or more federal units are disproportionately powerful.",attack,"The proposition arguments repeatedly rely on the federal state being limited in strength enough to allow local differences and choices. However, historically, federal states have moved to extend their control from the centre often with the justification of necessity. Both the USA and Russia are examples of this trend.1 In the USA, debates about overstretch of federal control are numerous and time consuming. This argument is especially likely if one or a group of federal units are significantly stronger than the other unit, for example the Kingdom of Prussia in the 1871 German Union. In this case, Prussia was able to use its financial strength and size to eventually dominate the Union and control the other federal units.21Garratt, Thomas and Rhine, Russell. 'On the Size and Growth of Government.' Federal Reserve Bank of St. Louis Review. 88 (1). 2006. World Savvy, 2008, 'Centralization of Power in Modern Russia,' 2 Houseofnames.com, 'German Unification,'",t102,p3303
3304,This house believes that Federal States are better than unitary nations,Federal States often have persistent losers.,attack,"Within federal states, some federal units are often persistently weaker within the state that others and thus have to repeatedly accommodate (this links to the argument above).1 In countries such as Nigeria, resource rich parts of the country are consistently used by the rest of the country as a source of wealth with insufficient investment in return.21Centre for European Economic Research, 2011, 'Poor States, Rich Federal Government- Winners and Losers of the Emissions Trading Scheme,' Houseofnames.com, 'German Unification,'2Tai Ejibunu, Hassan. 'Nigeria's Niger Delta Crisis: Root Causes of Peacelessness.' European University Center for Peace Studies Research Papers. 07. 2007.",t102,p3304
3297,This house believes that Federal States are better than unitary nations,no summary,attack,"Free trade areas are able to operate quite successfully even if they lack an overarching authority and full integration of currencies, such as NAFTA.1Economic homogenisation is not necessarily a good thing. Common currencies are best deployed in Optimal Currency Area, which are areas with sufficiently similar economies that a common currency can successfully function. Problems exist where there is a lack of political capital between nations in a federation or when there are logistical barriers (such as the different languages within the EU or the differing strength of public finances).2 There is no reason why federal states are required for comparative advantage to exist, though economies of scale could be less.1 Office of the United States Trade Representative, 2004, 'NAFTA: A Decade of Success,'. 2Wikipedia, 2011, 'Optimal Currency Are",p3297,c3297
3298,This house believes that Federal States are better than unitary nations,no summary,attack,"States should not be overly concerned with size as a measure of strength since this is merely increasing the area that needs defending. Instead they should be concerned with having common sense of identity that encourages cooperation. Russia, Nigeria and India are examples of large federated states which suffer from internal insurgencies caused by political grievances.1 The Democratic Republic of the Congo is an excellent example of a large federated state which has proven incapable of defending its borders.2 It may be the case a common identity is better formed in independent nation states. Smaller states like Monaco and Singapore continue to exist with relative security in contrast.1 AlertNet, 2011, 'Bin Laden death weakens Russia insurgency- official,'The Washington Post, 2006, 'Grievances Fuel Insurgency, Says Nigeria Media'Inside the Maoist insurgency in India's Jharkand state', BBC News2BBC, 2010, 'Inside the Maoist insurgency in India's Jharkand State",p3298,c3298
