,title,summary,stance,comment,parent_id,comment_id
1144,This house supports home schooling,Home schooling involves good community involvement and social interaction.,support,"Homeschooling families do not operate in isolation. There are extensive support networks (particularly in the USA the nation with the largest proportion of the population homeschooling) that exist to provide companionship, promote sports events and social functions. In addition, standard social provisions for children in civic society – scout movements, sports club – are open to homeschoolers. Homeschooling is not a removal from society but just from state schools.1 Homeschooled children often engage with their local community to a greater extent than their schooled peers.1 ‘Home Schooling: From the Extreme to the Mainstream’ Patrick Basham, Public Policy Sources http://www.homeschoolersguide.ca/pdf/Homeschooling.pdfimprove this ",t488,p1144
1145,This house supports home schooling,The home is an ideal learning environment.,support,"Home schooling allows children to learn in an environment that has the needs of one or a very few number of students as the focus of the educative process. Parents are willing to invest in their children and can provide targeted provision that prioritises the learning needs of those individuals1. Therefore, specific textbooks that are tailored to the child's mode of learning can be purchased. State schools, in contrast, are often very ill-equipped and under-funded, leading to standardized text books and teaching methods. The home also lacks the many distractions and disadvantages of schools: peer pressure, social stigma attached to achievement, bullying, show-offs and general rowdiness.1'Virtues in to Vices' in The Journal Of Home Educationimprove this ",t488,p1145
1146,This house supports home schooling,Home schooling is often the best option for catering for the needs of exceptional or disabled students.,support,"Classroom-based education must, by necessity, cater for the needs of the group as a whole which leaves those the very bright unchallenged and those with special needs falling behind and unsupported1. The state often takes years to recognise the needs of students and they lose years of education in the process2. In addition, even if those needs are identified 'special schools' are underfunded and stigmatised. For many students with identifiable problems that affects their capacity to learn within mainstream schooling but is not severe enough to merit a place within the special needs sector, homeschooling can benefit such students by shaping the learning environment to cater for their needs by being flexible to adapt.1 'Every Child is Special",t488,p1146
1147,This house supports home schooling,  COUNTERPOINT Home-schooling is not the best option for exceptional students. The state does not ignore or abandon individuals that have special needs and those with special needs are those that most need the state's enormous resources to focus on their ,support,"Family bonding is a massively important element of a child's development and is prioritised by home schooling1. The value of the family is constantly undermined in modern society; positive parental role models are found less and less frequently. If a parent is judged by a state vetting process to be good enough it is enormously beneficial for society as a whole to approve is an environment that cements both a positive role model and family bonding.1'The Role of Interpretation Processes and Parental Discussion in the Media's Effects on Adolescents' Use of Alcohol' Erica Weintraub Austen, Bruce E. Pinkelton, Yuki Fujioka, Paediatrics, (2000)improve this ",t488,p1147
1148,This house supports home schooling,Parents should be permitted to home-school their children provided they register the fact and submit to inspections,support,"Parents who take their children out of school, or choose to home-school due to apprehensions over the quality of state education, should be entitled to do so provided the child is better off as a result. To ensure they are not neglected, parents hoping to home-school must both register the fact they are home-schooling their child and submit to regular, state inspections of the child's progress. If the child is deemed to be falling behind his age group, the parent may be forced to return the child to a school. The parent should be given standards of teaching that they must adhere to before the inspections occur, and the standards should be sufficiently flexible to reflect children learn at different speeds and that not all children's development reflects fairly on their teacher.improve this ",t488,p1148
1149,This house supports home schooling,Homeschooling allows for the accommodation of faith practices.,support,"The state constantly fails those with greatest faith needs in schools. There are numerous examples of failure of accommodation: ignorant provision for prayer times, banning of religious dress, unwitting subjection of students to religious festivals that are manifestly unsuitable1. If parents want to avoid such perils altogether, and teach their child within an environment that caters for their religious need then that is and should be their right.1'Rise in racism in the playground' BBC News (2007)improve this ",t488,p1149
1150,This house supports home schooling,The state operates a system of quality control run by experts.,attack,"Hundreds of experts and researchers ensure the quality of public schools. It is presumptuous for a parent to think they know how to teach a child better than that accumulated wisdom. Just because the child is a product of that individual does not mean that the education knowledge of the parent surpasses that of professionals in that field who have spent years training1. Furthermore, even the best teachers can be improved by the insight of a third-party; such evaluations are not accessible to home-schooling parents. The danger is that 'From the government's perspective, the world of home education is full of unknowns'; there are not sufficient measures of quality control in place to protect the child and their right to a comprehensive education.1'Home truths: do we need yet another inquiry into home education?' from Guardian website",t488,p1150
1151,This house supports home schooling,Most parents do not have any teaching qualifications.,attack,"If parents are not trained or qualified teachers how can they provide a better or equivalent quality of education than a professional teacher at a school. Even if a parent or tutor excels in one area, will they cover all the things a school does? Even if they tried to, they would not do so adequately due to sheer lack of experience and training. The point of a curriculum is that these are things we have decided as a society that children need to learn, and in order to learn they require the support of qualified teachers1. Support groups and educational text books can help, but they alone cannot turn a parent into a good teacher.1 National Curriculum Website",t488,p1151
1152,This house supports home schooling,Diversity of school is necessary for social development.,attack,"Being forced to confront problems and individuals from different backgrounds is vital as a preparation for the future as a microcosm of the society they will later enter. Parents and children spending day after day at home re sometimes subject to a phenomenon sociologists call the 'hothouse' relationship the closeness between them becomes exclusive, with reaction to outsiders almost aggressive by instinct. This relationship makes it even more difficult for the child to adapt to life in the wider world.1 While there maybe attempts by parents to socialize their children through other means these organizations and club are centred around similarity. School is a mixture that does not filter out students, and there is an inherent social value to such a mix.1‘The Cons and Arguments against Home Schooling’ in Educate Expert (2011) www.educate expert.comimprove this ",t488,p1152
1153,This house supports home schooling,Danger of parents indoctrinating their children.,attack,"Homeschooling allows the possibility of parents removing their child from wider society and indoctrinating them with their own beliefs. State schools teach history and social interaction within a framework agreed on by w wide variety of bodies within the social spectrum. If a parent's world view if so far detached from that perspective that he wishes to remove his child from school it is likely that those alternative view are questionable at best. These beliefs can involve can include gross intolerance for particular minority groups supported by false information. These ideas can still reach the child out of school, but the government has a duty to protect children from a regressive upbringing by at least offering a more constructive perspective. 'Andy Winton, the chair of the National Association of Social Workers in Education, said: ""School is a good safety net to protect children.""' 11'Get tough on home tuition to weed out abuse, says review' from Guardian website",t488,p1153
