,title,summary,stance,comment,parent_id,comment_id
1828,This house would prohibit retailers from selling certain items at a loss as a marketing device.,Banning loss leaders would help suppliers,support,"The practice of loss leaders is bad for suppliers. Farmers and manufacturers are often forced by the dominant retail giants to participate in discount schemes, sharing the losses at the dictate of the retailer. If they refuse they will be dropped by the retailer and cut off from the marketplace. The American Antitrust Institute has concluded that these ""Resale price maintenance (RPM)"" agreements—which are agreed upon because retailers have all of the leverage—are usually illegal.1 Prohibiting loss leaders will prevent this abuse of market dominance by the big retail companies and ensure a fair deal for our farmers.1John B. Kirkwood, Albert Foer, and Richard Burnell, “The American Antitrust Institute On the European Commission’s Proposed Block Exemption Regulation and Guidelines on Vertical Restraints,” American Antitrust Institute, September 27, 2009, page 5-6.",t387,p1828
1829,This house would prohibit retailers from selling certain items at a loss as a marketing device.,The use of loss leaders can have damaging social effects.,support,"Typically it is less healthy products that are heavily discounted, such as alcohol and fatty, sugary and salty processed food. Heavily processed food should cost more than fresh food, but supermarkets don't use fresh fruit or vegetables as loss leaders. The practice tends to distort the shopping behaviour of many of the poorest in society, pushing them into poor diets that lead to obesity, bad dental health and poor nutrition. Banning the practice would make it easier to encourage healthier diets and lifestyles. Selling alcohol below cost price leads to large social harms caused by alcoholism and binge-drinking. The use of alcohol as a loss leader has already been identified as a problem in some countries. In New Zealand, for example, Foodstuffs and Progressive Enterprises—the two companies that own all of the major supermarket chains in the country—agreed not to use alcohol as a loss leader.1 Of course companies in most countries would not agree to such a promise without being prohibited by law, and even New Zealand should go a step further by prohibiting all loss leaders, as alcohol is not the only good that can cause social harm when it is artificially inexpensive.1 Robert Smith, “Lack of loss-leader sales good news for brand conscious wine industry,”National Business Review (New Zealand), June 19, 2009 improve this ",t387,p1829
1830,This house would prohibit retailers from selling certain items at a loss as a marketing device.,Banning loss leaders protects consumers from predatory marketing tactics.,support,"Loss leader strategies exploit consumers by providing partial, misleading information. Giant retailers are not charities; they do not offer heavily discounted goods in order to help the poor. Instead they have calculated that they can attract price-conscious shoppers in with headline deals on a few loss-leading basics, and then persuade them to pay over the odds on a wider range of goods with big profit margins. In this way, loss leaders are a con trick on consumers who are bewildered by deliberately confusing marketing–an onslaught of advertising and ever-changing promotions to the point that they are unable to compare the prices of rival firms and make a rational choice about where to shop. In their paper, “Loss Leading as an Exploitative Practice,” Zhijun Chen and Patrick Rey show how retailers use loss leaders to trick consumers by giving them incomplete information.1 And in the long term, by driving out smaller retailers and reducing competition in the retail sector, the practice can drive up the overall cost of essentials for everyone.1Zhijun Chen and Patrick Rey, “Loss Leading as an Exploitative Practice,” Institut d’Economie Industrielle (IDEI Working Paper #658) ",t387,p1830
1831,This house would prohibit retailers from selling certain items at a loss as a marketing device.,The government has no right to tell business what it should charge for its goods.,attack,"It should be up to business what it charges for its goods; if it decides to charge less than the cost price, it must have a market-based reason to do so, and it is not the place of government to intervene. It is well-known that consumers focus on the prices of a few staple goods, such as bread, milk, baked beans, etc. So it is rational for retailers with high fixed costs (in wages, rents, power etc.) to set the prices for these key products very low, and even make a loss on selling them, because it will entice more shoppers into their stores. These consumers will also buy other products on which the store does make a profit, and overall sales volumes and profits will rise.improve this ",t387,p1831
1832,This house would prohibit retailers from selling certain items at a loss as a marketing device.,Loss leaders are an inexpensive option available to less well-off customers.,attack,"The use of heavily discounted loss-leaders is good for shoppers, especially low-income consumers, who are most appreciative of a bargain that will help them stretch their limited budget. Customers are not stupid but instead canny consumers who are well able to see through the marketing ploys of the big retailers. Often price-conscious shoppers will stock up on the most heavily discounted items, but then go elsewhere for the rest of their shop. On the other hand, attempts in countries like France to regulate retailers have just resulted in protection for the existing firms that dominate the marketplace, and in a lack of competition, which drives up the cost of the weekly groceries for everyone. The same items can cost 30% more in France, where loss leading is banned, than in Germany where it is not and discount stores flourish1. Prohibiting this strategy will hurt consumers.1: Economist, ""Purchasing-power disparity: French shoppers want lower prices, but not more competition,"" May 15, 2008.",t387,p1832
1833,This house would prohibit retailers from selling certain items at a loss as a marketing device.,"Banning loss leaders will interfere in the market, causing a net economic loss for society.",attack,"By requiring retailers to sell items at least at cost level, the government is creating an artificial price floor, which will cause prices to rise and create a net loss for society. Basic economics explains that artificial price floors upset the free market, costing a net economic loss for society, which will eventually be paid by all sectors involved.The harm that prohibiting loss leaders causes to prices is well documented. According to a study by the French newspaper La Tribune, a basket of identical items costs 30% more in France than it does in Germany, partly because of the ban on loss leaders1. In fact, this is the very reason why Ireland repealed its loss leaders ban. The Minister for Enterprise, Trade & Employment said at the time, ""The single most important reason for getting rid of the [law] is that it has kept prices of groceries in Ireland at an artificially high level."" Indeed, a study published in the British Food Journal concluded that the Irish law had caused prices to rise, and a separate study came to the same conclusion regarding France's loss leader prohibition. More generally, a report from the American Anti-Trust Institute shows that throughout history, such price laws have typically raised prices to consumers.1Economist. ""Purchasing-power disparity: French shoppers want lower prices, but not more competition."" May 15, 2008.improve this ",t387,p1833
1834,This house would prohibit retailers from selling certain items at a loss as a marketing device.,Selling at a loss is a practical way of shifting products that have failed to sell.,attack,"Retailers find themselves all the time with stock that they need to unload, that nobody is buying. This is especially a concern with items that have a sell-by date after which they may not be sold and so become worthless. In such a situation, selling below cost price is economically rational, as it means that the retailer realises some money on their stock rather than none at all. Visit any open-air market at 3.00 p.m. and you will see traders slashing the prices of unsold perishable goods for just this reason. If a retailer is going to sell an item below price level, it might as well use that item as a marketing device. Can you imagine the same market trader slashing his prices, but not shouting them to passersby? Sometimes retailers need to sell items below the price level, and they should be allowed to market them cleverly in order to make up for some of the loss in revenue.improve this ",t387,p1834
1828,This house would prohibit retailers from selling certain items at a loss as a marketing device.,no summary,attack,"The use of loss leaders in marketing campaigns can benefit both retailers and producers. Below-cost price offers are typically used at the introduction of new products in order to encourage consumers to try something for the first time. Whether it is a new vegetable or cheese, a different breakfast cereal or an improved type of soap powder, it is in the interest of farmers and manufacturers to build consumer awareness and market share quickly. In the long run, if consumers like the new product, prices will rise and both producers and retailers will profit from it, so it is quite reasonable that producers are asked to share in the costs of launching it at a discount.",p1828,c1828
1829,This house would prohibit retailers from selling certain items at a loss as a marketing device.,no summary,attack,"If retailers need to unload an item, it is totally within their rights to do that, as long as they don't use that item to trick consumers into buying more expensive items. Selling off goods at a low price, when not planned, would also not harm producers because it would not be a case of ""retail price management (RPM),"" in which producers agree to sell the product for less to the retailer.improve this ",p1829,c1829
1830,This house would prohibit retailers from selling certain items at a loss as a marketing device.,no summary,attack,"The use of loss leaders allows greater competition in the retail sector. It helps to drive the overall level of prices down by allowing much greater variation in pricing than would be possible if all goods had to be offered at cost price plus a small profit margin. Loss leaders also allow new entrants to make an immediate impact upon a mature marketplace dominated by a small number of entrenched incumbents, and so they are a valuable tool in maintaining price competition over the long term.improve this ",p1830,c1830
