,title,summary,stance,comment,parent_id,comment_id
2847,"Universities should make all academic work they produce, including scholarly articles, course handbo",Opens up education,support,"Higher education, as with other levels of education, should be open to all. Universities are universally respected as the highest form of educational institution available and it is a matter of principle that everyone should have access to this higher level of education. Unfortunately not everyone in the world has this access usually because they cannot afford it, but it may also be because they are not academically inclined. This does not however mean that it is right to simply cut them off from higher educational opportunities. Should those who do not attend university not have access to the same resources as those who do?This can have an even greater impact globally than within an individual country. 90% of the world’s population currently have no access to higher education. Providing access to all academic work gives them the opportunities that those in developed countries already have.[1][1] Daniel, Sir John, and Killion, David, “Are open educational resources the key to global economic growth?”, Guardian Professional, 4 July 2012, http://www.guardian.co.uk/higher-education-network/blog/2012/jul/04/open-educational-resources-and-economic-growth",t116,p2847
2848,"Universities should make all academic work they produce, including scholarly articles, course handbo",Most universities are publically funded so should have to be open with their materials.,support,"The United States University system is famously expensive and as a result it is probably the system in a developed country that has least public funding yet $346.8billion was spent, mostly by the states, on higher education in 2008-9.[1] In Europe almost 85% of universities funding came from government sources.[2] Considering the huge amounts of money spent on universities by taxpayers they should be able to demand access to the academic work those institutions produce.Even in countries where there are tuition fees that make up some of the funding for the university it is right that the public should have access to these materials as the tuition fees are being paid for the personal teaching time provided by the lecturers not for the academics’ publications. Moreover those who have paid for a university course would benefit by the materials still being available to access after they have finished university[1] Caplan, Bruan, “Correction: Total Government Spending on Higher Education”, Library of Economics and Liberty, 16 November 2012, http://econlog.econlib.org/archives/2012/11/correction_tota.html[2] Vught, F., et al., “Funding Higher Education: A View Across Europe”, Ben Jongbloed Center for Higher Education Policy Studies University of Twente, 2010. http://www.utwente.nl/mb/cheps/publications/Publications%202010/MODERN_Funding_Report.pdf",t116,p2848
2849,"Universities should make all academic work they produce, including scholarly articles, course handbo",Openness benefits research and the economy,support,"Open access can be immensely beneficial for research. It increases the speed of access to publications and opens research up to a wider audience.[1] Some of the most important research has been made much more accessible due to open access. The Human Genome Project would have been an immense success either way but it is doubtful that its economic impact of $796billion would have been realised without open access.The rest of the economy benefits too. It has been estimated that switching to open access would generate £100million of economic activity in the United Kingdom as a result of reduced research costs for business and shorter development as a result of being able to access a much broader range of research.[2][1] Anon., “Open access research advantages”, University of Leicester, http://www2.le.ac.uk/library/find/lra/openaccess/advantages[2] Carr, Dave, and Kiley, Robert, “Open access to science helps us all”, New Statesman, 13 April 2012. http://www.newstatesman.com/blogs/economics/2012/04/open-access-science-helps-us-all",t116,p2849
2850,"Universities should make all academic work they produce, including scholarly articles, course handbo",Students would be able to benefit from being able to use resources at other universities,support,"Having paid for access to universities and the materials they provide for research students have a right to expect that they will have all the necessary materials available. Unfortunately this is not always the case. University libraries are unable to afford all the university journals they wish to have access to or need for their courses. Therefore any student who wants to go into areas not anticipated by the course they are enrolled with will find that they do not have access to the materials they require. They then face the cost of getting individual access to an online journal article which can be up to $42, despite there being almost zero marginal cost to the publisher.[1] This even affects the biggest and best resourced university libraries. Robert Darnton the director of Harvard University’s library which pays $3.5million per year for journal articles says “The system is absurd” and “academically restrictive” instead “the answer will be open-access journal publishing”.[2][1] Sciverse, “Pay-per-view”, Elsevier, http://www.info.sciverse.com/sciencedirect/buying/individual_article_purchase_options/ppv[2] Sample, Ian, “Harvard University says it can’t afford journal publishers’ prices”, The Guardian, 24 April 2012. http://www.guardian.co.uk/science/2012/apr/24/harvard-university-journal-publishers-prices",t116,p2850
2851,"Universities should make all academic work they produce, including scholarly articles, course handbo",Universities deserve to profit from their work,attack,"Universities are providing a service just like almost any other business. They provide a service in terms of educating students who are enrolled with them and secondly they conduct research on a wide range of subjects. In both of these cases the university deserves to make a profit out of their work.When acting as an educator universities are in an educational free market, this is the case even when the cost is provided by the state. All universities are aiming to attract as many students as possible and earn as much as possible from fees. If the university is successful it will be able to charge more as it will attract students from further afield.While Universities may make a profit on research or even teaching this profit is for the benefit of society as a whole as the profits are usually simply reinvested in the University’s education and infrastructure.[1][1] Anon. “What does the money get spent on?” The University of Sheffield, 2013. http://www.shef.ac.uk/finance/staff-information/howfinanceworks/higher_education/money_spent_on",t116,p2851
2852,"Universities should make all academic work they produce, including scholarly articles, course handbo",Making everything free to access will damage universities ability to tap private funding,attack,"For most universities even if the government is generous with funding it will still need for some projects require private funding. When providing money for research projects the government often requires cost sharing so the university needs to find other sources of funding.[1] Third parties however are unlikely to be willing to help provide funding for research if they know that all the results of that research will be made open to anyone and everyone. These businesses are funding specific research to solve a particular problem with the intention of profiting from the result. Even if universities themselves don’t want to profit from their research they cannot ignore the private funding as it is rapidly growing, up 250% in the U.S. from 1985-2005, while the government support is shrinking.[2][1] Anon. (November 2010), “Research & Sponsored Projects”, University of Michigan. http://orsp.umich.edu/funding/costsharing/cost_sharing_questions.html[2] Schindler, Adam, “Follow the Money Corporate funding of university research”, Berkley Science Review, Issue 13. http://sciencereview.berkeley.edu/articles/issue13/funding.pdf",t116,p2852
2853,"Universities should make all academic work they produce, including scholarly articles, course handbo",Less incentive to study at university,attack,"If everything that University provides is open to all then there is less incentive to study at university. Anyone who is studying in order to learn about a subject rather than achieve a particular qualification will no longer need to attend the university in order to fulfil their aim. The actual benefit of university education is less in learning content per se than engaging with new ideas critically, something that is frequently more difficult in an online environment.Moreover if only some countries or institutions were to implement such open access then it makes more sense for any students who are intending to study internationally to go elsewhere as they will still be able to use the resources made available by that university. Open access if not implemented universally is therefore damaging to universities attempts to attract lucrative international students who often pay high tuition fees. ",t116,p2853
2854,"Universities should make all academic work they produce, including scholarly articles, course handbo",Who will write and edit the work?,attack,"You can’t take the end result out of the system and assume all the rest of it will continue as usual. Journal articles don’t write themselves; there will still be costs for editors, typesetters, reviewing etc., as well as the time and cost of the writer. The average cost of publishing an article is about £4000.[1]There have been two suggested forms of open access ‘Gold’ in which authors pay publishers article publication charges and ‘Green’ under which the author self-archives their papers in open access repositories. The gold option that the UK intends to implement could mean universities having to find an extra £60million a year.[2] In either case the cost is being put on the author.This is exactly the same when asking academics to put their lectures, lecture notes, bibliographies etc online. They are being asked to put in more hours grappling with technology without being paid for it.[1] Moghaddam, Golnessa Galyani, “Why Are Scholarly Journals Costly even with Electronic Publishing?” http://eprints.rclis.org/14213/1/Why_are_scholarly_journals_costly_even_with_electronic_publishing_2009_ILDS_37__3_.pdf p.9[2] Ayris, Paul, “Why panning for gold may be detrimental to open access research”, Guardian Professional, 23 July 2012. http://www.guardian.co.uk/higher-education-network/blog/2012/jul/23/finch-report-open-access-research",t116,p2854
2847,"Universities should make all academic work they produce, including scholarly articles, course handbo",no summary,attack,Making these academic materials available to the general public does not mean they are useful to anyone. Many of the materials universities produce are not useful unless the reader has attended the relevant lectures. Rather than simply putting those lectures that are recorded and course handbooks online what is needed to open up education is systematically designed online courses that are available to all. Unfortunately what this provides will be a profusion of often overlapping and contradictory materials with little guidance for how to navigate through them for those who are not involved in the course in question. ,p2847,c2847
2848,"Universities should make all academic work they produce, including scholarly articles, course handbo",no summary,attack,Public funding does not mean that everything should be free and open to use by the public. We do not expect to be allowed to use buildings that are built as government offices as if they were our own. The government builds large amounts of infrastructure such as airports and railways but we don’t expect to be able to use them for free. ,p2848,c2848
