,meteor_score,rouge2_precision,rouge2_recall,rouge2_f_measure,node stance f1,node stance acc,graph edit distance
0,0.2976,0.2658,0.1772,0.2013,0.2241,0.2233,10.1695
1,0.4357,0.1549,0.2617,0.1835,0.2407,0.2433,10.0
2,0.259,0.1984,0.1558,0.1603,0.1927,0.1882,11.322
3,0.2989,0.1746,0.1665,0.1606,0.1421,0.1391,11.8644
4,0.4169,0.1584,0.2468,0.1864,0.2217,0.228,9.6949
5,0.396,0.1608,0.2286,0.1813,0.2165,0.225,9.7627
6,0.3993,0.1463,0.2295,0.1743,0.1804,0.1772,11.322
7,0.332,0.1385,0.1883,0.154,0.1743,0.1691,11.0
8,0.4122,0.1519,0.2453,0.1804,0.1955,0.1998,10.5085
9,0.3822,0.1258,0.2317,0.158,0.1902,0.1924,10.678
