,meteor_score,rouge2_precision,rouge2_recall,rouge2_f_measure,node stance f1,node stance acc,graph edit distance
0,0.3117,0.2849,0.1823,0.2127,0.1713,0.1944,8.8667
1,0.3173,0.1933,0.1804,0.1797,0.1919,0.2028,9.2333
2,0.4679,0.2101,0.3262,0.2452,0.2791,0.3556,7.2
3,0.4275,0.1755,0.2801,0.2089,0.1869,0.2,8.75
4,0.3346,0.1911,0.1923,0.1833,0.1943,0.2194,8.4667
5,0.3585,0.1634,0.2097,0.1773,0.1787,0.1944,8.9
6,0.4175,0.1934,0.2674,0.2173,0.2039,0.2333,8.3333
7,0.3603,0.1876,0.2064,0.1898,0.1535,0.1583,9.4
8,0.4771,0.2142,0.3252,0.2522,0.1941,0.2111,8.7333
9,0.5047,0.237,0.3348,0.2697,0.2032,0.2222,8.3667
