,node_f1,ged,len_diff
0,0.36363636363636365,0.0,0
1,0.09523809523809525,12.0,6
2,0.1904761904761905,4.0,2
3,0.13333333333333333,10.0,5
4,0.2222222222222222,6.0,3
5,0.1904761904761905,4.0,2
6,0.0,12.0,6
7,0.1904761904761905,8.0,4
8,0.0,16.0,8
9,0.2857142857142857,10.0,5
10,0.16666666666666666,10.0,5
11,0.09523809523809525,10.0,5
12,0.0,18.0,9
13,0.0,12.0,6
14,0.16666666666666666,10.0,5
15,0.2222222222222222,6.0,3
16,0.0,12.0,6
17,0.09523809523809525,16.0,8
18,0.0,10.0,5
19,0.13333333333333333,12.0,6
20,0.0,12.0,6
21,0.0,8.0,4
22,0.2857142857142857,4.0,2
23,0.0,12.0,6
24,0.0,10.0,5
25,0.2222222222222222,10.0,5
26,0.0,12.0,6
27,0.0,8.0,4
28,0.1818181818181818,8.0,4
29,0.0,16.0,8
30,0.0,12.0,6
31,0.16666666666666666,10.0,5
32,0.0,10.0,5
33,0.0,12.0,6
34,0.2222222222222222,8.0,4
35,0.1904761904761905,4.0,2
36,0.14814814814814817,6.0,3
37,0.13333333333333333,10.0,5
38,0.0,16.0,8
39,0.0,8.0,4
40,0.0,18.0,9
41,0.11111111111111112,18.0,9
42,0.24999999999999997,6.0,3
43,0.2424242424242424,6.0,3
44,0.16666666666666666,10.0,5
45,0.1111111111111111,10.0,5
46,0.1111111111111111,12.0,6
47,0.13333333333333333,8.0,4
48,0.0,4.0,2
49,0.0,10.0,5
50,0.0,8.0,4
51,0.1904761904761905,6.0,3
52,0.0,14.0,7
53,0.14814814814814817,6.0,3
54,0.1111111111111111,10.0,5
55,0.0,10.0,5
56,0.0,14.0,7
57,0.0,10.0,5
58,0.24999999999999997,14.0,7
59,0.1904761904761905,14.0,7
