,meteor_score,rouge2_precision,rouge2_recall,rouge2_f_measure,node stance f1,node stance acc,graph edit distance,epoch
0,0.096,0.0127,0.034,0.018,0.0,0.0,14.4746,1
1,0.632,0.4051,0.3947,0.3888,0.8972,0.8981,0.5424,2
2,0.6302,0.433,0.3924,0.4033,0.9438,0.9441,0.2373,3
3,0.6365,0.4233,0.3981,0.401,0.9398,0.9405,0.4068,4
4,0.6377,0.4256,0.3921,0.3983,0.9378,0.9384,0.2373,5
5,0.6301,0.4387,0.3853,0.4045,0.9449,0.9453,0.2373,6
6,0.636,0.4244,0.3889,0.3983,0.9446,0.945,0.2373,7
7,0.6306,0.4304,0.3832,0.4001,0.9445,0.9451,0.2373,8
8,0.6384,0.4203,0.3853,0.3954,0.9465,0.9468,0.2373,9
9,0.6475,0.383,0.3846,0.3772,0.945,0.9458,0.2373,10
