,meteor_score,rouge2_precision,rouge2_recall,rouge2_f_measure,node stance f1,node stance acc,graph edit distance,epoch
0,0.0816,0.0112,0.027,0.0152,0.0,0.0,12.0,1
1,0.6883,0.5314,0.5282,0.5191,0.7557,0.7627,2.1186,2
2,0.7013,0.5637,0.5446,0.5465,0.8141,0.8192,1.8983,3
3,0.7044,0.6002,0.5469,0.5652,0.8135,0.8192,1.678,4
4,0.6715,0.577,0.5053,0.5331,0.8374,0.8418,1.7288,5
5,0.6932,0.5937,0.5293,0.5549,0.8398,0.8446,1.7797,6
6,0.6966,0.5811,0.5274,0.5483,0.8404,0.8446,1.7627,7
7,0.7103,0.5717,0.5387,0.5489,0.8261,0.8333,1.5763,8
8,0.6954,0.5565,0.5264,0.5356,0.8406,0.8475,1.5254,9
9,0.6982,0.5445,0.5263,0.5299,0.8237,0.8305,1.7288,10
