,meteor_score,rouge2_precision,rouge2_recall,rouge2_f_measure,node stance f1,node stance acc,graph edit distance,epoch
0,0.083,0.0104,0.0341,0.0158,0.0,0.0,14.4746,1
1,0.5697,0.306,0.3855,0.3168,0.8999,0.9017,9.7627,2
2,0.475,0.1426,0.3904,0.1998,0.9279,0.9288,24.7797,3
3,0.521,0.1719,0.3923,0.2253,0.9014,0.9121,7.4915,4
4,0.5259,0.1404,0.4054,0.1993,0.9355,0.936,2.678,5
5,0.5219,0.1536,0.4019,0.2077,0.946,0.9463,12.6102,6
6,0.4975,0.1475,0.4019,0.2066,0.9233,0.9241,23.0508,7
7,0.5031,0.129,0.4084,0.19,0.941,0.9415,13.0169,8
8,0.5182,0.1374,0.4085,0.1963,0.9149,0.9158,8.0,9
9,0.5054,0.1345,0.403,0.1952,0.9257,0.9264,17.0847,10
