,meteor_score,rouge2_precision,rouge2_recall,rouge2_f_measure,node stance f1,node stance acc,graph edit distance,epoch
0,0.0816,0.0115,0.0278,0.0157,0.0,0.0,12.0,1
1,0.696,0.5311,0.5363,0.5245,0.7581,0.7655,2.2034,2
2,0.7043,0.5712,0.5496,0.5545,0.8226,0.8277,1.7797,3
3,0.7076,0.6006,0.5532,0.5687,0.8446,0.8503,1.2881,4
4,0.6905,0.59,0.5341,0.5548,0.8562,0.8616,1.4746,5
5,0.6992,0.5955,0.5414,0.5613,0.8493,0.8559,1.5424,6
6,0.7135,0.5674,0.5495,0.5527,0.809,0.8192,1.6441,7
7,0.6968,0.5545,0.5329,0.538,0.8201,0.8305,1.7458,8
8,0.6994,0.5333,0.5246,0.5243,0.8337,0.839,1.6102,9
9,0.6857,0.5739,0.522,0.5404,0.8414,0.8475,1.6271,10
