,meteor_score,rouge2_precision,rouge2_recall,rouge2_f_measure,node stance f1,node stance acc,graph edit distance,epoch
0,0.0815,0.0113,0.0274,0.0154,0.0,0.0,12.0,1
1,0.6886,0.5194,0.5281,0.5106,0.7824,0.7881,2.2712,2
2,0.7151,0.5711,0.5612,0.559,0.8514,0.8559,1.5932,3
3,0.6894,0.59,0.531,0.5516,0.8227,0.8277,1.6102,4
4,0.7088,0.5917,0.548,0.563,0.8454,0.8503,1.4915,5
5,0.6978,0.5892,0.5366,0.5568,0.8509,0.8559,1.7966,6
6,0.6949,0.5576,0.5331,0.5395,0.8254,0.8305,1.8136,7
7,0.6985,0.5408,0.5303,0.5289,0.8165,0.822,1.8305,8
8,0.6974,0.5371,0.5254,0.526,0.8282,0.8333,1.8475,9
9,0.7065,0.5586,0.5397,0.5439,0.8272,0.8333,1.6949,10
